Stopping power dEdx from Ionisation for Ca40[0.0] Z = 20 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	30.117
0.00100577	30.2045
0.00101158	30.2922
0.00101742	30.3802
0.00102329	30.4685
0.0010292	30.5569
0.00103514	30.6457
0.00104112	30.7347
0.00104713	30.8239
0.00105317	30.9134
0.00105925	31.0032
0.00106537	31.0932
0.00107152	31.1835
0.00107771	31.2741
0.00108393	31.3649
0.00109018	31.4559
0.00109648	31.5473
0.00110281	31.6389
0.00110917	31.7307
0.00111558	31.8228
0.00112202	31.9152
0.0011285	32.0079
0.00113501	32.1008
0.00114156	32.194
0.00114815	32.2875
0.00115478	32.3812
0.00116145	32.4752
0.00116815	32.5695
0.0011749	32.664
0.00118168	32.7588
0.0011885	32.8539
0.00119536	32.9493
0.00120226	33.0449
0.00120921	33.1408
0.00121619	33.237
0.00122321	33.3335
0.00123027	33.4302
0.00123737	33.5272
0.00124451	33.6245
0.0012517	33.7221
0.00125893	33.82
0.00126619	33.9181
0.0012735	34.0165
0.00128086	34.1153
0.00128825	34.2143
0.00129569	34.3135
0.00130317	34.4131
0.00131069	34.513
0.00131826	34.6131
0.00132587	34.7135
0.00133352	34.8143
0.00134122	34.9153
0.00134896	35.0166
0.00135675	35.1182
0.00136458	35.2201
0.00137246	35.3222
0.00138038	35.4247
0.00138835	35.5275
0.00139637	35.6306
0.00140443	35.7339
0.00141254	35.8376
0.00142069	35.9415
0.00142889	36.0458
0.00143714	36.1504
0.00144544	36.2552
0.00145378	36.3604
0.00146218	36.4659
0.00147062	36.5716
0.00147911	36.6777
0.00148765	36.7841
0.00149624	36.8908
0.00150487	36.9978
0.00151356	37.1051
0.0015223	37.2127
0.00153109	37.3206
0.00153993	37.4289
0.00154882	37.5374
0.00155776	37.6463
0.00156675	37.7554
0.0015758	37.8649
0.00158489	37.9747
0.00159404	38.0849
0.00160325	38.1953
0.0016125	38.306
0.00162181	38.4171
0.00163117	38.5285
0.00164059	38.6402
0.00165006	38.7523
0.00165959	38.8646
0.00166917	38.9773
0.0016788	39.0903
0.0016885	39.2037
0.00169824	39.3173
0.00170805	39.4313
0.00171791	39.5456
0.00172783	39.6603
0.0017378	39.7753
0.00174783	39.8906
0.00175792	40.0062
0.00176807	40.1222
0.00177828	40.2385
0.00178855	40.3552
0.00179887	40.4721
0.00180926	40.5895
0.0018197	40.7071
0.00183021	40.8251
0.00184077	40.9435
0.0018514	41.0621
0.00186209	41.1812
0.00187284	41.3005
0.00188365	41.4202
0.00189452	41.5403
0.00190546	41.6607
0.00191646	41.7814
0.00192752	41.9025
0.00193865	42.024
0.00194984	42.1457
0.0019611	42.2679
0.00197242	42.3904
0.00198381	42.5132
0.00199526	42.6364
0.00200678	42.76
0.00201837	42.8839
0.00203002	43.0082
0.00204174	43.1328
0.00205353	43.2578
0.00206538	43.3832
0.0020773	43.5089
0.0020893	43.6349
0.00210136	43.7614
0.00211349	43.8882
0.00212569	44.0153
0.00213796	44.1429
0.0021503	44.2708
0.00216272	44.399
0.0021752	44.5277
0.00218776	44.6567
0.00220039	44.7861
0.00221309	44.9158
