Stopping power dEdx from Ionisation for Ca40[0.0] Z = 20 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	65.9407
0.00100577	66.1308
0.00101158	66.3214
0.00101742	66.5126
0.00102329	66.7043
0.0010292	66.8965
0.00103514	67.0894
0.00104112	67.2827
0.00104713	67.4767
0.00105317	67.6712
0.00105925	67.8662
0.00106537	68.0618
0.00107152	68.258
0.00107771	68.4548
0.00108393	68.6521
0.00109018	68.8499
0.00109648	69.0484
0.00110281	69.2474
0.00110917	69.447
0.00111558	69.6472
0.00112202	69.8479
0.0011285	70.0493
0.00113501	70.2512
0.00114156	70.4537
0.00114815	70.6567
0.00115478	70.8604
0.00116145	71.0646
0.00116815	71.2695
0.0011749	71.4749
0.00118168	71.6809
0.0011885	71.8875
0.00119536	72.0947
0.00120226	72.3026
0.00120921	72.511
0.00121619	72.72
0.00122321	72.9296
0.00123027	73.1398
0.00123737	73.3506
0.00124451	73.562
0.0012517	73.774
0.00125893	73.9867
0.00126619	74.2
0.0012735	74.4138
0.00128086	74.6283
0.00128825	74.8434
0.00129569	75.0591
0.00130317	75.2755
0.00131069	75.4925
0.00131826	75.7101
0.00132587	75.9283
0.00133352	76.1471
0.00134122	76.3666
0.00134896	76.5867
0.00135675	76.8075
0.00136458	77.0289
0.00137246	77.2509
0.00138038	77.4736
0.00138835	77.6969
0.00139637	77.9208
0.00140443	78.1454
0.00141254	78.3707
0.00142069	78.5966
0.00142889	78.8231
0.00143714	79.0503
0.00144544	79.2782
0.00145378	79.5067
0.00146218	79.7358
0.00147062	79.9657
0.00147911	80.1962
0.00148765	80.4273
0.00149624	80.6591
0.00150487	80.8916
0.00151356	81.1248
0.0015223	81.3586
0.00153109	81.5931
0.00153993	81.8283
0.00154882	82.0642
0.00155776	82.3007
0.00156675	82.5379
0.0015758	82.7758
0.00158489	83.0144
0.00159404	83.2537
0.00160325	83.4937
0.0016125	83.7343
0.00162181	83.9757
0.00163117	84.2177
0.00164059	84.4605
0.00165006	84.7039
0.00165959	84.9481
0.00166917	85.1929
0.0016788	85.4385
0.0016885	85.6848
0.00169824	85.9317
0.00170805	86.1794
0.00171791	86.4278
0.00172783	86.6769
0.0017378	86.9268
0.00174783	87.1773
0.00175792	87.4286
0.00176807	87.6806
0.00177828	87.9333
0.00178855	88.1868
0.00179887	88.441
0.00180926	88.6959
0.0018197	88.9516
0.00183021	89.208
0.00184077	89.4651
0.0018514	89.723
0.00186209	89.9816
0.00187284	90.2409
0.00188365	90.501
0.00189452	90.7619
0.00190546	91.0235
0.00191646	91.2859
0.00192752	91.549
0.00193865	91.8129
0.00194984	92.0775
0.0019611	92.3429
0.00197242	92.6091
0.00198381	92.876
0.00199526	93.1437
0.00200678	93.4122
0.00201837	93.6815
0.00203002	93.9515
0.00204174	94.2223
0.00205353	94.4939
0.00206538	94.7662
0.0020773	95.0394
0.0020893	95.3133
0.00210136	95.5881
0.00211349	95.8636
0.00212569	96.1399
0.00213796	96.417
0.0021503	96.6949
0.00216272	96.9736
0.0021752	97.2531
0.00218776	97.5335
0.00220039	97.8146
0.00221309	98.0965
0.00222587	98.3793
0.00223872	98.6628
0.00225165	98.9472
0.00226464	99.2324
0.00227772	99.5185
0.00229087	99.8053
0.00230409	100.093
0.00231739	100.381
0.00233077	100.671
0.00234423	100.961
0.00235776	101.252
0.00237137	101.544
0.00238506	101.837
0.00239883	102.13
0.00241268	102.424
0.00242661	102.72
0.00244062	103.016
0.00245471	103.313
0.00246888	103.61
0.00248313	103.909
0.00249747	104.209
0.00251189	104.509
0.00252639	104.81
0.00254097	105.112
0.00255564	105.415
0.0025704	105.719
0.00258523	106.024
0.00260016	106.329
0.00261517	106.636
0.00263027	106.943
0.00264545	107.252
0.00266073	107.561
0.00267609	107.871
0.00269153	108.182
0.00270707	108.493
0.0027227	108.806
0.00273842	109.12
0.00275423	109.434
0.00277013	109.75
0.00278612	110.066
0.00280221	110.383
0.00281838	110.702
0.00283465	111.021
0.00285102	111.341
0.00286748	111.662
0.00288403	111.983
0.00290068	112.306
0.00291743	112.63
0.00293427	112.955
0.00295121	113.28
0.00296825	113.607
0.00298538	113.934
0.00300262	114.262
0.00301995	114.592
0.00303739	114.922
