Stopping power dEdx from Ionisation for Cl35[0.0] Z = 17 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	61.6414
0.00100577	61.8191
0.00101158	61.9973
0.00101742	62.176
0.00102329	62.3552
0.0010292	62.5349
0.00103514	62.7152
0.00104112	62.896
0.00104713	63.0772
0.00105317	63.2591
0.00105925	63.4414
0.00106537	63.6243
0.00107152	63.8076
0.00107771	63.9916
0.00108393	64.176
0.00109018	64.361
0.00109648	64.5465
0.00110281	64.7325
0.00110917	64.9191
0.00111558	65.1063
0.00112202	65.2939
0.0011285	65.4821
0.00113501	65.6709
0.00114156	65.8601
0.00114815	66.05
0.00115478	66.2404
0.00116145	66.4313
0.00116815	66.6228
0.0011749	66.8148
0.00118168	67.0074
0.0011885	67.2005
0.00119536	67.3942
0.00120226	67.5885
0.00120921	67.7833
0.00121619	67.9787
0.00122321	68.1746
0.00123027	68.3711
0.00123737	68.5682
0.00124451	68.7658
0.0012517	68.964
0.00125893	69.1628
0.00126619	69.3622
0.0012735	69.5621
0.00128086	69.7626
0.00128825	69.9637
0.00129569	70.1653
0.00130317	70.3676
0.00131069	70.5704
0.00131826	70.7738
0.00132587	70.9778
0.00133352	71.1824
0.00134122	71.3876
0.00134896	71.5934
0.00135675	71.7997
0.00136458	72.0067
0.00137246	72.2142
0.00138038	72.4224
0.00138835	72.6311
0.00139637	72.8405
0.00140443	73.0504
0.00141254	73.261
0.00142069	73.4721
0.00142889	73.6839
0.00143714	73.8963
0.00144544	74.1093
0.00145378	74.3229
0.00146218	74.5371
0.00147062	74.752
0.00147911	74.9674
0.00148765	75.1835
0.00149624	75.4002
0.00150487	75.6176
0.00151356	75.8355
0.0015223	76.0541
0.00153109	76.2733
0.00153993	76.4932
0.00154882	76.7137
0.00155776	76.9348
0.00156675	77.1565
0.0015758	77.3789
0.00158489	77.602
0.00159404	77.8256
0.00160325	78.05
0.0016125	78.2749
0.00162181	78.5005
0.00163117	78.7268
0.00164059	78.9537
0.00165006	79.1813
0.00165959	79.4095
0.00166917	79.6384
0.0016788	79.868
0.0016885	80.0982
0.00169824	80.3291
0.00170805	80.5606
0.00171791	80.7928
0.00172783	81.0257
0.0017378	81.2592
0.00174783	81.4934
0.00175792	81.7283
0.00176807	81.9639
0.00177828	82.2002
0.00178855	82.4371
0.00179887	82.6747
0.00180926	82.913
0.0018197	83.152
0.00183021	83.3917
0.00184077	83.632
0.0018514	83.8731
0.00186209	84.1149
0.00187284	84.3573
0.00188365	84.6005
0.00189452	84.8443
0.00190546	85.0889
0.00191646	85.3341
0.00192752	85.5801
0.00193865	85.8268
0.00194984	86.0741
0.0019611	86.3222
0.00197242	86.5711
0.00198381	86.8206
0.00199526	87.0708
0.00200678	87.3218
0.00201837	87.5735
0.00203002	87.8259
0.00204174	88.0791
0.00205353	88.3329
0.00206538	88.5875
0.0020773	88.8429
0.0020893	89.099
0.00210136	89.3558
0.00211349	89.6133
0.00212569	89.8716
0.00213796	90.1307
0.0021503	90.3905
0.00216272	90.651
0.0021752	90.9123
0.00218776	91.1744
0.00220039	91.4372
0.00221309	91.7007
0.00222587	91.965
0.00223872	92.2301
0.00225165	92.4959
0.00226464	92.7626
0.00227772	93.0299
0.00229087	93.2981
0.00230409	93.567
0.00231739	93.8367
0.00233077	94.1072
0.00234423	94.3784
0.00235776	94.6505
0.00237137	94.9233
0.00238506	95.1969
0.00239883	95.4713
0.00241268	95.7465
0.00242661	96.0224
0.00244062	96.2992
0.00245471	96.5768
0.00246888	96.8551
0.00248313	97.1343
0.00249747	97.4143
0.00251189	97.6951
0.00252639	97.9767
0.00254097	98.2591
0.00255564	98.5423
0.0025704	98.8263
0.00258523	99.1112
0.00260016	99.3969
0.00261517	99.6834
0.00263027	99.9707
0.00264545	100.259
0.00266073	100.548
0.00267609	100.838
0.00269153	101.128
0.00270707	101.42
0.0027227	101.712
0.00273842	102.005
0.00275423	102.299
0.00277013	102.594
0.00278612	102.89
0.00280221	103.186
0.00281838	103.484
0.00283465	103.782
0.00285102	104.081
0.00286748	104.381
0.00288403	104.682
0.00290068	104.984
0.00291743	105.287
0.00293427	105.59
0.00295121	105.894
0.00296825	106.2
0.00298538	106.506
0.00300262	106.813
0.00301995	107.121
0.00303739	107.429
0.00305492	107.739
0.00307256	108.049
0.0030903	108.361
0.00310814	108.673
0.00312608	108.986
0.00314413	109.301
0.00316228	109.616
0.00318053	109.932
0.0031989	110.249
0.00321736	110.566
0.00323594	110.885
0.00325462	111.205
0.00327341	111.525
0.0032923	111.847
0.00331131	112.169
0.00333043	112.492
0.00334965	112.817
0.00336899	113.142
0.00338844	113.468
0.003408	113.795
0.00342768	114.123
0.00344747	114.452
0.00346737	114.782
0.00348739	115.113
0.00350752	115.444
0.00352777	115.777
0.00354813	116.111
0.00356862	116.445
0.00358922	116.781
0.00360994	117.118
0.00363078	117.455
0.00365174	117.794
0.00367282	118.133
0.00369403	118.474
0.00371535	118.815
0.0037368	119.158
0.00375837	119.501
0.00378007	119.846
0.00380189	120.191
0.00382384	120.538
0.00384592	120.885
0.00386812	121.234
0.00389045	121.583
0.00391291	121.933
0.0039355	122.285
0.00395822	122.637
0.00398107	122.991
0.00400405	123.345
0.00402717	123.701
0.00405042	124.057
0.0040738	124.415
0.00409732	124.774
0.00412098	125.133
0.00414477	125.494
0.00416869	125.856
0.00419276	126.218
0.00421697	126.582
0.00424131	126.947
0.0042658	127.313
0.00429042	127.68
0.00431519	128.048
0.0043401	128.417
0.00436516	128.787
0.00439036	129.158
0.0044157	129.531
0.0044412	129.904
0.00446684	130.278
0.00449262	130.654
0.00451856	131.031
0.00454465	131.408
0.00457088	131.787
0.00459727	132.167
0.00462381	132.548
0.0046505	132.93
0.00467735	133.313
0.00470435	133.697
0.00473151	134.083
0.00475883	134.469
0.0047863	134.857
0.00481393	135.245
0.00484172	135.635
0.00486968	136.026
0.00489779	136.418
0.00492606	136.812
0.0049545	137.206
0.0049831	137.601
0.00501187	137.998
0.00504081	138.396
0.00506991	138.795
0.00509918	139.195
0.00512861	139.596
0.00515822	139.998
0.005188	140.402
0.00521795	140.806
0.00524807	141.212
0.00527837	141.619
0.00530884	142.028
0.00533949	142.437
0.00537032	142.848
0.00540132	143.259
0.0054325	143.672
0.00546387	144.086
0.00549541	144.502
0.00552713	144.918
0.00555904	145.336
0.00559114	145.755
0.00562341	146.175
0.00565588	146.596
0.00568853	147.019
0.00572137	147.443
0.0057544	147.867
0.00578762	148.294
0.00582103	148.721
0.00585464	149.15
0.00588844	149.58
0.00592243	150.011
0.00595662	150.443
0.00599101	150.877
0.0060256	151.312
0.00606038	151.748
0.00609537	152.185
0.00613056	152.624
0.00616595	153.064
0.00620155	153.505
0.00623735	153.948
0.00627336	154.391
0.00630957	154.836
0.006346	155.283
0.00638263	155.73
0.00641948	156.179
0.00645654	156.629
0.00649382	157.081
0.00653131	157.533
0.00656901	157.987
0.00660693	158.443
0.00664508	158.9
0.00668344	159.358
0.00672202	159.817
0.00676083	160.278
0.00679986	160.74
0.00683912	161.203
0.0068786	161.667
0.00691831	162.133
0.00695825	162.601
0.00699842	163.069
0.00703882	163.54
0.00707946	164.011
0.00712033	164.484
0.00716143	164.958
0.00720278	165.433
0.00724436	165.91
0.00728618	166.388
0.00732825	166.868
0.00737055	167.349
0.0074131	167.831
0.0074559	168.315
0.00749894	168.8
0.00754223	169.287
0.00758578	169.775
0.00762957	170.264
0.00767361	170.755
0.00771792	171.247
0.00776247	171.74
0.00780728	172.236
0.00785236	172.732
0.00789769	173.23
0.00794328	173.729
0.00798914	174.23
0.00803526	174.732
0.00808165	175.236
0.00812831	175.741
0.00817523	176.247
0.00822243	176.755
0.0082699	177.265
0.00831764	177.776
0.00836566	178.288
0.00841395	178.802
0.00846253	179.318
0.00851138	179.834
0.00856052	180.353
0.00860994	180.873
0.00865964	181.394
0.00870964	181.917
0.00875992	182.435
0.00881049	182.948
0.00886135	183.463
0.00891251	183.979
0.00896396	184.497
0.00901571	185.016
0.00906776	185.536
0.00912011	186.058
0.00917276	186.582
0.00922571	187.107
0.00927897	187.634
0.00933254	188.162
0.00938642	188.691
0.00944061	189.222
0.00949511	189.755
0.00954993	190.289
0.00960506	190.825
0.00966051	191.362
0.00971628	191.901
0.00977237	192.442
0.00982879	192.983
0.00988553	193.527
0.0099426	194.072
0.01	194.619
0.0100577	195.167
0.0101158	195.717
0.0101742	196.268
0.0102329	196.821
0.010292	197.376
0.0103514	197.932
0.0104112	198.49
0.0104713	199.049
0.0105317	199.61
0.0105925	200.173
0.0106537	200.737
0.0107152	201.303
0.0107771	201.87
0.0108393	202.439
0.0109018	203.01
0.0109648	203.582
0.0110281	204.157
0.0110917	204.732
0.0111558	205.31
0.0112202	205.889
0.011285	206.469
0.0113501	207.052
0.0114156	207.636
0.0114815	208.222
0.0115478	208.809
0.0116145	209.398
0.0116815	209.989
0.011749	210.582
0.0118168	211.176
0.011885	211.772
0.0119536	212.37
0.0120226	212.969
0.0120921	213.57
0.0121619	214.173
0.0122321	214.778
0.0123027	215.384
0.0123737	215.992
0.0124451	216.602
0.012517	217.214
0.0125893	217.827
0.0126619	218.443
0.012735	219.06
0.0128086	219.678
0.0128825	220.299
0.0129569	220.921
0.0130317	221.546
0.0131069	222.171
0.0131826	222.799
0.0132587	223.429
0.0133352	224.06
0.0134122	224.693
0.0134896	225.329
0.0135675	225.965
0.0136458	226.604
0.0137246	227.245
0.0138038	227.887
0.0138835	228.532
0.0139637	229.178
0.0140443	229.826
0.0141254	230.476
0.0142069	231.128
0.0142889	231.781
0.0143714	232.437
0.0144544	233.094
0.0145378	233.754
0.0146218	234.415
0.0147062	235.078
0.0147911	235.743
0.0148765	236.41
0.0149624	237.079
0.0150487	237.75
0.0151356	238.423
0.015223	239.098
0.0153109	239.775
0.0153993	240.453
0.0154882	241.134
0.0155776	241.817
0.0156675	242.501
0.015758	243.188
0.0158489	243.877
0.0159404	244.567
0.0160325	245.26
0.016125	245.955
0.0162181	246.651
0.0163117	247.35
0.0164059	248.051
0.0165006	248.753
0.0165959	249.458
0.0166917	250.165
0.016788	250.874
0.016885	251.585
0.0169824	252.298
0.0170805	253.013
0.0171791	253.73
0.0172783	254.449
0.017378	255.17
0.0174783	255.894
0.0175792	256.619
0.0176807	257.347
0.0177828	258.077
0.0178855	258.808
0.0179887	259.542
0.0180926	260.278
0.018197	261.017
0.0183021	261.757
0.0184077	262.5
0.018514	263.244
0.0186209	263.991
0.0187284	264.74
0.0188365	265.491
0.0189452	266.245
0.0190546	267
0.0191646	267.758
0.0192752	268.518
0.0193865	269.28
0.0194984	270.044
0.019611	270.811
0.0197242	271.58
0.0198381	272.351
0.0199526	273.124
0.0200678	273.9
0.0201837	274.678
0.0203002	275.458
0.0204174	276.24
0.0205353	277.025
0.0206538	277.811
0.020773	278.601
0.020893	279.392
0.0210136	280.186
0.0211349	280.982
0.0212569	281.78
0.0213796	282.581
0.021503	283.384
0.0216272	284.19
0.021752	284.997
0.0218776	285.807
0.0220039	286.62
0.0221309	287.435
0.0222587	288.252
0.0223872	289.072
0.0225165	289.894
0.0226464	290.718
0.0227772	291.545
0.0229087	292.374
0.0230409	293.205
0.0231739	294.039
0.0233077	294.876
0.0234423	295.715
0.0235776	296.556
0.0237137	297.4
0.0238506	298.246
0.0239883	299.095
0.0241268	299.946
0.0242661	300.8
0.0244062	301.656
0.0245471	302.514
0.0246888	303.375
0.0248313	304.239
0.0249747	305.105
0.0251189	305.974
0.0252639	306.845
0.0254097	307.719
0.0255564	308.595
0.025704	309.474
0.0258523	310.356
0.0260016	311.24
0.0261517	312.126
0.0263027	313.015
0.0264545	313.907
0.0266073	314.801
0.0267609	315.698
0.0269153	316.598
0.0270707	317.5
0.027227	318.405
0.0273842	319.313
0.0275423	320.223
0.0277013	321.136
0.0278612	322.051
0.0280221	322.969
0.0281838	323.89
0.0283465	324.814
0.0285102	325.74
0.0286748	326.669
0.0288403	327.6
0.0290068	328.535
0.0291743	329.472
0.0293427	330.412
0.0295121	331.354
0.0296825	332.299
0.0298538	333.248
0.0300262	334.198
0.0301995	335.152
0.0303739	336.108
0.0305492	337.068
0.0307256	338.03
0.030903	338.995
0.0310814	339.962
0.0312608	340.933
0.0314413	341.906
0.0316228	342.882
0.0318053	343.861
0.031989	344.843
0.0321736	345.828
0.0323594	346.816
0.0325462	347.806
0.0327341	348.8
0.032923	349.796
0.0331131	350.795
0.0333043	351.797
0.0334965	352.802
0.0336899	353.811
0.0338844	354.822
0.03408	355.835
0.0342768	356.852
0.0344747	357.872
0.0346737	358.895
0.0348739	359.921
0.0350752	360.496
0.0352777	360.736
0.0354813	360.978
0.0356862	361.223
0.0358922	361.471
0.0360994	361.721
0.0363078	361.973
0.0365174	362.228
0.0367282	362.486
0.0369403	362.745
0.0371535	363.007
0.037368	363.271
0.0375837	363.538
0.0378007	363.807
0.0380189	364.078
0.0382384	364.351
0.0384592	364.626
0.0386812	364.903
0.0389045	365.183
0.0391291	365.464
0.039355	365.748
0.0395822	366.033
0.0398107	366.321
0.0400405	366.61
0.0402717	366.902
0.0405042	367.195
0.040738	367.49
0.0409732	367.787
0.0412098	368.086
0.0414477	368.387
0.0416869	368.69
0.0419276	368.994
0.0421697	369.3
0.0424131	369.608
0.042658	369.918
0.0429042	370.229
0.0431519	370.542
0.043401	370.857
0.0436516	371.173
0.0439036	371.491
0.044157	371.81
0.044412	372.132
0.0446684	372.454
0.0449262	372.779
0.0451856	373.105
0.0454465	373.432
0.0457088	373.761
0.0459727	374.092
0.0462381	374.424
0.046505	374.757
0.0467735	375.092
0.0470435	375.429
0.0473151	375.767
0.0475883	376.106
0.047863	376.447
0.0481393	376.789
0.0484172	377.133
0.0486968	377.478
0.0489779	377.824
0.0492606	378.172
0.049545	378.521
0.049831	378.871
0.0501187	379.223
0.0504081	379.577
0.0506991	379.931
0.0509918	380.287
0.0512861	380.644
0.0515822	381.003
0.05188	381.363
0.0521795	381.724
0.0524807	382.086
0.0527837	382.45
0.0530884	382.815
0.0533949	383.181
0.0537032	383.549
0.0540132	383.918
0.054325	384.288
0.0546387	384.659
0.0549541	385.032
0.0552713	385.406
0.0555904	385.781
0.0559114	386.157
0.0562341	386.535
0.0565588	386.914
0.0568853	387.294
0.0572137	387.675
0.057544	388.058
0.0578762	388.442
0.0582103	388.827
0.0585464	389.213
0.0588844	389.6
0.0592243	389.989
0.0595662	390.379
0.0599101	390.77
0.060256	391.163
0.0606038	391.556
0.0609537	391.951
0.0613056	392.347
0.0616595	392.744
0.0620155	393.143
0.0623735	393.542
0.0627336	393.943
0.0630957	394.345
0.06346	394.749
0.0638263	395.153
0.0641948	395.559
0.0645654	395.966
0.0649382	396.375
0.0653131	396.784
0.0656901	397.195
0.0660693	397.607
0.0664508	398.02
0.0668344	398.435
0.0672202	398.85
0.0676083	399.267
0.0679986	399.686
0.0683912	400.105
0.068786	400.526
0.0691831	400.948
0.0695825	401.371
0.0699842	401.796
0.0703882	402.222
0.0707946	402.649
0.0712033	403.077
0.0716143	403.507
0.0720278	403.938
0.0724436	404.37
0.0728618	404.804
0.0732825	405.239
0.0737055	405.675
0.074131	406.113
0.074559	406.552
0.0749894	406.992
0.0754223	407.434
0.0758578	407.876
0.0762957	408.321
0.0767361	408.766
0.0771792	409.213
0.0776247	409.662
0.0780728	410.111
0.0785236	410.563
0.0789769	411.015
0.0794328	411.469
0.0798914	411.924
0.0803526	412.381
0.0808165	412.839
0.0812831	413.299
0.0817523	413.76
0.0822243	414.222
0.082699	414.686
0.0831764	415.151
0.0836566	415.618
0.0841395	416.086
0.0846253	416.556
0.0851138	417.027
0.0856052	417.5
0.0860994	417.974
0.0865964	418.45
0.0870964	418.927
0.0875992	419.406
0.0881049	419.886
0.0886135	420.368
0.0891251	420.851
0.0896396	421.336
0.0901571	421.823
0.0906776	422.311
0.0912011	422.801
0.0917276	423.292
0.0922571	423.785
0.0927897	424.279
0.0933254	424.775
0.0938642	425.273
0.0944061	425.773
0.0949511	426.274
0.0954993	426.776
0.0960506	427.281
0.0966051	427.787
0.0971628	428.294
0.0977237	428.804
0.0982879	429.315
0.0988553	429.828
0.099426	430.342
0.1	430.859
0.100577	431.377
0.101158	431.897
0.101742	432.418
0.102329	432.941
0.10292	433.467
0.103514	433.994
0.104112	434.522
0.104713	435.053
0.105317	435.585
0.105925	436.119
0.106537	436.656
0.107152	437.193
0.107771	437.733
0.108393	438.275
0.109018	438.818
0.109648	439.364
0.110281	439.911
0.110917	440.461
0.111558	441.012
0.112202	441.565
0.11285	442.12
0.113501	442.677
0.114156	443.236
0.114815	443.797
0.115478	444.36
0.116145	444.925
0.116815	445.492
0.11749	446.061
0.118168	446.633
0.11885	447.206
0.119536	447.781
0.120226	448.358
0.120921	448.938
0.121619	449.519
0.122321	450.103
0.123027	450.688
0.123737	451.276
0.124451	451.866
0.12517	452.458
0.125893	453.053
0.126619	453.649
0.12735	454.248
0.128086	454.848
0.128825	455.451
0.129569	456.057
0.130317	456.664
0.131069	457.274
0.131826	457.886
0.132587	458.5
0.133352	459.116
0.134122	459.735
0.134896	460.356
0.135675	460.98
0.136458	461.605
0.137246	462.233
0.138038	462.864
0.138835	463.496
0.139637	464.131
0.140443	464.769
0.141254	465.409
0.142069	466.051
0.142889	466.696
0.143714	467.343
0.144544	467.992
0.145378	468.644
0.146218	469.298
0.147062	469.955
0.147911	470.615
0.148765	471.276
0.149624	471.941
0.150487	472.607
0.151356	473.277
0.15223	473.949
0.153109	474.623
0.153993	475.3
0.154882	475.98
0.155776	476.662
0.156675	477.346
0.15758	478.034
0.158489	478.724
0.159404	479.416
0.160325	480.112
0.16125	480.809
0.162181	481.51
0.163117	482.213
0.164059	482.919
0.165006	483.627
0.165959	484.339
0.166917	485.053
0.16788	485.769
0.16885	486.489
0.169824	487.211
0.170805	487.936
0.171791	488.664
0.172783	489.394
0.17378	490.128
0.174783	490.864
0.175792	491.603
0.176807	492.345
0.177828	493.089
0.178855	493.837
0.179887	494.587
0.180926	495.34
0.18197	496.096
0.183021	496.855
0.184077	497.617
0.18514	498.382
0.186209	499.15
0.187284	499.921
0.188365	500.694
0.189452	501.471
0.190546	502.251
0.191646	503.033
0.192752	503.819
0.193865	504.608
0.194984	505.399
0.19611	506.194
0.197242	506.992
0.198381	507.792
0.199526	508.596
0.200678	509.403
0.201837	510.213
0.203002	511.026
0.204174	511.843
0.205353	512.662
0.206538	513.485
0.20773	514.31
0.20893	515.139
0.210136	515.971
0.211349	516.806
0.212569	517.644
0.213796	518.486
0.21503	519.331
0.216272	520.179
0.21752	521.03
0.218776	521.884
0.220039	522.742
0.221309	523.603
0.222587	524.467
0.223872	525.335
0.225165	526.206
0.226464	527.08
0.227772	527.957
0.229087	528.838
0.230409	529.722
0.231739	530.61
0.233077	531.501
0.234423	532.395
0.235776	533.293
0.237137	534.194
0.238506	535.098
0.239883	536.006
0.241268	536.917
0.242661	537.832
0.244062	538.75
0.245471	539.671
0.246888	540.596
0.248313	541.525
0.249747	542.457
0.251189	543.392
0.252639	544.331
0.254097	545.274
0.255564	546.22
0.25704	547.17
0.258523	548.123
0.260016	549.079
0.261517	550.04
0.263027	551.004
0.264545	551.971
0.266073	552.942
0.267609	553.917
0.269153	554.895
0.270707	555.877
0.27227	556.862
0.273842	557.851
0.275423	558.844
0.277013	559.841
0.278612	560.841
0.280221	561.845
0.281838	562.852
0.283465	563.863
0.285102	564.878
0.286748	565.897
0.288403	566.919
0.290068	567.945
0.291743	568.975
0.293427	570.009
0.295121	571.046
0.296825	572.087
0.298538	573.132
0.300262	574.181
0.301995	575.233
0.303739	576.29
0.305492	577.35
0.307256	578.414
0.30903	579.482
0.310814	580.553
0.312608	581.629
