Stopping power dEdx from Ionisation for Cl35[0.0] Z = 17 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	22.5989
0.00100577	22.6644
0.00101158	22.7301
0.00101742	22.796
0.00102329	22.8621
0.0010292	22.9283
0.00103514	22.9948
0.00104112	23.0615
0.00104713	23.1283
0.00105317	23.1953
0.00105925	23.2626
0.00106537	23.33
0.00107152	23.3976
0.00107771	23.4654
0.00108393	23.5334
0.00109018	23.6016
0.00109648	23.67
0.00110281	23.7386
0.00110917	23.8074
0.00111558	23.8764
0.00112202	23.9456
0.0011285	24.015
0.00113501	24.0846
0.00114156	24.1544
0.00114815	24.2244
0.00115478	24.2946
0.00116145	24.365
0.00116815	24.4356
0.0011749	24.5064
0.00118168	24.5774
0.0011885	24.6486
0.00119536	24.72
0.00120226	24.7917
0.00120921	24.8635
0.00121619	24.9355
0.00122321	25.0078
0.00123027	25.0802
0.00123737	25.1529
0.00124451	25.2258
0.0012517	25.2988
0.00125893	25.3721
0.00126619	25.4456
0.0012735	25.5194
0.00128086	25.5933
0.00128825	25.6674
0.00129569	25.7418
0.00130317	25.8163
0.00131069	25.8911
0.00131826	25.9661
0.00132587	26.0413
0.00133352	26.1168
0.00134122	26.1924
0.00134896	26.2683
0.00135675	26.3444
0.00136458	26.4207
0.00137246	26.4972
0.00138038	26.574
0.00138835	26.6509
0.00139637	26.7281
0.00140443	26.8055
0.00141254	26.8832
0.00142069	26.961
0.00142889	27.0391
0.00143714	27.1174
0.00144544	27.196
0.00145378	27.2747
0.00146218	27.3537
0.00147062	27.4329
0.00147911	27.5124
0.00148765	27.592
0.00149624	27.672
0.00150487	27.7521
0.00151356	27.8324
0.0015223	27.913
0.00153109	27.9939
0.00153993	28.0749
0.00154882	28.1562
0.00155776	28.2378
0.00156675	28.3195
0.0015758	28.4015
0.00158489	28.4838
0.00159404	28.5662
0.00160325	28.6489
0.0016125	28.7319
0.00162181	28.8151
0.00163117	28.8985
0.00164059	28.9822
0.00165006	29.0661
0.00165959	29.1502
0.00166917	29.2346
0.0016788	29.3193
0.0016885	29.4042
0.00169824	29.4893
0.00170805	29.5746
0.00171791	29.6603
0.00172783	29.7461
0.0017378	29.8322
0.00174783	29.9186
0.00175792	30.0052
0.00176807	30.0921
0.00177828	30.1792
0.00178855	30.2665
0.00179887	30.3542
0.00180926	30.442
0.0018197	30.5301
0.00183021	30.6185
0.00184077	30.7071
0.0018514	30.796
0.00186209	30.8852
0.00187284	30.9745
0.00188365	31.0642
0.00189452	31.1541
0.00190546	31.2443
0.00191646	31.3347
0.00192752	31.4254
0.00193865	31.5164
0.00194984	31.6076
0.0019611	31.699
0.00197242	31.7908
0.00198381	31.8828
0.00199526	31.9751
0.00200678	32.0676
0.00201837	32.1604
0.00203002	32.2535
0.00204174	32.3468
0.00205353	32.4404
0.00206538	32.5343
0.0020773	32.6284
0.0020893	32.7229
0.00210136	32.8176
0.00211349	32.9125
0.00212569	33.0078
0.00213796	33.1033
0.0021503	33.1991
0.00216272	33.2951
0.0021752	33.3915
0.00218776	33.4881
0.00220039	33.585
0.00221309	33.6822
0.00222587	33.7796
0.00223872	33.8774
0.00225165	33.9754
0.00226464	34.0737
0.00227772	34.1723
0.00229087	34.2711
0.00230409	34.3703
0.00231739	34.4697
0.00233077	34.5695
0.00234423	34.6695
0.00235776	34.7698
0.00237137	34.8704
0.00238506	34.9712
0.00239883	35.0724
0.00241268	35.1739
0.00242661	35.2756
0.00244062	35.3777
0.00245471	35.48
