Stopping power dEdx from Ionisation for Cr52[0.0] Z = 24 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	66.9563
0.00100577	67.1493
0.00101158	67.3428
0.00101742	67.5369
0.00102329	67.7316
0.0010292	67.9268
0.00103514	68.1226
0.00104112	68.319
0.00104713	68.5159
0.00105317	68.7134
0.00105925	68.9114
0.00106537	69.1101
0.00107152	69.3093
0.00107771	69.509
0.00108393	69.7094
0.00109018	69.9103
0.00109648	70.1118
0.00110281	70.3139
0.00110917	70.5166
0.00111558	70.7198
0.00112202	70.9237
0.0011285	71.1281
0.00113501	71.3331
0.00114156	71.5387
0.00114815	71.7449
0.00115478	71.9517
0.00116145	72.1591
0.00116815	72.3671
0.0011749	72.5757
0.00118168	72.7849
0.0011885	72.9947
0.00119536	73.2051
0.00120226	73.4161
0.00120921	73.6277
0.00121619	73.8399
0.00122321	74.0528
0.00123027	74.2662
0.00123737	74.4803
0.00124451	74.6949
0.0012517	74.9102
0.00125893	75.1262
0.00126619	75.3427
0.0012735	75.5599
0.00128086	75.7777
0.00128825	75.9961
0.00129569	76.2151
0.00130317	76.4348
0.00131069	76.6551
0.00131826	76.8761
0.00132587	77.0977
0.00133352	77.3199
0.00134122	77.5428
0.00134896	77.7663
0.00135675	77.9904
0.00136458	78.2152
0.00137246	78.4407
0.00138038	78.6668
0.00138835	78.8935
0.00139637	79.1209
0.00140443	79.349
0.00141254	79.5777
0.00142069	79.807
0.00142889	80.0371
0.00143714	80.2678
0.00144544	80.4991
0.00145378	80.7312
0.00146218	80.9639
0.00147062	81.1972
0.00147911	81.4313
0.00148765	81.666
0.00149624	81.9014
0.00150487	82.1375
0.00151356	82.3742
0.0015223	82.6116
0.00153109	82.8498
0.00153993	83.0886
0.00154882	83.3281
0.00155776	83.5682
0.00156675	83.8091
0.0015758	84.0507
0.00158489	84.2929
0.00159404	84.5359
0.00160325	84.7796
0.0016125	85.0239
0.00162181	85.269
0.00163117	85.5148
0.00164059	85.7613
0.00165006	86.0085
0.00165959	86.2564
0.00166917	86.505
0.0016788	86.7543
0.0016885	87.0044
0.00169824	87.2552
0.00170805	87.5067
0.00171791	87.7589
0.00172783	88.0119
0.0017378	88.2656
0.00174783	88.52
0.00175792	88.7751
0.00176807	89.031
0.00177828	89.2876
0.00178855	89.545
0.00179887	89.8031
0.00180926	90.0619
0.0018197	90.3215
0.00183021	90.5819
0.00184077	90.843
0.0018514	91.1048
0.00186209	91.3674
0.00187284	91.6307
0.00188365	91.8949
0.00189452	92.1597
0.00190546	92.4254
0.00191646	92.6918
0.00192752	92.959
0.00193865	93.2269
0.00194984	93.4956
0.0019611	93.7651
0.00197242	94.0354
0.00198381	94.3064
0.00199526	94.5782
0.00200678	94.8509
0.00201837	95.1242
0.00203002	95.3984
0.00204174	95.6734
0.00205353	95.9492
0.00206538	96.2257
0.0020773	96.5031
0.0020893	96.7813
0.00210136	97.0602
0.00211349	97.34
0.00212569	97.6205
0.00213796	97.9019
0.0021503	98.1841
0.00216272	98.4671
0.0021752	98.7509
0.00218776	99.0356
0.00220039	99.321
0.00221309	99.6073
0.00222587	99.8944
0.00223872	100.182
0.00225165	100.471
0.00226464	100.761
0.00227772	101.051
0.00229087	101.342
0.00230409	101.635
0.00231739	101.927
0.00233077	102.221
0.00234423	102.516
0.00235776	102.811
0.00237137	103.108
0.00238506	103.405
0.00239883	103.703
0.00241268	104.002
0.00242661	104.302
0.00244062	104.602
0.00245471	104.904
0.00246888	105.206
0.00248313	105.509
0.00249747	105.814
0.00251189	106.119
0.00252639	106.424
0.00254097	106.731
0.00255564	107.039
0.0025704	107.347
0.00258523	107.657
0.00260016	107.967
0.00261517	108.278
0.00263027	108.59
0.00264545	108.903
0.00266073	109.217
0.00267609	109.532
0.00269153	109.848
0.00270707	110.164
0.0027227	110.482
0.00273842	110.8
0.00275423	111.12
0.00277013	111.44
0.00278612	111.761
0.00280221	112.083
0.00281838	112.406
0.00283465	112.73
0.00285102	113.055
0.00286748	113.381
0.00288403	113.708
0.00290068	114.036
0.00291743	114.364
0.00293427	114.694
0.00295121	115.025
0.00296825	115.356
0.00298538	115.689
0.00300262	116.022
0.00301995	116.357
0.00303739	116.692
0.00305492	117.028
0.00307256	117.366
0.0030903	117.704
0.00310814	118.043
0.00312608	118.384
0.00314413	118.725
0.00316228	119.067
0.00318053	119.41
0.0031989	119.754
0.00321736	120.1
0.00323594	120.446
0.00325462	120.793
0.00327341	121.141
0.0032923	121.49
0.00331131	121.84
0.00333043	122.192
0.00334965	122.544
0.00336899	122.897
0.00338844	123.251
0.003408	123.606
0.00342768	123.963
0.00344747	124.32
0.00346737	124.678
0.00348739	125.038
0.00350752	125.398
0.00352777	125.76
0.00354813	126.122
0.00356862	126.486
0.00358922	126.85
0.00360994	127.216
0.00363078	127.583
0.00365174	127.95
0.00367282	128.319
0.00369403	128.689
0.00371535	129.06
0.0037368	129.432
0.00375837	129.805
0.00378007	130.179
0.00380189	130.554
0.00382384	130.931
0.00384592	131.308
0.00386812	131.686
0.00389045	132.066
0.00391291	132.447
0.0039355	132.828
0.00395822	133.211
0.00398107	133.595
0.00400405	133.98
0.00402717	134.367
0.00405042	134.754
0.0040738	135.142
0.00409732	135.532
0.00412098	135.922
0.00414477	136.314
0.00416869	136.707
0.00419276	137.101
0.00421697	137.496
0.00424131	137.893
0.0042658	138.29
0.00429042	138.689
0.00431519	139.089
0.0043401	139.489
0.00436516	139.891
0.00439036	140.295
0.0044157	140.699
0.0044412	141.105
0.00446684	141.511
0.00449262	141.919
0.00451856	142.328
0.00454465	142.739
0.00457088	143.15
0.00459727	143.563
0.00462381	143.976
0.0046505	144.391
0.00467735	144.808
0.00470435	145.225
0.00473151	145.644
0.00475883	146.063
0.0047863	146.484
0.00481393	146.907
0.00484172	147.33
0.00486968	147.755
0.00489779	148.181
0.00492606	148.608
0.0049545	149.036
0.0049831	149.466
0.00501187	149.896
0.00504081	150.328
0.00506991	150.762
0.00509918	151.196
0.00512861	151.632
0.00515822	152.069
0.005188	152.508
0.00521795	152.947
0.00524807	153.388
0.00527837	153.83
0.00530884	154.273
0.00533949	154.718
0.00537032	155.164
0.00540132	155.611
0.0054325	156.06
0.00546387	156.51
0.00549541	156.961
0.00552713	157.413
0.00555904	157.867
0.00559114	158.322
0.00562341	158.778
0.00565588	159.236
0.00568853	159.695
0.00572137	160.155
0.0057544	160.617
0.00578762	161.08
0.00582103	161.544
0.00585464	162.01
0.00588844	162.477
0.00592243	162.945
0.00595662	163.415
0.00599101	163.886
0.0060256	164.358
0.00606038	164.832
0.00609537	165.307
0.00613056	165.783
0.00616595	166.261
0.00620155	166.741
0.00623735	167.221
0.00627336	167.703
0.00630957	168.187
0.006346	168.671
0.00638263	169.157
0.00641948	169.645
0.00645654	170.134
0.00649382	170.624
0.00653131	171.116
0.00656901	171.609
0.00660693	172.104
0.00664508	172.6
0.00668344	173.098
0.00672202	173.597
0.00676083	174.097
0.00679986	174.599
0.00683912	175.102
0.0068786	175.607
0.00691831	176.113
0.00695825	176.621
0.00699842	177.13
0.00703882	177.64
0.00707946	178.152
0.00712033	178.666
0.00716143	179.181
0.00720278	179.697
0.00724436	180.215
0.00728618	180.735
0.00732825	181.256
0.00737055	181.778
0.0074131	182.302
0.0074559	182.827
0.00749894	183.354
0.00754223	183.883
0.00758578	184.413
0.00762957	184.944
0.00767361	185.477
0.00771792	186.012
0.00776247	186.548
0.00780728	187.086
0.00785236	187.625
0.00789769	188.166
0.00794328	188.708
0.00798914	189.252
0.00803526	189.798
0.00808165	190.345
0.00812831	190.894
0.00817523	191.444
0.00822243	191.996
0.0082699	192.549
0.00831764	193.104
0.00836566	193.661
0.00841395	194.219
