Stopping power dEdx from Ionisation for Cr52[0.0] Z = 24 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	23.5284
0.00100577	23.5967
0.00101158	23.6651
0.00101742	23.7337
0.00102329	23.8025
0.0010292	23.8715
0.00103514	23.9407
0.00104112	24.0101
0.00104713	24.0797
0.00105317	24.1496
0.00105925	24.2196
0.00106537	24.2898
0.00107152	24.3602
0.00107771	24.4308
0.00108393	24.5016
0.00109018	24.5727
0.00109648	24.6439
0.00110281	24.7153
0.00110917	24.787
0.00111558	24.8588
0.00112202	24.9309
0.0011285	25.0031
0.00113501	25.0756
0.00114156	25.1483
0.00114815	25.2212
0.00115478	25.2943
0.00116145	25.3676
0.00116815	25.4411
0.0011749	25.5149
0.00118168	25.5888
0.0011885	25.663
0.00119536	25.7373
0.00120226	25.8119
0.00120921	25.8867
0.00121619	25.9617
0.00122321	26.037
0.00123027	26.1124
0.00123737	26.1881
0.00124451	26.264
0.0012517	26.3401
0.00125893	26.4164
0.00126619	26.493
0.0012735	26.5697
0.00128086	26.6467
0.00128825	26.7239
0.00129569	26.8014
0.00130317	26.879
0.00131069	26.9569
0.00131826	27.035
0.00132587	27.1133
0.00133352	27.1919
0.00134122	27.2707
0.00134896	27.3497
0.00135675	27.4289
0.00136458	27.5084
0.00137246	27.5881
0.00138038	27.668
0.00138835	27.7481
0.00139637	27.8285
0.00140443	27.9091
0.00141254	27.99
0.00142069	28.0711
0.00142889	28.1524
0.00143714	28.2339
0.00144544	28.3157
0.00145378	28.3977
0.00146218	28.48
0.00147062	28.5625
0.00147911	28.6452
0.00148765	28.7282
0.00149624	28.8114
0.00150487	28.8949
0.00151356	28.9785
0.0015223	29.0625
0.00153109	29.1466
0.00153993	29.2311
0.00154882	29.3157
0.00155776	29.4006
0.00156675	29.4858
0.0015758	29.5712
0.00158489	29.6568
0.00159404	29.7427
0.00160325	29.8288
0.0016125	29.9152
0.00162181	30.0018
0.00163117	30.0887
0.00164059	30.1758
0.00165006	30.2632
0.00165959	30.3509
0.00166917	30.4387
0.0016788	30.5269
