Stopping power dEdx from Ionisation for F19[0.0] Z = 9 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	31.8219
0.00100577	31.9144
0.00101158	32.0071
0.00101742	32.1001
0.00102329	32.1934
0.0010292	32.2869
0.00103514	32.3807
0.00104112	32.4748
0.00104713	32.5691
0.00105317	32.6637
0.00105925	32.7586
0.00106537	32.8538
0.00107152	32.9492
0.00107771	33.0449
0.00108393	33.1409
0.00109018	33.2372
0.00109648	33.3337
0.00110281	33.4306
0.00110917	33.5277
0.00111558	33.625
0.00112202	33.7227
0.0011285	33.8206
0.00113501	33.9189
0.00114156	34.0174
0.00114815	34.1162
0.00115478	34.2153
0.00116145	34.3146
0.00116815	34.4143
0.0011749	34.5142
0.00118168	34.6144
0.0011885	34.7149
0.00119536	34.8157
0.00120226	34.9168
0.00120921	35.0182
0.00121619	35.1199
0.00122321	35.2219
0.00123027	35.3241
0.00123737	35.4267
0.00124451	35.5295
0.0012517	35.6327
0.00125893	35.7361
0.00126619	35.8399
0.0012735	35.9439
0.00128086	36.0483
0.00128825	36.1529
0.00129569	36.2579
0.00130317	36.3631
0.00131069	36.4687
0.00131826	36.5745
0.00132587	36.6807
0.00133352	36.7872
0.00134122	36.8939
0.00134896	37.001
0.00135675	37.1084
0.00136458	37.2161
0.00137246	37.3241
0.00138038	37.4325
0.00138835	37.5411
0.00139637	37.65
0.00140443	37.7593
0.00141254	37.8689
0.00142069	37.9788
0.00142889	38.089
0.00143714	38.1995
0.00144544	38.3104
0.00145378	38.4215
0.00146218	38.533
0.00147062	38.6448
0.00147911	38.757
0.00148765	38.8694
0.00149624	38.9822
0.00150487	39.0953
0.00151356	39.2087
0.0015223	39.3225
0.00153109	39.4366
0.00153993	39.551
0.00154882	39.6657
0.00155776	39.7808
0.00156675	39.8962
0.0015758	40.0119
0.00158489	40.128
0.00159404	40.2444
0.00160325	40.3612
0.0016125	40.4782
0.00162181	40.5956
0.00163117	40.7134
0.00164059	40.8315
0.00165006	40.9499
0.00165959	41.0687
0.00166917	41.1878
0.0016788	41.3073
0.0016885	41.4271
0.00169824	41.5472
0.00170805	41.6677
0.00171791	41.7886
0.00172783	41.9098
0.0017378	42.0313
0.00174783	42.1532
0.00175792	42.2754
0.00176807	42.398
0.00177828	42.521
0.00178855	42.6443
0.00179887	42.7679
0.00180926	42.892
0.0018197	43.0163
0.00183021	43.1411
0.00184077	43.2662
0.0018514	43.3916
0.00186209	43.5174
0.00187284	43.6436
0.00188365	43.7701
0.00189452	43.897
0.00190546	44.0243
0.00191646	44.1519
0.00192752	44.2799
0.00193865	44.4083
0.00194984	44.5371
0.0019611	44.6662
0.00197242	44.7957
0.00198381	44.9255
0.00199526	45.0558
0.00200678	45.1864
0.00201837	45.3173
0.00203002	45.4487
0.00204174	45.5805
0.00205353	45.7126
0.00206538	45.8451
0.0020773	45.978
0.0020893	46.1112
0.00210136	46.2449
0.00211349	46.3789
0.00212569	46.5133
0.00213796	46.6481
0.0021503	46.7833
0.00216272	46.9189
0.0021752	47.0549
0.00218776	47.1913
0.00220039	47.3281
0.00221309	47.4652
0.00222587	47.6028
0.00223872	47.7407
0.00225165	47.8791
0.00226464	48.0178
0.00227772	48.157
0.00229087	48.2965
0.00230409	48.4365
0.00231739	48.5768
0.00233077	48.7176
0.00234423	48.8587
0.00235776	49.0003
0.00237137	49.1423
0.00238506	49.2847
0.00239883	49.4275
0.00241268	49.5707
0.00242661	49.7143
0.00244062	49.8583
0.00245471	50.0028
0.00246888	50.1477
0.00248313	50.2929
0.00249747	50.4387
0.00251189	50.5848
0.00252639	50.7313
0.00254097	50.8783
0.00255564	51.0257
0.0025704	51.1735
0.00258523	51.3217
0.00260016	51.4704
0.00261517	51.6195
0.00263027	51.769
0.00264545	51.919
0.00266073	52.0694
0.00267609	52.2202
0.00269153	52.3715
0.00270707	52.5232
0.0027227	52.6753
0.00273842	52.8279
0.00275423	52.9809
0.00277013	53.1343
0.00278612	53.2882
0.00280221	53.4426
0.00281838	53.5974
0.00283465	53.7526
0.00285102	53.9083
0.00286748	54.0644
0.00288403	54.221
0.00290068	54.378
0.00291743	54.5355
0.00293427	54.6934
0.00295121	54.8518
0.00296825	55.0106
0.00298538	55.1699
0.00300262	55.3297
0.00301995	55.4899
0.00303739	55.6506
0.00305492	55.8118
0.00307256	55.9734
0.0030903	56.1354
0.00310814	56.298
0.00312608	56.461
0.00314413	56.6245
0.00316228	56.7884
