Stopping power dEdx from Ionisation for F19[0.0] Z = 9 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	47.5836
0.00100577	47.7207
0.00101158	47.8583
0.00101742	47.9962
0.00102329	48.1345
0.0010292	48.2733
0.00103514	48.4124
0.00104112	48.552
0.00104713	48.6919
0.00105317	48.8323
0.00105925	48.973
0.00106537	49.1142
0.00107152	49.2557
0.00107771	49.3977
0.00108393	49.5401
0.00109018	49.6829
0.00109648	49.8261
0.00110281	49.9697
0.00110917	50.1137
0.00111558	50.2582
0.00112202	50.4031
0.0011285	50.5483
0.00113501	50.694
0.00114156	50.8402
0.00114815	50.9867
0.00115478	51.1337
0.00116145	51.281
0.00116815	51.4289
0.0011749	51.5771
0.00118168	51.7258
0.0011885	51.8749
0.00119536	52.0244
0.00120226	52.1743
0.00120921	52.3247
0.00121619	52.4755
0.00122321	52.6268
0.00123027	52.7785
0.00123737	52.9306
0.00124451	53.0832
0.0012517	53.2362
0.00125893	53.3896
0.00126619	53.5435
0.0012735	53.6978
0.00128086	53.8526
0.00128825	54.0078
0.00129569	54.1635
0.00130317	54.3196
0.00131069	54.4762
0.00131826	54.6332
0.00132587	54.7907
0.00133352	54.9486
0.00134122	55.107
0.00134896	55.2659
0.00135675	55.4251
0.00136458	55.5849
0.00137246	55.7451
0.00138038	55.9058
0.00138835	56.0669
0.00139637	56.2285
0.00140443	56.3906
0.00141254	56.5532
0.00142069	56.7162
0.00142889	56.8796
0.00143714	57.0436
0.00144544	57.208
0.00145378	57.3729
0.00146218	57.5383
0.00147062	57.7041
0.00147911	57.8705
0.00148765	58.0373
0.00149624	58.2045
0.00150487	58.3723
0.00151356	58.5406
0.0015223	58.7093
0.00153109	58.8785
0.00153993	59.0482
0.00154882	59.2184
0.00155776	59.3891
0.00156675	59.5603
0.0015758	59.732
0.00158489	59.9041
0.00159404	60.0768
0.00160325	60.25
0.0016125	60.4236
0.00162181	60.5978
0.00163117	60.7725
0.00164059	60.9476
0.00165006	61.1233
0.00165959	61.2995
0.00166917	61.4762
0.0016788	61.6534
0.0016885	61.8311
0.00169824	62.0093
0.00170805	62.188
0.00171791	62.3673
0.00172783	62.5471
0.0017378	62.7273
0.00174783	62.9081
0.00175792	63.0895
0.00176807	63.2713
0.00177828	63.4537
0.00178855	63.6366
0.00179887	63.82
0.00180926	64.004
0.0018197	64.1884
0.00183021	64.3735
0.00184077	64.559
0.0018514	64.7451
0.00186209	64.9317
0.00187284	65.1189
0.00188365	65.3066
0.00189452	65.4948
0.00190546	65.6836
0.00191646	65.8729
0.00192752	66.0628
0.00193865	66.2532
0.00194984	66.4442
0.0019611	66.6357
0.00197242	66.8278
0.00198381	67.0204
0.00199526	67.2136
0.00200678	67.4073
0.00201837	67.6016
0.00203002	67.7964
0.00204174	67.9919
0.00205353	68.1878
0.00206538	68.3844
0.0020773	68.5815
0.0020893	68.7792
0.00210136	68.9774
0.00211349	69.1762
0.00212569	69.3756
0.00213796	69.5756
