Stopping power dEdx from Ionisation for Fe56[0.0] Z = 26 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	30.9689
0.00100577	31.0589
0.00101158	31.1491
0.00101742	31.2396
0.00102329	31.3303
0.0010292	31.4213
0.00103514	31.5126
0.00104112	31.6041
0.00104713	31.6959
0.00105317	31.788
0.00105925	31.8803
0.00106537	31.9729
0.00107152	32.0658
0.00107771	32.1589
0.00108393	32.2523
0.00109018	32.3459
0.00109648	32.4399
0.00110281	32.5341
0.00110917	32.6286
0.00111558	32.7233
0.00112202	32.8183
0.0011285	32.9136
0.00113501	33.0092
0.00114156	33.1051
0.00114815	33.2012
0.00115478	33.2976
0.00116145	33.3943
0.00116815	33.4912
0.0011749	33.5885
0.00118168	33.686
0.0011885	33.7838
0.00119536	33.8818
0.00120226	33.9802
0.00120921	34.0789
0.00121619	34.1778
0.00122321	34.277
0.00123027	34.3765
0.00123737	34.4763
0.00124451	34.5764
0.0012517	34.6767
0.00125893	34.7774
0.00126619	34.8783
0.0012735	34.9796
0.00128086	35.0811
0.00128825	35.1829
0.00129569	35.285
0.00130317	35.3874
0.00131069	35.4901
0.00131826	35.5931
0.00132587	35.6964
0.00133352	35.8
0.00134122	35.9039
0.00134896	36.0081
0.00135675	36.1126
0.00136458	36.2174
0.00137246	36.3225
0.00138038	36.4279
0.00138835	36.5336
0.00139637	36.6396
0.00140443	36.7459
0.00141254	36.8525
0.00142069	36.9594
0.00142889	37.0667
0.00143714	37.1742
0.00144544	37.2821
0.00145378	37.3902
0.00146218	37.4987
0.00147062	37.6075
0.00147911	37.7166
0.00148765	37.826
0.00149624	37.9357
0.00150487	38.0458
0.00151356	38.1561
0.0015223	38.2668
0.00153109	38.3778
0.00153993	38.4891
0.00154882	38.6008
0.00155776	38.7127
0.00156675	38.825
0.0015758	38.9376
0.00158489	39.0506
0.00159404	39.1638
0.00160325	39.2774
0.0016125	39.3913
0.00162181	39.5056
0.00163117	39.6202
0.00164059	39.7351
0.00165006	39.8503
0.00165959	39.9659
0.00166917	40.0818
0.0016788	40.198
0.0016885	40.3146
0.00169824	40.4315
0.00170805	40.5487
0.00171791	40.6663
