Stopping power dEdx from Ionisation for He3 Z = 2 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	16.3355
0.00100577	16.3816
0.00101158	16.4278
0.00101742	16.4742
0.00102329	16.5207
0.0010292	16.5673
0.00103514	16.6141
0.00104112	16.661
0.00104713	16.708
0.00105317	16.7552
0.00105925	16.8025
0.00106537	16.8499
0.00107152	16.8975
0.00107771	16.9452
0.00108393	16.9931
0.00109018	17.041
0.00109648	17.0892
0.00110281	17.1374
0.00110917	17.1859
0.00111558	17.2344
0.00112202	17.2831
0.0011285	17.3319
0.00113501	17.3809
0.00114156	17.43
0.00114815	17.4793
0.00115478	17.5287
0.00116145	17.5782
0.00116815	17.6279
0.0011749	17.6777
0.00118168	17.7277
0.0011885	17.7778
0.00119536	17.8281
0.00120226	17.8785
0.00120921	17.929
0.00121619	17.9797
0.00122321	18.0306
0.00123027	18.0816
0.00123737	18.1327
0.00124451	18.184
0.0012517	18.2355
0.00125893	18.287
0.00126619	18.3388
0.0012735	18.3907
0.00128086	18.4427
0.00128825	18.4949
0.00129569	18.5472
0.00130317	18.5997
0.00131069	18.6524
0.00131826	18.7052
0.00132587	18.7581
0.00133352	18.8112
0.00134122	18.8645
0.00134896	18.9179
0.00135675	18.9714
0.00136458	19.0252
0.00137246	19.079
0.00138038	19.1331
0.00138835	19.1873
0.00139637	19.2416
0.00140443	19.2961
0.00141254	19.3508
0.00142069	19.4056
0.00142889	19.4606
0.00143714	19.5157
0.00144544	19.571
0.00145378	19.6265
0.00146218	19.6821
0.00147062	19.7379
0.00147911	19.7938
0.00148765	19.8499
0.00149624	19.9062
0.00150487	19.9626
0.00151356	20.0192
0.0015223	20.076
0.00153109	20.1329
0.00153993	20.19
0.00154882	20.2472
0.00155776	20.3046
0.00156675	20.3622
0.0015758	20.42
0.00158489	20.4779
0.00159404	20.536
0.00160325	20.5943
0.0016125	20.6527
0.00162181	20.7113
0.00163117	20.7701
0.00164059	20.829
0.00165006	20.8881
0.00165959	20.9474
0.00166917	21.0069
0.0016788	21.0665
0.0016885	21.1263
0.00169824	21.1863
0.00170805	21.2464
0.00171791	21.3067
0.00172783	21.3672
0.0017378	21.4279
0.00174783	21.4888
0.00175792	21.5498
0.00176807	21.611
