Stopping power dEdx from Ionisation for K39[0.0] Z = 19 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	64.0367
0.00100577	64.2213
0.00101158	64.4064
0.00101742	64.592
0.00102329	64.7782
0.0010292	64.9649
0.00103514	65.1522
0.00104112	65.34
0.00104713	65.5283
0.00105317	65.7172
0.00105925	65.9066
0.00106537	66.0966
0.00107152	66.2871
0.00107771	66.4782
0.00108393	66.6698
0.00109018	66.8619
0.00109648	67.0547
0.00110281	67.2479
0.00110917	67.4418
0.00111558	67.6362
0.00112202	67.8311
0.0011285	68.0266
0.00113501	68.2227
0.00114156	68.4194
0.00114815	68.6166
0.00115478	68.8143
0.00116145	69.0127
0.00116815	69.2116
0.0011749	69.4111
0.00118168	69.6112
0.0011885	69.8118
0.00119536	70.0131
0.00120226	70.2149
0.00120921	70.4172
0.00121619	70.6202
0.00122321	70.8238
0.00123027	71.0279
0.00123737	71.2326
0.00124451	71.438
0.0012517	71.6439
0.00125893	71.8504
0.00126619	72.0575
0.0012735	72.2652
0.00128086	72.4735
0.00128825	72.6824
0.00129569	72.8919
0.00130317	73.102
0.00131069	73.3127
0.00131826	73.524
0.00132587	73.7359
0.00133352	73.9484
0.00134122	74.1616
0.00134896	74.3753
0.00135675	74.5897
0.00136458	74.8047
0.00137246	75.0203
0.00138038	75.2366
0.00138835	75.4534
0.00139637	75.6709
0.00140443	75.889
0.00141254	76.1078
0.00142069	76.3271
0.00142889	76.5471
0.00143714	76.7678
0.00144544	76.9891
0.00145378	77.211
0.00146218	77.4335
0.00147062	77.6567
0.00147911	77.8805
0.00148765	78.105
0.00149624	78.3302
0.00150487	78.5559
0.00151356	78.7824
0.0015223	79.0094
0.00153109	79.2372
0.00153993	79.4656
0.00154882	79.6946
0.00155776	79.9243
0.00156675	80.1547
0.0015758	80.3857
0.00158489	80.6174
0.00159404	80.8498
0.00160325	81.0828
0.0016125	81.3166
0.00162181	81.5509
0.00163117	81.786
0.00164059	82.0217
0.00165006	82.2582
0.00165959	82.4953
0.00166917	82.733
0.0016788	82.9715
0.0016885	83.2107
0.00169824	83.4505
0.00170805	83.691
0.00171791	83.9323
0.00172783	84.1742
0.0017378	84.4168
