Stopping power dEdx from Ionisation for Li7[0.0] Z = 3 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	26.9653
0.00100577	27.0435
0.00101158	27.122
0.00101742	27.2007
0.00102329	27.2797
0.0010292	27.3588
0.00103514	27.4382
0.00104112	27.5178
0.00104713	27.5977
0.00105317	27.6778
0.00105925	27.7581
0.00106537	27.8386
0.00107152	27.9194
0.00107771	28.0004
0.00108393	28.0816
0.00109018	28.1631
0.00109648	28.2448
0.00110281	28.3267
0.00110917	28.4089
0.00111558	28.4913
0.00112202	28.574
0.0011285	28.6569
0.00113501	28.74
0.00114156	28.8234
0.00114815	28.907
0.00115478	28.9908
0.00116145	29.0749
0.00116815	29.1593
0.0011749	29.2439
0.00118168	29.3287
0.0011885	29.4137
0.00119536	29.4991
0.00120226	29.5846
0.00120921	29.6704
0.00121619	29.7565
0.00122321	29.8428
0.00123027	29.9293
0.00123737	30.0161
0.00124451	30.1032
0.0012517	30.1905
0.00125893	30.278
0.00126619	30.3658
0.0012735	30.4539
0.00128086	30.5422
0.00128825	30.6308
0.00129569	30.7196
0.00130317	30.8087
0.00131069	30.898
0.00131826	30.9876
0.00132587	31.0774
0.00133352	31.1675
0.00134122	31.2579
0.00134896	31.3485
0.00135675	31.4394
0.00136458	31.5306
0.00137246	31.622
0.00138038	31.7137
0.00138835	31.8056
0.00139637	31.8978
0.00140443	31.9903
0.00141254	32.083
0.00142069	32.176
0.00142889	32.2693
0.00143714	32.3629
0.00144544	32.4567
0.00145378	32.5508
0.00146218	32.6451
0.00147062	32.7397
0.00147911	32.8346
0.00148765	32.9298
0.00149624	33.0253
0.00150487	33.121
0.00151356	33.217
0.0015223	33.3132
0.00153109	33.4098
0.00153993	33.5066
0.00154882	33.6037
0.00155776	33.7011
0.00156675	33.7988
0.0015758	33.8968
0.00158489	33.995
0.00159404	34.0935
0.00160325	34.1923
0.0016125	34.2914
0.00162181	34.3908
0.00163117	34.4904
0.00164059	34.5904
0.00165006	34.6906
0.00165959	34.7911
0.00166917	34.8919
0.0016788	34.993
0.0016885	35.0944
0.00169824	35.1961
0.00170805	35.2981
0.00171791	35.4004
0.00172783	35.5029
0.0017378	35.6058
0.00174783	35.709
0.00175792	35.8124
0.00176807	35.9162
0.00177828	36.0202
0.00178855	36.1246
0.00179887	36.2292
0.00180926	36.3342
0.0018197	36.4395
0.00183021	36.545
0.00184077	36.6509
0.0018514	36.7571
0.00186209	36.8635
0.00187284	36.9703
0.00188365	37.0774
0.00189452	37.1848
0.00190546	37.2925
0.00191646	37.4006
0.00192752	37.5089
0.00193865	37.6175
0.00194984	37.7265
0.0019611	37.8358
0.00197242	37.9454
0.00198381	38.0553
0.00199526	38.1655
0.00200678	38.276
0.00201837	38.3869
0.00203002	38.4981
0.00204174	38.6096
0.00205353	38.7214
0.00206538	38.8335
0.0020773	38.946
0.0020893	39.0588
0.00210136	39.1719
0.00211349	39.2853
0.00212569	39.3991
0.00213796	39.5132
0.0021503	39.6276
0.00216272	39.7424
0.0021752	39.8574
0.00218776	39.9729
0.00220039	40.0886
0.00221309	40.2047
0.00222587	40.3211
0.00223872	40.4379
0.00225165	40.5549
0.00226464	40.6724
0.00227772	40.7901
0.00229087	40.9082
0.00230409	41.0267
0.00231739	41.1455
0.00233077	41.2646
0.00234423	41.3841
0.00235776	41.5039
0.00237137	41.624
0.00238506	41.7445
0.00239883	41.8654
0.00241268	41.9866
0.00242661	42.1082
0.00244062	42.2301
0.00245471	42.3523
0.00246888	42.4749
0.00248313	42.5979
0.00249747	42.7212
0.00251189	42.8449
0.00252639	42.9689
0.00254097	43.0933
0.00255564	43.218
0.0025704	43.3431
0.00258523	43.4686
0.00260016	43.5944
0.00261517	43.7206
0.00263027	43.8471
0.00264545	43.9741
0.00266073	44.1013
0.00267609	44.229
0.00269153	44.357
0.00270707	44.4854
0.0027227	44.6141
0.00273842	44.7433
0.00275423	44.8728
0.00277013	45.0026
0.00278612	45.1329
0.00280221	45.2635
0.00281838	45.3945
0.00283465	45.5259
0.00285102	45.6576
0.00286748	45.7898
0.00288403	45.9223
0.00290068	46.0552
0.00291743	46.1885
0.00293427	46.3221
0.00295121	46.4562
0.00296825	46.5906
0.00298538	46.7254
0.00300262	46.8606
0.00301995	46.9962
0.00303739	47.1322
0.00305492	47.2686
0.00307256	47.4054
0.0030903	47.5426
0.00310814	47.6801
0.00312608	47.8181
0.00314413	47.9565
0.00316228	48.0952
0.00318053	48.2344
0.0031989	48.3739
0.00321736	48.5139
0.00323594	48.6543
0.00325462	48.795
0.00327341	48.9362
0.0032923	49.0778
0.00331131	49.2198
0.00333043	49.3622
0.00334965	49.505
0.00336899	49.6482
0.00338844	49.7919
0.003408	49.9359
0.00342768	50.0804
0.00344747	50.2253
0.00346737	50.3706
0.00348739	50.5163
0.00350752	50.6624
0.00352777	50.809
0.00354813	50.956
0.00356862	51.1034
0.00358922	51.2512
0.00360994	51.3994
0.00363078	51.5481
0.00365174	51.6972
0.00367282	51.8468
0.00369403	51.9968
0.00371535	52.1472
0.0037368	52.298
0.00375837	52.4493
0.00378007	52.601
0.00380189	52.7531
0.00382384	52.9057
0.00384592	53.0587
0.00386812	53.2122
0.00389045	53.3661
0.00391291	53.5205
0.0039355	53.6753
0.00395822	53.8305
0.00398107	53.9862
0.00400405	54.1423
0.00402717	54.2989
0.00405042	54.456
0.0040738	54.6135
0.00409732	54.7714
0.00412098	54.9298
0.00414477	55.0887
0.00416869	55.248
0.00419276	55.4078
0.00421697	55.568
0.00424131	55.7287
0.0042658	55.8899
0.00429042	56.0515
0.00431519	56.2136
0.0043401	56.3762
0.00436516	56.5392
0.00439036	56.7027
0.0044157	56.8666
0.0044412	57.0311
0.00446684	57.196
0.00449262	57.3614
0.00451856	57.5273
0.00454465	57.6936
0.00457088	57.8604
0.00459727	58.0277
0.00462381	58.1955
0.0046505	58.3638
0.00467735	58.5326
0.00470435	58.7018
0.00473151	58.8715
0.00475883	59.0418
0.0047863	59.2125
0.00481393	59.3837
0.00484172	59.5554
0.00486968	59.7276
0.00489779	59.9003
0.00492606	60.0734
0.0049545	60.2471
0.0049831	60.4213
0.00501187	60.596
0.00504081	60.7712
0.00506991	60.9469
0.00509918	61.1231
0.00512861	61.2998
0.00515822	61.477
0.005188	61.6548
0.00521795	61.833
0.00524807	62.0118
0.00527837	62.191
0.00530884	62.3708
0.00533949	62.5511
0.00537032	62.732
0.00540132	62.9133
0.0054325	63.0952
0.00546387	63.2776
0.00549541	63.4605
0.00552713	63.6439
0.00555904	63.8279
0.00559114	64.0124
0.00562341	64.1975
0.00565588	64.383
0.00568853	64.5691
0.00572137	64.7558
0.0057544	64.943
0.00578762	65.1307
0.00582103	65.3189
0.00585464	65.5078
0.00588844	65.6971
0.00592243	65.887
0.00595662	66.0774
0.00599101	66.2684
0.0060256	66.46
0.00606038	66.6521
0.00609537	66.8447
0.00613056	67.0379
0.00616595	67.2317
0.00620155	67.426
0.00623735	67.6209
0.00627336	67.8163
0.00630957	68.0123
0.006346	68.2089
0.00638263	68.406
0.00641948	68.6037
0.00645654	68.802
0.00649382	69.0008
0.00653131	69.2003
0.00656901	69.4003
0.00660693	69.6008
0.00664508	69.802
0.00668344	70.0037
0.00672202	70.206
0.00676083	70.4089
0.00679986	70.6124
0.00683912	70.8164
0.0068786	71.0211
0.00691831	71.2263
0.00695825	71.4322
0.00699842	71.6386
0.00703882	71.8456
0.00707946	72.0532
0.00712033	72.2614
0.00716143	72.4703
0.00720278	72.6797
0.00724436	72.8897
0.00728618	73.1003
0.00732825	73.3116
0.00737055	73.5234
0.0074131	73.9201
0.0074559	74.1332
0.00749894	74.3469
0.00754223	74.5612
0.00758578	74.7761
0.00762957	74.9916
0.00767361	75.2078
0.00771792	75.4245
0.00776247	75.6419
0.00780728	75.86
0.00785236	76.0786
0.00789769	76.2979
0.00794328	76.5178
0.00798914	76.7384
0.00803526	76.9596
0.00808165	77.1814
0.00812831	77.4039
0.00817523	77.627
0.00822243	77.8507
0.0082699	78.0751
0.00831764	78.3002
0.00836566	78.5259
0.00841395	78.7522
0.00846253	78.9792
0.00851138	79.2068
0.00856052	79.4351
0.00860994	79.6641
0.00865964	79.8937
0.00870964	80.124
0.00875992	80.355
0.00881049	80.5866
0.00886135	80.8189
0.00891251	81.0518
0.00896396	81.2854
0.00901571	81.5197
0.00906776	81.7547
0.00912011	81.9903
0.00917276	82.2267
0.00922571	82.4637
0.00927897	82.7014
0.00933254	82.9397
0.00938642	83.1788
0.00944061	83.4186
0.00949511	83.659
0.00954993	83.9001
0.00960506	84.142
0.00966051	84.3845
0.00971628	84.6277
0.00977237	84.8717
0.00982879	85.1163
0.00988553	85.3616
0.0099426	85.6077
0.01	85.8544
0.0100577	86.1019
0.0101158	86.3501
0.0101742	86.599
0.0102329	86.8486
0.010292	87.0989
0.0103514	87.35
0.0104112	87.6017
0.0104713	87.8542
0.0105317	88.1075
0.0105925	88.3614
0.0106537	88.6161
0.0107152	88.8715
0.0107771	89.1277
0.0108393	89.3846
0.0109018	89.6422
0.0109648	89.9006
0.0110281	90.1597
0.0110917	90.4196
0.0111558	90.6802
0.0112202	90.9416
0.011285	91.2037
0.0113501	91.4666
0.0114156	91.7303
0.0114815	91.9947
0.0115478	92.2598
0.0116145	92.5258
0.0116815	92.7925
0.011749	93.0599
0.0118168	93.3282
0.011885	93.5972
0.0119536	93.8669
0.0120226	94.1375
0.0120921	94.4088
0.0121619	94.681
0.0122321	94.9539
0.0123027	95.2276
0.0123737	95.502
0.0124451	95.7773
0.012517	96.0534
0.0125893	96.3302
0.0126619	96.6079
