Stopping power dEdx from Ionisation for Li7[0.0] Z = 3 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	25.177
0.00100577	25.2495
0.00101158	25.3223
0.00101742	25.3953
0.00102329	25.4685
0.0010292	25.5419
0.00103514	25.6155
0.00104112	25.6894
0.00104713	25.7634
0.00105317	25.8377
0.00105925	25.9121
0.00106537	25.9868
0.00107152	26.0617
0.00107771	26.1368
0.00108393	26.2122
0.00109018	26.2877
0.00109648	26.3635
0.00110281	26.4395
0.00110917	26.5157
0.00111558	26.5921
0.00112202	26.6688
0.0011285	26.7457
0.00113501	26.8227
0.00114156	26.9001
0.00114815	26.9776
0.00115478	27.0554
0.00116145	27.1333
0.00116815	27.2115
0.0011749	27.29
0.00118168	27.3686
0.0011885	27.4475
0.00119536	27.5266
0.00120226	27.606
0.00120921	27.6856
0.00121619	27.7654
0.00122321	27.8454
0.00123027	27.9256
0.00123737	28.0061
0.00124451	28.0869
0.0012517	28.1678
0.00125893	28.249
0.00126619	28.3304
0.0012735	28.4121
0.00128086	28.494
0.00128825	28.5761
0.00129569	28.6585
0.00130317	28.7411
0.00131069	28.8239
0.00131826	28.907
0.00132587	28.9903
0.00133352	29.0739
0.00134122	29.1577
0.00134896	29.2417
0.00135675	29.326
0.00136458	29.4106
0.00137246	29.4953
0.00138038	29.5803
0.00138835	29.6656
0.00139637	29.7511
0.00140443	29.8369
0.00141254	29.9229
0.00142069	30.0091
0.00142889	30.0956
0.00143714	30.1824
0.00144544	30.2694
0.00145378	30.3566
0.00146218	30.4441
0.00147062	30.5319
0.00147911	30.6199
0.00148765	30.7081
0.00149624	30.7966
0.00150487	30.8854
0.00151356	30.9744
0.0015223	31.0637
0.00153109	31.1532
0.00153993	31.243
0.00154882	31.3331
0.00155776	31.4234
0.00156675	31.514
0.0015758	31.6048
0.00158489	31.6959
0.00159404	31.7873
0.00160325	31.8789
0.0016125	31.9708
0.00162181	32.0629
0.00163117	32.1553
0.00164059	32.248
0.00165006	32.341
0.00165959	32.4342
0.00166917	32.5277
0.0016788	32.6214
0.0016885	32.7155
0.00169824	32.8098
0.00170805	32.9043
0.00171791	32.9992
0.00172783	33.0943
0.0017378	33.1897
0.00174783	33.2854
0.00175792	33.3801
0.00176807	33.474
0.00177828	33.5682
0.00178855	33.6626
0.00179887	33.7573
0.00180926	33.8523
0.0018197	33.9475
0.00183021	34.0431
0.00184077	34.1389
0.0018514	34.2349
0.00186209	34.3313
0.00187284	34.4279
0.00188365	34.5248
0.00189452	34.622
0.00190546	34.7195
0.00191646	34.8172
0.00192752	34.9152
0.00193865	35.0135
0.00194984	35.1121
0.0019611	35.211
0.00197242	35.3102
0.00198381	35.4096
0.00199526	35.5093
0.00200678	35.6094
0.00201837	35.7097
0.00203002	35.8103
0.00204174	35.9112
0.00205353	36.0123
0.00206538	36.1138
0.0020773	36.2156
0.0020893	36.3176
0.00210136	36.42
0.00211349	36.5226
0.00212569	36.6256
0.00213796	36.7288
0.0021503	36.8323
0.00216272	36.9362
0.0021752	37.0403
0.00218776	37.1447
0.00220039	37.2495
