Stopping power dEdx from Ionisation for Li7[0.0] Z = 3 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	20.0148
0.00100577	20.0728
0.00101158	20.1309
0.00101742	20.1892
0.00102329	20.2477
0.0010292	20.3064
0.00103514	20.3652
0.00104112	20.4242
0.00104713	20.4834
0.00105317	20.5427
0.00105925	20.6022
0.00106537	20.6619
0.00107152	20.7217
0.00107771	20.7817
0.00108393	20.8419
0.00109018	20.9023
0.00109648	20.9628
0.00110281	21.0235
0.00110917	21.0844
0.00111558	21.1455
0.00112202	21.2067
0.0011285	21.2682
0.00113501	21.3298
0.00114156	21.3915
0.00114815	21.4535
0.00115478	21.5156
0.00116145	21.5779
0.00116815	21.6404
0.0011749	21.7031
0.00118168	21.7659
0.0011885	21.8289
0.00119536	21.8922
0.00120226	21.9555
0.00120921	22.0191
0.00121619	22.0829
0.00122321	22.1468
0.00123027	22.2109
0.00123737	22.2753
0.00124451	22.3398
0.0012517	22.4044
0.00125893	22.4693
0.00126619	22.5344
0.0012735	22.5996
0.00128086	22.665
0.00128825	22.7307
0.00129569	22.7965
0.00130317	22.8625
0.00131069	22.9287
0.00131826	22.995
0.00132587	23.0616
0.00133352	23.1284
0.00134122	23.1953
0.00134896	23.2625
0.00135675	23.3298
0.00136458	23.3974
0.00137246	23.4651
0.00138038	23.533
0.00138835	23.6011
0.00139637	23.6695
0.00140443	23.738
0.00141254	23.8067
0.00142069	23.8756
0.00142889	23.9447
0.00143714	24.014
0.00144544	24.0835
0.00145378	24.1532
0.00146218	24.2232
0.00147062	24.2933
0.00147911	24.3636
0.00148765	24.4341
0.00149624	24.5048
0.00150487	24.5757
0.00151356	24.6469
0.0015223	24.7182
0.00153109	24.7897
0.00153993	24.8615
0.00154882	24.9334
0.00155776	25.0056
0.00156675	25.078
0.0015758	25.1505
0.00158489	25.2233
0.00159404	25.2963
0.00160325	25.3695
0.0016125	25.4429
0.00162181	25.5166
0.00163117	25.5904
0.00164059	25.6645
0.00165006	25.7387
0.00165959	25.8132
0.00166917	25.8879
0.0016788	25.9628
0.0016885	26.0379
0.00169824	26.1133
0.00170805	26.1888
0.00171791	26.2646
0.00172783	26.3406
0.0017378	26.4168
0.00174783	26.4933
0.00175792	26.5699
0.00176807	26.6468
0.00177828	26.7239
0.00178855	26.8012
0.00179887	26.8788
0.00180926	26.9565
0.0018197	27.0345
0.00183021	27.1127
0.00184077	27.1912
0.0018514	27.2698
0.00186209	27.3487
0.00187284	27.4279
0.00188365	27.5072
0.00189452	27.5868
0.00190546	27.6666
0.00191646	27.7466
0.00192752	27.8269
0.00193865	27.9074
0.00194984	27.9881
0.0019611	28.0691
0.00197242	28.1503
0.00198381	28.2317
0.00199526	28.3134
0.00200678	28.3953
0.00201837	28.4774
0.00203002	28.5598
0.00204174	28.6424
0.00205353	28.7253
0.00206538	28.8083
0.0020773	28.8917
0.0020893	28.9752
0.00210136	29.059
0.00211349	29.1431
0.00212569	29.2274
0.00213796	29.3119
0.0021503	29.3967
0.00216272	29.4817
0.0021752	29.567
0.00218776	29.6525
0.00220039	29.7383
0.00221309	29.8243
0.00222587	29.9105
0.00223872	29.997
0.00225165	30.0838
0.00226464	30.1708
0.00227772	30.2581
0.00229087	30.3456
0.00230409	30.4333
0.00231739	30.5213
0.00233077	30.6096
0.00234423	30.6981
0.00235776	30.7869
0.00237137	30.8759
0.00238506	30.9652
0.00239883	31.0548
0.00241268	31.1446
0.00242661	31.2346
0.00244062	31.325
0.00245471	31.4155
0.00246888	31.5064
0.00248313	31.5975
0.00249747	31.6888
0.00251189	31.7805
0.00252639	31.8724
0.00254097	31.9645
0.00255564	32.057
0.0025704	32.1497
0.00258523	32.2426
0.00260016	32.3358
0.00261517	32.4293
0.00263027	32.5231
0.00264545	32.6171
0.00266073	32.7114
0.00267609	32.806
0.00269153	32.9009
0.00270707	32.996
0.0027227	33.0914
0.00273842	33.1871
0.00275423	33.283
0.00277013	33.3792
0.00278612	33.4757
0.00280221	33.5725
0.00281838	33.6696
0.00283465	33.7669
0.00285102	33.8645
0.00286748	33.9624
0.00288403	34.0606
0.00290068	34.1591
0.00291743	34.2578
0.00293427	34.3569
0.00295121	34.4562
0.00296825	34.5558
0.00298538	34.6557
0.00300262	34.7559
0.00301995	34.8564
0.00303739	34.9571
0.00305492	35.0582
0.00307256	35.1595
0.0030903	35.2612
0.00310814	35.3631
0.00312608	35.4653
0.00314413	35.5678
0.00316228	35.6706
0.00318053	35.7737
0.0031989	35.8771
0.00321736	35.9808
0.00323594	36.0848
0.00325462	36.1891
0.00327341	36.2937
0.0032923	36.3987
0.00331131	36.5039
0.00333043	36.6094
0.00334965	36.7152
0.00336899	36.8213
0.00338844	36.9277
0.003408	37.0345
0.00342768	37.1415
0.00344747	37.2488
0.00346737	37.3565
0.00348739	37.4645
0.00350752	37.5727
0.00352777	37.6813
0.00354813	37.7902
0.00356862	37.8995
0.00358922	38.009
0.00360994	38.1188
