E [MeV]	dEdx [keV/microm]
0.001	28.7795
0.00100577	28.863
0.00101158	28.9468
0.00101742	29.0309
0.00102329	29.1152
0.0010292	29.1997
0.00103514	29.2845
0.00104112	29.3695
0.00104713	29.4548
0.00105317	29.5403
0.00105925	29.626
0.00106537	29.712
0.00107152	29.7983
0.00107771	29.8848
0.00108393	29.9715
0.00109018	30.0585
0.00109648	30.1457
0.00110281	30.2332
0.00110917	30.321
0.00111558	30.409
0.00112202	30.4973
0.0011285	30.5858
0.00113501	30.6745
0.00114156	30.7635
0.00114815	30.8528
0.00115478	30.9423
0.00116145	31.0322
0.00116815	31.1222
0.0011749	31.2125
0.00118168	31.3031
0.0011885	31.3939
0.00119536	31.485
0.00120226	31.5764
0.00120921	31.668
0.00121619	31.7599
0.00122321	31.8521
0.00123027	31.9445
0.00123737	32.0371
0.00124451	32.1301
0.0012517	32.2233
0.00125893	32.3168
0.00126619	32.4105
0.0012735	32.5046
0.00128086	32.5989
0.00128825	32.6935
0.00129569	32.7883
0.00130317	32.8834
0.00131069	32.9788
0.00131826	33.0745
0.00132587	33.1704
0.00133352	33.2666
0.00134122	33.3631
0.00134896	33.4599
0.00135675	33.5569
0.00136458	33.6543
0.00137246	33.7519
0.00138038	33.8498
0.00138835	33.9479
0.00139637	34.0464
0.00140443	34.1452
0.00141254	34.2441
0.00142069	34.3435
0.00142889	34.4431
0.00143714	34.543
0.00144544	34.6432
0.00145378	34.7436
0.00146218	34.8444
0.00147062	34.9454
0.00147911	35.0467
0.00148765	35.1483
0.00149624	35.2503
0.00150487	35.3525
0.00151356	35.455
0.0015223	35.5578
0.00153109	35.6609
0.00153993	35.7643
0.00154882	35.868
0.00155776	35.9719
0.00156675	36.0762
0.0015758	36.1809
0.00158489	36.2857
0.00159404	36.3909
0.00160325	36.4964
0.0016125	36.6022
0.00162181	36.7084
0.00163117	36.8147
0.00164059	36.9215
0.00165006	37.0285
0.00165959	37.1358
0.00166917	37.2435
0.0016788	37.3515
0.0016885	37.4597
0.00169824	37.5683
0.00170805	37.6772
0.00171791	37.7864
0.00172783	37.8959
0.0017378	38.0058
0.00174783	38.1159
0.00175792	38.2264
0.00176807	38.3372
0.00177828	38.4483
0.00178855	38.5597
0.00179887	38.6715
0.00180926	38.7835
0.0018197	38.8959
0.00183021	39.0086
0.00184077	39.1217
0.0018514	39.2351
0.00186209	39.3488
0.00187284	39.4628
0.00188365	39.5771
0.00189452	39.6918
0.00190546	39.8068
0.00191646	39.9222
0.00192752	40.0379
0.00193865	40.1539
0.00194984	40.2702
0.0019611	40.3869
0.00197242	40.5039
0.00198381	40.6213
0.00199526	40.739
0.00200678	40.857
0.00201837	40.9754
0.00203002	41.0941
0.00204174	41.2132
0.00205353	41.3326
0.00206538	41.4523
0.0020773	41.5724
0.0020893	41.6928
0.00210136	41.8136
0.00211349	41.9347
0.00212569	42.0562
0.00213796	42.178
0.0021503	42.3002
0.00216272	42.4227
0.0021752	42.5456
0.00218776	42.6689
0.00220039	42.7925
0.00221309	42.9164
0.00222587	43.0407
0.00223872	43.1654
0.00225165	43.2904
0.00226464	43.4158
0.00227772	43.5415
0.00229087	43.6676
0.00230409	43.7941
0.00231739	43.921
0.00233077	44.0481
0.00234423	44.1757
0.00235776	44.3037
0.00237137	44.4319
0.00238506	44.5607
0.00239883	44.6897
0.00241268	44.8191
0.00242661	44.9489
0.00244062	45.0791
0.00245471	45.2096
0.00246888	45.3405
0.00248313	45.4718
0.00249747	45.6035
0.00251189	45.7356
0.00252639	45.868
0.00254097	46.0008
0.00255564	46.134
0.0025704	46.2676
0.00258523	46.4016
0.00260016	46.5359
0.00261517	46.6707
0.00263027	46.8058
0.00264545	46.9413
0.00266073	47.0772
0.00267609	47.2135
0.00269153	47.3502
0.00270707	47.4873
