E [MeV]	dEdx [keV/microm]
0.001	21.6323
0.00100577	21.695
0.00101158	21.7579
0.00101742	21.8209
0.00102329	21.8842
0.0010292	21.9476
0.00103514	22.0112
0.00104112	22.075
0.00104713	22.139
0.00105317	22.2031
0.00105925	22.2674
0.00106537	22.332
0.00107152	22.3967
0.00107771	22.4616
0.00108393	22.5267
0.00109018	22.592
0.00109648	22.6574
0.00110281	22.723
0.00110917	22.7889
0.00111558	22.8549
0.00112202	22.9211
0.0011285	22.9876
0.00113501	23.0542
0.00114156	23.1209
0.00114815	23.188
0.00115478	23.2551
0.00116145	23.3225
0.00116815	23.3901
0.0011749	23.4578
0.00118168	23.5258
0.0011885	23.5939
0.00119536	23.6623
0.00120226	23.7308
0.00120921	23.7995
0.00121619	23.8685
0.00122321	23.9376
0.00123027	24.007
0.00123737	24.0765
0.00124451	24.1463
0.0012517	24.2162
0.00125893	24.2863
0.00126619	24.3567
0.0012735	24.4272
0.00128086	24.498
0.00128825	24.569
0.00129569	24.6401
0.00130317	24.7115
0.00131069	24.783
0.00131826	24.8548
0.00132587	24.9268
0.00133352	24.999
0.00134122	25.0714
0.00134896	25.144
0.00135675	25.2168
0.00136458	25.2898
0.00137246	25.3631
0.00138038	25.4365
0.00138835	25.5101
0.00139637	25.5841
0.00140443	25.6581
0.00141254	25.7324
0.00142069	25.8069
0.00142889	25.8817
0.00143714	25.9566
0.00144544	26.0318
0.00145378	26.1071
0.00146218	26.1827
0.00147062	26.2585
0.00147911	26.3346
0.00148765	26.4108
0.00149624	26.4873
0.00150487	26.564
0.00151356	26.6409
0.0015223	26.718
0.00153109	26.7953
0.00153993	26.8729
0.00154882	26.9507
0.00155776	27.0288
0.00156675	27.107
0.0015758	27.1855
0.00158489	27.2642
0.00159404	27.3431
0.00160325	27.4223
0.0016125	27.5017
0.00162181	27.5813
0.00163117	27.6611
0.00164059	27.7412
0.00165006	27.8215
0.00165959	27.902
0.00166917	27.9828
0.0016788	28.0638
0.0016885	28.145
0.00169824	28.2265
0.00170805	28.3082
0.00171791	28.3901
0.00172783	28.4723
0.0017378	28.5547
0.00174783	28.6374
0.00175792	28.7202
0.00176807	28.8034
0.00177828	28.8867
0.00178855	28.9703
0.00179887	29.0542
0.00180926	29.1383
0.0018197	29.2226
0.00183021	29.3072
0.00184077	29.392
0.0018514	29.477
0.00186209	29.5623
0.00187284	29.6479
0.00188365	29.7337
