Stopping power dEdx from Ionisation for Mg24[0.0] Z = 12 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	55.1043
0.00100577	55.2631
0.00101158	55.4224
0.00101742	55.5822
0.00102329	55.7424
0.0010292	55.903
0.00103514	56.0642
0.00104112	56.2258
0.00104713	56.3878
0.00105317	56.5504
0.00105925	56.7134
0.00106537	56.8768
0.00107152	57.0408
0.00107771	57.2052
0.00108393	57.3701
0.00109018	57.5354
0.00109648	57.7013
0.00110281	57.8676
0.00110917	58.0344
0.00111558	58.2017
0.00112202	58.3694
0.0011285	58.5377
0.00113501	58.7064
0.00114156	58.8756
0.00114815	59.0453
0.00115478	59.2155
0.00116145	59.3862
0.00116815	59.5574
0.0011749	59.729
0.00118168	59.9012
0.0011885	60.0739
0.00119536	60.247
0.00120226	60.4207
0.00120921	60.5948
0.00121619	60.7695
0.00122321	60.9446
0.00123027	61.1203
0.00123737	61.2965
0.00124451	61.4732
0.0012517	61.6503
0.00125893	61.828
0.00126619	62.0063
0.0012735	62.185
0.00128086	62.3642
0.00128825	62.544
0.00129569	62.7242
0.00130317	62.905
0.00131069	63.0864
0.00131826	63.2682
0.00132587	63.4506
0.00133352	63.6335
0.00134122	63.8169
0.00134896	64.0008
0.00135675	64.1853
0.00136458	64.3703
0.00137246	64.5558
0.00138038	64.7419
0.00138835	64.9285
0.00139637	65.1157
0.00140443	65.3034
0.00141254	65.4916
0.00142069	65.6804
0.00142889	65.8697
0.00143714	66.0595
0.00144544	66.2499
0.00145378	66.4409
0.00146218	66.6324
0.00147062	66.8245
0.00147911	67.0171
0.00148765	67.2102
0.00149624	67.404
0.00150487	67.5983
0.00151356	67.7931
0.0015223	67.9885
0.00153109	68.1845
0.00153993	68.381
0.00154882	68.5781
0.00155776	68.7758
0.00156675	68.974
0.0015758	69.1728
0.00158489	69.3722
0.00159404	69.5722
0.00160325	69.7727
0.0016125	69.9738
0.00162181	70.1755
0.00163117	70.3778
0.00164059	70.5806
0.00165006	70.7841
0.00165959	70.9881
0.00166917	71.1927
0.0016788	71.3979
0.0016885	71.6037
0.00169824	71.8101
0.00170805	72.0171
0.00171791	72.2247
0.00172783	72.4328
0.0017378	72.6416
0.00174783	72.851
0.00175792	73.061
0.00176807	73.2716
0.00177828	73.4828
0.00178855	73.6946
0.00179887	73.907
0.00180926	74.12
0.0018197	74.3337
0.00183021	74.5479
0.00184077	74.7628
0.0018514	74.9783
0.00186209	75.1944
0.00187284	75.4111
0.00188365	75.6285
0.00189452	75.8465
0.00190546	76.0651
0.00191646	76.2844
0.00192752	76.5042
0.00193865	76.7247
0.00194984	76.9459
0.0019611	77.1677
0.00197242	77.3901
0.00198381	77.6132
0.00199526	77.8369
0.00200678	78.0612
0.00201837	78.2862
0.00203002	78.5119
0.00204174	78.7382
0.00205353	78.9652
0.00206538	79.1928
0.0020773	79.421
0.0020893	79.6499
0.00210136	79.8795
0.00211349	80.1098
0.00212569	80.3407
0.00213796	80.5722
0.0021503	80.8045
0.00216272	81.0374
0.0021752	81.271
0.00218776	81.5052
0.00220039	81.7402
0.00221309	81.9758
0.00222587	82.212
0.00223872	82.449
0.00225165	82.6867
0.00226464	82.925
0.00227772	83.164
0.00229087	83.4037
0.00230409	83.6441
0.00231739	83.8852
0.00233077	84.127
0.00234423	84.3695
0.00235776	84.6127
0.00237137	84.8566
0.00238506	85.1012
0.00239883	85.3465
0.00241268	85.5925
0.00242661	85.8392
0.00244062	86.0866
0.00245471	86.3347
0.00246888	86.5836
0.00248313	86.8331
0.00249747	87.0834
0.00251189	87.3344
0.00252639	87.5862
0.00254097	87.8386
0.00255564	88.0918
0.0025704	88.3457
0.00258523	88.6004
0.00260016	88.8557
0.00261517	89.1119
0.00263027	89.3687
0.00264545	89.6263
0.00266073	89.8846
0.00267609	90.1437
0.00269153	90.4035
0.00270707	90.6641
0.0027227	90.9255
0.00273842	91.1875
0.00275423	91.4504
0.00277013	91.714
0.00278612	91.9783
0.00280221	92.2434
0.00281838	92.5093
0.00283465	92.776
0.00285102	93.0434
0.00286748	93.3116
0.00288403	93.5805
0.00290068	93.8503
0.00291743	94.1208
0.00293427	94.3921
0.00295121	94.6641
0.00296825	94.937
0.00298538	95.2106
0.00300262	95.4851
0.00301995	95.7603
0.00303739	96.0363
0.00305492	96.3131
0.00307256	96.5907
0.0030903	96.8691
0.00310814	97.1484
0.00312608	97.4284
0.00314413	97.7092
0.00316228	97.9908
0.00318053	98.2733
0.0031989	98.5565
0.00321736	98.8406
0.00323594	99.1255
0.00325462	99.4112
0.00327341	99.6978
0.0032923	99.9851
0.00331131	100.273
0.00333043	100.562
0.00334965	100.852
0.00336899	101.143
0.00338844	101.434
0.003408	101.727
0.00342768	102.02
0.00344747	102.314
0.00346737	102.609
0.00348739	102.905
0.00350752	103.201
0.00352777	103.499
0.00354813	103.797
0.00356862	104.096
0.00358922	104.396
0.00360994	104.697
0.00363078	104.999
0.00365174	105.302
0.00367282	105.605
0.00369403	105.91
0.00371535	106.215
0.0037368	106.521
0.00375837	106.828
0.00378007	107.136
0.00380189	107.445
0.00382384	107.755
0.00384592	108.065
0.00386812	108.377
0.00389045	108.689
0.00391291	109.002
0.0039355	109.316
0.00395822	109.632
0.00398107	109.948
0.00400405	110.264
0.00402717	110.582
0.00405042	110.901
0.0040738	111.221
0.00409732	111.541
0.00412098	111.863
0.00414477	112.185
0.00416869	112.509
0.00419276	112.833
0.00421697	113.158
0.00424131	113.484
0.0042658	113.811
0.00429042	114.139
0.00431519	114.468
0.0043401	114.798
0.00436516	115.129
0.00439036	115.461
0.0044157	115.794
0.0044412	116.128
0.00446684	116.462
0.00449262	116.798
0.00451856	117.135
0.00454465	117.472
0.00457088	117.811
0.00459727	118.15
0.00462381	118.491
0.0046505	118.833
0.00467735	119.175
0.00470435	119.519
0.00473151	119.863
0.00475883	120.209
0.0047863	120.555
0.00481393	120.903
0.00484172	121.251
0.00486968	121.601
0.00489779	121.951
0.00492606	122.303
0.0049545	122.655
0.0049831	123.009
0.00501187	123.363
0.00504081	123.719
0.00506991	124.075
0.00509918	124.433
0.00512861	124.792
0.00515822	125.151
0.005188	125.512
0.00521795	125.874
0.00524807	126.237
0.00527837	126.601
0.00530884	126.965
0.00533949	127.331
0.00537032	127.698
0.00540132	128.066
0.0054325	128.436
0.00546387	128.806
0.00549541	129.177
0.00552713	129.549
0.00555904	129.923
0.00559114	130.297
0.00562341	130.673
0.00565588	131.05
0.00568853	131.427
0.00572137	131.806
0.0057544	132.186
0.00578762	132.567
0.00582103	132.949
0.00585464	133.332
0.00588844	133.717
0.00592243	134.102
0.00595662	134.489
0.00599101	134.876
0.0060256	135.256
0.00606038	135.636
0.00609537	136.018
0.00613056	136.401
0.00616595	136.784
0.00620155	137.169
0.00623735	137.555
0.00627336	137.942
0.00630957	138.33
0.006346	138.72
0.00638263	139.11
0.00641948	139.502
0.00645654	139.894
0.00649382	140.288
0.00653131	140.683
0.00656901	141.079
0.00660693	141.476
0.00664508	141.875
0.00668344	142.274
0.00672202	142.675
0.00676083	143.077
0.00679986	143.48
0.00683912	143.884
0.0068786	144.289
0.00691831	144.695
0.00695825	145.103
0.00699842	145.512
0.00703882	145.922
0.00707946	146.333
0.00712033	146.745
0.00716143	147.159
0.00720278	147.574
0.00724436	147.99
0.00728618	148.407
0.00732825	148.825
0.00737055	149.245
0.0074131	149.665
0.0074559	150.087
0.00749894	150.511
0.00754223	150.935
0.00758578	151.361
0.00762957	151.787
0.00767361	152.215
0.00771792	152.645
0.00776247	153.075
0.00780728	153.507
0.00785236	153.94
0.00789769	154.375
0.00794328	154.81
0.00798914	155.247
0.00803526	155.685
0.00808165	156.124
0.00812831	156.565
0.00817523	157.007
0.00822243	157.45
0.0082699	157.894
0.00831764	158.34
0.00836566	158.787
0.00841395	159.235
0.00846253	159.685
0.00851138	160.136
0.00856052	160.588
0.00860994	161.042
0.00865964	161.496
0.00870964	161.953
0.00875992	162.41
0.00881049	162.869
0.00886135	163.329
0.00891251	163.79
0.00896396	164.253
0.00901571	164.717
0.00906776	165.183
0.00912011	165.649
