Stopping power dEdx from Ionisation for Mg24[0.0] Z = 12 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	22.9985
0.00100577	23.0652
0.00101158	23.132
0.00101742	23.1991
0.00102329	23.2663
0.0010292	23.3338
0.00103514	23.4014
0.00104112	23.4693
0.00104713	23.5373
0.00105317	23.6055
0.00105925	23.674
0.00106537	23.7426
0.00107152	23.8114
0.00107771	23.8804
0.00108393	23.9496
0.00109018	24.0191
0.00109648	24.0887
0.00110281	24.1585
0.00110917	24.2285
0.00111558	24.2987
0.00112202	24.3692
0.0011285	24.4398
0.00113501	24.5106
0.00114156	24.5817
0.00114815	24.6529
0.00115478	24.7243
0.00116145	24.796
0.00116815	24.8678
0.0011749	24.9399
0.00118168	25.0122
0.0011885	25.0847
0.00119536	25.1573
0.00120226	25.2302
0.00120921	25.3034
0.00121619	25.3767
0.00122321	25.4502
0.00123027	25.5239
0.00123737	25.5979
0.00124451	25.6721
0.0012517	25.7465
0.00125893	25.821
0.00126619	25.8959
0.0012735	25.9709
0.00128086	26.0461
0.00128825	26.1216
0.00129569	26.1973
0.00130317	26.2732
0.00131069	26.3493
0.00131826	26.4256
0.00132587	26.5022
0.00133352	26.5789
0.00134122	26.6559
0.00134896	26.7332
0.00135675	26.8106
0.00136458	26.8883
0.00137246	26.9661
0.00138038	27.0443
0.00138835	27.1226
0.00139637	27.2012
0.00140443	27.28
0.00141254	27.359
0.00142069	27.4382
0.00142889	27.5177
0.00143714	27.5974
0.00144544	27.6773
0.00145378	27.7575
0.00146218	27.8379
0.00147062	27.9185
0.00147911	27.9994
0.00148765	28.0804
0.00149624	28.1618
0.00150487	28.2433
0.00151356	28.3251
0.0015223	28.4072
0.00153109	28.4894
0.00153993	28.5719
0.00154882	28.6547
0.00155776	28.7376
0.00156675	28.8209
0.0015758	28.9043
0.00158489	28.988
0.00159404	29.072
0.00160325	29.1561
0.0016125	29.2406
0.00162181	29.3252
0.00163117	29.4101
0.00164059	29.4953
0.00165006	29.5807
0.00165959	29.6663
0.00166917	29.7522
0.0016788	29.8384
0.0016885	29.9248
0.00169824	30.0114
0.00170805	30.0983
0.00171791	30.1854
0.00172783	30.2728
0.0017378	30.3605
0.00174783	30.4484
0.00175792	30.5365
0.00176807	30.6249
0.00177828	30.7136
0.00178855	30.8025
0.00179887	30.8917
0.00180926	30.9811
0.0018197	31.0708
0.00183021	31.1607
0.00184077	31.2509
0.0018514	31.3414
0.00186209	31.4321
0.00187284	31.5231
0.00188365	31.6144
0.00189452	31.7059
0.00190546	31.7976
0.00191646	31.8897
0.00192752	31.982
0.00193865	32.0745
0.00194984	32.1674
0.0019611	32.2605
0.00197242	32.3539
0.00198381	32.4475
0.00199526	32.5414
0.00200678	32.6356
0.00201837	32.73
0.00203002	32.8248
0.00204174	32.9198
0.00205353	33.015
0.00206538	33.1106
0.0020773	33.2064
0.0020893	33.3025
0.00210136	33.3989
0.00211349	33.4955
0.00212569	33.5925
0.00213796	33.6897
0.0021503	33.7872
0.00216272	33.885
0.0021752	33.983
0.00218776	34.0813
0.00220039	34.18
0.00221309	34.2789
0.00222587	34.3781
0.00223872	34.4775
0.00225165	34.5773
0.00226464	34.6774
0.00227772	34.7777
0.00229087	34.8783
0.00230409	34.9792
