Stopping power dEdx from Ionisation for Mn55[0.0] Z = 25 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	30.3568
0.00100577	30.445
0.00101158	30.5334
0.00101742	30.6221
0.00102329	30.711
0.0010292	30.8002
0.00103514	30.8897
0.00104112	30.9794
0.00104713	31.0693
0.00105317	31.1596
0.00105925	31.25
0.00106537	31.3408
0.00107152	31.4318
0.00107771	31.5231
0.00108393	31.6146
0.00109018	31.7064
0.00109648	31.7985
0.00110281	31.8908
0.00110917	31.9834
0.00111558	32.0763
0.00112202	32.1694
0.0011285	32.2628
0.00113501	32.3565
0.00114156	32.4504
0.00114815	32.5446
0.00115478	32.6391
0.00116145	32.7338
0.00116815	32.8289
0.0011749	32.9242
0.00118168	33.0197
0.0011885	33.1156
0.00119536	33.2117
0.00120226	33.3081
0.00120921	33.4048
0.00121619	33.5018
0.00122321	33.599
0.00123027	33.6965
0.00123737	33.7943
0.00124451	33.8924
0.0012517	33.9908
0.00125893	34.0894
0.00126619	34.1884
0.0012735	34.2876
0.00128086	34.3871
0.00128825	34.4869
0.00129569	34.5869
0.00130317	34.6873
0.00131069	34.788
0.00131826	34.8889
0.00132587	34.9901
0.00133352	35.0917
0.00134122	35.1935
0.00134896	35.2956
0.00135675	35.398
0.00136458	35.5007
0.00137246	35.6037
0.00138038	35.707
0.00138835	35.8106
0.00139637	35.9145
0.00140443	36.0187
0.00141254	36.1232
0.00142069	36.228
0.00142889	36.3331
0.00143714	36.4385
0.00144544	36.5442
0.00145378	36.6502
0.00146218	36.7565
0.00147062	36.8631
0.00147911	36.9701
0.00148765	37.0773
0.00149624	37.1849
0.00150487	37.2927
0.00151356	37.4009
0.0015223	37.5094
0.00153109	37.6181
0.00153993	37.7272
0.00154882	37.8367
0.00155776	37.9464
0.00156675	38.0564
0.0015758	38.1668
0.00158489	38.2775
0.00159404	38.3885
0.00160325	38.4998
0.0016125	38.6115
0.00162181	38.7234
0.00163117	38.8357
0.00164059	38.9483
0.00165006	39.0613
0.00165959	39.1745
0.00166917	39.2881
0.0016788	39.4021
0.0016885	39.5163
0.00169824	39.6309
0.00170805	39.7458
0.00171791	39.861
0.00172783	39.9766
0.0017378	40.0925
0.00174783	40.2087
0.00175792	40.3253
0.00176807	40.4422
0.00177828	40.5594
0.00178855	40.677
0.00179887	40.795
0.00180926	40.9132
0.0018197	41.0318
0.00183021	41.1508
0.00184077	41.27
0.0018514	41.3897
0.00186209	41.5096
0.00187284	41.63
0.00188365	41.7506
0.00189452	41.8717
0.00190546	41.993
0.00191646	42.1147
0.00192752	42.2368
0.00193865	42.3592
0.00194984	42.482
0.0019611	42.6051
0.00197242	42.7286
0.00198381	42.8524
0.00199526	42.9766
0.00200678	43.1012
0.00201837	43.2261
0.00203002	43.3513
0.00204174	43.477
0.00205353	43.603
0.00206538	43.7293
0.0020773	43.856
0.0020893	43.9831
