Stopping power dEdx from Ionisation for Mn55[0.0] Z = 25 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	67.2352
0.00100577	67.429
0.00101158	67.6234
0.00101742	67.8183
0.00102329	68.0138
0.0010292	68.2098
0.00103514	68.4064
0.00104112	68.6036
0.00104713	68.8014
0.00105317	68.9997
0.00105925	69.1986
0.00106537	69.398
0.00107152	69.598
0.00107771	69.7986
0.00108393	69.9998
0.00109018	70.2016
0.00109648	70.4039
0.00110281	70.6069
0.00110917	70.8104
0.00111558	71.0145
0.00112202	71.2192
0.0011285	71.4245
0.00113501	71.6303
0.00114156	71.8368
0.00114815	72.0439
0.00115478	72.2515
0.00116145	72.4598
0.00116815	72.6686
0.0011749	72.8781
0.00118168	73.0882
0.0011885	73.2988
0.00119536	73.5101
0.00120226	73.722
0.00120921	73.9345
0.00121619	74.1476
0.00122321	74.3613
0.00123027	74.5756
0.00123737	74.7906
0.00124451	75.0062
0.0012517	75.2224
0.00125893	75.4392
0.00126619	75.6566
0.0012735	75.8747
0.00128086	76.0934
0.00128825	76.3127
0.00129569	76.5327
0.00130317	76.7533
0.00131069	76.9745
0.00131826	77.1964
0.00132587	77.4189
0.00133352	77.6421
0.00134122	77.8658
0.00134896	78.0903
0.00135675	78.3154
0.00136458	78.5411
0.00137246	78.7675
0.00138038	78.9945
0.00138835	79.2222
0.00139637	79.4506
0.00140443	79.6796
0.00141254	79.9092
0.00142069	80.1396
0.00142889	80.3706
0.00143714	80.6022
0.00144544	80.8345
0.00145378	81.0675
0.00146218	81.3012
0.00147062	81.5355
0.00147911	81.7706
0.00148765	82.0063
0.00149624	82.2426
0.00150487	82.4797
0.00151356	82.7174
0.0015223	82.9558
0.00153109	83.195
0.00153993	83.4348
0.00154882	83.6752
0.00155776	83.9164
0.00156675	84.1583
0.0015758	84.4009
0.00158489	84.6442
0.00159404	84.8881
0.00160325	85.1328
0.0016125	85.3782
0.00162181	85.6243
0.00163117	85.8711
0.00164059	86.1186
0.00165006	86.3668
0.00165959	86.6158
0.00166917	86.8654
0.0016788	87.1158
0.0016885	87.3669
0.00169824	87.6187
0.00170805	87.8713
0.00171791	88.1246
0.00172783	88.3786
0.0017378	88.6333
0.00174783	88.8888
0.00175792	89.145
0.00176807	89.402
0.00177828	89.6596
0.00178855	89.9181
0.00179887	90.1773
0.00180926	90.4372
0.0018197	90.6979
0.00183021	90.9593
0.00184077	91.2215
0.0018514	91.4844
0.00186209	91.7481
0.00187284	92.0125
0.00188365	92.2778
0.00189452	92.5437
0.00190546	92.8105
0.00191646	93.078
0.00192752	93.3463
0.00193865	93.6153
0.00194984	93.8852
0.0019611	94.1558
0.00197242	94.4272
0.00198381	94.6993
0.00199526	94.9723
0.00200678	95.2461
0.00201837	95.5206
0.00203002	95.7959
0.00204174	96.072
0.00205353	96.349
0.00206538	96.6267
0.0020773	96.9052
0.0020893	97.1845
0.00210136	97.4646
0.00211349	97.7456
0.00212569	98.0273
0.00213796	98.3098
0.0021503	98.5932
0.00216272	98.8774
0.0021752	99.1624
0.00218776	99.4482
0.00220039	99.7349
0.00221309	100.022
0.00222587	100.311
0.00223872	100.6
0.00225165	100.89
0.00226464	101.181
0.00227772	101.472
0.00229087	101.765
0.00230409	102.058
0.00231739	102.352
0.00233077	102.647
0.00234423	102.943
0.00235776	103.24
0.00237137	103.537
0.00238506	103.836
0.00239883	104.135
0.00241268	104.435
0.00242661	104.736
0.00244062	105.038
0.00245471	105.341
0.00246888	105.645
0.00248313	105.949
0.00249747	106.254
0.00251189	106.561
0.00252639	106.868
0.00254097	107.176
0.00255564	107.485
0.0025704	107.795
0.00258523	108.105
0.00260016	108.417
0.00261517	108.729
0.00263027	109.043
0.00264545	109.357
0.00266073	109.672
0.00267609	109.988
0.00269153	110.305
0.00270707	110.623
0.0027227	110.942
0.00273842	111.262
0.00275423	111.583
0.00277013	111.904
0.00278612	112.227
0.00280221	112.55
0.00281838	112.875
0.00283465	113.2
0.00285102	113.526
0.00286748	113.854
0.00288403	114.182
0.00290068	114.511
0.00291743	114.841
0.00293427	115.172
0.00295121	115.504
0.00296825	115.837
0.00298538	116.171
0.00300262	116.506
0.00301995	116.841
0.00303739	117.178
0.00305492	117.516
0.00307256	117.855
0.0030903	118.194
0.00310814	118.535
0.00312608	118.877
0.00314413	119.219
0.00316228	119.563
0.00318053	119.908
0.0031989	120.253
0.00321736	120.6
0.00323594	120.948
0.00325462	121.296
0.00327341	121.646
0.0032923	121.996
0.00331131	122.348
0.00333043	122.701
0.00334965	123.054
0.00336899	123.409
0.00338844	123.765
0.003408	124.121
0.00342768	124.479
0.00344747	124.838
0.00346737	125.198
0.00348739	125.559
0.00350752	125.921
0.00352777	126.284
0.00354813	126.648
0.00356862	127.013
0.00358922	127.379
0.00360994	127.746
0.00363078	128.114
0.00365174	128.483
0.00367282	128.854
0.00369403	129.225
0.00371535	129.598
0.0037368	129.971
0.00375837	130.346
0.00378007	130.721
0.00380189	131.098
0.00382384	131.476
0.00384592	131.855
0.00386812	132.235
0.00389045	132.616
0.00391291	132.999
0.0039355	133.382
0.00395822	133.766
0.00398107	134.152
0.00400405	134.539
0.00402717	134.926
0.00405042	135.315
0.0040738	135.705
0.00409732	136.097
0.00412098	136.489
0.00414477	136.882
0.00416869	137.277
0.00419276	137.672
0.00421697	138.069
0.00424131	138.467
0.0042658	138.866
0.00429042	139.267
0.00431519	139.668
0.0043401	140.071
0.00436516	140.474
0.00439036	140.879
0.0044157	141.285
0.0044412	141.693
0.00446684	142.101
0.00449262	142.511
0.00451856	142.921
0.00454465	143.333
0.00457088	143.746
0.00459727	144.161
0.00462381	144.576
0.0046505	144.993
0.00467735	145.411
0.00470435	145.83
0.00473151	146.25
0.00475883	146.672
0.0047863	147.095
0.00481393	147.519
0.00484172	147.944
0.00486968	148.37
0.00489779	148.798
0.00492606	149.227
0.0049545	149.657
0.0049831	150.088
0.00501187	150.521
0.00504081	150.955
0.00506991	151.39
0.00509918	151.826
0.00512861	152.264
0.00515822	152.703
0.005188	153.143
0.00521795	153.584
0.00524807	154.027
0.00527837	154.471
0.00530884	154.916
0.00533949	155.363
0.00537032	155.811
0.00540132	156.26
0.0054325	156.71
0.00546387	157.162
0.00549541	157.615
0.00552713	158.069
0.00555904	158.525
0.00559114	158.982
0.00562341	159.44
0.00565588	159.899
0.00568853	160.36
0.00572137	160.823
0.0057544	161.286
0.00578762	161.751
0.00582103	162.217
0.00585464	162.685
0.00588844	163.154
0.00592243	163.624
0.00595662	164.096
0.00599101	164.569
0.0060256	165.043
0.00606038	165.519
0.00609537	165.996
0.00613056	166.474
0.00616595	166.954
0.00620155	167.435
0.00623735	167.918
0.00627336	168.402
0.00630957	168.887
0.006346	169.374
0.00638263	169.862
0.00641948	170.352
0.00645654	170.843
0.00649382	171.335
0.00653131	171.829
0.00656901	172.324
0.00660693	172.821
0.00664508	173.319
0.00668344	173.819
0.00672202	174.32
0.00676083	174.822
0.00679986	175.326
0.00683912	175.832
0.0068786	176.338
0.00691831	176.847
0.00695825	177.356
0.00699842	177.868
0.00703882	178.38
0.00707946	178.895
0.00712033	179.41
0.00716143	179.927
0.00720278	180.446
0.00724436	180.966
0.00728618	181.488
0.00732825	182.011
0.00737055	182.535
0.0074131	183.061
0.0074559	183.589
0.00749894	184.118
0.00754223	184.649
0.00758578	185.181
0.00762957	185.715
0.00767361	186.25
0.00771792	186.787
0.00776247	187.326
0.00780728	187.865
0.00785236	188.407
0.00789769	188.95
0.00794328	189.495
0.00798914	190.041
0.00803526	190.589
0.00808165	191.138
0.00812831	191.689
0.00817523	192.241
0.00822243	192.796
0.0082699	193.351
0.00831764	193.909
0.00836566	194.467
0.00841395	195.028
0.00846253	195.59
0.00851138	196.154
0.00856052	196.719
0.00860994	197.286
0.00865964	197.855
0.00870964	198.425
0.00875992	198.997
0.00881049	199.571
0.00886135	200.146
0.00891251	200.723
0.00896396	201.301
0.00901571	201.882
0.00906776	202.464
0.00912011	203.047
0.00917276	203.632
0.00922571	204.219
0.00927897	204.808
0.00933254	205.398
0.00938642	205.99
0.00944061	206.584
0.00949511	207.18
0.00954993	207.777
0.00960506	208.376
0.00966051	208.976
0.00971628	209.579
0.00977237	210.183
0.00982879	210.789
0.00988553	211.396
0.0099426	212.005
0.01	212.617
0.0100577	213.229
0.0101158	213.844
0.0101742	214.46
0.0102329	215.078
0.010292	215.698
0.0103514	216.32
0.0104112	216.944
0.0104713	217.569
0.0105317	218.196
0.0105925	218.825
0.0106537	219.456
0.0107152	220.088
0.0107771	220.723
0.0108393	221.359
0.0109018	221.997
0.0109648	222.637
0.0110281	223.279
0.0110917	223.922
0.0111558	224.568
0.0112202	225.215
0.011285	225.864
0.0113501	226.515
0.0114156	227.168
0.0114815	227.823
0.0115478	228.479
0.0116145	229.138
0.0116815	229.798
0.011749	230.461
0.0118168	231.125
0.011885	231.791
0.0119536	232.459
0.0120226	233.129
0.0120921	233.801
0.0121619	234.475
0.0122321	235.151
0.0123027	235.829
0.0123737	236.509
0.0124451	237.19
0.012517	237.874
0.0125893	238.56
0.0126619	239.247
0.012735	239.937
0.0128086	240.628
0.0128825	241.322
0.0129569	242.018
0.0130317	242.715
0.0131069	243.415
0.0131826	244.116
0.0132587	244.82
0.0133352	245.526
0.0134122	246.233
0.0134896	246.943
0.0135675	247.655
0.0136458	248.369
0.0137246	249.085
0.0138038	249.786
0.0138835	250.488
0.0139637	251.193
0.0140443	251.899
0.0141254	252.608
0.0142069	253.319
0.0142889	254.032
0.0143714	254.746
0.0144544	255.463
0.0145378	256.182
0.0146218	256.903
0.0147062	257.626
0.0147911	258.351
0.0148765	259.079
0.0149624	259.808
0.0150487	260.539
0.0151356	261.273
0.015223	262.009
0.0153109	262.746
0.0153993	263.486
0.0154882	264.228
0.0155776	264.973
0.0156675	265.719
0.015758	266.467
0.0158489	267.218
0.0159404	267.971
0.0160325	268.726
0.016125	269.483
0.0162181	270.242
0.0163117	271.004
0.0164059	271.768
0.0165006	272.533
0.0165959	273.302
0.0166917	274.072
0.016788	274.844
0.016885	275.619
0.0169824	276.396
0.0170805	277.176
0.0171791	277.957
0.0172783	278.741
0.017378	279.527
0.0174783	280.315
0.0175792	281.106
0.0176807	281.899
0.0177828	282.694
0.0178855	283.491
0.0179887	284.291
0.0180926	285.093
0.018197	285.897
0.0183021	286.704
0.0184077	287.513
0.018514	288.324
0.0186209	289.138
0.0187284	289.954
0.0188365	290.773
0.0189452	291.593
0.0190546	292.417
0.0191646	293.242
0.0192752	294.07
0.0193865	294.9
0.0194984	295.733
0.019611	296.568
0.0197242	297.406
0.0198381	298.245
0.0199526	299.088
0.0200678	299.933
0.0201837	300.78
0.0203002	301.63
0.0204174	302.482
0.0205353	303.336
0.0206538	304.193
0.020773	305.053
0.020893	305.915
0.0210136	306.78
0.0211349	307.647
0.0212569	308.516
0.0213796	309.388
0.021503	310.263
0.0216272	311.14
0.021752	312.02
0.0218776	312.902
0.0220039	313.787
0.0221309	314.674
0.0222587	315.564
0.0223872	316.456
0.0225165	317.351
0.0226464	318.249
0.0227772	319.149
0.0229087	320.052
0.0230409	320.958
0.0231739	321.866
0.0233077	322.776
0.0234423	323.69
0.0235776	324.606
0.0237137	325.524
0.0238506	326.446
0.0239883	327.37
0.0241268	328.296
0.0242661	329.226
0.0244062	330.158
0.0245471	331.092
0.0246888	332.03
0.0248313	332.97
0.0249747	333.913
0.0251189	334.859
0.0252639	335.807
0.0254097	336.758
0.0255564	337.712
0.025704	338.669
0.0258523	339.628
0.0260016	340.59
0.0261517	341.555
0.0263027	342.523
0.0264545	343.494
0.0266073	344.467
0.0267609	345.443
0.0269153	346.422
0.0270707	347.404
0.027227	348.389
0.0273842	349.377
0.0275423	350.367
0.0277013	351.361
0.0278612	352.357
0.0280221	353.356
0.0281838	354.358
0.0283465	355.363
0.0285102	356.371
0.0286748	357.382
0.0288403	358.395
0.0290068	359.412
0.0291743	360.432
0.0293427	361.454
0.0295121	362.48
0.0296825	363.508
0.0298538	364.54
0.0300262	365.574
0.0301995	366.612
0.0303739	367.653
0.0305492	368.696
0.0307256	369.743
0.030903	370.792
0.0310814	371.845
0.0312608	372.901
0.0314413	373.96
0.0316228	375.022
0.0318053	376.087
0.031989	377.155
0.0321736	378.226
0.0323594	379.3
0.0325462	380.378
0.0327341	381.458
0.032923	382.542
0.0331131	383.629
0.0333043	384.719
0.0334965	385.812
0.0336899	386.909
0.0338844	388.008
0.03408	389.111
0.0342768	390.217
0.0344747	391.326
0.0346737	392.439
0.0348739	393.554
0.0350752	394.673
0.0352777	395.796
0.0354813	396.921
0.0356862	398.05
0.0358922	399.182
0.0360994	400.317
0.0363078	401.456
0.0365174	402.598
0.0367282	403.743
0.0369403	404.892
0.0371535	406.044
0.037368	407.199
0.0375837	408.358
0.0378007	409.52
0.0380189	410.685
0.0382384	411.854
0.0384592	413.026
0.0386812	414.202
0.0389045	415.381
0.0391291	416.564
0.039355	417.75
0.0395822	418.939
0.0398107	420.132
0.0400405	421.328
0.0402717	422.528
0.0405042	423.732
0.040738	424.939
0.0409732	426.149
0.0412098	427.363
0.0414477	428.58
0.0416869	429.801
0.0419276	431.026
0.0421697	432.254
0.0424131	433.486
0.042658	434.721
0.0429042	435.96
0.0431519	437.203
0.043401	438.449
0.0436516	439.699
0.0439036	440.953
0.044157	442.21
0.044412	443.471
0.0446684	444.735
0.0449262	446.003
0.0451856	447.275
0.0454465	448.551
0.0457088	449.83
0.0459727	451.113
0.0462381	452.4
0.046505	453.691
0.0467735	454.985
0.0470435	456.283
0.0473151	457.585
0.0475883	458.891
0.047863	460.201
0.0481393	461.514
0.0484172	462.831
0.0486968	464.153
0.0489779	465.478
0.0492606	466.806
0.049545	468.139
0.049831	469.476
0.0501187	470.816
0.0504081	472.161
0.0506991	473.509
0.0509918	474.861
0.0512861	476.218
0.0515822	477.578
0.05188	478.942
0.0521795	480.311
0.0524807	481.683
0.0527837	483.059
0.0530884	484.439
0.0533949	485.824
0.0537032	487.212
0.0540132	488.605
0.054325	490.001
0.0546387	491.402
0.0549541	492.705
0.0552713	493.031
0.0555904	493.361
0.0559114	493.694
0.0562341	494.031
0.0565588	494.371
0.0568853	494.715
