Stopping power dEdx from Ionisation for Na23[0.0] Z = 11 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	32.1506
0.00100577	32.244
0.00101158	32.3377
0.00101742	32.4316
0.00102329	32.5259
0.0010292	32.6204
0.00103514	32.7152
0.00104112	32.8102
0.00104713	32.9056
0.00105317	33.0012
0.00105925	33.097
0.00106537	33.1932
0.00107152	33.2896
0.00107771	33.3863
0.00108393	33.4833
0.00109018	33.5806
0.00109648	33.6781
0.00110281	33.776
0.00110917	33.8741
0.00111558	33.9725
0.00112202	34.0712
0.0011285	34.1701
0.00113501	34.2694
0.00114156	34.3689
0.00114815	34.4687
0.00115478	34.5688
0.00116145	34.6692
0.00116815	34.7699
0.0011749	34.8709
0.00118168	34.9722
0.0011885	35.0737
0.00119536	35.1756
0.00120226	35.2777
0.00120921	35.3802
0.00121619	35.4829
0.00122321	35.5859
0.00123027	35.6893
0.00123737	35.7929
0.00124451	35.8968
0.0012517	36.001
0.00125893	36.1056
0.00126619	36.2104
0.0012735	36.3155
0.00128086	36.421
0.00128825	36.5267
0.00129569	36.6327
0.00130317	36.7391
0.00131069	36.8457
0.00131826	36.9527
0.00132587	37.06
0.00133352	37.1675
0.00134122	37.2754
0.00134896	37.3836
0.00135675	37.4921
0.00136458	37.601
0.00137246	37.7101
0.00138038	37.8195
0.00138835	37.9293
0.00139637	38.0394
0.00140443	38.1498
0.00141254	38.2605
0.00142069	38.3716
0.00142889	38.4829
0.00143714	38.5946
0.00144544	38.7066
0.00145378	38.8189
0.00146218	38.9316
0.00147062	39.0445
0.00147911	39.1578
0.00148765	39.2715
0.00149624	39.3854
0.00150487	39.4997
0.00151356	39.6143
0.0015223	39.7292
0.00153109	39.8445
0.00153993	39.9601
0.00154882	40.0761
0.00155776	40.1923
0.00156675	40.3089
0.0015758	40.4259
0.00158489	40.5432
0.00159404	40.6608
0.00160325	40.7787
0.0016125	40.897
0.00162181	41.0157
0.00163117	41.1346
0.00164059	41.254
0.00165006	41.3736
0.00165959	41.4936
0.00166917	41.614
0.0016788	41.7347
0.0016885	41.8558
0.00169824	41.9772
0.00170805	42.0989
0.00171791	42.221
0.00172783	42.3435
0.0017378	42.4663
0.00174783	42.5894
0.00175792	42.713
0.00176807	42.8368
0.00177828	42.9611
0.00178855	43.0856
0.00179887	43.2106
0.00180926	43.3359
0.0018197	43.4616
0.00183021	43.5876
0.00184077	43.714
0.0018514	43.8407
0.00186209	43.9679
0.00187284	44.0954
0.00188365	44.2232
0.00189452	44.3514
0.00190546	44.48
0.00191646	44.609
0.00192752	44.7383
0.00193865	44.868
0.00194984	44.9981
0.0019611	45.1286
0.00197242	45.2594
0.00198381	45.3906
0.00199526	45.5222
0.00200678	45.6542
0.00201837	45.7865
0.00203002	45.9193
0.00204174	46.0524
0.00205353	46.1859
0.00206538	46.3198
0.0020773	46.454
0.0020893	46.5887
0.00210136	46.7237
0.00211349	46.8592
0.00212569	46.995
0.00213796	47.1312
0.0021503	47.2678
0.00216272	47.4048
0.0021752	47.5422
0.00218776	47.68
0.00220039	47.8182
0.00221309	47.9568
0.00222587	48.0958
0.00223872	48.2351
0.00225165	48.3749
0.00226464	48.5151
0.00227772	48.6557
0.00229087	48.7967
0.00230409	48.9381
0.00231739	49.0799
0.00233077	49.2222
0.00234423	49.3648
0.00235776	49.5078
0.00237137	49.6513
0.00238506	49.7952
0.00239883	49.9395
0.00241268	50.0842
0.00242661	50.2293
0.00244062	50.3748
0.00245471	50.5208
0.00246888	50.6671
0.00248313	50.8139
0.00249747	50.9612
0.00251189	51.1088
0.00252639	51.2569
0.00254097	51.4054
0.00255564	51.5543
0.0025704	51.7037
0.00258523	51.8535
0.00260016	52.0037
0.00261517	52.1543
0.00263027	52.3054
0.00264545	52.4569
0.00266073	52.6089
0.00267609	52.7613
0.00269153	52.9141
0.00270707	53.0674
0.0027227	53.2211
0.00273842	53.3753
0.00275423	53.5299
0.00277013	53.6849
0.00278612	53.8404
0.00280221	53.9964
0.00281838	54.1528
0.00283465	54.3096
0.00285102	54.4669
0.00286748	54.6247
0.00288403	54.7829
0.00290068	54.9415
0.00291743	55.1007
0.00293427	55.2602
0.00295121	55.4203
0.00296825	55.5808
0.00298538	55.7417
0.00300262	55.9032
0.00301995	56.065
0.00303739	56.2274
0.00305492	56.3902
0.00307256	56.5535
0.0030903	56.7173
0.00310814	56.8815
0.00312608	57.0462
0.00314413	57.2114
0.00316228	57.3771
0.00318053	57.5432
0.0031989	57.7098
0.00321736	57.8769
0.00323594	58.0445
0.00325462	58.2126
0.00327341	58.3811
0.0032923	58.5502
0.00331131	58.7197
0.00333043	58.8897
0.00334965	59.0602
0.00336899	59.2312
0.00338844	59.4027
0.003408	59.5746
0.00342768	59.7471
0.00344747	59.9201
0.00346737	60.0936
0.00348739	60.2675
0.00350752	60.442
0.00352777	60.617
0.00354813	60.7925
0.00356862	60.9684
0.00358922	61.1449
0.00360994	61.3219
0.00363078	61.4994
0.00365174	61.6775
0.00367282	61.856
0.00369403	62.035
0.00371535	62.2146
0.0037368	62.3947
0.00375837	62.5753
0.00378007	62.7564
0.00380189	62.9381
0.00382384	63.1202
0.00384592	63.3029
0.00386812	63.4861
0.00389045	63.6699
0.00391291	63.8542
0.0039355	64.039
0.00395822	64.2243
0.00398107	64.4102
0.00400405	64.5966
0.00402717	64.7836
0.00405042	64.971
0.0040738	65.1591
0.00409732	65.3476
0.00412098	65.5368
0.00414477	65.7264
0.00416869	65.9166
0.00419276	66.1074
0.00421697	66.2987
0.00424131	66.4905
0.0042658	66.6829
0.00429042	66.8759
0.00431519	67.0694
0.0043401	67.2635
0.00436516	67.4581
0.00439036	67.6533
0.0044157	67.8491
0.0044412	68.0454
0.00446684	68.2423
0.00449262	68.4398
0.00451856	68.6378
0.00454465	68.8364
0.00457088	69.0356
0.00459727	69.2353
0.00462381	69.4356
0.0046505	69.6365
0.00467735	69.838
0.00470435	70.04
0.00473151	70.2427
0.00475883	70.4459
0.0047863	70.6497
0.00481393	70.8541
0.00484172	71.0591
0.00486968	71.2647
0.00489779	71.4708
0.00492606	71.6776
0.0049545	71.885
0.0049831	72.0929
0.00501187	72.3015
0.00504081	72.5106
0.00506991	72.7204
0.00509918	72.9308
0.00512861	73.1417
0.00515822	73.3533
0.005188	73.5655
0.00521795	73.7783
0.00524807	73.9917
0.00527837	74.2057
0.00530884	74.4204
0.00533949	74.6357
0.00537032	74.8515
0.00540132	75.068
0.0054325	75.2852
0.00546387	75.5029
0.00549541	75.7213
0.00552713	75.9403
0.00555904	76.16
0.00559114	76.3803
0.00562341	76.6012
0.00565588	76.8227
0.00568853	77.0449
0.00572137	77.2677
0.0057544	77.4912
0.00578762	77.7153
0.00582103	77.9401
0.00585464	78.1655
0.00588844	78.3916
0.00592243	78.6183
0.00595662	78.8456
0.00599101	79.0737
0.0060256	79.3023
0.00606038	79.5317
0.00609537	79.7617
0.00613056	79.9923
0.00616595	80.2237
0.00620155	80.4556
0.00623735	80.6883
0.00627336	80.9216
0.00630957	81.1556
0.006346	81.3903
0.00638263	81.6257
0.00641948	81.8617
0.00645654	82.0984
0.00649382	82.3358
0.00653131	82.5739
0.00656901	82.8127
0.00660693	83.0521
0.00664508	83.2923
0.00668344	83.5331
0.00672202	83.7746
0.00676083	84.0169
0.00679986	84.2598
0.00683912	84.5034
0.0068786	84.7477
0.00691831	84.9928
0.00695825	85.2385
0.00699842	85.485
0.00703882	85.7321
0.00707946	85.98
0.00712033	86.2286
0.00716143	86.4779
0.00720278	86.7279
0.00724436	86.9786
0.00728618	87.2301
0.00732825	87.4823
0.00737055	87.7352
0.0074131	87.9888
0.0074559	88.2432
0.00749894	88.4983
0.00754223	88.7542
0.00758578	89.0107
0.00762957	89.2681
0.00767361	89.5261
0.00771792	89.7849
0.00776247	90.0445
0.00780728	90.3048
0.00785236	90.5658
0.00789769	90.8276
0.00794328	91.0902
0.00798914	91.3535
0.00803526	91.6176
0.00808165	91.8824
0.00812831	92.148
0.00817523	92.4144
0.00822243	92.6815
0.0082699	92.9494
0.00831764	93.2181
0.00836566	93.4875
0.00841395	93.7577
0.00846253	94.0287
0.00851138	94.3005
0.00856052	94.5731
0.00860994	94.8464
0.00865964	95.1206
0.00870964	95.3955
0.00875992	95.6712
0.00881049	95.9477
0.00886135	96.2251
0.00891251	96.5032
