Stopping power dEdx from Ionisation for Ne20[0.0] Z = 10 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	51.1662
0.00100577	51.3137
0.00101158	51.4616
0.00101742	51.6099
0.00102329	51.7586
0.0010292	51.9078
0.00103514	52.0575
0.00104112	52.2075
0.00104713	52.358
0.00105317	52.5089
0.00105925	52.6603
0.00106537	52.812
0.00107152	52.9643
0.00107771	53.1169
0.00108393	53.27
0.00109018	53.4236
0.00109648	53.5776
0.00110281	53.732
0.00110917	53.8869
0.00111558	54.0422
0.00112202	54.198
0.0011285	54.3542
0.00113501	54.5108
0.00114156	54.668
0.00114815	54.8255
0.00115478	54.9836
0.00116145	55.1421
0.00116815	55.301
0.0011749	55.4604
0.00118168	55.6203
0.0011885	55.7806
0.00119536	55.9413
0.00120226	56.1026
0.00120921	56.2643
0.00121619	56.4265
0.00122321	56.5891
0.00123027	56.7522
0.00123737	56.9158
0.00124451	57.0799
0.0012517	57.2444
0.00125893	57.4094
0.00126619	57.5749
0.0012735	57.7408
0.00128086	57.9072
0.00128825	58.0742
0.00129569	58.2416
0.00130317	58.4094
0.00131069	58.5778
0.00131826	58.7466
0.00132587	58.916
0.00133352	59.0858
0.00134122	59.2561
0.00134896	59.4269
0.00135675	59.5982
0.00136458	59.77
0.00137246	59.9422
0.00138038	60.115
0.00138835	60.2883
0.00139637	60.4621
0.00140443	60.6363
0.00141254	60.8111
0.00142069	60.9864
0.00142889	61.1622
0.00143714	61.3385
0.00144544	61.5153
0.00145378	61.6926
0.00146218	61.8704
0.00147062	62.0487
0.00147911	62.2276
0.00148765	62.4069
0.00149624	62.5868
0.00150487	62.7672
0.00151356	62.9481
0.0015223	63.1296
0.00153109	63.3115
0.00153993	63.494
0.00154882	63.6771
0.00155776	63.8606
0.00156675	64.0447
0.0015758	64.2293
0.00158489	64.4144
0.00159404	64.6001
0.00160325	64.7863
0.0016125	64.973
0.00162181	65.1603
0.00163117	65.3481
0.00164059	65.5365
0.00165006	65.7254
0.00165959	65.9148
0.00166917	66.1048
0.0016788	66.2953
0.0016885	66.4864
0.00169824	66.6781
0.00170805	66.8702
0.00171791	67.063
0.00172783	67.2563
0.0017378	67.4502
0.00174783	67.6446
0.00175792	67.8395
0.00176807	68.0351
0.00177828	68.2312
0.00178855	68.4279
0.00179887	68.6251
0.00180926	68.8229
0.0018197	69.0213
0.00183021	69.2202
0.00184077	69.4197
0.0018514	69.6198
0.00186209	69.8205
0.00187284	70.0217
0.00188365	70.2236
0.00189452	70.426
0.00190546	70.629
0.00191646	70.8326
0.00192752	71.0367
0.00193865	71.2415
0.00194984	71.4468
0.0019611	71.6528
0.00197242	71.8593
0.00198381	72.0664
0.00199526	72.2741
0.00200678	72.4825
0.00201837	72.6914
0.00203002	72.9009
0.00204174	73.111
0.00205353	73.3218
0.00206538	73.5331
0.0020773	73.7451
0.0020893	73.9576
0.00210136	74.1708
0.00211349	74.3846
0.00212569	74.599
0.00213796	74.814
0.0021503	75.0297
0.00216272	75.2459
0.0021752	75.4628
0.00218776	75.6803
0.00220039	75.8985
0.00221309	76.1172
0.00222587	76.3366
0.00223872	76.5567
0.00225165	76.7773
0.00226464	76.9986
0.00227772	77.2206
0.00229087	77.4431
0.00230409	77.6664
0.00231739	77.8902
0.00233077	78.1147
0.00234423	78.3399
0.00235776	78.5657
0.00237137	78.7921
0.00238506	79.0193
0.00239883	79.247
0.00241268	79.4754
0.00242661	79.7045
0.00244062	79.9343
0.00245471	80.1647
0.00246888	80.3957
0.00248313	80.6275
0.00249747	80.8599
0.00251189	81.0929
0.00252639	81.3267
0.00254097	81.5611
0.00255564	81.7962
0.0025704	82.0319
0.00258523	82.2684
0.00260016	82.5055
0.00261517	82.7433
0.00263027	82.9818
0.00264545	83.221
0.00266073	83.4609
0.00267609	83.7014
0.00269153	83.9427
0.00270707	84.1847
0.0027227	84.4273
0.00273842	84.6707
0.00275423	84.9147
0.00277013	85.1595
0.00278612	85.4049
0.00280221	85.6511
0.00281838	85.898
0.00283465	86.1456
0.00285102	86.3939
0.00286748	86.6429
0.00288403	86.8926
0.00290068	87.1431
0.00291743	87.3943
0.00293427	87.6462
0.00295121	87.8988
0.00296825	88.1522
0.00298538	88.4062
0.00300262	88.6611
0.00301995	88.9166
0.00303739	89.1729
0.00305492	89.4299
0.00307256	89.6877
0.0030903	89.9462
0.00310814	90.2055
0.00312608	90.4655
0.00314413	90.7262
0.00316228	90.9878
0.00318053	91.25
0.0031989	91.513
0.00321736	91.7768
0.00323594	92.0413
0.00325462	92.3066
0.00327341	92.5727
0.0032923	92.8395
0.00331131	93.1071
0.00333043	93.3755
0.00334965	93.6446
0.00336899	93.9146
0.00338844	94.1853
0.003408	94.4567
0.00342768	94.729
0.00344747	95.002
0.00346737	95.2759
0.00348739	95.5505
0.00350752	95.8259
0.00352777	96.1021
0.00354813	96.3791
0.00356862	96.6569
0.00358922	96.9355
0.00360994	97.2149
0.00363078	97.4951
0.00365174	97.7762
0.00367282	98.058
0.00369403	98.3406
0.00371535	98.6241
0.0037368	98.9083
0.00375837	99.1934
0.00378007	99.4794
0.00380189	99.7661
0.00382384	100.054
