Stopping power dEdx from Ionisation for Ne20[0.0] Z = 10 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	23.5232
0.00100577	23.5914
0.00101158	23.6598
0.00101742	23.7284
0.00102329	23.7972
0.0010292	23.8662
0.00103514	23.9354
0.00104112	24.0048
0.00104713	24.0744
0.00105317	24.1442
0.00105925	24.2142
0.00106537	24.2844
0.00107152	24.3548
0.00107771	24.4254
0.00108393	24.4962
0.00109018	24.5672
0.00109648	24.6384
0.00110281	24.7099
0.00110917	24.7815
0.00111558	24.8533
0.00112202	24.9254
0.0011285	24.9976
0.00113501	25.0701
0.00114156	25.1427
0.00114815	25.2156
0.00115478	25.2887
0.00116145	25.362
0.00116815	25.4355
0.0011749	25.5092
0.00118168	25.5831
0.0011885	25.6573
0.00119536	25.7316
0.00120226	25.8062
0.00120921	25.881
0.00121619	25.956
0.00122321	26.0312
0.00123027	26.1066
0.00123737	26.1823
0.00124451	26.2582
0.0012517	26.3343
0.00125893	26.4106
0.00126619	26.4871
0.0012735	26.5638
0.00128086	26.6408
0.00128825	26.718
0.00129569	26.7954
0.00130317	26.8731
0.00131069	26.9509
0.00131826	27.029
0.00132587	27.1073
0.00133352	27.1859
0.00134122	27.2646
0.00134896	27.3436
0.00135675	27.4228
0.00136458	27.5023
0.00137246	27.582
0.00138038	27.6619
0.00138835	27.742
0.00139637	27.8224
0.00140443	27.903
0.00141254	27.9838
0.00142069	28.0649
0.00142889	28.1461
0.00143714	28.2277
0.00144544	28.3094
0.00145378	28.3914
0.00146218	28.4737
0.00147062	28.5562
0.00147911	28.6389
0.00148765	28.7218
0.00149624	28.805
0.00150487	28.8884
0.00151356	28.9721
0.0015223	29.056
0.00153109	29.1402
0.00153993	29.2246
0.00154882	29.3092
0.00155776	29.3941
0.00156675	29.4792
0.0015758	29.5646
0.00158489	29.6502
0.00159404	29.7361
0.00160325	29.8222
0.0016125	29.9086
0.00162181	29.9952
0.00163117	30.082
0.00164059	30.1692
0.00165006	30.2565
0.00165959	30.3441
0.00166917	30.432
0.0016788	30.5201
0.0016885	30.6085
0.00169824	30.6971
0.00170805	30.786
0.00171791	30.8751
0.00172783	30.9645
0.0017378	31.0542
0.00174783	31.1441
0.00175792	31.2343
0.00176807	31.3247
0.00177828	31.4154
0.00178855	31.5064
0.00179887	31.5976
0.00180926	31.6891
0.0018197	31.7808
0.00183021	31.8728
0.00184077	31.9651
0.0018514	32.0576
0.00186209	32.1504
0.00187284	32.2435
0.00188365	32.3368
0.00189452	32.4305
0.00190546	32.5243
0.00191646	32.6185
0.00192752	32.7129
0.00193865	32.8076
0.00194984	32.9026
0.0019611	32.9978
0.00197242	33.0933
0.00198381	33.1891
0.00199526	33.2852
0.00200678	33.3815
0.00201837	33.4781
0.00203002	33.575
0.00204174	33.6722
0.00205353	33.7697
0.00206538	33.8674
0.0020773	33.9655
0.0020893	34.0638
0.00210136	34.1623
0.00211349	34.2612
0.00212569	34.3604
0.00213796	34.4598
0.0021503	34.5595
0.00216272	34.6596
0.0021752	34.7599
0.00218776	34.8605
0.00220039	34.9613
0.00221309	35.0625
0.00222587	35.164
0.00223872	35.2657
0.00225165	35.3678
0.00226464	35.4701
0.00227772	35.5728
0.00229087	35.6757
0.00230409	35.779
0.00231739	35.8825
0.00233077	35.9863
0.00234423	36.0905
0.00235776	36.1949
0.00237137	36.2996
0.00238506	36.4046
0.00239883	36.51
0.00241268	36.6156
0.00242661	36.7216
0.00244062	36.8278
0.00245471	36.9344
0.00246888	37.0412
0.00248313	37.1484
0.00249747	37.2559
0.00251189	37.3637
0.00252639	37.4718
0.00254097	37.5802
0.00255564	37.6889
0.0025704	37.7979
0.00258523	37.9073
0.00260016	38.017
0.00261517	38.1269
0.00263027	38.2372
0.00264545	38.3479
0.00266073	38.4588
0.00267609	38.5701
0.00269153	38.6816
0.00270707	38.7935
0.0027227	38.9057
0.00273842	39.0183
0.00275423	39.1312
0.00277013	39.2444
0.00278612	39.3579
0.00280221	39.4717
0.00281838	39.5859
0.00283465	39.7004
0.00285102	39.8152
0.00286748	39.9304
0.00288403	40.0459
0.00290068	40.1617
0.00291743	40.2779
0.00293427	40.3944
0.00295121	40.5112
0.00296825	40.6284
0.00298538	40.7459
0.00300262	40.8638
0.00301995	40.982
0.00303739	41.1005
0.00305492	41.2194
0.00307256	41.3386
0.0030903	41.4581
0.00310814	41.578
0.00312608	41.6983
0.00314413	41.8189
0.00316228	41.9398
0.00318053	42.0611
0.0031989	42.1827
0.00321736	42.3047
0.00323594	42.4271
0.00325462	42.5498
0.00327341	42.6728
0.0032923	42.7962
0.00331131	42.92
0.00333043	43.0441
0.00334965	43.1686
0.00336899	43.2934
0.00338844	43.4186
0.003408	43.5441
0.00342768	43.67
0.00344747	43.7963
0.00346737	43.923
0.00348739	44.05
0.00350752	44.1773
0.00352777	44.3051
0.00354813	44.4332
0.00356862	44.5617
0.00358922	44.6905
0.00360994	44.8197
0.00363078	44.9493
