Stopping power dEdx from Ionisation for O16[0.0] Z = 8 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	46.3649
0.00100577	46.4986
0.00101158	46.6326
0.00101742	46.767
0.00102329	46.9018
0.0010292	47.037
0.00103514	47.1726
0.00104112	47.3086
0.00104713	47.4449
0.00105317	47.5817
0.00105925	47.7188
0.00106537	47.8564
0.00107152	47.9943
0.00107771	48.1326
0.00108393	48.2714
0.00109018	48.4105
0.00109648	48.55
0.00110281	48.69
0.00110917	48.8303
0.00111558	48.9711
0.00112202	49.1122
0.0011285	49.2538
0.00113501	49.3958
0.00114156	49.5381
0.00114815	49.6809
0.00115478	49.8241
0.00116145	49.9677
0.00116815	50.1118
0.0011749	50.2562
0.00118168	50.4011
0.0011885	50.5463
0.00119536	50.692
0.00120226	50.8381
0.00120921	50.9847
0.00121619	51.1316
0.00122321	51.279
0.00123027	51.4268
0.00123737	51.575
0.00124451	51.7237
0.0012517	51.8728
0.00125893	52.0223
0.00126619	52.1723
0.0012735	52.3226
0.00128086	52.4735
0.00128825	52.6247
0.00129569	52.7764
0.00130317	52.9285
0.00131069	53.0811
0.00131826	53.2341
0.00132587	53.3875
0.00133352	53.5414
0.00134122	53.6957
0.00134896	53.8505
0.00135675	54.0057
0.00136458	54.1614
0.00137246	54.3175
0.00138038	54.474
0.00138835	54.6311
0.00139637	54.7885
0.00140443	54.9465
0.00141254	55.1048
0.00142069	55.2637
0.00142889	55.423
0.00143714	55.5827
0.00144544	55.7429
0.00145378	55.9036
0.00146218	56.0647
0.00147062	56.2263
0.00147911	56.3884
0.00148765	56.5509
0.00149624	56.7139
0.00150487	56.8774
0.00151356	57.0413
0.0015223	57.2057
0.00153109	57.3706
0.00153993	57.536
0.00154882	57.7018
0.00155776	57.8682
0.00156675	58.035
0.0015758	58.2022
0.00158489	58.37
0.00159404	58.5382
0.00160325	58.707
0.0016125	58.8762
0.00162181	59.0459
0.00163117	59.2161
0.00164059	59.3868
0.00165006	59.5579
0.00165959	59.7296
0.00166917	59.9018
0.0016788	60.0744
0.0016885	60.2476
0.00169824	60.4212
0.00170805	60.5954
0.00171791	60.7701
0.00172783	60.9452
0.0017378	61.1209
0.00174783	61.2971
0.00175792	61.4737
0.00176807	61.6509
0.00177828	61.8286
0.00178855	62.0068
0.00179887	62.1856
0.00180926	62.3648
0.0018197	62.5446
0.00183021	62.7249
0.00184077	62.9056
0.0018514	63.087
0.00186209	63.2688
0.00187284	63.4512
0.00188365	63.6341
0.00189452	63.8175
0.00190546	64.0014
0.00191646	64.1859
0.00192752	64.3709
0.00193865	64.5565
0.00194984	64.7425
0.0019611	64.9291
0.00197242	65.1163
0.00198381	65.304
0.00199526	65.4922
0.00200678	65.681
0.00201837	65.8703
0.00203002	66.0602
0.00204174	66.2506
0.00205353	66.4415
0.00206538	66.633
0.0020773	66.8251
0.0020893	67.0177
0.00210136	67.2109
0.00211349	67.4046
0.00212569	67.5989
0.00213796	67.7937
0.0021503	67.9892
0.00216272	68.1851
0.0021752	68.3817
0.00218776	68.5788
0.00220039	68.7764
0.00221309	68.9747
0.00222587	69.1735
0.00223872	69.3729
0.00225165	69.5728
0.00226464	69.7734
0.00227772	69.9745
0.00229087	70.1762
0.00230409	70.3784
0.00231739	70.5813
0.00233077	70.7847
0.00234423	70.9888
0.00235776	71.1934
0.00237137	71.3986
0.00238506	71.6044
0.00239883	71.8108
0.00241268	72.0178
0.00242661	72.2253
0.00244062	72.4335
0.00245471	72.6423
0.00246888	72.8517
0.00248313	73.0617
0.00249747	73.2723
0.00251189	73.4835
0.00252639	73.6953
0.00254097	73.9077
0.00255564	74.1207
0.0025704	74.3344
0.00258523	74.5486
0.00260016	74.7635
0.00261517	74.979
0.00263027	75.1951
0.00264545	75.4119
0.00266073	75.6292
0.00267609	75.8472
0.00269153	76.0658
0.00270707	76.2851
0.0027227	76.505
0.00273842	76.7255
0.00275423	76.9466
0.00277013	77.1684
0.00278612	77.3909
0.00280221	77.6139
0.00281838	77.8376
0.00283465	78.062
0.00285102	78.287
0.00286748	78.5127
0.00288403	78.739
0.00290068	78.9659
0.00291743	79.1935
0.00293427	79.4218
0.00295121	79.6507
0.00296825	79.8803
0.00298538	80.1105
0.00300262	80.3414
0.00301995	80.573
0.00303739	80.8053
0.00305492	81.0382
0.00307256	81.2718
0.0030903	81.506
0.00310814	81.7409
0.00312608	81.9766
0.00314413	82.2128
0.00316228	82.4498
0.00318053	82.6875
0.0031989	82.9258
0.00321736	83.1648
0.00323594	83.4045
0.00325462	83.6449
0.00327341	83.886
0.0032923	84.1278
0.00331131	84.3703
0.00333043	84.6135
0.00334965	84.8574
0.00336899	85.102
0.00338844	85.3473
0.003408	85.5933
0.00342768	85.84
0.00344747	86.0874
0.00346737	86.3355
0.00348739	86.5844
0.00350752	86.834
0.00352777	87.0843
0.00354813	87.3353
0.00356862	87.587
0.00358922	87.8395
0.00360994	88.0926
0.00363078	88.3466
0.00365174	88.6012
0.00367282	88.8566
0.00369403	89.1127
0.00371535	89.3696
0.0037368	89.6272
0.00375837	89.8855
0.00378007	90.1446
0.00380189	90.4044
0.00382384	90.665
0.00384592	90.9263
0.00386812	91.1884
0.00389045	91.4512
0.00391291	91.7148
0.0039355	91.9792
0.00395822	92.2443
0.00398107	92.5102
0.00400405	92.7746
0.00402717	93.0356
0.00405042	93.2973
0.0040738	93.5597
0.00409732	93.8229
0.00412098	94.0869
0.00414477	94.3516
0.00416869	94.6171
0.00419276	94.8833
0.00421697	95.1503
0.00424131	95.4181
0.0042658	95.6867
0.00429042	95.956
0.00431519	96.2261
0.0043401	96.497
0.00436516	96.7687
0.00439036	97.0411
0.0044157	97.3143
0.0044412	97.5883
0.00446684	97.8631
0.00449262	98.1387
0.00451856	98.4151
0.00454465	98.6923
0.00457088	98.9703
0.00459727	99.2491
0.00462381	99.5287
0.0046505	99.8091
0.00467735	100.09
0.00470435	100.372
0.00473151	100.655
0.00475883	100.939
0.0047863	101.223
0.00481393	101.509
0.00484172	101.795
0.00486968	102.082
0.00489779	102.369
0.00492606	102.658
0.0049545	102.947
0.0049831	103.238
0.00501187	103.529
0.00504081	103.821
0.00506991	104.113
0.00509918	104.407
0.00512861	104.701
0.00515822	104.997
0.005188	105.293
0.00521795	105.59
0.00524807	105.888
0.00527837	106.187
0.00530884	106.486
0.00533949	106.787
0.00537032	107.088
0.00540132	107.39
0.0054325	107.693
0.00546387	107.997
0.00549541	108.302
0.00552713	108.608
0.00555904	108.914
0.00559114	109.222
0.00562341	109.53
0.00565588	109.84
0.00568853	110.15
0.00572137	110.461
0.0057544	110.773
0.00578762	111.086
0.00582103	111.399
0.00585464	111.714
0.00588844	112.03
0.00592243	112.346
0.00595662	112.663
