Stopping power dEdx from Ionisation for P31[0.0] Z = 15 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	32.4765
0.00100577	32.5709
0.00101158	32.6656
0.00101742	32.7605
0.00102329	32.8557
0.0010292	32.9512
0.00103514	33.0469
0.00104112	33.143
0.00104713	33.2393
0.00105317	33.3358
0.00105925	33.4327
0.00106537	33.5298
0.00107152	33.6273
0.00107771	33.725
0.00108393	33.8229
0.00109018	33.9212
0.00109648	34.0197
0.00110281	34.1186
0.00110917	34.2177
0.00111558	34.3171
0.00112202	34.4168
0.0011285	34.5168
0.00113501	34.617
0.00114156	34.7176
0.00114815	34.8184
0.00115478	34.9195
0.00116145	35.021
0.00116815	35.1227
0.0011749	35.2247
0.00118168	35.327
0.0011885	35.4296
0.00119536	35.5325
0.00120226	35.6357
0.00120921	35.7392
0.00121619	35.843
0.00122321	35.947
0.00123027	36.0514
0.00123737	36.1561
0.00124451	36.2611
0.0012517	36.3664
0.00125893	36.472
0.00126619	36.5779
0.0012735	36.6841
0.00128086	36.7906
0.00128825	36.8974
0.00129569	37.0045
0.00130317	37.112
0.00131069	37.2197
0.00131826	37.3278
0.00132587	37.4361
0.00133352	37.5448
0.00134122	37.6538
0.00134896	37.7631
0.00135675	37.8727
0.00136458	37.9827
0.00137246	38.0929
0.00138038	38.2035
0.00138835	38.3144
0.00139637	38.4256
0.00140443	38.5371
0.00141254	38.649
0.00142069	38.7611
0.00142889	38.8736
0.00143714	38.9865
0.00144544	39.0996
0.00145378	39.2131
0.00146218	39.3269
0.00147062	39.441
0.00147911	39.5555
0.00148765	39.6702
0.00149624	39.7854
0.00150487	39.9008
0.00151356	40.0166
0.0015223	40.1327
0.00153109	40.2492
0.00153993	40.3659
0.00154882	40.4831
0.00155776	40.6005
0.00156675	40.7183
0.0015758	40.8365
0.00158489	40.9549
0.00159404	41.0738
0.00160325	41.1929
0.0016125	41.3124
0.00162181	41.4323
0.00163117	41.5525
0.00164059	41.673
