Stopping power dEdx from Ionisation for S32[0.0] Z = 16 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	33.0145
0.00100577	33.1105
0.00101158	33.2067
0.00101742	33.3032
0.00102329	33.4
0.0010292	33.4971
0.00103514	33.5944
0.00104112	33.6921
0.00104713	33.79
0.00105317	33.8882
0.00105925	33.9867
0.00106537	34.0854
0.00107152	34.1845
0.00107771	34.2838
0.00108393	34.3834
0.00109018	34.4833
0.00109648	34.5835
0.00110281	34.684
0.00110917	34.7848
0.00111558	34.8858
0.00112202	34.9872
0.0011285	35.0888
0.00113501	35.1908
0.00114156	35.293
0.00114815	35.3955
0.00115478	35.4983
0.00116145	35.6015
0.00116815	35.7049
0.0011749	35.8086
0.00118168	35.9126
0.0011885	36.0169
0.00119536	36.1215
0.00120226	36.2264
0.00120921	36.3317
0.00121619	36.4372
0.00122321	36.543
0.00123027	36.6491
0.00123737	36.7556
0.00124451	36.8623
0.0012517	36.9694
0.00125893	37.0767
0.00126619	37.1844
0.0012735	37.2924
0.00128086	37.4007
0.00128825	37.5093
0.00129569	37.6182
0.00130317	37.7274
0.00131069	37.8369
0.00131826	37.9468
0.00132587	38.057
0.00133352	38.1675
0.00134122	38.2783
0.00134896	38.3894
0.00135675	38.5009
0.00136458	38.6126
0.00137246	38.7247
0.00138038	38.8371
0.00138835	38.9499
0.00139637	39.063
0.00140443	39.1764
0.00141254	39.2901
0.00142069	39.4041
0.00142889	39.5185
0.00143714	39.6332
0.00144544	39.7482
0.00145378	39.8636
0.00146218	39.9793
0.00147062	40.0953
0.00147911	40.2117
0.00148765	40.3284
0.00149624	40.4455
0.00150487	40.5628
0.00151356	40.6805
0.0015223	40.7986
0.00153109	40.917
0.00153993	41.0357
0.00154882	41.1548
0.00155776	41.2742
0.00156675	41.394
0.0015758	41.5141
0.00158489	41.6346
0.00159404	41.7554
0.00160325	41.8765
0.0016125	41.998
0.00162181	42.1199
0.00163117	42.2421
0.00164059	42.3646
0.00165006	42.4876
0.00165959	42.6108
0.00166917	42.7344
0.0016788	42.8584
0.0016885	42.9827
0.00169824	43.1074
0.00170805	43.2325
0.00171791	43.3579
0.00172783	43.4837
0.0017378	43.6098
0.00174783	43.7363
0.00175792	43.8632
0.00176807	43.9904
0.00177828	44.118
0.00178855	44.246
0.00179887	44.3743
0.00180926	44.503
0.0018197	44.6321
0.00183021	44.7615
0.00184077	44.8913
0.0018514	45.0215
0.00186209	45.1521
0.00187284	45.283
0.00188365	45.4144
0.00189452	45.5461
0.00190546	45.6781
0.00191646	45.8106
0.00192752	45.9434
0.00193865	46.0767
0.00194984	46.2103
0.0019611	46.3443
0.00197242	46.4786
0.00198381	46.6134
0.00199526	46.7486
0.00200678	46.8841
0.00201837	47.02
0.00203002	47.1564
0.00204174	47.2931
0.00205353	47.4302
0.00206538	47.5677
0.0020773	47.7056
0.0020893	47.8439
0.00210136	47.9826
0.00211349	48.1217
0.00212569	48.2612
0.00213796	48.4012
0.0021503	48.5415
0.00216272	48.6822
0.0021752	48.8233
0.00218776	48.9648
0.00220039	49.1068
0.00221309	49.2491
0.00222587	49.3918
0.00223872	49.535
0.00225165	49.6786
0.00226464	49.8226
0.00227772	49.967
0.00229087	50.1118
0.00230409	50.257
0.00231739	50.4027
0.00233077	50.5488
0.00234423	50.6953
0.00235776	50.8422
0.00237137	50.9896
0.00238506	51.1373
0.00239883	51.2855
0.00241268	51.4341
0.00242661	51.5832
0.00244062	51.7327
0.00245471	51.8826
0.00246888	52.0329
0.00248313	52.1837
0.00249747	52.3349
0.00251189	52.4866
0.00252639	52.6386
0.00254097	52.7912
0.00255564	52.9441
0.0025704	53.0975
0.00258523	53.2514
0.00260016	53.4057
