Stopping power dEdx from Ionisation for S32[0.0] Z = 16 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	22.7863
0.00100577	22.8523
0.00101158	22.9186
0.00101742	22.985
0.00102329	23.0516
0.0010292	23.1185
0.00103514	23.1855
0.00104112	23.2527
0.00104713	23.3201
0.00105317	23.3877
0.00105925	23.4555
0.00106537	23.5235
0.00107152	23.5916
0.00107771	23.66
0.00108393	23.7286
0.00109018	23.7974
0.00109648	23.8663
0.00110281	23.9355
0.00110917	24.0049
0.00111558	24.0744
0.00112202	24.1442
0.0011285	24.2142
0.00113501	24.2844
0.00114156	24.3547
0.00114815	24.4253
0.00115478	24.4961
0.00116145	24.5671
0.00116815	24.6383
0.0011749	24.7097
0.00118168	24.7813
0.0011885	24.8531
0.00119536	24.9251
0.00120226	24.9973
0.00120921	25.0697
0.00121619	25.1424
0.00122321	25.2152
0.00123027	25.2883
0.00123737	25.3616
0.00124451	25.435
0.0012517	25.5087
0.00125893	25.5826
0.00126619	25.6567
0.0012735	25.7311
0.00128086	25.8056
0.00128825	25.8804
0.00129569	25.9554
0.00130317	26.0305
0.00131069	26.106
0.00131826	26.1816
0.00132587	26.2574
0.00133352	26.3335
0.00134122	26.4098
0.00134896	26.4863
0.00135675	26.563
0.00136458	26.6399
0.00137246	26.7171
0.00138038	26.7945
0.00138835	26.8721
0.00139637	26.9499
0.00140443	27.028
0.00141254	27.1063
0.00142069	27.1848
0.00142889	27.2635
0.00143714	27.3425
0.00144544	27.4217
0.00145378	27.5011
0.00146218	27.5807
0.00147062	27.6606
0.00147911	27.7407
0.00148765	27.8211
0.00149624	27.9016
0.00150487	27.9824
0.00151356	28.0635
0.0015223	28.1447
0.00153109	28.2262
0.00153993	28.308
0.00154882	28.3899
0.00155776	28.4721
0.00156675	28.5546
0.0015758	28.6373
0.00158489	28.7202
0.00159404	28.8034
0.00160325	28.8868
0.0016125	28.9704
0.00162181	29.0543
0.00163117	29.1384
0.00164059	29.2228
0.00165006	29.3074
0.00165959	29.3922
0.00166917	29.4773
0.0016788	29.5627
0.0016885	29.6483
0.00169824	29.7341
0.00170805	29.8202
0.00171791	29.9065
0.00172783	29.9931
0.0017378	30.0799
0.00174783	30.167
0.00175792	30.2543
0.00176807	30.3419
0.00177828	30.4298
0.00178855	30.5178
0.00179887	30.6062
0.00180926	30.6948
0.0018197	30.7836
0.00183021	30.8727
0.00184077	30.9621
0.0018514	31.0517
0.00186209	31.1416
0.00187284	31.2318
0.00188365	31.3222
0.00189452	31.4128
0.00190546	31.5037
0.00191646	31.5949
0.00192752	31.6864
0.00193865	31.7781
0.00194984	31.8701
0.0019611	31.9623
0.00197242	32.0548
0.00198381	32.1476
0.00199526	32.2406
0.00200678	32.3339
0.00201837	32.4275
0.00203002	32.5213
0.00204174	32.6155
0.00205353	32.7099
0.00206538	32.8045
0.0020773	32.8994
0.0020893	32.9947
0.00210136	33.0901
0.00211349	33.1859
0.00212569	33.2819
0.00213796	33.3782
0.0021503	33.4748
0.00216272	33.5717
0.0021752	33.6688
0.00218776	33.7663
0.00220039	33.864
0.00221309	33.962
0.00222587	34.0602
0.00223872	34.1588
0.00225165	34.2576
0.00226464	34.3567
0.00227772	34.4561
0.00229087	34.5558
0.00230409	34.6558
0.00231739	34.7561
0.00233077	34.8566
0.00234423	34.9575
0.00235776	35.0586
0.00237137	35.1601
0.00238506	35.2618
0.00239883	35.3638
0.00241268	35.4661
0.00242661	35.5687
0.00244062	35.6716
0.00245471	35.7748
0.00246888	35.8783
0.00248313	35.9821
0.00249747	36.0862
0.00251189	36.1906
0.00252639	36.2953
0.00254097	36.4003
0.00255564	36.5056
0.0025704	36.6112
0.00258523	36.7171
0.00260016	36.8233
0.00261517	36.9298
0.00263027	37.0366
0.00264545	37.1438
0.00266073	37.2512
0.00267609	37.359
0.00269153	37.467
0.00270707	37.5754
0.0027227	37.6841
0.00273842	37.7931
0.00275423	37.9024
0.00277013	38.012
0.00278612	38.122
0.00280221	38.2322
0.00281838	38.3428
0.00283465	38.4537
0.00285102	38.5649
0.00286748	38.6764
0.00288403	38.7883
0.00290068	38.9005
0.00291743	39.013
0.00293427	39.1258
0.00295121	39.239
0.00296825	39.3525
0.00298538	39.4663
0.00300262	39.5804
0.00301995	39.6949
0.00303739	39.8097
0.00305492	39.9248
0.00307256	40.0402
0.0030903	40.156
0.00310814	40.2721
0.00312608	40.3886
0.00314413	40.5054
0.00316228	40.6225
0.00318053	40.74
0.0031989	40.8578
0.00321736	40.9759
0.00323594	41.0944
0.00325462	41.2133
0.00327341	41.3324
0.0032923	41.4519
0.00331131	41.5718
0.00333043	41.692
0.00334965	41.8126
0.00336899	41.9335
0.00338844	42.0547
0.003408	42.1763
0.00342768	42.2982
0.00344747	42.4205
0.00346737	42.5432
0.00348739	42.6662
0.00350752	42.7896
0.00352777	42.9133
0.00354813	43.0373
0.00356862	43.1618
0.00358922	43.2866
0.00360994	43.4117
0.00363078	43.5372
0.00365174	43.6631
0.00367282	43.7893
0.00369403	43.9159
0.00371535	44.0429
0.0037368	44.1702
0.00375837	44.2979
0.00378007	44.426
0.00380189	44.5544
0.00382384	44.6832
0.00384592	44.8124
0.00386812	44.9419
0.00389045	45.0718
0.00391291	45.2021
0.0039355	45.3328
0.00395822	45.4638
0.00398107	45.5952
0.00400405	45.727
0.00402717	45.8592
0.00405042	45.9918
0.0040738	46.1247
0.00409732	46.2581
0.00412098	46.3918
0.00414477	46.5259
0.00416869	46.6604
0.00419276	46.7952
0.00421697	46.9305
0.00424131	47.0661
0.0042658	47.2022
0.00429042	47.3386
0.00431519	47.4754
0.0043401	47.6127
0.00436516	47.7503
0.00439036	47.8883
0.0044157	48.0267
0.0044412	48.1655
0.00446684	48.3047
0.00449262	48.4443
0.00451856	48.5843
0.00454465	48.7248
0.00457088	48.8656
0.00459727	49.0068
0.00462381	49.1484
0.0046505	49.2905
0.00467735	49.4329
0.00470435	49.5758
0.00473151	49.7191
0.00475883	49.8628
0.0047863	50.0069
0.00481393	50.1514
0.00484172	50.2963
0.00486968	50.4417
0.00489779	50.5874
0.00492606	50.7336
0.0049545	50.8802
0.0049831	51.0273
0.00501187	51.1747
0.00504081	51.3226
0.00506991	51.4709
0.00509918	51.6197
0.00512861	51.7688
0.00515822	51.9184
0.005188	52.0685
0.00521795	52.2189
0.00524807	52.3698
0.00527837	52.6524
0.00530884	52.8042
0.00533949	52.9564
0.00537032	53.109
0.00540132	53.2621
0.0054325	53.4156
0.00546387	53.5696
0.00549541	53.724
0.00552713	53.8789
0.00555904	54.0342
0.00559114	54.1899
0.00562341	54.3461
0.00565588	54.5028
0.00568853	54.6599
0.00572137	54.8174
0.0057544	54.9754
0.00578762	55.1339
0.00582103	55.2928
0.00585464	55.4522
0.00588844	55.612
0.00592243	55.7723
0.00595662	55.933
0.00599101	56.0943
0.0060256	56.2559
0.00606038	56.4181
0.00609537	56.5807
0.00613056	56.7438
0.00616595	56.9074
0.00620155	57.0714
0.00623735	57.2359
0.00627336	57.4009
0.00630957	57.5663
0.006346	57.7322
0.00638263	57.8987
0.00641948	58.0655
0.00645654	58.2329
0.00649382	58.4008
0.00653131	58.5691
0.00656901	58.7379
0.00660693	58.9072
0.00664508	59.077
0.00668344	59.2473
0.00672202	59.4181
0.00676083	59.5893
0.00679986	59.7611
0.00683912	59.9333
0.0068786	60.1061
0.00691831	60.2793
0.00695825	60.4531
0.00699842	60.6273
0.00703882	60.8021
0.00707946	60.9773
0.00712033	61.1531
0.00716143	61.3294
0.00720278	61.5061
0.00724436	61.6834
0.00728618	61.8612
0.00732825	62.0395
0.00737055	62.2183
0.0074131	62.3977
0.0074559	62.5775
0.00749894	62.7579
0.00754223	62.9388
0.00758578	63.1202
0.00762957	63.3021
0.00767361	63.4846
0.00771792	63.6676
0.00776247	63.8511
0.00780728	64.0352
0.00785236	64.2197
0.00789769	64.4048
0.00794328	64.5905
0.00798914	64.7766
0.00803526	64.9634
0.00808165	65.1506
0.00812831	65.3384
0.00817523	65.5267
0.00822243	65.7156
0.0082699	65.905
0.00831764	66.095
0.00836566	66.2855
0.00841395	66.4765
0.00846253	66.6682
0.00851138	66.8603
0.00856052	67.053
0.00860994	67.2463
0.00865964	67.4401
0.00870964	67.6345
0.00875992	67.8295
0.00881049	68.025
0.00886135	68.2211
0.00891251	68.4177
0.00896396	68.6149
0.00901571	68.8127
0.00906776	69.011
0.00912011	69.2099
0.00917276	69.4094
0.00922571	69.6095
0.00927897	69.8101
0.00933254	70.0114
0.00938642	70.2131
0.00944061	70.4155
0.00949511	70.6185
0.00954993	70.822
0.00960506	71.0262
0.00966051	71.2309
0.00971628	71.4362
0.00977237	71.6421
0.00982879	71.8486
0.00988553	72.0557
0.0099426	72.2634
0.01	72.4717
0.0100577	72.6806
0.0101158	72.8901
0.0101742	73.1002
0.0102329	73.3109
0.010292	73.5222
0.0103514	73.7341
0.0104112	73.9466
0.0104713	74.1598
0.0105317	74.3735
0.0105925	74.5879
0.0106537	74.8029
0.0107152	75.0185
0.0107771	75.2347
0.0108393	75.4516
0.0109018	75.6691
0.0109648	75.8872
0.0110281	76.1059
0.0110917	76.3253
0.0111558	76.5453
0.0112202	76.7659
0.011285	76.9872
0.0113501	77.2091
0.0114156	77.4316
0.0114815	77.6548
0.0115478	77.8787
0.0116145	78.1031
0.0116815	78.3283
0.011749	78.554
0.0118168	78.7804
0.011885	79.0075
0.0119536	79.2353
0.0120226	79.4636
0.0120921	79.6927
0.0121619	79.9224
0.0122321	80.1528
0.0123027	80.3838
0.0123737	80.6155
0.0124451	80.8478
0.012517	81.0809
0.0125893	81.3146
0.0126619	81.549
0.012735	81.784
0.0128086	82.0198
0.0128825	82.2562
0.0129569	82.4933
0.0130317	82.731
0.0131069	82.9695
0.0131826	83.2086
0.0132587	83.4485
0.0133352	83.689
0.0134122	83.9302
0.0134896	84.1722
0.0135675	84.4148
0.0136458	84.6581
0.0137246	84.9021
0.0138038	85.1468
0.0138835	85.3922
0.0139637	85.6384
0.0140443	85.8852
0.0141254	86.1328
0.0142069	86.381
0.0142889	86.63
0.0143714	86.8797
0.0144544	87.1301
0.0145378	87.3813
0.0146218	87.6332
0.0147062	87.8857
0.0147911	88.1391
0.0148765	88.3931
0.0149624	88.6479
0.0150487	88.9034
0.0151356	89.1597
0.015223	89.4167
0.0153109	89.6744
0.0153993	89.9329
0.0154882	90.1921
0.0155776	90.4521
0.0156675	90.7128
0.015758	90.9742
0.0158489	91.2365
0.0159404	91.4994
0.0160325	91.7632
0.016125	92.0277
0.0162181	92.2929
0.0163117	92.559
0.0164059	92.8257
0.0165006	93.0933
0.0165959	93.3616
0.0166917	93.6307
0.016788	93.9006
0.016885	94.1713
0.0169824	94.4427
0.0170805	94.7149
0.0171791	94.9879
0.0172783	95.2617
0.017378	95.5363
0.0174783	95.8117
0.0175792	96.0878
0.0176807	96.3648
0.0177828	96.6426
0.0178855	96.9211
0.0179887	97.2005
0.0180926	97.4807
0.018197	97.7616
0.0183021	98.0434
0.0184077	98.326
0.018514	98.6094
0.0186209	98.8937
0.0187284	99.1787
0.0188365	99.4646
0.0189452	99.7513
0.0190546	100.039
0.0191646	100.327
0.0192752	100.616
0.0193865	100.906
0.0194984	101.197
0.019611	101.489
0.0197242	101.781
0.0198381	102.075
0.0199526	102.369
0.0200678	102.664
0.0201837	102.96
0.0203002	103.257
0.0204174	103.554
0.0205353	103.853
0.0206538	104.152
0.020773	104.452
0.020893	104.753
0.0210136	105.055
0.0211349	105.358
0.0212569	105.662
0.0213796	105.966
0.021503	106.272
0.0216272	106.578
0.021752	106.885
0.0218776	107.194
0.0220039	107.502
0.0221309	107.812
0.0222587	108.123
0.0223872	108.435
0.0225165	108.747
0.0226464	109.061
0.0227772	109.375
0.0229087	109.69
0.0230409	110.007
0.0231739	110.324
0.0233077	110.642
0.0234423	110.961
0.0235776	111.28
0.0237137	111.601
0.0238506	111.923
0.0239883	112.245
0.0241268	112.569
0.0242661	112.893
0.0244062	113.219
0.0245471	113.545
0.0246888	113.872
0.0248313	114.201
0.0249747	114.53
0.0251189	114.86
0.0252639	115.191
0.0254097	115.523
0.0255564	115.856
0.025704	116.19
0.0258523	116.525
0.0260016	116.861
0.0261517	117.198
0.0263027	117.535
0.0264545	117.874
0.0266073	118.214
0.0267609	118.555
0.0269153	118.896
0.0270707	119.239
0.027227	119.583
0.0273842	119.927
0.0275423	120.273
0.0277013	120.62
0.0278612	120.967
0.0280221	121.316
0.0281838	121.666
0.0283465	122.016
0.0285102	122.368
0.0286748	122.721
0.0288403	123.075
0.0290068	123.429
0.0291743	123.785
0.0293427	124.142
0.0295121	124.5
0.0296825	124.859
0.0298538	125.218
0.0300262	125.579
0.0301995	125.941
0.0303739	126.304
0.0305492	126.668
0.0307256	127.034
0.030903	127.4
0.0310814	127.767
0.0312608	128.135
0.0314413	128.505
0.0316228	128.875
0.0318053	129.246
0.031989	129.619
0.0321736	129.993
0.0323594	130.367
0.0325462	130.743
0.0327341	131.12
0.032923	131.498
0.0331131	131.877
0.0333043	132.257
0.0334965	132.638
0.0336899	133.02
0.0338844	133.404
0.03408	133.788
0.0342768	134.174
0.0344747	134.561
0.0346737	134.949
0.0348739	135.338
0.0350752	135.728
0.0352777	136.119
0.0354813	136.511
0.0356862	136.905
0.0358922	137.299
0.0360994	137.695
0.0363078	138.092
0.0365174	138.49
0.0367282	138.889
0.0369403	139.29
0.0371535	139.691
0.037368	140.094
0.0375837	140.497
0.0378007	140.902
0.0380189	141.309
0.0382384	141.716
0.0384592	142.124
0.0386812	142.534
0.0389045	142.945
0.0391291	143.357
0.039355	143.77
0.0395822	144.184
0.0398107	144.6
0.0400405	145.017
0.0402717	145.435
0.0405042	145.854
0.040738	146.274
0.0409732	146.696
0.0412098	147.119
0.0414477	147.543
0.0416869	147.968
0.0419276	148.395
0.0421697	148.822
0.0424131	149.251
0.042658	149.682
0.0429042	150.113
0.0431519	150.546
0.043401	150.98
0.0436516	151.415
0.0439036	151.851
0.044157	152.289
0.044412	152.728
0.0446684	153.168
0.0449262	153.61
0.0451856	154.052
0.0454465	154.496
0.0457088	154.942
0.0459727	155.388
0.0462381	155.836
0.046505	156.285
0.0467735	156.736
0.0470435	157.188
0.0473151	157.641
0.0475883	158.095
0.047863	158.551
0.0481393	159.008
0.0484172	159.466
0.0486968	159.926
0.0489779	160.387
0.0492606	160.849
0.049545	161.313
0.049831	161.778
0.0501187	162.244
0.0504081	162.712
0.0506991	163.181
0.0509918	163.651
0.0512861	164.123
0.0515822	164.596
0.05188	165.07
0.0521795	165.546
0.0524807	166.023
0.0527837	166.502
0.0530884	166.982
0.0533949	167.463
0.0537032	167.946
0.0540132	168.43
0.054325	168.915
0.0546387	169.402
0.0549541	169.89
0.0552713	170.38
0.0555904	170.871
0.0559114	171.364
0.0562341	171.857
0.0565588	172.353
0.0568853	172.85
0.0572137	173.348
0.057544	173.848
0.0578762	174.349
0.0582103	174.851
0.0585464	175.355
0.0588844	175.861
0.0592243	176.367
0.0595662	176.876
0.0599101	177.386
0.060256	177.897
0.0606038	178.41
0.0609537	178.924
0.0613056	179.44
0.0616595	179.957
0.0620155	180.476
0.0623735	180.996
0.0627336	181.517
0.0630957	182.041
0.06346	182.565
0.0638263	183.092
0.0641948	183.619
0.0645654	184.149
0.0649382	184.679
0.0653131	185.212
0.0656901	185.746
0.0660693	186.281
0.0664508	186.818
0.0668344	187.356
0.0672202	187.896
0.0676083	188.438
0.0679986	188.981
0.0683912	189.526
0.068786	190.072
0.0691831	190.62
0.0695825	191.169
0.0699842	191.72
0.0703882	192.273
0.0707946	192.827
0.0712033	193.383
0.0716143	193.94
0.0720278	194.499
0.0724436	195.06
0.0728618	195.622
0.0732825	196.186
0.0737055	196.752
0.074131	197.319
0.074559	197.888
0.0749894	198.458
0.0754223	199.03
0.0758578	199.604
0.0762957	200.179
0.0767361	200.756
0.0771792	201.335
0.0776247	201.915
0.0780728	202.497
0.0785236	203.081
0.0789769	203.666
0.0794328	204.253
0.0798914	204.842
0.0803526	205.432
0.0808165	206.024
0.0812831	206.618
0.0817523	207.214
0.0822243	207.811
0.082699	208.41
0.0831764	209.011
0.0836566	209.613
0.0841395	210.217
0.0846253	210.823
0.0851138	211.431
0.0856052	212.04
0.0860994	212.652
0.0865964	213.264
0.0870964	213.879
0.0875992	214.496
0.0881049	215.114
0.0886135	215.734
0.0891251	216.356
0.0896396	216.979
0.0901571	217.605
0.0906776	218.232
0.0912011	218.861
0.0917276	219.492
0.0922571	220.125
0.0927897	220.759
0.0933254	221.395
0.0938642	222.033
0.0944061	222.673
0.0949511	223.315
0.0954993	223.959
0.0960506	224.605
0.0966051	225.252
0.0971628	225.901
0.0977237	226.552
0.0982879	227.205
0.0988553	227.86
0.099426	228.517
0.1	229.176
0.100577	229.836
0.101158	230.499
0.101742	231.163
0.102329	231.829
0.10292	232.498
0.103514	233.168
0.104112	233.84
0.104713	234.514
0.105317	235.19
0.105925	235.868
0.106537	236.548
0.107152	237.229
0.107771	237.913
0.108393	238.599
0.109018	239.287
0.109648	239.976
0.110281	240.668
0.110917	241.362
0.111558	242.057
0.112202	242.755
0.11285	243.455
0.113501	244.157
0.114156	244.86
0.114815	245.566
0.115478	246.274
0.116145	246.984
0.116815	247.696
0.11749	248.41
0.118168	249.126
0.11885	249.844
0.119536	250.564
0.120226	251.286
0.120921	252.01
0.121619	252.737
0.122321	253.465
0.123027	254.196
0.123737	254.929
0.124451	255.663
0.12517	256.4
0.125893	257.139
0.126619	257.88
0.12735	258.624
0.128086	259.369
0.128825	260.117
0.129569	260.867
0.130317	261.619
0.131069	262.373
0.131826	263.129
0.132587	263.887
0.133352	264.648
0.134122	265.411
0.134896	266.176
0.135675	266.943
0.136458	267.712
0.137246	268.484
0.138038	269.258
0.138835	270.034
0.139637	270.812
0.140443	271.593
0.141254	272.376
0.142069	273.161
0.142889	273.948
0.143714	274.738
0.144544	275.53
0.145378	276.324
0.146218	277.12
0.147062	277.919
0.147911	278.72
0.148765	279.524
0.149624	280.329
0.150487	281.137
0.151356	281.948
0.15223	282.76
0.153109	283.575
0.153993	284.393
0.154882	285.212
0.155776	286.035
0.156675	286.859
0.15758	287.686
0.158489	288.515
0.159404	289.347
0.160325	290.181
0.16125	291.017
0.162181	291.856
0.163117	292.697
0.164059	293.541
0.165006	294.387
0.165959	295.235
0.166917	296.086
0.16788	296.94
0.16885	297.796
0.169824	298.654
0.170805	299.515
0.171791	300.378
0.172783	301.244
0.17378	302.112
0.174783	302.983
0.175792	303.856
0.176807	304.732
0.177828	305.611
0.178855	306.492
0.179887	307.375
0.180926	308.261
0.18197	309.149
0.183021	310.041
0.184077	310.934
0.18514	311.83
0.186209	312.729
0.187284	313.631
0.188365	314.535
0.189452	315.441
0.190546	316.35
0.191646	317.262
0.192752	318.177
0.193865	319.094
0.194984	320.014
0.19611	320.936
0.197242	321.861
0.198381	322.789
0.199526	323.719
0.200678	324.652
0.201837	325.588
0.203002	326.527
0.204174	327.468
0.205353	328.412
0.206538	329.358
0.20773	330.308
0.20893	331.26
0.210136	332.214
0.211349	333.172
0.212569	334.132
0.213796	335.095
0.21503	336.061
0.216272	337.03
0.21752	338.001
0.218776	338.976
0.220039	339.953
0.221309	340.933
0.222587	341.915
0.223872	342.901
0.225165	343.889
0.226464	344.88
0.227772	345.874
0.229087	346.871
0.230409	347.871
0.231739	348.874
0.233077	349.879
0.234423	350.888
0.235776	351.899
0.237137	352.914
0.238506	353.931
0.239883	354.951
0.241268	355.974
0.242661	357
0.244062	358.029
0.245471	359.061
0.246888	360.096
0.248313	361.134
0.249747	362.175
0.251189	363.219
0.252639	364.266
0.254097	365.316
0.255564	366.369
0.25704	367.425
0.258523	368.484
0.260016	369.546
0.261517	370.611
0.263027	371.679
0.264545	372.751
0.266073	373.825
0.267609	374.903
0.269153	375.983
0.270707	377.067
0.27227	378.154
0.273842	379.244
0.275423	380.337
0.277013	381.433
0.278612	382.533
0.280221	383.635
0.281838	384.741
0.283465	385.85
0.285102	386.962
0.286748	388.077
0.288403	389.196
0.290068	390.318
0.291743	391.443
0.293427	392.571
0.295121	393.703
0.296825	394.838
0.298538	395.976
0.300262	397.117
0.301995	398.262
0.303739	399.41
0.305492	400.561
0.307256	401.715
0.30903	402.873
0.310814	404.035
0.312608	405.199
0.314413	406.367
0.316228	407.538
0.318053	408.713
0.31989	409.891
0.321736	411.073
0.323594	412.257
0.325462	413.446
0.327341	414.637
0.32923	415.833
0.331131	417.031
0.333043	418.233
0.334965	419.439
0.336899	420.648
0.338844	421.86
0.3408	423.076
0.342768	424.296
0.344747	425.519
0.346737	426.745
0.348739	427.975
0.350752	429.209
0.352777	430.446
0.354813	431.686
0.356862	432.931
0.358922	434.179
0.360994	435.43
0.363078	436.685
0.365174	437.944
0.367282	439.206
0.369403	440.472
0.371535	441.742
0.37368	443.015
0.375837	444.292
0.378007	445.573
0.380189	446.857
0.382384	448.145
0.384592	449.437
0.386812	450.732
0.389045	452.031
0.391291	453.334
0.39355	454.641
0.395822	455.951
0.398107	457.266
0.400405	458.584
0.402717	459.905
0.405042	461.231
0.40738	462.56
0.409732	463.894
0.412098	465.231
0.414477	466.572
0.416869	467.917
0.419276	469.265
0.421697	470.618
0.424131	471.974
0.42658	473.335
0.429042	474.699
0.431519	476.067
0.43401	477.44
0.436516	478.816
0.439036	480.196
0.44157	481.58
0.44412	482.968
0.446684	484.36
0.449262	485.756
0.451856	487.156
0.454465	488.561
0.457088	489.969
0.459727	491.381
0.462381	492.797
0.46505	494.218
0.467735	495.642
0.470435	497.071
0.473151	498.504
0.475883	499.941
0.47863	501.382
0.481393	502.827
0.484172	504.276
0.486968	505.73
0.489779	507.187
0.492606	508.649
0.49545	510.115
0.49831	511.586
0.501187	513.06
0.504081	514.539
0.506991	516.022
0.509918	517.51
0.512861	519.001
0.515822	520.497
0.5188	521.998
0.521795	523.502
0.524807	525.011
0.527837	526.524
0.530884	528.042
0.533949	529.564
0.537032	531.09
0.540132	532.621
0.54325	534.156
0.546387	535.696
0.549541	537.24
0.552713	538.789
0.555904	540.342
0.559114	541.899
0.562341	543.461
0.565588	545.028
0.568853	546.599
0.572137	548.174
0.57544	549.754
0.578762	551.339
0.582103	552.928
0.585464	554.522
0.588844	556.12
0.592243	557.723
0.595662	559.33
0.599101	560.943
0.60256	562.559
0.606038	564.181
0.609537	565.807
0.613056	567.438
0.616595	569.074
0.620155	570.714
0.623735	572.359
