Stopping power dEdx from Ionisation for Sc45[0.0] Z = 21 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	29.4636
0.00100577	29.5491
0.00101158	29.635
0.00101742	29.721
0.00102329	29.8073
0.0010292	29.8939
0.00103514	29.9807
0.00104112	30.0677
0.00104713	30.155
0.00105317	30.2426
0.00105925	30.3304
0.00106537	30.4184
0.00107152	30.5067
0.00107771	30.5953
0.00108393	30.6841
0.00109018	30.7732
0.00109648	30.8625
0.00110281	30.9521
0.00110917	31.042
0.00111558	31.1321
0.00112202	31.2225
0.0011285	31.3131
0.00113501	31.404
0.00114156	31.4951
0.00114815	31.5866
0.00115478	31.6782
0.00116145	31.7702
0.00116815	31.8624
0.0011749	31.9549
0.00118168	32.0476
0.0011885	32.1406
0.00119536	32.2339
0.00120226	32.3274
0.00120921	32.4212
0.00121619	32.5153
0.00122321	32.6097
0.00123027	32.7043
0.00123737	32.7992
0.00124451	32.8944
0.0012517	32.9898
0.00125893	33.0856
0.00126619	33.1816
0.0012735	33.2778
0.00128086	33.3744
0.00128825	33.4712
0.00129569	33.5683
0.00130317	33.6657
0.00131069	33.7634
0.00131826	33.8614
0.00132587	33.9596
0.00133352	34.0581
0.00134122	34.1569
0.00134896	34.256
0.00135675	34.3554
0.00136458	34.455
0.00137246	34.555
0.00138038	34.6552
0.00138835	34.7557
0.00139637	34.8566
0.00140443	34.9577
0.00141254	35.0591
0.00142069	35.1607
0.00142889	35.2627
0.00143714	35.365
0.00144544	35.4676
0.00145378	35.5704
0.00146218	35.6736
0.00147062	35.7771
0.00147911	35.8808
0.00148765	35.9849
0.00149624	36.0892
0.00150487	36.1939
0.00151356	36.2989
0.0015223	36.4041
0.00153109	36.5097
0.00153993	36.6156
0.00154882	36.7217
0.00155776	36.8282
0.00156675	36.935
0.0015758	37.0421
0.00158489	37.1495
0.00159404	37.2572
0.00160325	37.3652
0.0016125	37.4736
0.00162181	37.5822
0.00163117	37.6912
0.00164059	37.8005
0.00165006	37.91
0.00165959	38.0199
0.00166917	38.1302
0.0016788	38.2407
0.0016885	38.3516
0.00169824	38.4627
0.00170805	38.5742
0.00171791	38.6861
0.00172783	38.7982
0.0017378	38.9107
0.00174783	39.0235
0.00175792	39.1366
0.00176807	39.25
0.00177828	39.3638
0.00178855	39.4779
0.00179887	39.5923
0.00180926	39.7071
0.0018197	39.8222
0.00183021	39.9376
0.00184077	40.0533
0.0018514	40.1694
0.00186209	40.2858
0.00187284	40.4026
0.00188365	40.5197
0.00189452	40.6371
0.00190546	40.7549
0.00191646	40.873
0.00192752	40.9914
0.00193865	41.1102
0.00194984	41.2293
0.0019611	41.3488
0.00197242	41.4686
0.00198381	41.5888
0.00199526	41.7093
0.00200678	41.8302
0.00201837	41.9514
0.00203002	42.0729
0.00204174	42.1948
0.00205353	42.3171
0.00206538	42.4397
0.0020773	42.5626
0.0020893	42.686
0.00210136	42.8096
0.00211349	42.9337
0.00212569	43.058
0.00213796	43.1828
0.0021503	43.3079
0.00216272	43.4334
0.0021752	43.5592
0.00218776	43.6854
0.00220039	43.8119
0.00221309	43.9388
0.00222587	44.0661
0.00223872	44.1938
0.00225165	44.3218
0.00226464	44.4502
0.00227772	44.5789
0.00229087	44.7081
0.00230409	44.8376
0.00231739	44.9674
0.00233077	45.0977
0.00234423	45.2283
0.00235776	45.3593
0.00237137	45.4907
0.00238506	45.6224
0.00239883	45.7546
0.00241268	45.8871
0.00242661	46.02
0.00244062	46.1533
0.00245471	46.2869
0.00246888	46.421
0.00248313	46.5554
0.00249747	46.6903
0.00251189	46.8255
0.00252639	46.9611
0.00254097	47.0971
0.00255564	47.2335
0.0025704	47.3702
0.00258523	47.5074
0.00260016	47.645
0.00261517	47.783
0.00263027	47.9213
0.00264545	48.0601
0.00266073	48.1992
0.00267609	48.3388
0.00269153	48.4788
0.00270707	48.6191
0.0027227	48.7599
0.00273842	48.9011
0.00275423	49.0427
0.00277013	49.1847
0.00278612	49.3271
0.00280221	49.4699
0.00281838	49.6131
0.00283465	49.7568
0.00285102	49.9008
0.00286748	50.0453
0.00288403	50.1902
0.00290068	50.3355
0.00291743	50.4812
0.00293427	50.6273
0.00295121	50.7739
0.00296825	50.9209
0.00298538	51.0683
0.00300262	51.2161
0.00301995	51.3644
0.00303739	51.5131
0.00305492	51.6622
0.00307256	51.8117
0.0030903	51.9617
0.00310814	52.1121
0.00312608	52.2629
0.00314413	52.4142
0.00316228	52.5659
0.00318053	52.7181
0.0031989	52.8707
0.00321736	53.0237
0.00323594	53.1772
0.00325462	53.3311
0.00327341	53.4854
0.0032923	53.6402
0.00331131	53.7955
0.00333043	53.9512
0.00334965	54.1073
0.00336899	54.2639
0.00338844	54.421
0.003408	54.5784
0.00342768	54.7364
0.00344747	54.8948
0.00346737	55.0537
0.00348739	55.213
0.00350752	55.3728
0.00352777	55.533
0.00354813	55.6937
0.00356862	55.8549
0.00358922	56.0165
0.00360994	56.1786
0.00363078	56.3412
0.00365174	56.5042
0.00367282	56.6677
0.00369403	56.8317
0.00371535	56.9961
0.0037368	57.161
0.00375837	57.3264
0.00378007	57.4923
0.00380189	57.6586
0.00382384	57.8255
0.00384592	57.9928
0.00386812	58.1606
0.00389045	58.3289
0.00391291	58.4976
0.0039355	58.6669
0.00395822	58.8366
0.00398107	59.0068
0.00400405	59.1775
0.00402717	59.3487
0.00405042	59.5204
0.0040738	59.6926
0.00409732	59.8653
0.00412098	60.0385
0.00414477	60.2122
0.00416869	60.3864
0.00419276	60.5611
0.00421697	60.7363
0.00424131	60.912
0.0042658	61.0882
0.00429042	61.2649
0.00431519	61.4421
0.0043401	61.6199
0.00436516	61.7981
0.00439036	61.9769
0.0044157	62.1561
0.0044412	62.3359
0.00446684	62.5162
0.00449262	62.6971
0.00451856	62.8784
0.00454465	63.0603
0.00457088	63.2427
0.00459727	63.4256
0.00462381	63.6091
0.0046505	63.7931
0.00467735	63.9776
0.00470435	64.1626
0.00473151	64.3482
0.00475883	64.5343
0.0047863	64.7209
0.00481393	64.9081
0.00484172	65.0959
0.00486968	65.2841
0.00489779	65.4729
0.00492606	65.6623
0.0049545	65.8522
0.0049831	66.0426
0.00501187	66.2336
0.00504081	66.4252
0.00506991	66.6173
0.00509918	66.8099
0.00512861	67.0031
0.00515822	67.1969
0.005188	67.3912
0.00521795	67.5861
0.00524807	67.7815
0.00527837	67.9775
0.00530884	68.1741
0.00533949	68.3712
0.00537032	68.569
0.00540132	68.7672
0.0054325	68.9661
0.00546387	69.1655
0.00549541	69.3655
0.00552713	69.5661
0.00555904	69.7672
0.00559114	69.969
0.00562341	70.1713
0.00565588	70.3742
0.00568853	70.5776
0.00572137	70.7817
0.0057544	70.9864
0.00578762	71.1916
0.00582103	71.3974
0.00585464	71.6039
0.00588844	71.8109
0.00592243	72.0185
0.00595662	72.2267
0.00599101	72.4356
0.0060256	72.645
0.00606038	72.855
0.00609537	73.0656
0.00613056	73.2769
0.00616595	73.4887
0.00620155	73.7012
0.00623735	73.9142
0.00627336	74.1279
0.00630957	74.3422
0.006346	74.5571
0.00638263	74.7727
0.00641948	74.9888
0.00645654	75.2056
0.00649382	75.423
0.00653131	75.6411
0.00656901	75.8597
0.00660693	76.079
0.00664508	76.2989
0.00668344	76.5195
0.00672202	76.7407
0.00676083	76.9625
0.00679986	77.185
0.00683912	77.4081
0.0068786	77.6318
0.00691831	77.8562
0.00695825	78.0813
0.00699842	78.307
0.00703882	78.5333
0.00707946	78.7603
0.00712033	78.988
0.00716143	79.2163
0.00720278	79.4453
0.00724436	79.6749
0.00728618	79.9052
0.00732825	80.1361
0.00737055	80.3677
0.0074131	80.6
0.0074559	80.833
0.00749894	81.0666
0.00754223	81.3009
0.00758578	81.5359
0.00762957	81.7715
0.00767361	82.0079
0.00771792	82.2449
0.00776247	82.4826
0.00780728	82.721
0.00785236	82.96
0.00789769	83.1998
0.00794328	83.4402
0.00798914	83.6814
0.00803526	83.9232
0.00808165	84.1657
0.00812831	84.409
0.00817523	84.6529
0.00822243	84.8975
0.0082699	85.1429
0.00831764	85.3889
0.00836566	85.6357
0.00841395	85.8832
0.00846253	86.1313
0.00851138	86.3802
0.00856052	86.6299
0.00860994	86.8802
0.00865964	87.1312
0.00870964	87.383
0.00875992	87.6355
0.00881049	87.8888
0.00886135	88.1427
0.00891251	88.3974
0.00896396	88.6529
0.00901571	88.909
0.00906776	89.1659
0.00912011	91.0451
0.00917276	91.3071
0.00922571	91.5699
0.00927897	91.8334
0.00933254	92.0977
0.00938642	92.3627
0.00944061	92.6285
0.00949511	92.8951
0.00954993	93.1624
0.00960506	93.4305
0.00966051	93.6994
0.00971628	93.969
0.00977237	94.2394
0.00982879	94.5106
0.00988553	94.7826
0.0099426	95.0553
0.01	95.3289
0.0100577	95.6032
0.0101158	95.8783
0.0101742	96.1542
0.0102329	96.4309
0.010292	96.7084
0.0103514	96.9866
0.0104112	97.2657
0.0104713	97.5456
0.0105317	97.8263
0.0105925	98.1078
0.0106537	98.3901
0.0107152	98.6732
0.0107771	98.9571
0.0108393	99.2419
0.0109018	99.5275
0.0109648	99.8138
0.0110281	100.101
0.0110917	100.389
0.0111558	100.678
0.0112202	100.968
0.011285	101.258
0.0113501	101.549
0.0114156	101.842
0.0114815	102.135
0.0115478	102.429
0.0116145	102.723
0.0116815	103.019
0.011749	103.315
0.0118168	103.613
0.011885	103.911
0.0119536	104.21
0.0120226	104.509
0.0120921	104.81
0.0121619	105.112
0.0122321	105.414
0.0123027	105.717
0.0123737	106.022
0.0124451	106.327
0.012517	106.632
0.0125893	106.939
0.0126619	107.247
0.012735	107.555
0.0128086	107.865
0.0128825	108.175
0.0129569	108.486
0.0130317	108.799
0.0131069	109.112
0.0131826	109.426
0.0132587	109.74
0.0133352	110.056
0.0134122	110.373
0.0134896	110.69
0.0135675	111.009
0.0136458	111.328
0.0137246	111.648
0.0138038	111.969
0.0138835	112.292
0.0139637	112.615
0.0140443	112.939
0.0141254	113.263
0.0142069	113.589
0.0142889	113.916
0.0143714	114.244
0.0144544	114.572
0.0145378	114.902
