Stopping power dEdx from Ionisation for Sc45[0.0] Z = 21 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	22.8878
0.00100577	22.9541
0.00101158	23.0207
0.00101742	23.0874
0.00102329	23.1543
0.0010292	23.2214
0.00103514	23.2888
0.00104112	23.3563
0.00104713	23.424
0.00105317	23.4919
0.00105925	23.56
0.00106537	23.6283
0.00107152	23.6967
0.00107771	23.7654
0.00108393	23.8343
0.00109018	23.9034
0.00109648	23.9727
0.00110281	24.0422
0.00110917	24.1118
0.00111558	24.1817
0.00112202	24.2518
0.0011285	24.3221
0.00113501	24.3926
0.00114156	24.4633
0.00114815	24.5342
0.00115478	24.6053
0.00116145	24.6766
0.00116815	24.7481
0.0011749	24.8198
0.00118168	24.8917
0.0011885	24.9638
0.00119536	25.0362
0.00120226	25.1087
0.00120921	25.1815
0.00121619	25.2544
0.00122321	25.3276
0.00123027	25.401
0.00123737	25.4746
0.00124451	25.5484
0.0012517	25.6224
0.00125893	25.6967
0.00126619	25.7711
0.0012735	25.8458
0.00128086	25.9207
0.00128825	25.9957
0.00129569	26.0711
0.00130317	26.1466
0.00131069	26.2223
0.00131826	26.2983
0.00132587	26.3745
0.00133352	26.4509
0.00134122	26.5275
0.00134896	26.6043
0.00135675	26.6814
0.00136458	26.7587
0.00137246	26.8362
0.00138038	26.9139
0.00138835	26.9919
0.00139637	27.0701
0.00140443	27.1485
0.00141254	27.2271
0.00142069	27.306
0.00142889	27.3851
0.00143714	27.4644
0.00144544	27.5439
0.00145378	27.6237
0.00146218	27.7037
0.00147062	27.784
0.00147911	27.8644
0.00148765	27.9451
0.00149624	28.026
0.00150487	28.1072
0.00151356	28.1886
0.0015223	28.2702
0.00153109	28.3521
0.00153993	28.4342
0.00154882	28.5165
0.00155776	28.5991
0.00156675	28.6819
0.0015758	28.765
0.00158489	28.8483
0.00159404	28.9318
0.00160325	29.0156
0.0016125	29.0996
0.00162181	29.1839
0.00163117	29.2684
0.00164059	29.3531
0.00165006	29.4381
0.00165959	29.5233
0.00166917	29.6088
0.0016788	29.6945
0.0016885	29.7805
0.00169824	29.8667
0.00170805	29.9532
0.00171791	30.0399
0.00172783	30.1269
0.0017378	30.2141
0.00174783	30.3016
0.00175792	30.3893
0.00176807	30.4773
0.00177828	30.5655
0.00178855	30.654
0.00179887	30.7427
0.00180926	30.8317
0.0018197	30.921
0.00183021	31.0105
0.00184077	31.1002
0.0018514	31.1903
0.00186209	31.2806
0.00187284	31.3711
0.00188365	31.4619
0.00189452	31.553
0.00190546	31.6443
0.00191646	31.7359
0.00192752	31.8278
0.00193865	31.9199
0.00194984	32.0123
0.0019611	32.1049
0.00197242	32.1978
0.00198381	32.291
0.00199526	32.3845
0.00200678	32.4782
0.00201837	32.5722
0.00203002	32.6665
0.00204174	32.761
0.00205353	32.8558
0.00206538	32.9509
0.0020773	33.0463
0.0020893	33.1419
0.00210136	33.2378
0.00211349	33.334
0.00212569	33.4305
0.00213796	33.5272
0.0021503	33.6242
0.00216272	33.7215
0.0021752	33.8191
0.00218776	33.917
0.00220039	34.0151
0.00221309	34.1135
0.00222587	34.2122
0.00223872	34.3112
0.00225165	34.4105
0.00226464	34.5101
0.00227772	34.6099
0.00229087	34.7101
0.00230409	34.8105
0.00231739	34.9112
0.00233077	35.0122
0.00234423	35.1135
0.00235776	35.2151
0.00237137	35.317
0.00238506	35.4192
0.00239883	35.5217
0.00241268	35.6244
0.00242661	35.7275
0.00244062	35.8309
0.00245471	35.9345
0.00246888	36.0385
0.00248313	36.1427
0.00249747	36.2473
0.00251189	36.3521
0.00252639	36.4573
0.00254097	36.5628
0.00255564	36.6685
0.0025704	36.7746
0.00258523	36.881
0.00260016	36.9877
0.00261517	37.0947
0.00263027	37.202
0.00264545	37.3096
0.00266073	37.4175
0.00267609	37.5258
0.00269153	37.6343
0.00270707	37.7432
0.0027227	37.8523
0.00273842	37.9618
0.00275423	38.0716
0.00277013	38.1817
0.00278612	38.2922
0.00280221	38.4029
0.00281838	38.514
0.00283465	38.6254
0.00285102	38.7371
0.00286748	38.8491
0.00288403	38.9615
0.00290068	39.0742
0.00291743	39.1872
0.00293427	39.3005
0.00295121	39.4142
0.00296825	39.5282
0.00298538	39.6425
0.00300262	39.7571
0.00301995	39.8721
0.00303739	39.9874
0.00305492	40.1031
0.00307256	40.219
0.0030903	40.3354
0.00310814	40.452
0.00312608	40.569
0.00314413	40.6863
0.00316228	40.8039
0.00318053	40.9219
0.0031989	41.0403
0.00321736	41.159
0.00323594	41.278
0.00325462	41.3973
0.00327341	41.517
0.0032923	41.6371
0.00331131	41.7575
0.00333043	41.8782
0.00334965	41.9993
0.00336899	42.1208
0.00338844	42.2425
0.003408	42.3647
0.00342768	42.4872
0.00344747	42.61
0.00346737	42.7332
0.00348739	42.8568
0.00350752	42.9807
0.00352777	43.105
0.00354813	43.2296
0.00356862	43.3546
0.00358922	43.4799
0.00360994	43.6056
0.00363078	43.7317
0.00365174	43.8581
0.00367282	43.9849
0.00369403	44.1121
0.00371535	44.2396
0.0037368	44.3675
0.00375837	44.4958
0.00378007	44.6244
0.00380189	44.7534
0.00382384	44.8828
0.00384592	45.0125
0.00386812	45.1427
0.00389045	45.2732
0.00391291	45.404
0.0039355	45.5353
0.00395822	45.6669
0.00398107	45.7989
0.00400405	45.9313
0.00402717	46.0641
0.00405042	46.1973
0.0040738	46.3308
0.00409732	46.4647
0.00412098	46.599
0.00414477	46.7337
0.00416869	46.8688
0.00419276	47.0043
0.00421697	47.1402
0.00424131	47.2764
0.0042658	47.4131
0.00429042	47.5501
0.00431519	47.6876
0.0043401	47.8254
0.00436516	47.9636
0.00439036	48.1023
0.0044157	48.2413
0.0044412	48.3807
0.00446684	48.5206
0.00449262	48.6608
0.00451856	48.8014
0.00454465	48.9425
0.00457088	49.0839
0.00459727	49.2258
0.00462381	49.3681
0.0046505	49.5107
0.00467735	49.6538
0.00470435	49.7973
0.00473151	49.9412
0.00475883	50.0856
0.0047863	50.2303
0.00481393	50.3755
0.00484172	50.5211
0.00486968	50.6671
0.00489779	50.8135
0.00492606	50.9603
0.0049545	51.1076
0.0049831	51.2553
0.00501187	51.4034
0.00504081	51.552
0.00506991	51.7009
0.00509918	51.8504
0.00512861	52.0002
0.00515822	52.1505
0.005188	51.7602
0.00521795	51.9095
0.00524807	52.0593
0.00527837	52.2095
0.00530884	52.3601
0.00533949	52.5112
0.00537032	52.6627
0.00540132	52.8146
0.0054325	52.967
0.00546387	53.1198
0.00549541	53.2731
0.00552713	53.4268
0.00555904	53.581
0.00559114	53.7355
0.00562341	53.8906
0.00565588	54.0461
0.00568853	54.202
0.00572137	54.3584
0.0057544	54.5153
0.00578762	54.6725
0.00582103	54.8303
0.00585464	54.9885
0.00588844	55.1472
0.00592243	55.3063
0.00595662	55.4659
0.00599101	55.6259
0.0060256	55.7864
0.00606038	55.9474
0.00609537	56.1088
0.00613056	56.2707
0.00616595	56.4331
0.00620155	56.5959
0.00623735	56.7592
0.00627336	56.923
0.00630957	57.0872
0.006346	57.2519
0.00638263	57.4171
0.00641948	57.5828
0.00645654	57.749
0.00649382	57.9156
0.00653131	58.0827
0.00656901	58.2503
0.00660693	58.4184
0.00664508	58.587
0.00668344	58.756
0.00672202	58.9256
0.00676083	59.0956
0.00679986	59.2661
0.00683912	59.4371
0.0068786	59.6086
0.00691831	59.7807
0.00695825	59.9532
0.00699842	60.1262
0.00703882	60.2997
0.00707946	60.4737
0.00712033	60.6482
0.00716143	60.8232
0.00720278	60.9987
0.00724436	61.1747
0.00728618	61.3512
0.00732825	61.5283
0.00737055	61.7058
0.0074131	61.8839
0.0074559	62.0625
0.00749894	62.2416
0.00754223	62.4212
0.00758578	62.6013
0.00762957	62.782
0.00767361	62.9631
0.00771792	63.1448
0.00776247	63.3271
0.00780728	63.5098
0.00785236	63.6931
0.00789769	63.8769
0.00794328	64.0612
0.00798914	64.2461
0.00803526	64.4315
0.00808165	64.6175
0.00812831	64.8039
0.00817523	64.9909
0.00822243	65.1785
0.0082699	65.3666
0.00831764	65.5552
0.00836566	65.7444
0.00841395	65.9342
0.00846253	66.1244
0.00851138	66.3153
0.00856052	66.5067
0.00860994	66.6986
0.00865964	66.8911
0.00870964	67.0841
0.00875992	67.2777
0.00881049	67.4719
0.00886135	67.6666
0.00891251	67.8619
0.00896396	68.0578
0.00901571	68.2542
0.00906776	68.4512
0.00912011	68.6487
0.00917276	68.8468
0.00922571	69.0455
0.00927897	69.2448
0.00933254	69.4447
0.00938642	69.6451
0.00944061	69.8461
0.00949511	70.0477
0.00954993	70.2499
0.00960506	70.4526
0.00966051	70.6559
0.00971628	70.8599
0.00977237	71.0644
0.00982879	71.2695
0.00988553	71.4752
0.0099426	71.6815
0.01	71.8884
0.0100577	72.0959
0.0101158	72.304
0.0101742	72.5126
0.0102329	72.7219
0.010292	72.9318
0.0103514	73.1423
0.0104112	73.3534
0.0104713	73.5652
0.0105317	73.7775
0.0105925	73.9905
0.0106537	74.204
0.0107152	74.4182
0.0107771	74.633
0.0108393	74.8484
0.0109018	75.0645
0.0109648	75.2811
0.0110281	75.4984
0.0110917	75.7163
0.0111558	75.9349
0.0112202	76.1541
0.011285	76.3739
0.0113501	76.5944
0.0114156	76.8154
0.0114815	77.0372
0.0115478	77.2595
0.0116145	77.4826
0.0116815	77.7062
0.011749	77.9305
0.0118168	78.1555
0.011885	78.3811
0.0119536	78.6073
0.0120226	78.8342
0.0120921	79.0618
0.0121619	79.29
0.0122321	79.5189
0.0123027	79.7484
0.0123737	79.9787
0.0124451	80.2095
0.012517	80.4411
0.0125893	80.6733
0.0126619	80.9062
0.012735	81.1397
0.0128086	81.3739
0.0128825	81.6089
0.0129569	81.8444
0.0130317	82.0807
0.0131069	82.3177
0.0131826	82.5553
0.0132587	82.7936
0.0133352	83.0326
0.0134122	83.2723
0.0134896	83.5127
0.0135675	83.7538
0.0136458	83.9956
0.0137246	84.2381
0.0138038	84.4813
0.0138835	84.7252
0.0139637	84.9698
0.0140443	85.2151
0.0141254	85.4611
0.0142069	85.7078
0.0142889	85.9552
0.0143714	86.2034
0.0144544	86.4523
0.0145378	86.7019
0.0146218	86.9522
0.0147062	87.2032
0.0147911	87.455
0.0148765	87.7075
0.0149624	87.9607
0.0150487	88.2146
0.0151356	88.4693
0.015223	88.7247
0.0153109	88.9809
0.0153993	89.2378
0.0154882	89.4955
0.0155776	89.7538
0.0156675	90.013
0.015758	90.2729
0.0158489	90.5335
0.0159404	90.7949
0.0160325	91.0571
0.016125	91.32
0.0162181	91.5836
0.0163117	91.8481
0.0164059	92.1133
0.0165006	92.3792
0.0165959	92.6459
0.0166917	92.9135
0.016788	93.1817
0.016885	93.4508
0.0169824	93.7206
0.0170805	93.9912
0.0171791	94.2626
0.0172783	94.5348
0.017378	94.8078
0.0174783	95.0815
0.0175792	95.3561
0.0176807	95.6314
0.0177828	95.9075
0.0178855	96.1845
0.0179887	96.4622
0.0180926	96.7408
0.018197	97.0201
0.0183021	97.3003
0.0184077	97.5812
0.018514	97.863
0.0186209	98.1456
0.0187284	98.429
0.0188365	98.7132
0.0189452	98.9983
0.0190546	99.2842
0.0191646	99.5709
0.0192752	99.8584
0.0193865	100.147
0.0194984	100.436
0.019611	100.726
0.0197242	101.017
0.0198381	101.309
0.0199526	101.601
0.0200678	101.895
0.0201837	102.189
0.0203002	102.484
0.0204174	102.78
0.0205353	103.077
0.0206538	103.374
0.020773	103.673
0.020893	103.972
0.0210136	104.273
0.0211349	104.574
0.0212569	104.876
0.0213796	105.179
0.021503	105.482
0.0216272	105.787
0.021752	106.093
0.0218776	106.399
0.0220039	106.706
0.0221309	107.014
0.0222587	107.324
0.0223872	107.633
0.0225165	107.944
0.0226464	108.256
0.0227772	108.569
0.0229087	108.882
0.0230409	109.197
0.0231739	109.512
0.0233077	109.828
0.0234423	110.146
0.0235776	110.464
0.0237137	110.783
0.0238506	111.103
0.0239883	111.424
0.0241268	111.746
0.0242661	112.068
0.0244062	112.392
0.0245471	112.717
0.0246888	113.042
0.0248313	113.369
0.0249747	113.696
0.0251189	114.025
0.0252639	114.354
0.0254097	114.684
0.0255564	115.016
0.025704	115.348
0.0258523	115.681
0.0260016	116.015
0.0261517	116.35
0.0263027	116.686
0.0264545	117.023
0.0266073	117.362
0.0267609	117.701
0.0269153	118.041
0.0270707	118.382
0.027227	118.724
0.0273842	119.066
0.0275423	119.41
0.0277013	119.755
0.0278612	120.101
0.0280221	120.448
0.0281838	120.796
0.0283465	121.145
0.0285102	121.495
0.0286748	121.846
0.0288403	122.198
0.0290068	122.551
0.0291743	122.905
0.0293427	123.26
0.0295121	123.616
0.0296825	123.974
0.0298538	124.332
0.0300262	124.691
0.0301995	125.051
0.0303739	125.412
0.0305492	125.775
0.0307256	126.138
0.030903	126.503
0.0310814	126.868
0.0312608	127.235
0.0314413	127.602
0.0316228	127.971
0.0318053	128.341
0.031989	128.711
0.0321736	129.083
0.0323594	129.456
0.0325462	129.83
0.0327341	130.205
0.032923	130.582
0.0331131	130.959
0.0333043	131.337
0.0334965	131.717
0.0336899	132.097
0.0338844	132.479
0.03408	132.862
0.0342768	133.246
0.0344747	133.631
0.0346737	134.017
0.0348739	134.404
0.0350752	134.793
0.0352777	135.182
0.0354813	135.573
0.0356862	135.964
0.0358922	136.357
0.0360994	136.751
0.0363078	137.147
0.0365174	137.543
0.0367282	137.94
0.0369403	138.339
0.0371535	138.739
0.037368	139.14
0.0375837	139.542
0.0378007	139.945
0.0380189	140.349
0.0382384	140.755
0.0384592	141.162
0.0386812	141.57
0.0389045	141.979
0.0391291	142.389
0.039355	142.801
0.0395822	143.213
0.0398107	143.627
0.0400405	144.042
0.0402717	144.459
0.0405042	144.876
0.040738	145.295
0.0409732	145.715
0.0412098	146.136
0.0414477	146.558
0.0416869	146.982
0.0419276	147.407
0.0421697	147.833
0.0424131	148.26
0.042658	148.689
0.0429042	149.118
0.0431519	149.549
0.043401	149.982
0.0436516	150.415
0.0439036	150.85
0.044157	151.286
0.044412	151.723
0.0446684	152.162
0.0449262	152.602
0.0451856	153.043
0.0454465	153.485
0.0457088	153.929
0.0459727	154.374
0.0462381	154.82
0.046505	155.267
0.0467735	155.716
0.0470435	156.166
0.0473151	156.618
0.0475883	157.071
0.047863	157.525
0.0481393	157.98
0.0484172	158.437
0.0486968	158.895
0.0489779	159.354
0.0492606	159.815
0.049545	160.277
0.049831	160.74
0.0501187	161.205
0.0504081	161.671
0.0506991	162.138
0.0509918	162.607
0.0512861	163.077
0.0515822	163.549
0.05188	164.021
0.0521795	164.496
0.0524807	164.971
0.0527837	165.448
0.0530884	165.927
0.0533949	166.406
0.0537032	166.887
0.0540132	167.37
0.054325	167.854
0.0546387	168.339
0.0549541	168.826
0.0552713	169.314
0.0555904	169.804
0.0559114	170.295
0.0562341	170.787
0.0565588	171.281
0.0568853	171.776
0.0572137	172.273
0.057544	172.771
0.0578762	173.271
0.0582103	173.772
0.0585464	174.274
0.0588844	174.778
0.0592243	175.283
0.0595662	175.79
0.0599101	176.299
0.060256	176.808
0.0606038	177.32
0.0609537	177.833
0.0613056	178.347
0.0616595	178.863
0.0620155	179.38
0.0623735	179.899
0.0627336	180.419
0.0630957	180.941
0.06346	181.464
0.0638263	181.989
0.0641948	182.515
