Stopping power dEdx from Ionisation for Si28[0.0] Z = 14 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	32.9886
0.00100577	33.0845
0.00101158	33.1807
0.00101742	33.2771
0.00102329	33.3738
0.0010292	33.4708
0.00103514	33.5681
0.00104112	33.6657
0.00104713	33.7635
0.00105317	33.8616
0.00105925	33.96
0.00106537	34.0587
0.00107152	34.1577
0.00107771	34.2569
0.00108393	34.3565
0.00109018	34.4563
0.00109648	34.5564
0.00110281	34.6568
0.00110917	34.7575
0.00111558	34.8585
0.00112202	34.9597
0.0011285	35.0613
0.00113501	35.1632
0.00114156	35.2653
0.00114815	35.3678
0.00115478	35.4705
0.00116145	35.5735
0.00116815	35.6769
0.0011749	35.7805
0.00118168	35.8844
0.0011885	35.9887
0.00119536	36.0932
0.00120226	36.198
0.00120921	36.3032
0.00121619	36.4086
0.00122321	36.5143
0.00123027	36.6204
0.00123737	36.7267
0.00124451	36.8334
0.0012517	36.9404
0.00125893	37.0476
0.00126619	37.1552
0.0012735	37.2631
0.00128086	37.3713
0.00128825	37.4798
0.00129569	37.5887
0.00130317	37.6978
0.00131069	37.8073
0.00131826	37.917
0.00132587	38.0271
0.00133352	38.1375
0.00134122	38.2482
0.00134896	38.3593
0.00135675	38.4706
0.00136458	38.5823
0.00137246	38.6943
0.00138038	38.8067
0.00138835	38.9193
0.00139637	39.0323
0.00140443	39.1456
0.00141254	39.2592
0.00142069	39.3732
0.00142889	39.4875
0.00143714	39.6021
0.00144544	39.717
0.00145378	39.8323
0.00146218	39.9479
0.00147062	40.0639
0.00147911	40.1801
0.00148765	40.2968
0.00149624	40.4137
0.00150487	40.531
0.00151356	40.6486
0.0015223	40.7666
0.00153109	40.8849
0.00153993	41.0035
0.00154882	41.1225
0.00155776	41.2418
0.00156675	41.3615
0.0015758	41.4815
0.00158489	41.6019
0.00159404	41.7226
0.00160325	41.8436
0.0016125	41.9651
0.00162181	42.0868
0.00163117	42.2089
0.00164059	42.3314
0.00165006	42.4542
0.00165959	42.5774
0.00166917	42.7009
0.0016788	42.8248
0.0016885	42.949
0.00169824	43.0736
0.00170805	43.1985
0.00171791	43.3238
0.00172783	43.4495
0.0017378	43.5756
0.00174783	43.702
0.00175792	43.8287
0.00176807	43.9558
0.00177828	44.0833
0.00178855	44.2112
0.00179887	44.3394
0.00180926	44.468
0.0018197	44.597
0.00183021	44.7263
0.00184077	44.8561
0.0018514	44.9862
0.00186209	45.1166
0.00187284	45.2475
0.00188365	45.3787
0.00189452	45.5103
0.00190546	45.6422
0.00191646	45.7746
0.00192752	45.9073
0.00193865	46.0405
0.00194984	46.174
0.0019611	46.3078
0.00197242	46.4421
0.00198381	46.5768
0.00199526	46.7118
0.00200678	46.8473
0.00201837	46.9831
0.00203002	47.1193
0.00204174	47.2559
0.00205353	47.3929
0.00206538	47.5303
0.0020773	47.6681
0.0020893	47.8063
0.00210136	47.9449
0.00211349	48.0839
0.00212569	48.2233
0.00213796	48.3631
0.0021503	48.5033
0.00216272	48.6439
0.0021752	48.7849
0.00218776	48.9263
0.00220039	49.0682
0.00221309	49.2104
0.00222587	49.353
0.00223872	49.4961
0.00225165	49.6395
0.00226464	49.7834
0.00227772	49.9277
0.00229087	50.0724
0.00230409	50.2175
0.00231739	50.3631
0.00233077	50.509
0.00234423	50.6554
0.00235776	50.8022
0.00237137	50.9495
0.00238506	51.0971
