Stopping power dEdx from Ionisation for Si28[0.0] Z = 14 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	58.4178
0.00100577	58.5862
0.00101158	58.755
0.00101742	58.9244
0.00102329	59.0942
0.0010292	59.2646
0.00103514	59.4354
0.00104112	59.6067
0.00104713	59.7785
0.00105317	59.9508
0.00105925	60.1236
0.00106537	60.2969
0.00107152	60.4707
0.00107771	60.645
0.00108393	60.8198
0.00109018	60.9951
0.00109648	61.1709
0.00110281	61.3472
0.00110917	61.5241
0.00111558	61.7014
0.00112202	61.8792
0.0011285	62.0576
0.00113501	62.2365
0.00114156	62.4159
0.00114815	62.5958
0.00115478	62.7762
0.00116145	62.9571
0.00116815	63.1386
0.0011749	63.3206
0.00118168	63.5031
0.0011885	63.6861
0.00119536	63.8697
0.00120226	64.0538
0.00120921	64.2384
0.00121619	64.4236
0.00122321	64.6093
0.00123027	64.7955
0.00123737	64.9823
0.00124451	65.1696
0.0012517	65.3574
0.00125893	65.5458
0.00126619	65.7347
0.0012735	65.9242
0.00128086	66.1142
0.00128825	66.3048
0.00129569	66.4959
0.00130317	66.6876
0.00131069	66.8798
0.00131826	67.0726
0.00132587	67.2659
0.00133352	67.4598
0.00134122	67.6542
0.00134896	67.8492
0.00135675	68.0448
0.00136458	68.2409
0.00137246	68.4376
0.00138038	68.6349
0.00138835	68.8327
0.00139637	69.0311
0.00140443	69.2301
0.00141254	69.4297
0.00142069	69.6298
0.00142889	69.8305
0.00143714	70.0318
0.00144544	70.2336
0.00145378	70.436
0.00146218	70.6391
0.00147062	70.8427
0.00147911	71.0469
0.00148765	71.2517
0.00149624	71.457
0.00150487	71.663
0.00151356	71.8696
0.0015223	72.0767
0.00153109	72.2845
0.00153993	72.4928
0.00154882	72.7018
0.00155776	72.9113
0.00156675	73.1215
0.0015758	73.3322
0.00158489	73.5436
0.00159404	73.7556
0.00160325	73.9682
0.0016125	74.1814
0.00162181	74.3952
0.00163117	74.6096
0.00164059	74.8247
0.00165006	75.0404
0.00165959	75.2567
0.00166917	75.4736
0.0016788	75.6911
0.0016885	75.9093
0.00169824	76.1281
0.00170805	76.3475
0.00171791	76.5676
0.00172783	76.7883
0.0017378	77.0096
0.00174783	77.2316
0.00175792	77.4542
0.00176807	77.6775
0.00177828	77.9014
0.00178855	78.1259
0.00179887	78.3511
0.00180926	78.5769
0.0018197	78.8034
0.00183021	79.0305
0.00184077	79.2583
0.0018514	79.4868
0.00186209	79.7159
0.00187284	79.9457
0.00188365	80.1761
0.00189452	80.4072
0.00190546	80.639
0.00191646	80.8714
0.00192752	81.1045
0.00193865	81.3383
0.00194984	81.5727
0.0019611	81.8079
0.00197242	82.0437
0.00198381	82.2801
0.00199526	82.5173
0.00200678	82.7551
0.00201837	82.9937
0.00203002	83.2329
0.00204174	83.4728
0.00205353	83.7134
0.00206538	83.9547
0.0020773	84.1967
0.0020893	84.4394
0.00210136	84.6828
0.00211349	84.9268
0.00212569	85.1716
0.00213796	85.4171
0.0021503	85.6633
0.00216272	85.9103
0.0021752	86.1579
0.00218776	86.4062
0.00220039	86.6553
0.00221309	86.905
0.00222587	87.1555
0.00223872	87.4068
0.00225165	87.6587
0.00226464	87.9114
0.00227772	88.1648
0.00229087	88.4189
0.00230409	88.6737
0.00231739	88.9293
0.00233077	89.1857
0.00234423	89.4427
0.00235776	89.7005
0.00237137	89.9591
0.00238506	90.2184
0.00239883	90.4784
0.00241268	90.7392
0.00242661	91.0008
0.00244062	91.2631
0.00245471	91.5261
0.00246888	91.7899
0.00248313	92.0545
0.00249747	92.3198
0.00251189	92.5859
0.00252639	92.8528
0.00254097	93.1204
0.00255564	93.3888
0.0025704	93.658
0.00258523	93.928
0.00260016	94.1987
0.00261517	94.4702
0.00263027	94.7425
0.00264545	95.0156
0.00266073	95.2895
0.00267609	95.5641
0.00269153	95.8396
0.00270707	96.1158
0.0027227	96.3929
0.00273842	96.6707
0.00275423	96.9494
0.00277013	97.2288
0.00278612	97.5091
0.00280221	97.7901
0.00281838	98.072
0.00283465	98.3547
0.00285102	98.6382
0.00286748	98.9225
0.00288403	99.2076
0.00290068	99.4936
0.00291743	99.7803
0.00293427	100.068
0.00295121	100.356
0.00296825	100.646
0.00298538	100.936
0.00300262	101.227
0.00301995	101.518
0.00303739	101.811
0.00305492	102.105
0.00307256	102.399
0.0030903	102.694
0.00310814	102.99
0.00312608	103.287
0.00314413	103.585
0.00316228	103.883
0.00318053	104.183
0.0031989	104.483
0.00321736	104.784
0.00323594	105.086
0.00325462	105.389
0.00327341	105.693
0.0032923	105.997
0.00331131	106.303
0.00333043	106.609
0.00334965	106.917
0.00336899	107.225
0.00338844	107.534
0.003408	107.844
0.00342768	108.155
0.00344747	108.466
0.00346737	108.779
0.00348739	109.093
0.00350752	109.407
0.00352777	109.722
0.00354813	110.039
0.00356862	110.356
0.00358922	110.674
0.00360994	110.993
0.00363078	111.313
0.00365174	111.634
0.00367282	111.955
0.00369403	112.278
0.00371535	112.602
0.0037368	112.926
0.00375837	113.252
0.00378007	113.578
0.00380189	113.906
0.00382384	114.234
0.00384592	114.563
0.00386812	114.893
0.00389045	115.225
0.00391291	115.557
0.0039355	115.89
0.00395822	116.224
0.00398107	116.559
0.00400405	116.895
0.00402717	117.232
0.00405042	117.57
0.0040738	117.908
0.00409732	118.248
0.00412098	118.589
0.00414477	118.931
0.00416869	119.274
0.00419276	119.618
0.00421697	119.962
0.00424131	120.308
0.0042658	120.655
0.00429042	121.003
0.00431519	121.351
0.0043401	121.701
0.00436516	122.052
0.00439036	122.404
0.0044157	122.757
0.0044412	123.11
0.00446684	123.465
0.00449262	123.821
0.00451856	124.178
0.00454465	124.536
0.00457088	124.895
0.00459727	125.255
0.00462381	125.616
0.0046505	125.978
0.00467735	126.341
0.00470435	126.705
0.00473151	127.071
0.00475883	127.437
0.0047863	127.804
0.00481393	128.173
0.00484172	128.542
0.00486968	128.912
0.00489779	129.284
0.00492606	129.657
0.0049545	130.03
