Stopping power dEdx from Ionisation for Ti48[0.0] Z = 22 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	29.5433
0.00100577	29.6291
0.00101158	29.7151
0.00101742	29.8014
0.00102329	29.8879
0.0010292	29.9747
0.00103514	30.0617
0.00104112	30.149
0.00104713	30.2366
0.00105317	30.3244
0.00105925	30.4124
0.00106537	30.5007
0.00107152	30.5893
0.00107771	30.6781
0.00108393	30.7671
0.00109018	30.8565
0.00109648	30.946
0.00110281	31.0359
0.00110917	31.126
0.00111558	31.2163
0.00112202	31.3069
0.0011285	31.3978
0.00113501	31.4889
0.00114156	31.5804
0.00114815	31.672
0.00115478	31.7639
0.00116145	31.8561
0.00116815	31.9486
0.0011749	32.0413
0.00118168	32.1343
0.0011885	32.2276
0.00119536	32.3211
0.00120226	32.4149
0.00120921	32.509
0.00121619	32.6033
0.00122321	32.6979
0.00123027	32.7928
0.00123737	32.888
0.00124451	32.9834
0.0012517	33.0791
0.00125893	33.1751
0.00126619	33.2714
0.0012735	33.3679
0.00128086	33.4647
0.00128825	33.5618
0.00129569	33.6592
0.00130317	33.7569
0.00131069	33.8548
0.00131826	33.953
0.00132587	34.0515
0.00133352	34.1503
0.00134122	34.2494
0.00134896	34.3487
0.00135675	34.4484
0.00136458	34.5483
0.00137246	34.6485
0.00138038	34.749
0.00138835	34.8498
0.00139637	34.9509
0.00140443	35.0523
0.00141254	35.154
0.00142069	35.2559
0.00142889	35.3582
0.00143714	35.4608
0.00144544	35.5636
0.00145378	35.6668
0.00146218	35.7702
0.00147062	35.8739
0.00147911	35.978
0.00148765	36.0823
0.00149624	36.187
0.00150487	36.2919
0.00151356	36.3972
0.0015223	36.5027
0.00153109	36.6086
0.00153993	36.7147
0.00154882	36.8212
0.00155776	36.9279
0.00156675	37.035
0.0015758	37.1424
0.00158489	37.2501
0.00159404	37.3581
0.00160325	37.4664
0.0016125	37.5751
0.00162181	37.684
0.00163117	37.7933
0.00164059	37.9028
0.00165006	38.0127
0.00165959	38.1229
0.00166917	38.2335
0.0016788	38.3443
0.0016885	38.4555
0.00169824	38.5669
0.00170805	38.6787
0.00171791	38.7909
0.00172783	38.9033
0.0017378	39.0161
0.00174783	39.1292
0.00175792	39.2426
0.00176807	39.3564
0.00177828	39.4704
0.00178855	39.5848
0.00179887	39.6996
0.00180926	39.8147
0.0018197	39.9301
0.00183021	40.0458
0.00184077	40.1619
0.0018514	40.2783
0.00186209	40.395
0.00187284	40.5121
0.00188365	40.6295
0.00189452	40.7472
0.00190546	40.8653
0.00191646	40.9837
0.00192752	41.1025
0.00193865	41.2216
0.00194984	41.3411
0.0019611	41.4609
0.00197242	41.581
0.00198381	41.7015
0.00199526	41.8223
0.00200678	41.9435
0.00201837	42.0651
0.00203002	42.1869
0.00204174	42.3092
0.00205353	42.4318
0.00206538	42.5547
0.0020773	42.678
0.0020893	42.8017
0.00210136	42.9257
0.00211349	43.05
0.00212569	43.1748
0.00213796	43.2998
0.0021503	43.4253
0.00216272	43.5511
0.0021752	43.6773
0.00218776	43.8038
0.00220039	43.9307
0.00221309	44.058
0.00222587	44.1856
0.00223872	44.3136
0.00225165	44.442
0.00226464	44.5707
0.00227772	44.6998
0.00229087	44.8293
0.00230409	44.9591
0.00231739	45.0894
0.00233077	45.22
0.00234423	45.3509
