Stopping power dEdx from Ionisation for Ti48[0.0] Z = 22 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	22.9498
0.00100577	23.0163
0.00101158	23.083
0.00101742	23.1499
0.00102329	23.2171
0.0010292	23.2844
0.00103514	23.3519
0.00104112	23.4195
0.00104713	23.4874
0.00105317	23.5555
0.00105925	23.6238
0.00106537	23.6923
0.00107152	23.7609
0.00107771	23.8298
0.00108393	23.8989
0.00109018	23.9682
0.00109648	24.0376
0.00110281	24.1073
0.00110917	24.1772
0.00111558	24.2472
0.00112202	24.3175
0.0011285	24.388
0.00113501	24.4587
0.00114156	24.5296
0.00114815	24.6006
0.00115478	24.6719
0.00116145	24.7434
0.00116815	24.8151
0.0011749	24.887
0.00118168	24.9592
0.0011885	25.0315
0.00119536	25.104
0.00120226	25.1768
0.00120921	25.2497
0.00121619	25.3229
0.00122321	25.3963
0.00123027	25.4698
0.00123737	25.5436
0.00124451	25.6176
0.0012517	25.6919
0.00125893	25.7663
0.00126619	25.841
0.0012735	25.9158
0.00128086	25.9909
0.00128825	26.0662
0.00129569	26.1417
0.00130317	26.2175
0.00131069	26.2934
0.00131826	26.3696
0.00132587	26.446
0.00133352	26.5226
0.00134122	26.5994
0.00134896	26.6765
0.00135675	26.7538
0.00136458	26.8312
0.00137246	26.909
0.00138038	26.9869
0.00138835	27.0651
0.00139637	27.1435
0.00140443	27.2221
0.00141254	27.301
0.00142069	27.38
0.00142889	27.4593
0.00143714	27.5389
0.00144544	27.6186
0.00145378	27.6986
0.00146218	27.7788
0.00147062	27.8593
0.00147911	27.94
0.00148765	28.0209
0.00149624	28.102
0.00150487	28.1834
0.00151356	28.265
0.0015223	28.3469
0.00153109	28.429
0.00153993	28.5113
0.00154882	28.5939
0.00155776	28.6767
0.00156675	28.7597
0.0015758	28.843
0.00158489	28.9265
0.00159404	29.0103
0.00160325	29.0943
0.0016125	29.1785
0.00162181	29.263
0.00163117	29.3478
0.00164059	29.4327
0.00165006	29.518
0.00165959	29.6034
0.00166917	29.6891
0.0016788	29.7751
0.0016885	29.8613
0.00169824	29.9478
0.00170805	30.0345
0.00171791	30.1214
0.00172783	30.2086
0.0017378	30.2961
0.00174783	30.3838
0.00175792	30.4717
0.00176807	30.56
0.00177828	30.6484
0.00178855	30.7372
0.00179887	30.8261
0.00180926	30.9154
0.0018197	31.0049
0.00183021	31.0946
0.00184077	31.1846
0.0018514	31.2749
0.00186209	31.3654
0.00187284	31.4562
0.00188365	31.5473
0.00189452	31.6386
0.00190546	31.7302
0.00191646	31.822
0.00192752	31.9141
0.00193865	32.0065
0.00194984	32.0991
0.0019611	32.192
0.00197242	32.2852
0.00198381	32.3786
0.00199526	32.4724
0.00200678	32.5663
0.00201837	32.6606
0.00203002	32.7551
0.00204174	32.8499
0.00205353	32.945
0.00206538	33.0403
0.0020773	33.1359
0.0020893	33.2318
0.00210136	33.328
0.00211349	33.4245
0.00212569	33.5212
0.00213796	33.6182
0.0021503	33.7155
0.00216272	33.813
0.0021752	33.9109
0.00218776	34.009
0.00220039	34.1074
0.00221309	34.2061
0.00222587	34.3051
0.00223872	34.4044
0.00225165	34.5039
0.00226464	34.6037
0.00227772	34.7039
0.00229087	34.8043
0.00230409	34.905
0.00231739	35.006
0.00233077	35.1073
0.00234423	35.2088
0.00235776	35.3107
0.00237137	35.4129
0.00238506	35.5153
0.00239883	35.6181
0.00241268	35.7211
0.00242661	35.8245
0.00244062	35.9281
0.00245471	36.0321
0.00246888	36.1363
0.00248313	36.2408
0.00249747	36.3457
0.00251189	36.4508
0.00252639	36.5563
0.00254097	36.662
0.00255564	36.7681
0.0025704	36.8745
0.00258523	36.9811
0.00260016	37.0881
0.00261517	37.1954
0.00263027	37.303
0.00264545	37.4109
0.00266073	37.5191
0.00267609	37.6276
0.00269153	37.7365
0.00270707	37.8456
0.0027227	37.9551
0.00273842	38.0649
0.00275423	38.175
0.00277013	38.2854
0.00278612	38.3961
0.00280221	38.5072
0.00281838	38.6186
0.00283465	38.7303
0.00285102	38.8423
0.00286748	38.9546
0.00288403	39.0673
0.00290068	39.1803
0.00291743	39.2936
0.00293427	39.4072
0.00295121	39.5212
0.00296825	39.6355
0.00298538	39.7501
0.00300262	39.8651
0.00301995	39.9804
0.00303739	40.096
0.00305492	40.212
0.00307256	40.3283
0.0030903	40.4449
0.00310814	40.5618
0.00312608	40.6791
0.00314413	40.7968
0.00316228	40.9148
0.00318053	41.0331
0.0031989	41.1517
0.00321736	41.2707
0.00323594	41.3901
0.00325462	41.5098
0.00327341	41.6298
0.0032923	41.7502
0.00331131	41.8709
0.00333043	41.992
0.00334965	42.1134
0.00336899	42.2352
0.00338844	42.3573
0.003408	42.4797
0.00342768	42.6026
0.00344747	42.7258
0.00346737	42.8493
0.00348739	42.9732
0.00350752	43.0974
0.00352777	43.222
0.00354813	43.347
0.00356862	43.4723
0.00358922	43.598
0.00360994	43.7241
0.00363078	43.8505
0.00365174	43.9773
0.00367282	44.1044
0.00369403	44.2319
0.00371535	44.3598
0.0037368	44.488
0.00375837	44.6167
0.00378007	44.7456
0.00380189	44.875
0.00382384	45.0047
0.00384592	45.1348
0.00386812	45.2653
0.00389045	45.3962
0.00391291	45.5274
0.0039355	45.659
0.00395822	45.791
0.00398107	45.9234
0.00400405	46.0561
0.00402717	46.1893
0.00405042	46.3228
0.0040738	46.4567
0.00409732	46.591
0.00412098	46.7256
0.00414477	46.8607
0.00416869	46.9962
0.00419276	47.132
0.00421697	47.2682
0.00424131	47.4049
0.0042658	47.5419
0.00429042	47.6793
0.00431519	47.8171
0.0043401	47.9553
0.00436516	48.0939
0.00439036	48.233
0.0044157	48.3724
0.0044412	48.5122
0.00446684	48.6524
0.00449262	48.793
0.00451856	48.934
0.00454465	49.0755
0.00457088	49.2173
0.00459727	49.3596
0.00462381	49.5022
0.0046505	49.6453
0.00467735	49.7888
0.00470435	49.9327
0.00473151	50.077
0.00475883	50.2217
0.0047863	50.3668
0.00481393	50.5124
0.00484172	50.6584
0.00486968	50.8048
0.00489779	50.9516
0.00492606	51.0988
0.0049545	51.2465
0.0049831	51.3946
0.00501187	51.5431
0.00504081	51.6921
0.00506991	51.8415
0.00509918	51.9913
0.00512861	52.1415
0.00515822	51.5611
0.005188	51.7099
0.00521795	51.8591
0.00524807	52.0088
0.00527837	52.1589
0.00530884	52.3094
0.00533949	52.4604
0.00537032	52.6117
0.00540132	52.7636
0.0054325	52.9159
0.00546387	53.0686
0.00549541	53.2217
0.00552713	53.3753
0.00555904	53.5293
0.00559114	53.6838
0.00562341	53.8388
0.00565588	53.9941
0.00568853	54.15
0.00572137	54.3062
0.0057544	54.463
0.00578762	54.6202
0.00582103	54.7778
0.00585464	54.9359
0.00588844	55.0944
0.00592243	55.2534
0.00595662	55.4129
0.00599101	55.5728
0.0060256	55.7332
0.00606038	55.8941
0.00609537	56.0554
0.00613056	56.2172
0.00616595	56.3794
0.00620155	56.5421
0.00623735	56.7053
0.00627336	56.869
0.00630957	57.0331
0.006346	57.1977
0.00638263	57.3628
0.00641948	57.5284
0.00645654	57.6944
0.00649382	57.861
0.00653131	58.028
0.00656901	58.1954
0.00660693	58.3634
0.00664508	58.5319
0.00668344	58.7008
0.00672202	58.8702
0.00676083	59.0401
0.00679986	59.2106
0.00683912	59.3815
0.0068786	59.5529
0.00691831	59.7247
0.00695825	59.8971
0.00699842	60.07
0.00703882	60.2434
0.00707946	60.4173
0.00712033	60.5917
0.00716143	60.7666
0.00720278	60.942
0.00724436	61.1179
0.00728618	61.2943
0.00732825	61.4712
0.00737055	61.6487
0.0074131	61.8266
0.0074559	62.0051
0.00749894	62.1841
0.00754223	62.3636
0.00758578	62.5436
0.00762957	62.7241
0.00767361	62.9052
0.00771792	63.0868
0.00776247	63.2689
0.00780728	63.4515
0.00785236	63.6347
0.00789769	63.8183
0.00794328	64.0026
0.00798914	64.1873
0.00803526	64.3726
0.00808165	64.5584
0.00812831	64.7448
0.00817523	64.9317
0.00822243	65.1191
0.0082699	65.3071
0.00831764	65.4956
0.00836566	65.6847
0.00841395	65.8743
0.00846253	66.0645
0.00851138	66.2552
0.00856052	66.4465
0.00860994	66.6383
0.00865964	66.8307
0.00870964	67.0236
0.00875992	67.2171
0.00881049	67.4111
