Stopping power dEdx from Ionisation for V51[0.0] Z = 23 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	29.6305
0.00100577	29.7165
0.00101158	29.8028
0.00101742	29.8894
0.00102329	29.9762
0.0010292	30.0632
0.00103514	30.1505
0.00104112	30.238
0.00104713	30.3258
0.00105317	30.4139
0.00105925	30.5022
0.00106537	30.5908
0.00107152	30.6796
0.00107771	30.7687
0.00108393	30.858
0.00109018	30.9476
0.00109648	31.0374
0.00110281	31.1275
0.00110917	31.2179
0.00111558	31.3085
0.00112202	31.3994
0.0011285	31.4905
0.00113501	31.5819
0.00114156	31.6736
0.00114815	31.7656
0.00115478	31.8578
0.00116145	31.9502
0.00116815	32.043
0.0011749	32.136
0.00118168	32.2292
0.0011885	32.3228
0.00119536	32.4166
0.00120226	32.5107
0.00120921	32.605
0.00121619	32.6996
0.00122321	32.7945
0.00123027	32.8897
0.00123737	32.9851
0.00124451	33.0809
0.0012517	33.1768
0.00125893	33.2731
0.00126619	33.3697
0.0012735	33.4665
0.00128086	33.5636
0.00128825	33.661
0.00129569	33.7587
0.00130317	33.8566
0.00131069	33.9548
0.00131826	34.0533
0.00132587	34.1521
0.00133352	34.2512
0.00134122	34.3506
0.00134896	34.4502
0.00135675	34.5502
0.00136458	34.6504
0.00137246	34.7509
0.00138038	34.8517
0.00138835	34.9528
0.00139637	35.0542
0.00140443	35.1559
0.00141254	35.2579
0.00142069	35.3601
0.00142889	35.4627
0.00143714	35.5656
0.00144544	35.6687
0.00145378	35.7722
0.00146218	35.8759
0.00147062	35.98
0.00147911	36.0843
0.00148765	36.189
0.00149624	36.2939
0.00150487	36.3992
0.00151356	36.5047
0.0015223	36.6106
0.00153109	36.7168
0.00153993	36.8233
0.00154882	36.93
0.00155776	37.0371
0.00156675	37.1445
0.0015758	37.2522
0.00158489	37.3602
0.00159404	37.4686
0.00160325	37.5772
0.0016125	37.6862
0.00162181	37.7954
0.00163117	37.905
0.00164059	38.0149
0.00165006	38.1251
0.00165959	38.2357
0.00166917	38.3465
0.0016788	38.4577
0.0016885	38.5692
0.00169824	38.681
0.00170805	38.7931
0.00171791	38.9056
0.00172783	39.0184
0.0017378	39.1315
0.00174783	39.2449
0.00175792	39.3587
0.00176807	39.4728
0.00177828	39.5872
0.00178855	39.7019
0.00179887	39.817
0.00180926	39.9324
0.0018197	40.0482
0.00183021	40.1642
0.00184077	40.2806
0.0018514	40.3974
0.00186209	40.5145
0.00187284	40.6319
0.00188365	40.7496
0.00189452	40.8677
0.00190546	40.9862
0.00191646	41.105
0.00192752	41.2241
0.00193865	41.3436
0.00194984	41.4634
0.0019611	41.5835
0.00197242	41.704
0.00198381	41.8249
0.00199526	41.9461
0.00200678	42.0676
0.00201837	42.1895
0.00203002	42.3118
0.00204174	42.4344
0.00205353	42.5573
0.00206538	42.6806
0.0020773	42.8043
0.0020893	42.9283
0.00210136	43.0527
0.00211349	43.1774
0.00212569	43.3025
0.00213796	43.428
0.0021503	43.5538
0.00216272	43.68
0.0021752	43.8065
0.00218776	43.9334
0.00220039	44.0607
0.00221309	44.1883
0.00222587	44.3163
0.00223872	44.4447
0.00225165	44.5735
0.00226464	44.7026
0.00227772	44.8321
0.00229087	44.962
0.00230409	45.0922
0.00231739	45.2228
0.00233077	45.3538
0.00234423	45.4852
0.00235776	45.6169
0.00237137	45.749
0.00238506	45.8816
0.00239883	46.0144
0.00241268	46.1477
0.00242661	46.2814
0.00244062	46.4154
0.00245471	46.5498
0.00246888	46.6847
0.00248313	46.8199
0.00249747	46.9555
0.00251189	47.0914
0.00252639	47.2278
0.00254097	47.3646
0.00255564	47.5018
0.0025704	47.6393
0.00258523	47.7773
0.00260016	47.9156
0.00261517	48.0544
0.00263027	48.1935
0.00264545	48.3331
0.00266073	48.473
0.00267609	48.6134
0.00269153	48.7542
0.00270707	48.8953
0.0027227	49.0369
0.00273842	49.1789
0.00275423	49.3213
0.00277013	49.4641
0.00278612	49.6073
0.00280221	49.7509
0.00281838	49.895
0.00283465	50.0395
0.00285102	50.1843
0.00286748	50.3296
0.00288403	50.4753
0.00290068	50.6215
0.00291743	50.768
0.00293427	50.915
0.00295121	51.0624
0.00296825	51.2102
0.00298538	51.3585
0.00300262	51.5071
0.00301995	51.6562
0.00303739	51.8058
0.00305492	51.9557
0.00307256	52.1061
0.0030903	52.257
0.00310814	52.4082
0.00312608	52.5599
0.00314413	52.7121
0.00316228	52.8647
0.00318053	53.0177
0.0031989	53.1711
0.00321736	53.325
0.00323594	53.4794
0.00325462	53.6342
0.00327341	53.7894
0.0032923	53.9451
0.00331131	54.1012
0.00333043	54.2578
0.00334965	54.4148
0.00336899	54.5723
0.00338844	54.7303
0.003408	54.8887
0.00342768	55.0475
0.00344747	55.2068
0.00346737	55.3666
0.00348739	55.5268
0.00350752	55.6875
0.00352777	55.8487
0.00354813	56.0103
0.00356862	56.1724
0.00358922	56.3349
0.00360994	56.4979
0.00363078	56.6614
0.00365174	56.8254
0.00367282	56.9898
0.00369403	57.1547
0.00371535	57.3201
0.0037368	57.486
0.00375837	57.6523
0.00378007	57.8191
0.00380189	57.9864
0.00382384	58.1542
0.00384592	58.3225
0.00386812	58.4912
0.00389045	58.6605
0.00391291	58.8302
0.0039355	59.0004
0.00395822	59.1711
0.00398107	59.3423
0.00400405	59.514
0.00402717	59.6862
0.00405042	59.8589
0.0040738	60.032
0.00409732	60.2057
0.00412098	60.3799
0.00414477	60.5546
0.00416869	60.7298
0.00419276	60.9054
0.00421697	61.0816
0.00424131	61.2583
0.0042658	61.4356
0.00429042	61.6133
0.00431519	61.7915
0.0043401	61.9703
0.00436516	62.1495
0.00439036	62.3293
0.0044157	62.5096
0.0044412	62.6904
0.00446684	62.8718
0.00449262	63.0536
0.00451856	63.236
0.00454465	63.4189
0.00457088	63.6024
0.00459727	63.7863
0.00462381	63.9708
0.0046505	64.1559
0.00467735	64.3414
0.00470435	64.5275
0.00473151	64.7142
0.00475883	64.9013
0.0047863	65.089
0.00481393	65.2773
0.00484172	65.4661
0.00486968	65.6554
0.00489779	65.8453
0.00492606	66.0358
0.0049545	66.2267
0.0049831	66.4183
0.00501187	66.6104
0.00504081	66.803
0.00506991	66.9962
0.00509918	67.1899
0.00512861	67.3842
0.00515822	67.5791
0.005188	67.7745
0.00521795	67.9705
0.00524807	68.1671
0.00527837	68.3642
0.00530884	68.5619
0.00533949	68.7602
0.00537032	68.959
0.00540132	69.1584
0.0054325	69.3584
0.00546387	69.559
0.00549541	69.7601
0.00552713	69.9618
0.00555904	70.1641
0.00559114	70.367
0.00562341	70.5705
0.00565588	70.7745
0.00568853	70.9792
0.00572137	71.1844
0.0057544	71.3902
0.00578762	71.5966
0.00582103	71.8036
0.00585464	72.0112
0.00588844	72.2195
0.00592243	72.4283
0.00595662	72.6377
0.00599101	72.8477
0.0060256	73.0583
0.00606038	73.2695
0.00609537	73.4813
0.00613056	73.6938
0.00616595	73.9068
0.00620155	74.1205
0.00623735	74.3348
0.00627336	74.5497
0.00630957	74.7652
0.006346	74.9814
0.00638263	75.1981
0.00641948	75.4155
0.00645654	75.6335
0.00649382	75.8522
0.00653131	76.0715
0.00656901	76.2914
0.00660693	76.5119
0.00664508	76.7331
0.00668344	76.9549
0.00672202	77.1774
0.00676083	77.4005
0.00679986	77.6242
0.00683912	77.8486
0.0068786	78.0736
0.00691831	78.2993
0.00695825	78.5256
0.00699842	78.7526
0.00703882	78.9803
0.00707946	79.2085
0.00712033	79.4375
0.00716143	79.6671
0.00720278	79.8974
0.00724436	80.1283
0.00728618	80.3599
0.00732825	80.5922
0.00737055	80.8251
0.0074131	81.0587
0.0074559	81.293
0.00749894	81.528
0.00754223	81.7636
0.00758578	81.9999
0.00762957	82.2369
0.00767361	82.4746
0.00771792	82.713
0.00776247	82.952
0.00780728	83.1918
0.00785236	83.4322
0.00789769	83.6733
0.00794328	83.9152
0.00798914	84.1577
0.00803526	84.4009
0.00808165	84.6448
0.00812831	84.8894
0.00817523	85.1348
0.00822243	85.3808
0.0082699	85.6275
0.00831764	85.875
0.00836566	86.1231
0.00841395	86.372
0.00846253	86.6216
0.00851138	86.8719
0.00856052	87.123
0.00860994	87.3747
0.00865964	87.6272
0.00870964	87.8805
0.00875992	88.1344
0.00881049	88.3891
0.00886135	88.6445
0.00891251	88.9006
0.00896396	89.1575
0.00901571	89.4152
0.00906776	89.6735
0.00912011	90.9425
0.00917276	91.2044
0.00922571	91.4671
0.00927897	91.7305
0.00933254	91.9947
0.00938642	92.2596
0.00944061	92.5253
0.00949511	92.7918
0.00954993	93.059
0.00960506	93.327
0.00966051	93.5958
0.00971628	93.8654
0.00977237	94.1357
0.00982879	94.4068
0.00988553	94.6787
0.0099426	94.9514
0.01	95.2248
0.0100577	95.499
0.0101158	95.7741
