Stopping power dEdx from Ionisation for V51[0.0] Z = 23 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	23.0176
0.00100577	23.0844
0.00101158	23.1513
0.00101742	23.2184
0.00102329	23.2857
0.0010292	23.3532
0.00103514	23.4209
0.00104112	23.4888
0.00104713	23.5569
0.00105317	23.6252
0.00105925	23.6937
0.00106537	23.7623
0.00107152	23.8312
0.00107771	23.9003
0.00108393	23.9696
0.00109018	24.039
0.00109648	24.1087
0.00110281	24.1786
0.00110917	24.2487
0.00111558	24.319
0.00112202	24.3894
0.0011285	24.4601
0.00113501	24.531
0.00114156	24.6021
0.00114815	24.6734
0.00115478	24.7449
0.00116145	24.8166
0.00116815	24.8885
0.0011749	24.9607
0.00118168	25.033
0.0011885	25.1055
0.00119536	25.1783
0.00120226	25.2512
0.00120921	25.3244
0.00121619	25.3978
0.00122321	25.4714
0.00123027	25.5452
0.00123737	25.6192
0.00124451	25.6934
0.0012517	25.7679
0.00125893	25.8425
0.00126619	25.9174
0.0012735	25.9925
0.00128086	26.0678
0.00128825	26.1433
0.00129569	26.2191
0.00130317	26.295
0.00131069	26.3712
0.00131826	26.4476
0.00132587	26.5242
0.00133352	26.6011
0.00134122	26.6781
0.00134896	26.7554
0.00135675	26.8329
0.00136458	26.9107
0.00137246	26.9886
0.00138038	27.0668
0.00138835	27.1452
0.00139637	27.2238
0.00140443	27.3027
0.00141254	27.3818
0.00142069	27.4611
0.00142889	27.5406
0.00143714	27.6204
0.00144544	27.7004
0.00145378	27.7806
0.00146218	27.8611
0.00147062	27.9418
0.00147911	28.0227
0.00148765	28.1038
0.00149624	28.1852
0.00150487	28.2669
0.00151356	28.3487
0.0015223	28.4308
0.00153109	28.5132
0.00153993	28.5957
0.00154882	28.6785
0.00155776	28.7616
0.00156675	28.8449
0.0015758	28.9284
0.00158489	29.0122
0.00159404	29.0962
0.00160325	29.1804
0.0016125	29.2649
0.00162181	29.3497
0.00163117	29.4346
0.00164059	29.5199
0.00165006	29.6053
0.00165959	29.6911
0.00166917	29.777
0.0016788	29.8632
0.0016885	29.9497
0.00169824	30.0364
0.00170805	30.1234
0.00171791	30.2106
0.00172783	30.2981
0.0017378	30.3858
0.00174783	30.4738
0.00175792	30.562
0.00176807	30.6505
0.00177828	30.7392
0.00178855	30.8282
0.00179887	30.9174
0.00180926	31.0069
0.0018197	31.0967
0.00183021	31.1867
0.00184077	31.277
0.0018514	31.3675
0.00186209	31.4583
0.00187284	31.5494
0.00188365	31.6407
0.00189452	31.7323
0.00190546	31.8241
0.00191646	31.9163
0.00192752	32.0086
0.00193865	32.1013
0.00194984	32.1942
0.0019611	32.2874
0.00197242	32.3808
0.00198381	32.4745
0.00199526	32.5685
0.00200678	32.6628
0.00201837	32.7573
0.00203002	32.8521
0.00204174	32.9472
0.00205353	33.0426
0.00206538	33.1382
0.0020773	33.2341
0.0020893	33.3303
0.00210136	33.4267
0.00211349	33.5235
0.00212569	33.6205
0.00213796	33.7178
0.0021503	33.8153
0.00216272	33.9132
0.0021752	34.0113
0.00218776	34.1098
0.00220039	34.2085
0.00221309	34.3075
0.00222587	34.4067
0.00223872	34.5063
0.00225165	34.6061
0.00226464	34.7063
0.00227772	34.8067
0.00229087	34.9074
0.00230409	35.0084
0.00231739	35.1097
0.00233077	35.2113
0.00234423	35.3132
0.00235776	35.4153
0.00237137	35.5178
0.00238506	35.6206
0.00239883	35.7236
0.00241268	35.827
0.00242661	35.9306
0.00244062	36.0346
0.00245471	36.1388
0.00246888	36.2434
0.00248313	36.3482
0.00249747	36.4534
0.00251189	36.5588
0.00252639	36.6646
0.00254097	36.7707
0.00255564	36.8771
0.0025704	36.9837
0.00258523	37.0907
0.00260016	37.198
0.00261517	37.3056
0.00263027	37.4135
0.00264545	37.5218
0.00266073	37.6303
0.00267609	37.7392
0.00269153	37.8483
0.00270707	37.9578
0.0027227	38.0676
0.00273842	38.1777
0.00275423	38.2881
0.00277013	38.3989
0.00278612	38.5099
0.00280221	38.6213
0.00281838	38.733
0.00283465	38.8451
0.00285102	38.9574
0.00286748	39.0701
0.00288403	39.1831
0.00290068	39.2964
0.00291743	39.4101
0.00293427	39.5241
0.00295121	39.6384
0.00296825	39.753
0.00298538	39.868
0.00300262	39.9833
0.00301995	40.0989
0.00303739	40.2149
0.00305492	40.3312
0.00307256	40.4478
0.0030903	40.5648
0.00310814	40.6821
0.00312608	40.7997
0.00314413	40.9177
0.00316228	41.0361
0.00318053	41.1547
0.0031989	41.2737
0.00321736	41.3931
0.00323594	41.5128
0.00325462	41.6328
0.00327341	41.7532
0.0032923	41.8739
0.00331131	41.995
0.00333043	42.1165
0.00334965	42.2382
0.00336899	42.3604
0.00338844	42.4829
0.003408	42.6057
0.00342768	42.7289
0.00344747	42.8524
0.00346737	42.9763
0.00348739	43.1006
0.00350752	43.2252
0.00352777	43.3502
0.00354813	43.4755
0.00356862	43.6012
0.00358922	43.7273
0.00360994	43.8537
0.00363078	43.9805
0.00365174	44.1077
0.00367282	44.2352
0.00369403	44.3631
0.00371535	44.4913
0.0037368	44.62
0.00375837	44.749
0.00378007	44.8783
0.00380189	45.0081
0.00382384	45.1382
0.00384592	45.2687
0.00386812	45.3995
0.00389045	45.5308
0.00391291	45.6624
0.0039355	45.7944
0.00395822	45.9268
0.00398107	46.0596
0.00400405	46.1927
0.00402717	46.3262
0.00405042	46.4602
0.0040738	46.5945
0.00409732	46.7291
0.00412098	46.8642
0.00414477	46.9997
0.00416869	47.1355
0.00419276	47.2718
0.00421697	47.4084
0.00424131	47.5455
0.0042658	47.6829
0.00429042	47.8207
0.00431519	47.959
0.0043401	48.0976
0.00436516	48.2366
0.00439036	48.376
0.0044157	48.5158
0.0044412	48.6561
0.00446684	48.7967
0.00449262	48.9377
0.00451856	49.0792
0.00454465	49.221
0.00457088	49.3633
0.00459727	49.506
0.00462381	49.649
0.0046505	49.7925
0.00467735	49.9364
0.00470435	50.0808
0.00473151	50.2255
0.00475883	50.3707
0.0047863	50.5162
0.00481393	50.6622
