E [MeV]	dEdx [keV/microm]
0.001	30.9831
0.00100577	31.0731
0.00101158	31.1633
0.00101742	31.2539
0.00102329	31.3447
0.0010292	31.4357
0.00103514	31.527
0.00104112	31.6186
0.00104713	31.7105
0.00105317	31.8026
0.00105925	31.8949
0.00106537	31.9876
0.00107152	32.0805
0.00107771	32.1737
0.00108393	32.2671
0.00109018	32.3608
0.00109648	32.4548
0.00110281	32.549
0.00110917	32.6436
0.00111558	32.7383
0.00112202	32.8334
0.0011285	32.9288
0.00113501	33.0244
0.00114156	33.1203
0.00114815	33.2164
0.00115478	33.3129
0.00116145	33.4096
0.00116815	33.5066
0.0011749	33.6039
0.00118168	33.7014
0.0011885	33.7993
0.00119536	33.8974
0.00120226	33.9958
0.00120921	34.0945
0.00121619	34.1935
0.00122321	34.2928
0.00123027	34.3923
0.00123737	34.4921
0.00124451	34.5923
0.0012517	34.6927
0.00125893	34.7934
0.00126619	34.8944
0.0012735	34.9956
0.00128086	35.0972
0.00128825	35.1991
0.00129569	35.3013
0.00130317	35.4037
0.00131069	35.5065
0.00131826	35.6095
0.00132587	35.7129
0.00133352	35.8165
0.00134122	35.9204
0.00134896	36.0247
0.00135675	36.1292
0.00136458	36.2341
0.00137246	36.3392
0.00138038	36.4447
0.00138835	36.5504
0.00139637	36.6565
0.00140443	36.7628
0.00141254	36.8695
0.00142069	36.9765
0.00142889	37.0838
0.00143714	37.1914
0.00144544	37.2992
0.00145378	37.4075
0.00146218	37.516
0.00147062	37.6248
0.00147911	37.734
0.00148765	37.8435
0.00149624	37.9532
0.00150487	38.0633
0.00151356	38.1738
0.0015223	38.2845
0.00153109	38.3956
0.00153993	38.5069
0.00154882	38.6186
0.00155776	38.7306
0.00156675	38.843
0.0015758	38.9556
0.00158489	39.0686
0.00159404	39.182
0.00160325	39.2956
0.0016125	39.4096
0.00162181	39.5238
0.00163117	39.6385
0.00164059	39.7534
0.00165006	39.8687
0.00165959	39.9843
0.00166917	40.1003
0.0016788	40.2166
0.0016885	40.3332
0.00169824	40.4502
0.00170805	40.5675
0.00171791	40.6851
0.00172783	40.8031
0.0017378	40.9214
0.00174783	41.0401
0.00175792	41.1591
0.00176807	41.2784
0.00177828	41.3981
0.00178855	41.5181
0.00179887	41.6385
0.00180926	41.7592
0.0018197	41.8803
0.00183021	42.0017
0.00184077	42.1235
0.0018514	42.2456
0.00186209	42.3681
0.00187284	42.4909
0.00188365	42.6141
0.00189452	42.7376
0.00190546	42.8615
0.00191646	42.9857
0.00192752	43.1103
0.00193865	43.2353
0.00194984	43.3606
0.0019611	43.4863
0.00197242	43.6123
0.00198381	43.7388
0.00199526	43.8655
0.00200678	43.9927
0.00201837	44.1202
0.00203002	44.2481
0.00204174	44.3763
0.00205353	44.5049
0.00206538	44.6339
0.0020773	44.7633
0.0020893	44.893
0.00210136	45.0231
0.00211349	45.1536
0.00212569	45.2844
0.00213796	45.4157
0.0021503	45.5473
0.00216272	45.6793
0.0021752	45.8116
0.00218776	45.9444
0.00220039	46.0775
0.00221309	46.211
0.00222587	46.3449
0.00223872	46.4792
0.00225165	46.6139
0.00226464	46.749
0.00227772	46.8844
0.00229087	47.0202
0.00230409	47.1565
0.00231739	47.2931
0.00233077	47.4301
0.00234423	47.5675
0.00235776	47.7053
0.00237137	47.8436
0.00238506	47.9822
0.00239883	48.1212
0.00241268	48.2606
0.00242661	48.4004
0.00244062	48.5406
0.00245471	48.6812
0.00246888	48.8222
0.00248313	48.9637
0.00249747	49.1055
0.00251189	49.2478
0.00252639	49.3904
0.00254097	49.5335
0.00255564	49.677
0.0025704	49.8208
0.00258523	49.9652
0.00260016	50.1099
0.00261517	50.255
0.00263027	50.4006
0.00264545	50.5466
0.00266073	50.693
0.00267609	50.8398
0.00269153	50.987
0.00270707	51.1347
0.0027227	51.2828
0.00273842	51.4313
0.00275423	51.5802
0.00277013	51.7296
0.00278612	51.8794
0.00280221	52.0297
0.00281838	52.1804
0.00283465	52.3315
0.00285102	52.483
0.00286748	52.635
0.00288403	52.7874
0.00290068	52.9403
0.00291743	53.0936
0.00293427	53.2473
0.00295121	53.4015
0.00296825	53.5561
0.00298538	53.7112
0.00300262	53.8667
0.00301995	54.0227
0.00303739	54.1791
0.00305492	54.336
0.00307256	54.4933
0.0030903	54.6511
0.00310814	54.8093
0.00312608	54.968
0.00314413	55.1271
0.00316228	55.2867
0.00318053	55.4468
0.0031989	55.6073
0.00321736	55.7683
0.00323594	55.9297
0.00325462	56.0916
0.00327341	56.254
0.0032923	56.4169
0.00331131	56.5802
0.00333043	56.744
0.00334965	56.9082
0.00336899	57.073
0.00338844	57.2382
0.003408	57.4039
0.00342768	57.57
0.00344747	57.7367
0.00346737	57.9038
0.00348739	58.0714
0.00350752	58.2395
0.00352777	58.4081
0.00354813	58.5771
0.00356862	58.7467
0.00358922	58.9167
0.00360994	59.0872
0.00363078	59.2583
0.00365174	59.4297
0.00367282	59.6018
0.00369403	59.7743
0.00371535	59.9472
0.0037368	60.1208
0.00375837	60.2947
0.00378007	60.4692
0.00380189	60.6442
0.00382384	60.8197
0.00384592	60.9958
0.00386812	61.1723
0.00389045	61.3493
0.00391291	61.5268
0.0039355	61.7049
0.00395822	61.8834
0.00398107	62.0625
0.00400405	62.2421
0.00402717	62.4222
0.00405042	62.6029
0.0040738	62.784
0.00409732	62.9657
0.00412098	63.1479
0.00414477	63.3306
0.00416869	63.5138
0.00419276	63.6976
0.00421697	63.8819
0.00424131	64.0667
0.0042658	64.2521
0.00429042	64.438
0.00431519	64.6245
0.0043401	64.8115
0.00436516	64.999
0.00439036	65.187
0.0044157	65.3756
0.0044412	65.5647
0.00446684	65.7544
0.00449262	65.9447
0.00451856	66.1355
0.00454465	66.3268
0.00457088	66.5187
0.00459727	66.7111
0.00462381	66.9041
0.0046505	67.0977
0.00467735	67.2918
0.00470435	67.4864
0.00473151	67.6816
0.00475883	67.8774
0.0047863	68.0738
0.00481393	68.2707
0.00484172	68.4682
0.00486968	68.6662
0.00489779	68.8649
0.00492606	69.0641
0.0049545	69.2638
0.0049831	69.4642
