E [MeV]	dEdx [keV/microm]
0.001	22.7993
0.00100577	22.8654
0.00101158	22.9317
0.00101742	22.9981
0.00102329	23.0648
0.0010292	23.1317
0.00103514	23.1987
0.00104112	23.266
0.00104713	23.3334
0.00105317	23.4011
0.00105925	23.4689
0.00106537	23.5369
0.00107152	23.6051
0.00107771	23.6735
0.00108393	23.7422
0.00109018	23.811
0.00109648	23.88
0.00110281	23.9492
0.00110917	24.0186
0.00111558	24.0882
0.00112202	24.158
0.0011285	24.228
0.00113501	24.2982
0.00114156	24.3687
0.00114815	24.4393
0.00115478	24.5101
0.00116145	24.5811
0.00116815	24.6524
0.0011749	24.7238
0.00118168	24.7954
0.0011885	24.8673
0.00119536	24.9393
0.00120226	25.0116
0.00120921	25.0841
0.00121619	25.1567
0.00122321	25.2297
0.00123027	25.3028
0.00123737	25.3761
0.00124451	25.4496
0.0012517	25.5233
0.00125893	25.5972
0.00126619	25.6714
0.0012735	25.7458
0.00128086	25.8204
0.00128825	25.8952
0.00129569	25.9702
0.00130317	26.0454
0.00131069	26.1209
0.00131826	26.1966
0.00132587	26.2724
0.00133352	26.3486
0.00134122	26.4249
0.00134896	26.5014
0.00135675	26.5782
0.00136458	26.6552
0.00137246	26.7324
0.00138038	26.8098
0.00138835	26.8875
0.00139637	26.9654
0.00140443	27.0434
0.00141254	27.1218
0.00142069	27.2003
0.00142889	27.2791
0.00143714	27.3581
0.00144544	27.4374
0.00145378	27.5168
0.00146218	27.5965
0.00147062	27.6765
0.00147911	27.7566
0.00148765	27.837
0.00149624	27.9176
0.00150487	27.9985
0.00151356	28.0795
0.0015223	28.1608
0.00153109	28.2424
0.00153993	28.3242
0.00154882	28.4062
0.00155776	28.4885
0.00156675	28.5709
0.0015758	28.6537
0.00158489	28.7367
0.00159404	28.8199
0.00160325	28.9033
0.0016125	28.987
0.00162181	29.0709
0.00163117	29.1551
0.00164059	29.2395
0.00165006	29.3242
0.00165959	29.4091
0.00166917	29.4942
0.0016788	29.5796
0.0016885	29.6653
0.00169824	29.7511
0.00170805	29.8373
0.00171791	29.9237
0.00172783	30.0103
0.0017378	30.0972
0.00174783	30.1843
0.00175792	30.2717
0.00176807	30.3593
0.00177828	30.4472
0.00178855	30.5353
0.00179887	30.6237
0.00180926	30.7124
0.0018197	30.8013
0.00183021	30.8904
0.00184077	30.9799
0.0018514	31.0695
0.00186209	31.1595
0.00187284	31.2497
0.00188365	31.3401
0.00189452	31.4308
0.00190546	31.5218
0.00191646	31.613
0.00192752	31.7045
0.00193865	31.7963
0.00194984	31.8883
0.0019611	31.9806
0.00197242	32.0732
0.00198381	32.166
0.00199526	32.2591
0.00200678	32.3525
0.00201837	32.4461
0.00203002	32.54
0.00204174	32.6342
0.00205353	32.7286
0.00206538	32.8233
0.0020773	32.9183
0.0020893	33.0136
0.00210136	33.1091
0.00211349	33.2049
0.00212569	33.301
0.00213796	33.3974
0.0021503	33.494
0.00216272	33.5909
0.0021752	33.6881
0.00218776	33.7856
0.00220039	33.8834
0.00221309	33.9814
0.00222587	34.0797
0.00223872	34.1784
0.00225165	34.2772
0.00226464	34.3764
0.00227772	34.4759
0.00229087	34.5757
0.00230409	34.6757
0.00231739	34.776
0.00233077	34.8766
0.00234423	34.9776
0.00235776	35.0787
0.00237137	35.1802
0.00238506	35.282
0.00239883	35.3841
0.00241268	35.4865
0.00242661	35.5891
0.00244062	35.6921
0.00245471	35.7953
0.00246888	35.8989
0.00248313	36.0027
0.00249747	36.1069
0.00251189	36.2113
0.00252639	36.3161
0.00254097	36.4212
0.00255564	36.5265
0.0025704	36.6322
0.00258523	36.7381
0.00260016	36.8444
0.00261517	36.951
0.00263027	37.0579
0.00264545	37.1651
0.00266073	37.2726
0.00267609	37.3804
0.00269153	37.4885
0.00270707	37.597
0.0027227	37.7057
0.00273842	37.8148
0.00275423	37.9241
0.00277013	38.0338
0.00278612	38.1438
0.00280221	38.2542
0.00281838	38.3648
0.00283465	38.4758
0.00285102	38.587
0.00286748	38.6986
0.00288403	38.8106
0.00290068	38.9228
0.00291743	39.0354
0.00293427	39.1483
0.00295121	39.2615
0.00296825	39.375
0.00298538	39.4889
0.00300262	39.6031
0.00301995	39.7177
0.00303739	39.8325
0.00305492	39.9477
0.00307256	40.0632
0.0030903	40.1791
0.00310814	40.2953
0.00312608	40.4118
0.00314413	40.5287
0.00316228	40.6459
0.00318053	40.7634
0.0031989	40.8813
0.00321736	40.9995
0.00323594	41.118
0.00325462	41.2369
0.00327341	41.3562
0.0032923	41.4757
0.00331131	41.5957
0.00333043	41.716
0.00334965	41.8366
0.00336899	41.9576
0.00338844	42.0789
0.003408	42.2005
0.00342768	42.3225
0.00344747	42.4449
0.00346737	42.5676
0.00348739	42.6907
0.00350752	42.8142
0.00352777	42.9379
0.00354813	43.0621
0.00356862	43.1866
0.00358922	43.3114
0.00360994	43.4367
0.00363078	43.5622
0.00365174	43.6882
0.00367282	43.8145
0.00369403	43.9411
0.00371535	44.0682
0.0037368	44.1956
0.00375837	44.3233
0.00378007	44.4515
0.00380189	44.58
0.00382384	44.7089
0.00384592	44.8381
0.00386812	44.9677
0.00389045	45.0977
0.00391291	45.2281
0.0039355	45.3588
0.00395822	45.4899
0.00398107	45.6214
0.00400405	45.7533
0.00402717	45.8856
0.00405042	46.0182
0.0040738	46.1512
0.00409732	46.2846
0.00412098	46.4184
0.00414477	46.5526
0.00416869	46.6872
0.00419276	46.8221
0.00421697	46.9574
0.00424131	47.0932
0.0042658	47.2293
0.00429042	47.3658
0.00431519	47.5027
0.0043401	47.64
0.00436516	47.7777
0.00439036	47.9158
0.0044157	48.0543
0.0044412	48.1932
0.00446684	48.3325
0.00449262	48.4722
0.00451856	48.6123
0.00454465	48.7528
0.00457088	48.8937
0.00459727	49.035
0.00462381	49.1767
0.0046505	49.3188
0.00467735	49.4613
0.00470435	49.6043
0.00473151	49.7584
0.00475883	49.9022
0.0047863	50.0463
0.00481393	50.1909
0.00484172	50.336
0.00486968	50.4814
0.00489779	50.6272
0.00492606	50.7735
0.0049545	50.9202
0.0049831	51.0673
0.00501187	51.2149
0.00504081	51.3629
0.00506991	51.5112
