E [MeV]	dEdx [keV/microm]
0.001	52.3344
0.00100577	52.4853
0.00101158	52.6366
0.00101742	52.7883
0.00102329	52.9404
0.0010292	53.093
0.00103514	53.246
0.00104112	53.3995
0.00104713	53.5534
0.00105317	53.7078
0.00105925	53.8626
0.00106537	54.0178
0.00107152	54.1736
0.00107771	54.3297
0.00108393	54.4863
0.00109018	54.6434
0.00109648	54.8009
0.00110281	54.9588
0.00110917	55.1172
0.00111558	55.2761
0.00112202	55.4354
0.0011285	55.5952
0.00113501	55.7554
0.00114156	55.9162
0.00114815	56.0773
0.00115478	56.239
0.00116145	56.4011
0.00116815	56.5637
0.0011749	56.7267
0.00118168	56.8902
0.0011885	57.0542
0.00119536	57.2186
0.00120226	57.3835
0.00120921	57.5489
0.00121619	57.7148
0.00122321	57.8812
0.00123027	58.048
0.00123737	58.2153
0.00124451	58.3831
0.0012517	58.5514
0.00125893	58.7202
0.00126619	58.8894
0.0012735	59.0592
0.00128086	59.2294
0.00128825	59.4001
0.00129569	59.5713
0.00130317	59.743
0.00131069	59.9152
0.00131826	60.0879
0.00132587	60.2612
0.00133352	60.4348
0.00134122	60.609
0.00134896	60.7837
0.00135675	60.9589
0.00136458	61.1346
0.00137246	61.3108
0.00138038	61.4876
0.00138835	61.6648
0.00139637	61.8425
0.00140443	62.0208
0.00141254	62.1996
0.00142069	62.3789
0.00142889	62.5587
0.00143714	62.739
0.00144544	62.9198
0.00145378	63.1012
0.00146218	63.283
0.00147062	63.4654
0.00147911	63.6484
0.00148765	63.8318
0.00149624	64.0158
0.00150487	64.2004
0.00151356	64.3854
0.0015223	64.571
0.00153109	64.7571
0.00153993	64.9437
0.00154882	65.1309
0.00155776	65.3187
0.00156675	65.507
0.0015758	65.6958
0.00158489	65.8851
0.00159404	66.075
0.00160325	66.2655
0.0016125	66.4565
0.00162181	66.648
0.00163117	66.8401
0.00164059	67.0328
0.00165006	67.226
0.00165959	67.4198
0.00166917	67.6141
0.0016788	67.809
0.0016885	68.0044
0.00169824	68.2005
0.00170805	68.397
0.00171791	68.5942
0.00172783	68.7919
0.0017378	68.9902
0.00174783	69.189
0.00175792	69.3885
0.00176807	69.5885
0.00177828	69.7891
0.00178855	69.9902
0.00179887	70.192
0.00180926	70.3943
0.0018197	70.5972
0.00183021	70.8007
0.00184077	71.0047
0.0018514	71.2094
0.00186209	71.4146
0.00187284	71.6205
0.00188365	71.8269
0.00189452	72.034
0.00190546	72.2416
0.00191646	72.4498
