Stopping power dEdx from Ionisation for alpha Z = 2 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	14.225
0.00100577	14.265
0.00101158	14.3051
0.00101742	14.3453
0.00102329	14.3857
0.0010292	14.4262
0.00103514	14.4668
0.00104112	14.5075
0.00104713	14.5483
0.00105317	14.5892
0.00105925	14.6303
0.00106537	14.6715
0.00107152	14.7128
0.00107771	14.7542
0.00108393	14.7957
0.00109018	14.8374
0.00109648	14.8791
0.00110281	14.921
0.00110917	14.963
0.00111558	15.0052
0.00112202	15.0474
0.0011285	15.0898
0.00113501	15.1323
0.00114156	15.1749
0.00114815	15.2177
0.00115478	15.2605
0.00116145	15.3035
0.00116815	15.3466
0.0011749	15.3899
0.00118168	15.4332
0.0011885	15.4767
0.00119536	15.5203
0.00120226	15.5641
0.00120921	15.608
0.00121619	15.6519
0.00122321	15.6961
0.00123027	15.7403
0.00123737	15.7847
0.00124451	15.8292
0.0012517	15.8738
0.00125893	15.9186
0.00126619	15.9635
0.0012735	16.0085
0.00128086	16.0536
0.00128825	16.0989
0.00129569	16.1443
0.00130317	16.1899
0.00131069	16.2355
0.00131826	16.2814
0.00132587	16.3273
0.00133352	16.3734
0.00134122	16.4196
0.00134896	16.4659
0.00135675	16.5124
0.00136458	16.559
0.00137246	16.6057
0.00138038	16.6526
0.00138835	16.6996
0.00139637	16.7467
0.00140443	16.794
0.00141254	16.8414
0.00142069	16.889
0.00142889	16.9367
0.00143714	16.9845
0.00144544	17.0325
0.00145378	17.0806
0.00146218	17.1288
0.00147062	17.1772
0.00147911	17.2257
0.00148765	17.2744
0.00149624	17.3232
0.00150487	17.3722
0.00151356	17.4212
0.0015223	17.4705
0.00153109	17.5198
0.00153993	17.5694
0.00154882	17.619
0.00155776	17.6688
0.00156675	17.7188
0.0015758	17.7689
0.00158489	17.8191
0.00159404	17.8695
0.00160325	17.92
0.0016125	17.9707
0.00162181	18.0215
0.00163117	18.0725
0.00164059	18.1236
0.00165006	18.1749
0.00165959	18.2263
0.00166917	18.2778
0.0016788	18.3295
0.0016885	18.3814
0.00169824	18.4334
0.00170805	18.4856
0.00171791	18.5379
0.00172783	18.5903
0.0017378	18.643
0.00174783	18.6957
0.00175792	18.7486
0.00176807	18.8017
0.00177828	18.8549
0.00178855	18.9083
0.00179887	18.9619
0.00180926	19.0156
0.0018197	19.0694
0.00183021	19.1234
0.00184077	19.1776
0.0018514	19.2319
0.00186209	19.2864
0.00187284	19.341
0.00188365	19.3958
0.00189452	19.4507
0.00190546	19.5058
0.00191646	19.5611
0.00192752	19.6165
0.00193865	19.6721
0.00194984	19.7279
0.0019611	19.7838
0.00197242	19.8399
0.00198381	19.8961
0.00199526	19.9525
0.00200678	20.0091
0.00201837	20.0658
0.00203002	20.1227
0.00204174	20.1798
0.00205353	20.237
0.00206538	20.2944
0.0020773	20.352
0.0020893	20.4097
0.00210136	20.4676
0.00211349	20.5256
0.00212569	20.5839
0.00213796	20.6423
0.0021503	20.7008
0.00216272	20.7596
0.0021752	20.8185
0.00218776	20.8776
0.00220039	20.9368
0.00221309	20.9962
0.00222587	21.0558
0.00223872	21.1156
0.00225165	21.1756
0.00226464	21.2357
0.00227772	21.296
0.00229087	21.3564
0.00230409	21.4171
0.00231739	21.4779
0.00233077	21.5389
0.00234423	21.6001
0.00235776	21.6614
0.00237137	21.723
0.00238506	21.7847
0.00239883	21.8466
0.00241268	21.9086
0.00242661	21.9709
0.00244062	22.0333
0.00245471	22.0959
0.00246888	22.1587
0.00248313	22.2217
0.00249747	22.2849
0.00251189	22.3482
0.00252639	22.4118
0.00254097	22.4755
0.00255564	22.5394
0.0025704	22.6035
0.00258523	22.6677
0.00260016	22.7322
0.00261517	22.7968
0.00263027	22.8617
0.00264545	22.9267
0.00266073	22.9919
0.00267609	23.0573
0.00269153	23.1229
0.00270707	23.1887
0.0027227	23.2547
0.00273842	23.3209
0.00275423	23.3872
0.00277013	23.4538
0.00278612	23.5205
0.00280221	23.5875
0.00281838	23.6546
0.00283465	23.722
0.00285102	23.7895
0.00286748	23.8572
0.00288403	23.9252
0.00290068	23.9933
0.00291743	24.0616
0.00293427	24.1301
0.00295121	24.1989
0.00296825	24.2678
0.00298538	24.3369
0.00300262	24.4062
0.00301995	24.4758
0.00303739	24.5455
0.00305492	24.6154
0.00307256	24.6856
0.0030903	24.7559
0.00310814	24.8265
0.00312608	24.8972
0.00314413	24.9682
0.00316228	25.0394
0.00318053	25.1107
0.0031989	25.1823
0.00321736	25.2541
0.00323594	25.3261
0.00325462	25.3983
0.00327341	25.4708
0.0032923	25.5434
0.00331131	25.6163
0.00333043	25.6893
0.00334965	25.7626
0.00336899	25.8361
0.00338844	25.9098
0.003408	25.9837
0.00342768	26.0579
0.00344747	26.1322
0.00346737	26.2068
0.00348739	26.2816
0.00350752	26.3566
0.00352777	26.4318
0.00354813	26.5073
0.00356862	26.5829
0.00358922	26.6588
0.00360994	26.7349
0.00363078	26.8113
0.00365174	26.8878
0.00367282	26.9646
0.00369403	27.0416
0.00371535	27.1188
0.0037368	27.1963
0.00375837	27.274
0.00378007	27.3519
0.00380189	27.43
0.00382384	27.5084
0.00384592	27.587
0.00386812	27.6658
0.00389045	27.7449
0.00391291	27.8242
0.0039355	27.9037
0.00395822	27.9834
0.00398107	28.0634
0.00400405	28.1368
0.00402717	28.1864
0.00405042	28.2672
0.0040738	28.3483
0.00409732	28.4295
0.00412098	28.5111
0.00414477	28.5928
0.00416869	28.6748
0.00419276	28.757
0.00421697	28.8395
0.00424131	28.9222
0.0042658	29.0051
0.00429042	29.0883
0.00431519	29.1717
0.0043401	29.2554
0.00436516	29.3393
0.00439036	29.4235
0.0044157	29.5079
0.0044412	29.5925
0.00446684	29.6774
0.00449262	29.7626
0.00451856	29.848
0.00454465	29.9336
0.00457088	30.0195
0.00459727	30.1056
0.00462381	30.192
0.0046505	30.2786
0.00467735	30.3655
0.00470435	30.4527
0.00473151	30.5401
0.00475883	30.6277
0.0047863	30.7157
0.00481393	30.8038
0.00484172	30.8923
0.00486968	30.9809
0.00489779	31.0699
0.00492606	31.1591
0.0049545	31.2486
0.0049831	31.3383
0.00501187	31.4283
0.00504081	31.5185
0.00506991	31.609
0.00509918	31.6998
0.00512861	31.7909
0.00515822	31.8822
0.005188	31.9737
0.00521795	32.0656
0.00524807	32.1577
0.00527837	32.2501
0.00530884	32.3428
0.00533949	32.4357
0.00537032	32.5289
0.00540132	32.6224
0.0054325	32.7161
0.00546387	32.8101
0.00549541	32.9044
0.00552713	32.999
0.00555904	33.0938
0.00559114	33.189
0.00562341	33.2844
0.00565588	33.3801
0.00568853	33.476
0.00572137	33.5723
0.0057544	33.6688
0.00578762	33.7656
0.00582103	33.8627
0.00585464	33.9601
0.00588844	34.0578
0.00592243	34.1557
0.00595662	34.254
0.00599101	34.3525
0.0060256	34.4513
0.00606038	34.5505
0.00609537	34.6499
0.00613056	34.7496
0.00616595	34.8495
0.00620155	34.9498
0.00623735	35.0504
0.00627336	35.1513
0.00630957	35.2524
0.006346	35.3539
0.00638263	35.4557
0.00641948	35.5577
0.00645654	35.6601
0.00649382	35.7628
0.00653131	35.8657
0.00656901	35.969
0.00660693	36.0726
0.00664508	36.1765
0.00668344	36.2807
0.00672202	36.3851
0.00676083	36.4899
0.00679986	36.595
0.00683912	36.7005
0.0068786	36.8062
0.00691831	36.9122
0.00695825	37.0186
0.00699842	37.1252
0.00703882	37.2322
0.00707946	37.3395
0.00712033	37.4471
0.00716143	37.555
0.00720278	37.6633
0.00724436	37.7719
0.00728618	37.8807
0.00732825	37.9899
0.00737055	38.0995
0.0074131	38.2093
0.0074559	38.3195
0.00749894	38.43
0.00754223	38.5408
0.00758578	38.652
0.00762957	38.7634
0.00767361	38.8752
0.00771792	38.9874
0.00776247	39.0998
0.00780728	39.2126
0.00785236	39.3258
0.00789769	39.4392
0.00794328	39.553
0.00798914	39.6672
0.00803526	39.7816
0.00808165	39.8964
0.00812831	40.0116
0.00817523	40.1271
0.00822243	40.2429
0.0082699	40.3591
0.00831764	40.4756
0.00836566	40.5924
0.00841395	40.7096
0.00846253	40.8272
0.00851138	40.9451
0.00856052	41.0633
0.00860994	41.1819
0.00865964	41.3008
0.00870964	41.4201
0.00875992	41.5398
0.00881049	41.6598
0.00886135	41.7801
0.00891251	41.9008
0.00896396	42.0219
0.00901571	42.1433
0.00906776	42.2651
0.00912011	42.3872
0.00917276	42.5097
0.00922571	42.6326
0.00927897	42.7558
0.00933254	42.8794
0.00938642	43.0034
0.00944061	43.1277
