Stopping power dEdx from Ionisation for alpha Z = 2 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	11.7661
0.00100577	11.8007
0.00101158	11.8354
0.00101742	11.8703
0.00102329	11.9052
0.0010292	11.9402
0.00103514	11.9753
0.00104112	12.0105
0.00104713	12.0459
0.00105317	12.0813
0.00105925	12.1169
0.00106537	12.1525
0.00107152	12.1883
0.00107771	12.2241
0.00108393	12.2601
0.00109018	12.2962
0.00109648	12.3324
0.00110281	12.3687
0.00110917	12.4051
0.00111558	12.4416
0.00112202	12.4782
0.0011285	12.515
0.00113501	12.5518
0.00114156	12.5888
0.00114815	12.6258
0.00115478	12.663
0.00116145	12.7003
0.00116815	12.7377
0.0011749	12.7752
0.00118168	12.8128
0.0011885	12.8506
0.00119536	12.8884
0.00120226	12.9264
0.00120921	12.9645
0.00121619	13.0026
0.00122321	13.041
0.00123027	13.0794
0.00123737	13.1179
0.00124451	13.1566
0.0012517	13.1953
0.00125893	13.2342
0.00126619	13.2732
0.0012735	13.3123
0.00128086	13.3516
0.00128825	13.3909
0.00129569	13.4304
0.00130317	13.47
0.00131069	13.5097
0.00131826	13.5495
0.00132587	13.5895
0.00133352	13.6295
0.00134122	13.6697
0.00134896	13.71
0.00135675	13.7505
0.00136458	13.791
0.00137246	13.8317
0.00138038	13.8725
0.00138835	13.9134
0.00139637	13.9544
0.00140443	13.9956
0.00141254	14.0369
0.00142069	14.0783
0.00142889	14.1198
0.00143714	14.1615
0.00144544	14.2033
0.00145378	14.2452
0.00146218	14.2872
0.00147062	14.3294
0.00147911	14.3717
0.00148765	14.4141
0.00149624	14.4566
0.00150487	14.4993
0.00151356	14.5421
0.0015223	14.585
0.00153109	14.6281
0.00153993	14.6713
0.00154882	14.7146
0.00155776	14.7581
0.00156675	14.8016
0.0015758	14.8453
0.00158489	14.8892
0.00159404	14.9332
0.00160325	14.9773
0.0016125	15.0215
0.00162181	15.0659
0.00163117	15.1104
0.00164059	15.155
0.00165006	15.1998
0.00165959	15.2447
0.00166917	15.2897
0.0016788	15.3349
0.0016885	15.3802
0.00169824	15.4257
0.00170805	15.4713
0.00171791	15.517
0.00172783	15.5629
0.0017378	15.6089
0.00174783	15.655
0.00175792	15.7013
0.00176807	15.7477
0.00177828	15.7943
0.00178855	15.8409
0.00179887	15.8878
0.00180926	15.9348
0.0018197	15.9819
0.00183021	16.0291
0.00184077	16.0766
0.0018514	16.1241
0.00186209	16.1718
0.00187284	16.2196
0.00188365	16.2676
0.00189452	16.3157
0.00190546	16.364
0.00191646	16.4124
0.00192752	16.461
0.00193865	16.5097
0.00194984	16.5585
0.0019611	16.6075
0.00197242	16.6567
0.00198381	16.706
0.00199526	16.7554
0.00200678	16.805
0.00201837	16.8547
0.00203002	16.9046
0.00204174	16.9547
0.00205353	17.0049
0.00206538	17.0552
0.0020773	17.1057
0.0020893	17.1564
0.00210136	17.2072
0.00211349	17.2581
0.00212569	17.3092
0.00213796	17.3605
0.0021503	17.4119
0.00216272	17.4635
0.0021752	17.5152
0.00218776	17.5671
0.00220039	17.6191
0.00221309	17.6713
0.00222587	17.7237
0.00223872	17.7762
0.00225165	17.8289
0.00226464	17.8817
0.00227772	17.9347
0.00229087	17.9879
0.00230409	18.0412
0.00231739	18.0946
0.00233077	18.1483
0.00234423	18.2021
0.00235776	18.256
0.00237137	18.3102
0.00238506	18.3644
0.00239883	18.4189
0.00241268	18.4735
0.00242661	18.5283
0.00244062	18.5832
0.00245471	18.6383
0.00246888	18.6936
0.00248313	18.7491
0.00249747	18.8047
0.00251189	18.8604
0.00252639	18.9164
0.00254097	18.9725
0.00255564	19.0288
0.0025704	19.0853
0.00258523	19.1419
0.00260016	19.1987
0.00261517	19.2556
0.00263027	19.3128
0.00264545	19.3701
0.00266073	19.4276
0.00267609	19.4853
0.00269153	19.5431
0.00270707	19.6011
0.0027227	19.6593
0.00273842	19.7177
0.00275423	19.7762
0.00277013	19.8349
0.00278612	19.8938
0.00280221	19.9529
0.00281838	20.0121
0.00283465	20.0716
0.00285102	20.1312
0.00286748	20.191
0.00288403	20.2509
0.00290068	20.3111
0.00291743	20.3714
0.00293427	20.4319
0.00295121	20.4926
0.00296825	20.5535
0.00298538	20.6146
0.00300262	20.6759
0.00301995	20.7373
0.00303739	20.7989
0.00305492	20.8607
0.00307256	20.9227
0.0030903	20.9849
0.00310814	21.0473
0.00312608	21.1099
0.00314413	21.1726
0.00316228	21.2356
0.00318053	21.2987
0.0031989	21.362
0.00321736	21.4255
0.00323594	21.4893
0.00325462	21.5532
0.00327341	21.6173
0.0032923	21.6815
0.00331131	21.746
0.00333043	21.8107
0.00334965	21.8756
0.00336899	21.9407
0.00338844	22.0059
0.003408	22.0714
0.00342768	22.1371
0.00344747	22.203
0.00346737	22.269
0.00348739	22.3353
0.00350752	22.4018
0.00352777	22.4684
0.00354813	22.5353
0.00356862	22.6024
0.00358922	22.6697
0.00360994	22.7371
0.00363078	22.8048
0.00365174	22.8727
0.00367282	22.9408
0.00369403	23.0091
0.00371535	23.0776
0.0037368	23.1464
0.00375837	23.2153
0.00378007	23.2844
0.00380189	23.3538
0.00382384	23.4233
0.00384592	23.4931
0.00386812	23.5631
0.00389045	23.6333
0.00391291	23.7037
0.0039355	23.7743
0.00395822	23.8452
0.00398107	23.9162
0.00400405	23.9816
0.00402717	24.0316
0.00405042	24.1034
0.0040738	24.1754
0.00409732	24.2476
0.00412098	24.32
0.00414477	24.3926
0.00416869	24.4655
0.00419276	24.5386
0.00421697	24.6119
0.00424131	24.6854
0.0042658	24.7592
0.00429042	24.8332
0.00431519	24.9073
0.0043401	24.9818
0.00436516	25.0564
0.00439036	25.1313
0.0044157	25.2064
0.0044412	25.2817
0.00446684	25.3573
0.00449262	25.433
0.00451856	25.5091
0.00454465	25.5853
0.00457088	25.6618
0.00459727	25.7385
0.00462381	25.8154
0.0046505	25.8926
0.00467735	25.97
0.00470435	26.0476
0.00473151	26.1255
0.00475883	26.2036
0.0047863	26.2819
0.00481393	26.3605
0.00484172	26.4393
0.00486968	26.5184
0.00489779	26.5977
0.00492606	26.6772
0.0049545	26.757
0.0049831	26.837
0.00501187	26.9173
0.00504081	26.9978
0.00506991	27.0785
0.00509918	27.1595
0.00512861	27.2408
0.00515822	27.3223
0.005188	27.404
0.00521795	27.486
0.00524807	27.5682
0.00527837	27.6507
0.00530884	27.7335
0.00533949	27.8164
0.00537032	27.8997
0.00540132	27.9832
0.0054325	28.0669
0.00546387	28.1509
0.00549541	28.2352
0.00552713	28.3197
0.00555904	28.4044
0.00559114	28.4895
0.00562341	28.5748
0.00565588	28.6603
0.00568853	28.7461
0.00572137	28.8322
0.0057544	28.9185
0.00578762	29.0051
0.00582103	29.0919
0.00585464	29.1791
0.00588844	29.2664
0.00592243	29.3541
0.00595662	29.442
0.00599101	29.5302
0.0060256	29.6186
0.00606038	29.7074
0.00609537	29.7963
0.00613056	29.8856
0.00616595	29.9751
0.00620155	30.0649
0.00623735	30.155
0.00627336	30.2454
0.00630957	30.336
0.006346	30.4269
0.00638263	30.5181
0.00641948	30.6096
0.00645654	30.7013
0.00649382	30.7933
0.00653131	30.8856
0.00656901	30.9782
0.00660693	31.0711
0.00664508	31.1642
0.00668344	31.2577
0.00672202	31.3514
0.00676083	31.4454
0.00679986	31.5397
0.00683912	31.6342
0.0068786	31.7291
0.00691831	31.8243
0.00695825	31.9197
0.00699842	32.0154
0.00703882	32.1115
0.00707946	32.2078
0.00712033	32.3044
0.00716143	32.4013
0.00720278	32.4985
0.00724436	32.596
0.00728618	32.6938
0.00732825	32.7919
0.00737055	32.8903
0.0074131	32.989
0.0074559	33.088
0.00749894	33.1873
0.00754223	33.2869
0.00758578	33.3868
0.00762957	33.4871
0.00767361	33.5876
0.00771792	33.6884
0.00776247	33.7896
0.00780728	33.891
0.00785236	33.9928
0.00789769	34.0948
0.00794328	34.1972
0.00798914	34.2999
0.00803526	34.4029
0.00808165	34.5062
0.00812831	34.6099
0.00817523	34.7138
0.00822243	34.8181
0.0082699	34.9227
0.00831764	35.0276
0.00836566	35.1328
0.00841395	35.2384
0.00846253	35.3442
0.00851138	35.4504
0.00856052	35.557
0.00860994	35.6638
0.00865964	35.771
0.00870964	35.8785
0.00875992	35.9863
0.00881049	36.0945
0.00886135	36.203
0.00891251	36.3118
0.00896396	36.421
0.00901571	36.5305
0.00906776	36.6403
0.00912011	36.7505
0.00917276	36.861
0.00922571	36.9718
0.00927897	37.083
0.00933254	37.1945
0.00938642	37.3064
0.00944061	37.4186
0.00949511	37.5311
0.00954993	37.644
0.00960506	37.7572
0.00966051	37.8708
0.00971628	37.9848
0.00977237	38.099
0.00982879	38.2137
0.00988553	38.3286
0.0099426	38.444
0.01	38.5597
0.0100577	38.6757
0.0101158	38.7921
0.0101742	38.9089
0.0102329	39.026
0.010292	39.1434
0.0103514	39.2613
0.0104112	39.3794
0.0104713	39.498
0.0105317	39.6169
0.0105925	39.7362
0.0106537	39.8558
0.0107152	39.9758
0.0107771	40.0962
0.0108393	40.217
0.0109018	40.3381
0.0109648	40.4596
0.0110281	40.5814
0.0110917	40.7037
0.0111558	40.8263
0.0112202	40.9493
0.011285	41.0726
0.0113501	41.1964
0.0114156	41.3205
0.0114815	41.445
0.0115478	41.5698
0.0116145	41.6951
0.0116815	41.8208
0.011749	41.9468
0.0118168	42.0732
0.011885	42.2
0.0119536	42.3272
0.0120226	42.4548
0.0120921	42.5828
0.0121619	42.7111
0.0122321	42.8399
0.0123027	42.969
0.0123737	43.0986
0.0124451	43.2285
0.012517	43.3589
0.0125893	43.4896
0.0126619	43.6208
0.012735	43.7523
0.0128086	43.8843
0.0128825	44.0166
0.0129569	44.1494
0.0130317	44.2825
0.0131069	44.4161
0.0131826	44.5501
0.0132587	44.6845
0.0133352	44.8193
0.0134122	44.9545
