Stopping power dEdx from Ionisation for deuteron Z = 1 in G4_Si, process name: hIoni
E [MeV]	dEdx [MeV/mm]
0.001	17.3037
0.00100577	17.3535
0.00101158	17.4036
0.00101742	17.4537
0.00102329	17.504
0.0010292	17.5545
0.00103514	17.6051
0.00104112	17.6558
0.00104713	17.7067
0.00105317	17.7578
0.00105925	17.8089
0.00106537	17.8603
0.00107152	17.9117
0.00107771	17.9634
0.00108393	18.0152
0.00109018	18.0671
0.00109648	18.1192
0.00110281	18.1714
0.00110917	18.2238
0.00111558	18.2763
0.00112202	18.329
0.0011285	18.3818
0.00113501	18.4348
0.00114156	18.4879
0.00114815	18.5412
0.00115478	18.5946
0.00116145	18.6482
0.00116815	18.702
0.0011749	18.7559
0.00118168	18.81
0.0011885	18.8642
0.00119536	18.9186
0.00120226	18.9731
0.00120921	19.0278
0.00121619	19.0826
0.00122321	19.1376
0.00123027	19.1928
0.00123737	19.2481
0.00124451	19.3036
0.0012517	19.3592
0.00125893	19.415
0.00126619	19.471
0.0012735	19.5271
0.00128086	19.5834
0.00128825	19.6398
0.00129569	19.6965
0.00130317	19.7532
0.00131069	19.8102
0.00131826	19.8673
0.00132587	19.9245
0.00133352	19.982
0.00134122	20.0396
0.00134896	20.0973
0.00135675	20.1552
0.00136458	20.2133
0.00137246	20.2716
0.00138038	20.33
0.00138835	20.3886
0.00139637	20.4474
0.00140443	20.5063
0.00141254	20.5654
0.00142069	20.6247
0.00142889	20.6842
0.00143714	20.7438
0.00144544	20.8036
0.00145378	20.8635
0.00146218	20.9237
0.00147062	20.984
0.00147911	21.0445
0.00148765	21.1051
0.00149624	21.166
0.00150487	21.227
0.00151356	21.2882
0.0015223	21.3495
0.00153109	21.4111
0.00153993	21.4728
0.00154882	21.5347
0.00155776	21.5967
0.00156675	21.659
0.0015758	21.7214
0.00158489	21.784
0.00159404	21.8468
0.00160325	21.9098
0.0016125	21.9729
0.00162181	22.0363
0.00163117	22.0998
0.00164059	22.1635
0.00165006	22.2274
0.00165959	22.2914
0.00166917	22.3557
0.0016788	22.4201
0.0016885	22.4847
0.00169824	22.5496
0.00170805	22.6146
0.00171791	22.6797
0.00172783	22.7451
0.0017378	22.8107
0.00174783	22.8764
0.00175792	22.9424
0.00176807	23.0085
0.00177828	23.0748
0.00178855	23.1413
0.00179887	23.208
0.00180926	23.2749
0.0018197	23.342
0.00183021	23.4093
0.00184077	23.4768
0.0018514	23.5444
0.00186209	23.6123
0.00187284	23.6803
0.00188365	23.7486
0.00189452	23.8171
0.00190546	23.8857
0.00191646	23.9545
0.00192752	24.0236
0.00193865	24.0928
0.00194984	24.1623
0.0019611	24.2319
0.00197242	24.3018
0.00198381	24.3718
0.00199526	24.4421
0.00200678	24.5063
0.00201837	24.5678
0.00203002	24.6298
0.00204174	24.6923
0.00205353	24.7551
0.00206538	24.8185
0.0020773	24.8822
0.0020893	24.9464
0.00210136	25.0111
0.00211349	25.0762
0.00212569	25.1417
0.00213796	25.2077
0.0021503	25.2742
0.00216272	25.3411
0.0021752	25.4085
0.00218776	25.4764
0.00220039	25.5447
0.00221309	25.6135
0.00222587	25.6828
0.00223872	25.7525
0.00225165	25.8227
0.00226464	25.8934
0.00227772	25.9646
0.00229087	26.0362
0.00230409	26.1084
0.00231739	26.181
0.00233077	26.2541
0.00234423	26.3278
0.00235776	26.4019
0.00237137	26.4765
0.00238506	26.5516
0.00239883	26.6272
0.00241268	26.7033
0.00242661	26.7799
0.00244062	26.8571
0.00245471	26.9347
0.00246888	27.0129
0.00248313	27.0915
0.00249747	27.1707
0.00251189	27.2504
0.00252639	27.3306
0.00254097	27.4114
0.00255564	27.4926
0.0025704	27.5744
0.00258523	27.6567
0.00260016	27.7396
0.00261517	27.8229
0.00263027	27.9068
0.00264545	27.9913
0.00266073	28.0763
0.00267609	28.1618
0.00269153	28.2478
0.00270707	28.3344
0.0027227	28.4216
0.00273842	28.5092
0.00275423	28.5975
0.00277013	28.6862
0.00278612	28.7755
0.00280221	28.8654
0.00281838	28.9558
0.00283465	29.0468
0.00285102	29.1383
0.00286748	29.2303
0.00288403	29.323
0.00290068	29.4161
0.00291743	29.5099
0.00293427	29.6041
0.00295121	29.699
0.00296825	29.7943
0.00298538	29.8903
0.00300262	29.9832
0.00301995	30.0654
0.00303739	30.1479
0.00305492	30.231
0.00307256	30.3145
0.0030903	30.3985
0.00310814	30.4829
0.00312608	30.5678
0.00314413	30.6532
0.00316228	30.7391
0.00318053	30.8254
0.0031989	30.9121
0.00321736	30.9994
0.00323594	31.0871
0.00325462	31.1752
0.00327341	31.2638
0.0032923	31.3529
0.00331131	31.4424
0.00333043	31.5324
0.00334965	31.6228
0.00336899	31.7136
0.00338844	31.8049
0.003408	31.8967
0.00342768	31.9889
0.00344747	32.0815
0.00346737	32.1745
0.00348739	32.268
0.00350752	32.3619
0.00352777	32.4562
0.00354813	32.5509
0.00356862	32.646
0.00358922	32.7416
0.00360994	32.8375
0.00363078	32.9339
0.00365174	33.0306
0.00367282	33.1278
0.00369403	33.2253
0.00371535	33.3232
0.0037368	33.4215
0.00375837	33.5201
0.00378007	33.6191
0.00380189	33.7184
0.00382384	33.8181
0.00384592	33.9182
0.00386812	34.0185
0.00389045	34.1192
0.00391291	34.2202
0.0039355	34.3216
0.00395822	34.4232
0.00398107	34.5251
0.00400405	34.6267
0.00402717	34.7267
0.00405042	34.8269
0.0040738	34.9275
0.00409732	35.0282
0.00412098	35.1293
0.00414477	35.2306
0.00416869	35.3322
0.00419276	35.4341
0.00421697	35.5362
0.00424131	35.6386
0.0042658	35.7413
0.00429042	35.8443
0.00431519	35.9475
0.0043401	36.051
0.00436516	36.1548
0.00439036	36.2588
0.0044157	36.3632
0.0044412	36.4678
0.00446684	36.5727
0.00449262	36.6779
0.00451856	36.7834
0.00454465	36.8891
0.00457088	36.9952
0.00459727	37.1015
0.00462381	37.2082
0.0046505	37.3151
0.00467735	37.4224
0.00470435	37.5299
0.00473151	37.6377
0.00475883	37.7459
0.0047863	37.8543
0.00481393	37.9631
0.00484172	38.0722
0.00486968	38.1815
0.00489779	38.2913
0.00492606	38.4013
0.0049545	38.5116
0.0049831	38.6223
0.00501187	38.7332
0.00504081	38.8444
0.00506991	38.9558
0.00509918	39.0676
0.00512861	39.1798
0.00515822	39.2923
0.005188	39.4051
0.00521795	39.5182
0.00524807	39.6317
0.00527837	39.7455
0.00530884	39.8597
0.00533949	39.9742
0.00537032	40.0891
0.00540132	40.2043
0.0054325	40.3198
0.00546387	40.4357
0.00549541	40.5519
0.00552713	40.6685
0.00555904	40.7854
0.00559114	40.9027
0.00562341	41.0204
0.00565588	41.1383
0.00568853	41.2567
0.00572137	41.3754
0.0057544	41.4945
0.00578762	41.6139
0.00582103	41.7337
0.00585464	41.8538
0.00588844	41.9744
0.00592243	42.0953
0.00595662	42.2165
0.00599101	42.3382
0.0060256	42.4602
0.00606038	42.5827
0.00609537	42.7055
0.00613056	42.8287
0.00616595	42.9522
0.00620155	43.0762
0.00623735	43.2005
0.00627336	43.3252
0.00630957	43.4503
0.006346	43.5757
0.00638263	43.7016
0.00641948	43.8278
0.00645654	43.9544
0.00649382	44.0814
0.00653131	44.2087
0.00656901	44.3365
0.00660693	44.4646
0.00664508	44.5931
0.00668344	44.7219
0.00672202	44.8512
0.00676083	44.9808
0.00679986	45.1108
0.00683912	45.2412
0.0068786	45.372
0.00691831	45.5032
0.00695825	45.6347
0.00699842	45.7667
0.00703882	45.899
0.00707946	46.0317
0.00712033	46.1648
0.00716143	46.2982
0.00720278	46.4321
0.00724436	46.5663
0.00728618	46.701
0.00732825	46.836
0.00737055	46.9714
0.0074131	47.1072
0.0074559	47.2434
0.00749894	47.38
0.00754223	47.517
0.00758578	47.6544
0.00762957	47.7922
0.00767361	47.9304
0.00771792	48.0689
0.00776247	48.2079
0.00780728	48.3473
0.00785236	48.4871
0.00789769	48.6273
0.00794328	48.7678
0.00798914	48.9088
0.00803526	49.05
0.00808165	49.1916
0.00812831	49.3336
0.00817523	49.476
0.00822243	49.6188
0.0082699	49.762
0.00831764	49.9056
0.00836566	50.0496
0.00841395	50.1941
0.00846253	50.3389
0.00851138	50.4842
0.00856052	50.6299
0.00860994	50.7759
0.00865964	50.9224
0.00870964	51.0694
0.00875992	51.2167
0.00881049	51.3644
0.00886135	51.5126
0.00891251	51.6612
0.00896396	51.8102
0.00901571	51.9596
0.00906776	52.1094
0.00912011	52.2597
0.00917276	52.4103
0.00922571	52.5614
0.00927897	52.713
0.00933254	52.8649
0.00938642	53.0173
0.00944061	53.1701
0.00949511	53.3233
0.00954993	53.477
0.00960506	53.6311
0.00966051	53.7856
0.00971628	53.9406
0.00977237	54.096
0.00982879	54.2518
0.00988553	54.4081
0.0099426	54.5648
0.01	54.722
0.0100577	54.8797
0.0101158	55.0378
0.0101742	55.1964
0.0102329	55.3555
0.010292	55.515
0.0103514	55.675
0.0104112	55.8354
0.0104713	55.9963
0.0105317	56.1576
0.0105925	56.3194
0.0106537	56.4816
0.0107152	56.6443
0.0107771	56.8075
0.0108393	56.9712
0.0109018	57.1353
0.0109648	57.2999
0.0110281	57.4649
0.0110917	57.6304
0.0111558	57.7964
0.0112202	57.9629
0.011285	58.1299
0.0113501	58.2973
0.0114156	58.4653
0.0114815	58.6337
0.0115478	58.8026
0.0116145	58.972
0.0116815	59.1419
0.011749	59.3123
0.0118168	59.4832
0.011885	59.6546
0.0119536	59.8266
0.0120226	59.999
0.0120921	60.172
0.0121619	60.3455
0.0122321	60.5194
0.0123027	60.694
0.0123737	60.869
0.0124451	61.0445
0.012517	61.2205
0.0125893	61.3971
0.0126619	61.5741
0.012735	61.7517
0.0128086	61.9297
0.0128825	62.1083
0.0129569	62.2874
0.0130317	62.4669
0.0131069	62.647
0.0131826	62.8275
0.0132587	63.0085
0.0133352	63.19
0.0134122	63.3721
0.0134896	63.5546
0.0135675	63.7375
0.0136458	63.921
0.0137246	64.1049
0.0138038	64.2894
0.0138835	64.4743
0.0139637	64.6596
0.0140443	64.8455
0.0141254	65.0318
0.0142069	65.2186
0.0142889	65.4059
0.0143714	65.5936
0.0144544	65.7819
0.0145378	65.9707
0.0146218	66.16
0.0147062	66.3498
0.0147911	66.5401
0.0148765	66.731
0.0149624	66.9224
0.0150487	67.1143
0.0151356	67.3068
0.015223	67.4999
0.0153109	67.6936
0.0153993	67.8878
0.0154882	68.0827
0.0155776	68.2781
0.0156675	68.4742
0.015758	68.6709
0.0158489	68.8682
0.0159404	69.0662
0.0160325	69.2648
0.016125	69.4642
0.0162181	69.6642
0.0163117	69.8648
0.0164059	70.0662
0.0165006	70.2683
0.0165959	70.4711
0.0166917	70.6746
0.016788	70.8789
0.016885	71.0839
0.0169824	71.2896
0.0170805	71.4961
0.0171791	71.7033
0.0172783	71.9114
0.017378	72.1202
0.0174783	72.3298
0.0175792	72.5402
0.0176807	72.7514
0.0177828	72.9635
0.0178855	73.1764
0.0179887	73.3901
0.0180926	73.6047
0.018197	73.8201
0.0183021	74.0362
0.0184077	74.2528
0.018514	74.47
0.0186209	74.6875
0.0187284	74.9054
0.0188365	75.1234
0.0189452	75.3415
0.0190546	75.5595
0.0191646	75.7774
0.0192752	75.9949
0.0193865	76.2121
0.0194984	76.4287
0.019611	76.6446
0.0197242	76.8597
0.0198381	77.0739
0.0199526	77.2869
0.0200678	77.4987
0.0201837	77.7092
0.0203002	77.9185
0.0204174	78.1265
0.0205353	78.3332
0.0206538	78.5388
0.020773	78.7431
0.020893	78.9463
0.0210136	79.1484
0.0211349	79.3494
0.0212569	79.5494
0.0213796	79.7483
0.021503	79.9463
0.0216272	80.1433
0.021752	80.3395
0.0218776	80.5348
0.0220039	80.7293
0.0221309	80.923
0.0222587	81.1161
0.0223872	81.3085
0.0225165	81.5004
0.0226464	81.6917
0.0227772	81.8826
0.0229087	82.073
0.0230409	82.2632
0.0231739	82.453
0.0233077	82.6427
0.0234423	82.8323
0.0235776	83.0218
0.0237137	83.2113
0.0238506	83.401
0.0239883	83.5909
0.0241268	83.7812
0.0242661	83.9718
0.0244062	84.1629
0.0245471	84.3546
0.0246888	84.547
0.0248313	84.7402
0.0249747	84.9343
0.0251189	85.1282
0.0252639	85.323
0.0254097	85.5187
0.0255564	85.7155
0.025704	85.9131
0.0258523	86.1118
0.0260016	86.3113
0.0261517	86.5117
0.0263027	86.713
0.0264545	86.9151
0.0266073	87.118
0.0267609	87.3216
0.0269153	87.526
0.0270707	87.7312
0.027227	87.937
0.0273842	88.1434
0.0275423	88.3505
0.0277013	88.5581
0.0278612	88.7663
0.0280221	88.975
0.0281838	89.1842
0.0283465	89.3937
0.0285102	89.6037
0.0286748	89.814
0.0288403	90.0246
0.0290068	90.2354
0.0291743	90.4464
0.0293427	90.6576
0.0295121	90.8688
0.0296825	91.0802
0.0298538	91.2915
0.0300262	91.5027
0.0301995	91.7139
0.0303739	91.925
0.0305492	92.136
0.0307256	92.3469
0.030903	92.5577
0.0310814	92.7685
0.0312608	92.9791
0.0314413	93.1897
0.0316228	93.4002
0.0318053	93.6106
0.031989	93.821
0.0321736	94.0314
0.0323594	94.2417
0.0325462	94.4519
0.0327341	94.6622
0.032923	94.8724
0.0331131	95.0827
0.0333043	95.2929
0.0334965	95.5032
0.0336899	95.7135
0.0338844	95.9239
0.03408	96.1343
0.0342768	96.3448
0.0344747	96.5554
0.0346737	96.7661
0.0348739	96.977
0.0350752	97.188
0.0352777	97.3991
0.0354813	97.6104
0.0356862	97.8218
0.0358922	98.0334
0.0360994	98.245
0.0363078	98.4568
0.0365174	98.6686
0.0367282	98.8806
0.0369403	99.0926
0.0371535	99.3047
0.037368	99.5168
0.0375837	99.729
0.0378007	99.9412
0.0380189	100.153
0.0382384	100.366
0.0384592	100.578
0.0386812	100.79
0.0389045	101.002
0.0391291	101.215
0.039355	101.427
0.0395822	101.639
0.0398107	101.851
0.0400405	102.063
0.0402717	102.275
0.0405042	102.487
0.040738	102.698
0.0409732	102.91
0.0412098	103.121
0.0414477	103.333
0.0416869	103.544
0.0419276	103.755
0.0421697	103.966
0.0424131	104.177
0.042658	104.388
0.0429042	104.598
0.0431519	104.809
0.043401	105.019
0.0436516	105.229
0.0439036	105.439
0.044157	105.648
0.044412	105.858
0.0446684	106.067
0.0449262	106.276
0.0451856	106.485
0.0454465	106.694
0.0457088	106.902
0.0459727	107.111
0.0462381	107.319
0.046505	107.526
