Stopping power dEdx from Ionisation for e+ Z = 0 in G4_TISSUE_SOFT_ICRP, process name: eIoni
E [MeV]	dEdx [MeV/mm]
0.001	14.8167
0.00100577	14.7574
0.00101158	14.6982
0.00101742	14.6393
0.00102329	14.5805
0.0010292	14.522
0.00103514	14.4636
0.00104112	14.4054
0.00104713	14.3474
0.00105317	14.2896
0.00105925	14.232
0.00106537	14.1746
0.00107152	14.1174
0.00107771	14.0604
0.00108393	14.0035
0.00109018	13.9469
0.00109648	13.8904
0.00110281	13.8342
0.00110917	13.7781
0.00111558	13.7222
0.00112202	13.6665
0.0011285	13.611
0.00113501	13.5557
0.00114156	13.5006
0.00114815	13.4456
0.00115478	13.3909
0.00116145	13.3363
0.00116815	13.2819
0.0011749	13.2277
0.00118168	13.1737
0.0011885	13.1199
0.00119536	13.0663
0.00120226	13.0128
0.00120921	12.9596
0.00121619	12.9065
0.00122321	12.8536
0.00123027	12.8009
0.00123737	12.7484
0.00124451	12.696
0.0012517	12.6438
0.00125893	12.5919
0.00126619	12.5401
0.0012735	12.4884
0.00128086	12.437
0.00128825	12.3858
0.00129569	12.3347
0.00130317	12.2838
0.00131069	12.2331
0.00131826	12.1825
0.00132587	12.1322
0.00133352	12.082
0.00134122	12.032
0.00134896	11.9822
0.00135675	11.9325
0.00136458	11.883
0.00137246	11.8337
0.00138038	11.7846
0.00138835	11.7357
0.00139637	11.6869
0.00140443	11.6383
0.00141254	11.5899
0.00142069	11.5417
0.00142889	11.4936
0.00143714	11.4457
0.00144544	11.398
0.00145378	11.3504
0.00146218	11.303
0.00147062	11.2558
0.00147911	11.2088
0.00148765	11.1619
0.00149624	11.1152
0.00150487	11.0687
0.00151356	11.0224
0.0015223	10.9762
0.00153109	10.9302
0.00153993	10.8843
0.00154882	10.8386
0.00155776	10.7931
0.00156675	10.7478
0.0015758	10.7026
0.00158489	10.6576
0.00159404	10.6127
0.00160325	10.5681
0.0016125	10.5235
0.00162181	10.4792
0.00163117	10.435
0.00164059	10.391
0.00165006	10.3471
0.00165959	10.3034
0.00166917	10.2599
0.0016788	10.2165
0.0016885	10.1733
0.00169824	10.1303
0.00170805	10.0874
0.00171791	10.0446
0.00172783	10.0021
0.0017378	9.95966
0.00174783	9.91741
0.00175792	9.87532
0.00176807	9.83339
0.00177828	9.79162
0.00178855	9.75
0.00179887	9.70854
