Stopping power dEdx from Ionisation for e- Z = 0 in G4_TISSUE_SOFT_ICRP, process name: eIoni
E [MeV]	dEdx [MeV/mm]
0.001	12.4198
0.00100577	12.3743
0.00101158	12.3288
0.00101742	12.2835
0.00102329	12.2383
0.0010292	12.1933
0.00103514	12.1483
0.00104112	12.1035
0.00104713	12.0587
0.00105317	12.0141
0.00105925	11.9696
0.00106537	11.9253
0.00107152	11.881
0.00107771	11.8369
0.00108393	11.7928
0.00109018	11.7489
0.00109648	11.7051
0.00110281	11.6615
0.00110917	11.6179
0.00111558	11.5745
0.00112202	11.5312
0.0011285	11.488
0.00113501	11.4449
0.00114156	11.4019
0.00114815	11.3591
0.00115478	11.3163
0.00116145	11.2737
0.00116815	11.2312
0.0011749	11.1889
0.00118168	11.1466
0.0011885	11.1045
0.00119536	11.0624
0.00120226	11.0205
0.00120921	10.9788
0.00121619	10.9371
0.00122321	10.8955
0.00123027	10.8541
0.00123737	10.8128
0.00124451	10.7716
0.0012517	10.7306
0.00125893	10.6896
0.00126619	10.6488
0.0012735	10.608
0.00128086	10.5675
0.00128825	10.527
0.00129569	10.4866
0.00130317	10.4464
0.00131069	10.4062
0.00131826	10.3662
0.00132587	10.3264
0.00133352	10.2866
0.00134122	10.2469
0.00134896	10.2074
0.00135675	10.168
0.00136458	10.1287
0.00137246	10.0895
0.00138038	10.0505
0.00138835	10.0115
0.00139637	9.9727
0.00140443	9.934
0.00141254	9.89541
0.00142069	9.85694
0.00142889	9.81859
0.00143714	9.78035
0.00144544	9.74223
0.00145378	9.70423
0.00146218	9.66635
0.00147062	9.62859
0.00147911	9.59094
0.00148765	9.55341
0.00149624	9.51599
0.00150487	9.47869
0.00151356	9.44151
0.0015223	9.40445
0.00153109	9.3675
0.00153993	9.33067
0.00154882	9.29395
0.00155776	9.25735
0.00156675	9.22087
0.0015758	9.1845
0.00158489	9.14825
0.00159404	9.11211
0.00160325	9.07609
0.0016125	9.04019
0.00162181	9.0044
0.00163117	8.96872
0.00164059	8.93316
0.00165006	8.89772
0.00165959	8.86239
0.00166917	8.82717
0.0016788	8.79207
0.0016885	8.75708
0.00169824	8.72221
0.00170805	8.68745
0.00171791	8.6528
0.00172783	8.61827
0.0017378	8.58385
0.00174783	8.54955
0.00175792	8.51535
0.00176807	8.48127
0.00177828	8.44731
0.00178855	8.41345
0.00179887	8.37971
0.00180926	8.34608
0.0018197	8.31256
0.00183021	8.27916
0.00184077	8.24587
0.0018514	8.21268
0.00186209	8.17961
0.00187284	8.14665
0.00188365	8.1138
0.00189452	8.08107
0.00190546	8.04844
0.00191646	8.01592
0.00192752	7.98352
0.00193865	7.95122
0.00194984	7.91903
0.0019611	7.88696
0.00197242	7.85499
0.00198381	7.82313
0.00199526	7.79138
0.00200678	7.75974
0.00201837	7.72821
0.00203002	7.69679
0.00204174	7.66547
0.00205353	7.63427
0.00206538	7.60317
0.0020773	7.57218
0.0020893	7.54129
0.00210136	7.51052
0.00211349	7.47985
0.00212569	7.44928
0.00213796	7.41883
0.0021503	7.38848
0.00216272	7.35823
0.0021752	7.3281
0.00218776	7.29807
0.00220039	7.26814
0.00221309	7.23832
0.00222587	7.2086
0.00223872	7.17899
0.00225165	7.14948
0.00226464	7.12008
0.00227772	7.09078
0.00229087	7.06159
0.00230409	7.0325
0.00231739	7.00351
0.00233077	6.97463
0.00234423	6.94585
0.00235776	6.91717
0.00237137	6.8886
0.00238506	6.86013
0.00239883	6.83175
0.00241268	6.80349
0.00242661	6.77532
0.00244062	6.74725
0.00245471	6.71929
0.00246888	6.69143
0.00248313	6.66366
0.00249747	6.636
0.00251189	6.60844
0.00252639	6.58098
0.00254097	6.55362
0.00255564	6.52635
0.0025704	6.49919
0.00258523	6.47213
0.00260016	6.44516
0.00261517	6.4183
0.00263027	6.39153
0.00264545	6.36486
0.00266073	6.33828
0.00267609	6.31181
0.00269153	6.28543
0.00270707	6.25915
0.0027227	6.23297
0.00273842	6.20688
0.00275423	6.18089
0.00277013	6.155
0.00278612	6.1292
0.00280221	6.1035
0.00281838	6.07789
0.00283465	6.05238
0.00285102	6.02696
0.00286748	6.00164
0.00288403	5.97641
0.00290068	5.95128
0.00291743	5.92624
0.00293427	5.90129
0.00295121	5.87644
0.00296825	5.85168
0.00298538	5.82701
