Stopping power dEdx from Ionisation for e- Z = 0 in Water, process name: eIoni
E [MeV]	dEdx [MeV/mm]
0.001	11.9776
0.00100577	11.9341
0.00101158	11.8906
0.00101742	11.8472
0.00102329	11.8039
0.0010292	11.7608
0.00103514	11.7177
0.00104112	11.6748
0.00104713	11.632
0.00105317	11.5893
0.00105925	11.5466
0.00106537	11.5041
0.00107152	11.4617
0.00107771	11.4195
0.00108393	11.3773
0.00109018	11.3352
0.00109648	11.2933
0.00110281	11.2514
0.00110917	11.2097
0.00111558	11.1681
0.00112202	11.1265
0.0011285	11.0851
0.00113501	11.0439
0.00114156	11.0027
0.00114815	10.9616
0.00115478	10.9206
0.00116145	10.8798
0.00116815	10.839
0.0011749	10.7984
0.00118168	10.7579
0.0011885	10.7175
0.00119536	10.6772
0.00120226	10.637
0.00120921	10.597
0.00121619	10.557
0.00122321	10.5171
0.00123027	10.4774
0.00123737	10.4378
0.00124451	10.3983
0.0012517	10.3589
0.00125893	10.3196
0.00126619	10.2804
0.0012735	10.2413
0.00128086	10.2024
0.00128825	10.1635
0.00129569	10.1248
0.00130317	10.0862
0.00131069	10.0477
0.00131826	10.0093
0.00132587	9.97099
0.00133352	9.93281
0.00134122	9.89475
0.00134896	9.8568
0.00135675	9.81896
0.00136458	9.78123
0.00137246	9.74362
0.00138038	9.70611
0.00138835	9.66872
0.00139637	9.63144
0.00140443	9.59427
0.00141254	9.55721
0.00142069	9.52026
0.00142889	9.48343
0.00143714	9.4467
0.00144544	9.41009
0.00145378	9.37358
0.00146218	9.33719
0.00147062	9.30091
0.00147911	9.26474
0.00148765	9.22868
0.00149624	9.19273
0.00150487	9.15689
0.00151356	9.12117
0.0015223	9.08555
0.00153109	9.05004
0.00153993	9.01464
0.00154882	8.97936
0.00155776	8.94418
0.00156675	8.90912
0.0015758	8.87416
0.00158489	8.83931
0.00159404	8.80457
0.00160325	8.76995
0.0016125	8.73543
0.00162181	8.70102
0.00163117	8.66672
0.00164059	8.63253
0.00165006	8.59845
0.00165959	8.56447
0.00166917	8.53061
0.0016788	8.49685
0.0016885	8.46321
0.00169824	8.42967
0.00170805	8.39624
0.00171791	8.36291
0.00172783	8.3297
0.0017378	8.29659
0.00174783	8.26359
0.00175792	8.2307
0.00176807	8.19792
0.00177828	8.16524
0.00178855	8.13267
0.00179887	8.10021
0.00180926	8.06785
0.0018197	8.0356
0.00183021	8.00346
0.00184077	7.97142
0.0018514	7.93949
0.00186209	7.90767
0.00187284	7.87595
0.00188365	7.84433
0.00189452	7.81283
0.00190546	7.78142
0.00191646	7.75013
0.00192752	7.71893
0.00193865	7.68785
0.00194984	7.65686
0.0019611	7.62598
0.00197242	7.59521
0.00198381	7.56454
0.00199526	7.53397
0.00200678	7.50351
0.00201837	7.47315
0.00203002	7.4429
0.00204174	7.41274
0.00205353	7.3827
0.00206538	7.35275
0.0020773	7.32291
0.0020893	7.29316
0.00210136	7.26353
0.00211349	7.23399
0.00212569	7.20455
0.00213796	7.17522
0.0021503	7.14599
0.00216272	7.11686
0.0021752	7.08783
0.00218776	7.0589
0.00220039	7.03007
0.00221309	7.00134
0.00222587	6.97272
0.00223872	6.94419
0.00225165	6.91576
0.00226464	6.88744
0.00227772	6.85921
0.00229087	6.83108
0.00230409	6.80305
0.00231739	6.77512
0.00233077	6.74729
0.00234423	6.71955
0.00235776	6.69192
0.00237137	6.66438
0.00238506	6.63694
0.00239883	6.6096
0.00241268	6.58235
0.00242661	6.55521
0.00244062	6.52816
0.00245471	6.5012
0.00246888	6.47435
0.00248313	6.44758
0.00249747	6.42092
0.00251189	6.39435
0.00252639	6.36788
0.00254097	6.3415
0.00255564	6.31522
0.0025704	6.28903
0.00258523	6.26294
0.00260016	6.23694
0.00261517	6.21103
0.00263027	6.18522
0.00264545	6.15951
0.00266073	6.13389
0.00267609	6.10836
0.00269153	6.08292
0.00270707	6.05758
0.0027227	6.03233
0.00273842	6.00717
0.00275423	5.9821
0.00277013	5.95713
0.00278612	5.93225
0.00280221	5.90746
