Stopping power dEdx from Ionisation for kaon+ Z = 0 in G4_Si, process name: hIoni
E [MeV]	dEdx [MeV/mm]
0.001	33.7065
0.00100577	33.8062
0.00101158	33.9062
0.00101742	34.0065
0.00102329	34.1071
0.0010292	34.2081
0.00103514	34.3094
0.00104112	34.411
0.00104713	34.5129
0.00105317	34.6147
0.00105925	34.7147
0.00106537	34.8149
0.00107152	34.9154
0.00107771	35.0161
0.00108393	35.1172
0.00109018	35.2185
0.00109648	35.32
0.00110281	35.4219
0.00110917	35.524
0.00111558	35.6263
0.00112202	35.729
0.0011285	35.8319
0.00113501	35.9351
0.00114156	36.0386
0.00114815	36.1423
0.00115478	36.2464
0.00116145	36.3507
0.00116815	36.4552
0.0011749	36.5601
0.00118168	36.6653
0.0011885	36.7707
0.00119536	36.8764
0.00120226	36.9825
0.00120921	37.0888
0.00121619	37.1954
0.00122321	37.3023
0.00123027	37.4095
0.00123737	37.517
0.00124451	37.6248
0.0012517	37.7329
0.00125893	37.8413
0.00126619	37.95
0.0012735	38.0591
0.00128086	38.1684
0.00128825	38.2781
0.00129569	38.3881
0.00130317	38.4984
0.00131069	38.609
0.00131826	38.7199
0.00132587	38.831
0.00133352	38.9425
0.00134122	39.0542
0.00134896	39.1663
0.00135675	39.2788
0.00136458	39.3915
0.00137246	39.5046
0.00138038	39.6181
0.00138835	39.7319
0.00139637	39.846
0.00140443	39.9605
0.00141254	40.0753
0.00142069	40.1904
0.00142889	40.3059
0.00143714	40.4218
0.00144544	40.538
0.00145378	40.6545
0.00146218	40.7714
0.00147062	40.8886
0.00147911	41.0062
0.00148765	41.1242
0.00149624	41.2425
0.00150487	41.3612
0.00151356	41.4802
0.0015223	41.5996
0.00153109	41.7193
0.00153993	41.8394
0.00154882	41.9599
0.00155776	42.0807
0.00156675	42.202
0.0015758	42.3236
0.00158489	42.4456
0.00159404	42.568
0.00160325	42.6907
0.0016125	42.8139
0.00162181	42.9374
0.00163117	43.0613
0.00164059	43.1856
0.00165006	43.3102
0.00165959	43.4353
0.00166917	43.5607
0.0016788	43.6865
0.0016885	43.8127
0.00169824	43.9392
0.00170805	44.0661
0.00171791	44.1934
0.00172783	44.3211
0.0017378	44.4492
0.00174783	44.5776
