Stopping power dEdx from Ionisation for kaon+ Z = 0 in G4_TISSUE_SOFT_ICRP, process name: hIoni
E [MeV]	dEdx [MeV/mm]
0.001	23.8164
0.00100577	23.8851
0.00101158	23.9539
0.00101742	24.023
0.00102329	24.0922
0.0010292	24.1617
0.00103514	24.2313
0.00104112	24.3012
0.00104713	24.3712
0.00105317	24.4415
0.00105925	24.5119
0.00106537	24.5826
0.00107152	24.6534
0.00107771	24.7245
0.00108393	24.7957
0.00109018	24.8672
0.00109648	24.9389
0.00110281	25.0108
0.00110917	25.0829
0.00111558	25.1552
0.00112202	25.2277
0.0011285	25.3004
0.00113501	25.3733
0.00114156	25.4464
0.00114815	25.5198
0.00115478	25.5933
0.00116145	25.6671
0.00116815	25.7411
0.0011749	25.8153
0.00118168	25.8897
0.0011885	25.9643
0.00119536	26.0392
0.00120226	26.1142
0.00120921	26.1895
0.00121619	26.265
0.00122321	26.3407
0.00123027	26.4166
0.00123737	26.4927
0.00124451	26.5691
0.0012517	26.6457
0.00125893	26.7225
0.00126619	26.7995
0.0012735	26.8768
0.00128086	26.9542
0.00128825	27.0319
0.00129569	27.1098
0.00130317	27.188
0.00131069	27.2663
0.00131826	27.3449
0.00132587	27.4238
0.00133352	27.5028
0.00134122	27.5821
0.00134896	27.6616
0.00135675	27.7413
0.00136458	27.8213
0.00137246	27.9015
0.00138038	27.9819
0.00138835	28.0625
0.00139637	28.1434
0.00140443	28.2245
0.00141254	28.3059
0.00142069	28.3875
0.00142889	28.4693
0.00143714	28.5514
0.00144544	28.6337
0.00145378	28.7162
0.00146218	28.799
0.00147062	28.882
0.00147911	28.9652
0.00148765	29.0487
0.00149624	29.1324
0.00150487	29.2164
0.00151356	29.3006
0.0015223	29.3851
0.00153109	29.4698
0.00153993	29.5547
0.00154882	29.6399
0.00155776	29.7253
0.00156675	29.811
0.0015758	29.897
0.00158489	29.9831
0.00159404	30.0696
0.00160325	30.1562
0.0016125	30.2431
0.00162181	30.3303
0.00163117	30.4177
0.00164059	30.5054
0.00165006	30.5933
0.00165959	30.6815
0.00166917	30.77
0.0016788	30.8587
0.0016885	30.9476
0.00169824	31.0368
0.00170805	31.1263
0.00171791	31.216
0.00172783	31.306
0.0017378	31.3962
0.00174783	31.4867
0.00175792	31.5774
0.00176807	31.6685
0.00177828	31.7597
0.00178855	31.8513
0.00179887	31.9431
0.00180926	32.0352
0.0018197	32.1275
0.00183021	32.2201
0.00184077	32.313
0.0018514	32.4061
0.00186209	32.4995
0.00187284	32.5932
0.00188365	32.6871
0.00189452	32.7814
0.00190546	32.8758
0.00191646	32.9706
0.00192752	33.0656
0.00193865	33.161
0.00194984	33.2565
0.0019611	33.3524
0.00197242	33.4485
0.00198381	33.5449
0.00199526	33.6416
0.00200678	33.7386
0.00201837	33.8358
0.00203002	33.9334
0.00204174	34.0312
0.00205353	34.1293
0.00206538	34.2276
0.0020773	34.3263
0.0020893	34.4252
0.00210136	34.5245
0.00211349	34.624
0.00212569	34.7238
0.00213796	34.8239
0.0021503	34.9242
0.00216272	35.0249
0.0021752	35.1259
0.00218776	35.2271
0.00220039	35.3286
0.00221309	35.4305
0.00222587	35.5326
0.00223872	35.635
0.00225165	35.7377
0.00226464	35.8407
0.00227772	35.944
0.00229087	36.0477
0.00230409	36.1516
0.00231739	36.2558
0.00233077	36.3603
0.00234423	36.4651
0.00235776	36.5702
0.00237137	36.6756
0.00238506	36.7813
0.00239883	36.8873
0.00241268	36.9936
0.00242661	37.1003
0.00244062	37.2072
0.00245471	37.3144
0.00246888	37.422
0.00248313	37.5299
0.00249747	37.638
0.00251189	37.7465
0.00252639	37.8553
0.00254097	37.9644
0.00255564	38.0739
0.0025704	38.1836
0.00258523	38.2937
0.00260016	38.404
0.00261517	38.5147
0.00263027	38.6258
0.00264545	38.7371
0.00266073	38.8487
0.00267609	38.9607
0.00269153	39.073
0.00270707	39.1856
0.0027227	39.2986
0.00273842	39.4119
0.00275423	39.5255
0.00277013	39.6394
0.00278612	39.7536
0.00280221	39.8682
0.00281838	39.9831
0.00283465	40.0984
0.00285102	40.214
0.00286748	40.3299
0.00288403	40.4461
0.00290068	40.5627
0.00291743	40.6796
0.00293427	40.7969
0.00295121	40.9145
0.00296825	41.0324
0.00298538	41.1507
0.00300262	41.2693
0.00301995	41.3882
0.00303739	41.5075
0.00305492	41.6272
0.00307256	41.7472
0.0030903	41.8675
0.00310814	41.9882
0.00312608	42.1092
0.00314413	42.2306
0.00316228	42.3523
0.00318053	42.4744
0.0031989	42.5968
0.00321736	42.7196
0.00323594	42.8427
0.00325462	42.9662
0.00327341	43.09
0.0032923	43.2142
0.00331131	43.3388
0.00333043	43.4637
0.00334965	43.589
0.00336899	43.7146
0.00338844	43.8406
0.003408	43.967
0.00342768	44.0937
0.00344747	44.2208
0.00346737	44.3483
0.00348739	44.4761
0.00350752	44.6043
0.00352777	44.7329
0.00354813	44.8618
0.00356862	44.9911
0.00358922	45.1208
0.00360994	45.2509
0.00363078	45.3813
0.00365174	45.5121
0.00367282	45.6433
0.00369403	45.7749
0.00371535	45.9068
0.0037368	46.0391
0.00375837	46.1718
0.00378007	46.3049
0.00380189	46.4384
0.00382384	46.5722
0.00384592	46.7065
0.00386812	46.8411
0.00389045	46.9761
0.00391291	47.1115
0.0039355	47.2473
0.00395822	47.3835
0.00398107	47.5201
0.00400405	47.657
0.00402717	47.7944
0.00405042	47.9322
0.0040738	48.0703
0.00409732	48.2089
0.00412098	48.3478
0.00414477	48.4872
0.00416869	48.6269
0.00419276	48.7671
0.00421697	48.9077
0.00424131	49.0486
0.0042658	49.19
0.00429042	49.3318
0.00431519	49.474
0.0043401	49.6166
0.00436516	49.7596
0.00439036	49.903
0.0044157	50.0469
0.0044412	50.1911
0.00446684	50.3358
0.00449262	50.4809
0.00451856	50.6264
0.00454465	50.7723
0.00457088	50.9187
0.00459727	51.0654
0.00462381	51.2126
0.0046505	51.3602
0.00467735	51.5083
0.00470435	51.6567
0.00473151	51.8056
0.00475883	51.955
0.0047863	52.1047
0.00481393	52.2549
0.00484172	52.4055
0.00486968	52.5566
0.00489779	52.7081
0.00492606	52.86
0.0049545	53.0123
0.0049831	53.1651
0.00501187	53.3184
0.00504081	53.4721
0.00506991	53.6262
0.00509918	53.7808
0.00512861	53.9358
0.00515822	54.0912
0.005188	54.2472
0.00521795	54.4035
0.00524807	54.5603
0.00527837	54.7176
0.00530884	54.8693
0.00533949	55.0069
0.00537032	55.1447
0.00540132	55.2829
0.0054325	55.4213
0.00546387	55.56
0.00549541	55.699
0.00552713	55.8383
0.00555904	55.9778
0.00559114	56.1176
0.00562341	56.2577
0.00565588	56.3981
0.00568853	56.5388
0.00572137	56.6797
0.0057544	56.8209
0.00578762	56.9624
0.00582103	57.1042
0.00585464	57.2463
0.00588844	57.3886
0.00592243	57.5312
0.00595662	57.6741
0.00599101	57.8172
0.0060256	57.9607
0.00606038	58.1044
0.00609537	58.2484
0.00613056	58.3926
0.00616595	58.5371
0.00620155	58.6819
0.00623735	58.827
0.00627336	58.9724
0.00630957	59.118
0.006346	59.2639
0.00638263	59.41
0.00641948	59.5564
0.00645654	59.7031
0.00649382	59.8501
0.00653131	59.9973
0.00656901	60.1448
0.00660693	60.2926
0.00664508	60.4406
0.00668344	60.5889
0.00672202	60.7375
0.00676083	60.8863
0.00679986	61.0354
0.00683912	61.1847
0.0068786	61.3344
0.00691831	61.4842
0.00695825	61.6344
0.00699842	61.7847
0.00703882	61.9354
0.00707946	62.0863
0.00712033	62.2375
0.00716143	62.3889
0.00720278	62.5406
0.00724436	62.6925
0.00728618	62.8447
0.00732825	62.9971
0.00737055	63.1498
0.0074131	63.3027
0.0074559	63.4559
0.00749894	63.6093
0.00754223	63.763
0.00758578	63.9169
0.00762957	64.0711
0.00767361	64.2255
0.00771792	64.3801
0.00776247	64.535
0.00780728	64.6901
0.00785236	64.8455
0.00789769	65.0011
0.00794328	65.157
0.00798914	65.313
0.00803526	65.4694
0.00808165	65.6259
0.00812831	65.7827
0.00817523	65.9397
0.00822243	66.0969
0.0082699	66.2544
0.00831764	66.412
0.00836566	66.57
0.00841395	66.7281
0.00846253	66.8864
0.00851138	67.045
0.00856052	67.2038
0.00860994	67.3628
0.00865964	67.522
0.00870964	67.6814
0.00875992	67.8411
0.00881049	68.0009
0.00886135	68.161
0.00891251	68.3213
0.00896396	68.4817
0.00901571	68.6424
0.00906776	68.8033
0.00912011	68.9643
0.00917276	69.1256
0.00922571	69.2871
0.00927897	69.4487
0.00933254	69.6106
0.00938642	69.7726
0.00944061	69.9348
0.00949511	70.0972
0.00954993	70.2598
0.00960506	70.4226
0.00966051	70.5856
0.00971628	70.7487
0.00977237	70.912
0.00982879	71.0755
0.00988553	71.2391
0.0099426	71.4029
0.01	71.5669
0.0100577	71.731
0.0101158	71.8953
0.0101742	72.0598
0.0102329	72.2244
0.010292	72.3892
0.0103514	72.5541
0.0104112	72.7191
0.0104713	72.8843
0.0105317	73.0497
0.0105925	73.2152
0.0106537	73.3808
0.0107152	73.5466
0.0107771	73.7125
0.0108393	73.8785
0.0109018	74.0447
0.0109648	74.2109
0.0110281	74.3773
0.0110917	74.5439
0.0111558	74.7105
0.0112202	74.8772
0.011285	75.0441
0.0113501	75.211
0.0114156	75.3781
0.0114815	75.5453
0.0115478	75.7125
0.0116145	75.8799
0.0116815	76.0473
0.011749	76.2148
0.0118168	76.3824
0.011885	76.5501
0.0119536	76.7179
0.0120226	76.8857
0.0120921	77.0536
0.0121619	77.2216
0.0122321	77.3897
0.0123027	77.5578
0.0123737	77.7259
0.0124451	77.8941
0.012517	78.0624
0.0125893	78.2307
0.0126619	78.399
0.012735	78.5674
0.0128086	78.7358
0.0128825	78.9042
0.0129569	79.0727
0.0130317	79.2412
0.0131069	79.4097
0.0131826	79.5782
0.0132587	79.7467
0.0133352	79.9152
0.0134122	80.0838
0.0134896	80.2523
0.0135675	80.4208
0.0136458	80.5893
0.0137246	80.7578
0.0138038	80.9262
0.0138835	81.0947
0.0139637	81.2631
0.0140443	81.4315
0.0141254	81.5998
0.0142069	81.7681
0.0142889	81.9363
0.0143714	82.1045
0.0144544	82.2727
0.0145378	82.4407
0.0146218	82.6087
0.0147062	82.7767
0.0147911	82.9445
0.0148765	83.1123
0.0149624	83.28
0.0150487	83.4476
0.0151356	83.6151
0.015223	83.7825
0.0153109	83.9497
0.0153993	84.1169
0.0154882	84.284
0.0155776	84.4509
0.0156675	84.6177
0.015758	84.7844
0.0158489	84.9509
0.0159404	85.1173
0.0160325	85.2835
0.016125	85.4496
0.0162181	85.6155
0.0163117	85.7813
0.0164059	85.9468
0.0165006	86.1122
0.0165959	86.2774
0.0166917	86.4425
0.016788	86.6073
0.016885	86.7719
0.0169824	86.9363
0.0170805	87.1005
0.0171791	87.2645
0.0172783	87.4283
