Stopping power dEdx from Ionisation for kaon- Z = 0 in G4_Si, process name: hIoni
E [MeV]	dEdx [MeV/mm]
0.001	6.92952
0.00100577	6.9495
0.00101158	6.96953
0.00101742	6.98962
0.00102329	7.00976
0.0010292	7.02997
0.00103514	7.05023
0.00104112	7.07055
0.00104713	7.09093
0.00105317	7.11137
0.00105925	7.13187
0.00106537	7.15243
0.00107152	7.17304
0.00107771	7.19372
0.00108393	7.21445
0.00109018	7.23525
0.00109648	7.2561
0.00110281	7.27702
0.00110917	7.29799
0.00111558	7.31903
0.00112202	7.34012
0.0011285	7.36128
0.00113501	7.3825
0.00114156	7.40378
0.00114815	7.42512
0.00115478	7.44652
0.00116145	7.46798
0.00116815	7.48951
0.0011749	7.5111
0.00118168	7.53275
0.0011885	7.55446
0.00119536	7.57623
0.00120226	7.59807
0.00120921	7.61997
0.00121619	7.64194
0.00122321	7.66396
0.00123027	7.68605
0.00123737	7.70821
0.00124451	7.73043
0.0012517	7.75271
0.00125893	7.77505
0.00126619	7.79746
0.0012735	7.81994
0.00128086	7.84248
0.00128825	7.86509
0.00129569	7.88776
0.00130317	7.91049
0.00131069	7.93329
0.00131826	7.95616
0.00132587	7.97909
0.00133352	8.00209
0.00134122	8.02516
0.00134896	8.04829
0.00135675	8.07148
0.00136458	8.09475
0.00137246	8.11808
0.00138038	8.14148
0.00138835	8.16495
0.00139637	8.18848
0.00140443	8.21208
0.00141254	8.23576
0.00142069	8.25949
0.00142889	8.2833
0.00143714	8.30718
0.00144544	8.33112
0.00145378	8.35513
0.00146218	8.37922
0.00147062	8.40337
0.00147911	8.42759
0.00148765	8.45188
0.00149624	8.47624
0.00150487	8.50068
0.00151356	8.52518
0.0015223	8.54975
0.00153109	8.57439
0.00153993	8.59911
0.00154882	8.62389
0.00155776	8.64875
0.00156675	8.67368
0.0015758	8.69868
0.00158489	8.72375
0.00159404	8.7489
0.00160325	8.77412
0.0016125	8.79941
0.00162181	8.82477
0.00163117	8.85021
0.00164059	8.87572
0.00165006	8.9013
0.00165959	8.92696
0.00166917	8.95269
0.0016788	8.97849
0.0016885	9.00437
0.00169824	9.03033
0.00170805	9.05635
0.00171791	9.08246
0.00172783	9.10864
0.0017378	9.13489
0.00174783	9.16122
0.00175792	9.18763
0.00176807	9.21411
0.00177828	9.24067
0.00178855	9.2673
0.00179887	9.29402
0.00180926	9.32081
0.0018197	9.34767
0.00183021	9.37461
0.00184077	9.40164
0.0018514	9.42874
0.00186209	9.45591
0.00187284	9.48317
0.00188365	9.5105
0.00189452	9.53791
0.00190546	9.56541
0.00191646	9.59298
0.00192752	9.62063
0.00193865	9.64836
0.00194984	9.67617
0.0019611	9.70406
0.00197242	9.73203
0.00198381	9.76008
0.00199526	9.78821
0.00200678	9.81643
0.00201837	9.84472
0.00203002	9.8731
0.00204174	9.90156
0.00205353	9.9301
0.00206538	9.95872
0.0020773	9.98742
0.0020893	10.0162
