Stopping power dEdx from Ionisation for kaon- Z = 0 in Water, process name: hIoni
E [MeV]	dEdx [MeV/mm]
0.001	3.40544
0.00100577	3.41526
0.00101158	3.4251
0.00101742	3.43497
0.00102329	3.44487
0.0010292	3.4548
0.00103514	3.46476
0.00104112	3.47475
0.00104713	3.48476
0.00105317	3.49481
0.00105925	3.50488
0.00106537	3.51498
0.00107152	3.52512
0.00107771	3.53528
0.00108393	3.54547
0.00109018	3.55569
0.00109648	3.56594
0.00110281	3.57621
0.00110917	3.58652
0.00111558	3.59686
0.00112202	3.60723
0.0011285	3.61762
0.00113501	3.62805
0.00114156	3.63851
0.00114815	3.649
0.00115478	3.65951
0.00116145	3.67006
0.00116815	3.68064
0.0011749	3.69125
0.00118168	3.70189
0.0011885	3.71256
0.00119536	3.72326
0.00120226	3.73399
0.00120921	3.74476
0.00121619	3.75555
0.00122321	3.76637
0.00123027	3.77723
0.00123737	3.78812
0.00124451	3.79904
0.0012517	3.80999
0.00125893	3.82097
0.00126619	3.83198
0.0012735	3.84303
0.00128086	3.8541
0.00128825	3.86521
0.00129569	3.87635
0.00130317	3.88753
0.00131069	3.89873
0.00131826	3.90997
0.00132587	3.92124
0.00133352	3.93254
0.00134122	3.94388
0.00134896	3.95525
0.00135675	3.96665
0.00136458	3.97808
0.00137246	3.98955
0.00138038	4.00104
0.00138835	4.01258
0.00139637	4.02414
0.00140443	4.03574
0.00141254	4.04737
0.00142069	4.05904
0.00142889	4.07074
0.00143714	4.08247
0.00144544	4.09424
0.00145378	4.10604
0.00146218	4.11788
0.00147062	4.12975
0.00147911	4.14165
0.00148765	4.15359
0.00149624	4.16556
0.00150487	4.17757
0.00151356	4.18961
0.0015223	4.20168
0.00153109	4.2138
0.00153993	4.22594
0.00154882	4.23812
0.00155776	4.25034
0.00156675	4.26259
0.0015758	4.27488
0.00158489	4.2872
0.00159404	4.29955
0.00160325	4.31195
0.0016125	4.32438
0.00162181	4.33684
0.00163117	4.34934
0.00164059	4.36188
0.00165006	4.37445
0.00165959	4.38706
0.00166917	4.3997
0.0016788	4.41239
0.0016885	4.4251
0.00169824	4.43786
0.00170805	4.45065
0.00171791	4.46348
0.00172783	4.47634
0.0017378	4.48925
0.00174783	4.50219
0.00175792	4.51516
0.00176807	4.52818
0.00177828	4.54123
0.00178855	4.55432
0.00179887	4.56745
0.00180926	4.58061
0.0018197	4.59381
0.00183021	4.60706
0.00184077	4.62033
0.0018514	4.63365
0.00186209	4.64701
0.00187284	4.6604
0.00188365	4.67384
0.00189452	4.68731
0.00190546	4.70082
0.00191646	4.71437
0.00192752	4.72796
0.00193865	4.74158
0.00194984	4.75525
0.0019611	4.76896
0.00197242	4.7827
0.00198381	4.79649
0.00199526	4.81031
0.00200678	4.82418
0.00201837	4.83808
0.00203002	4.85203
0.00204174	4.86601
0.00205353	4.88004
0.00206538	4.89411
0.0020773	4.90821
0.0020893	4.92236
0.00210136	4.93655
0.00211349	4.95078
0.00212569	4.96505
0.00213796	4.97936
0.0021503	4.99371
0.00216272	5.00811
0.0021752	5.02254
0.00218776	5.03702
0.00220039	5.05154
0.00221309	5.0661
0.00222587	5.0807
0.00223872	5.09534
0.00225165	5.11003
0.00226464	5.12476
0.00227772	5.13953
0.00229087	5.15434
0.00230409	5.1692
0.00231739	5.1841
0.00233077	5.19904
0.00234423	5.21403
0.00235776	5.22906
0.00237137	5.24413
0.00238506	5.25925
