Stopping power dEdx from Ionisation for mu+ Z = 0 in G4_TISSUE_SOFT_ICRP, process name: muIoni
E [MeV]	dEdx [MeV/mm]
0.001	51.4809
0.00100577	51.6293
0.00101158	51.7781
0.00101742	51.9274
0.00102329	52.0771
0.0010292	52.2272
0.00103514	52.3777
0.00104112	52.5287
0.00104713	52.6801
0.00105317	52.8319
0.00105925	52.9842
0.00106537	53.1369
0.00107152	53.2901
0.00107771	53.4437
0.00108393	53.5977
0.00109018	53.7522
0.00109648	53.9072
0.00110281	54.0625
0.00110917	54.2184
0.00111558	54.3746
0.00112202	54.5314
0.0011285	54.6886
0.00113501	54.8439
0.00114156	54.9815
0.00114815	55.1193
0.00115478	55.2574
0.00116145	55.3957
0.00116815	55.5344
0.0011749	55.6733
0.00118168	55.8125
0.0011885	55.952
0.00119536	56.0918
0.00120226	56.2319
0.00120921	56.3722
0.00121619	56.5128
0.00122321	56.6537
0.00123027	56.7949
0.00123737	56.9363
0.00124451	57.078
0.0012517	57.22
0.00125893	57.3623
0.00126619	57.5049
0.0012735	57.6477
0.00128086	57.7908
0.00128825	57.9342
0.00129569	58.0779
0.00130317	58.2218
0.00131069	58.366
0.00131826	58.5105
0.00132587	58.6552
0.00133352	58.8002
0.00134122	58.9455
0.00134896	59.0911
0.00135675	59.2369
0.00136458	59.383
0.00137246	59.5294
0.00138038	59.6761
0.00138835	59.823
0.00139637	59.9702
0.00140443	60.1176
0.00141254	60.2653
0.00142069	60.4133
0.00142889	60.5616
0.00143714	60.7101
0.00144544	60.8588
0.00145378	61.0079
0.00146218	61.1572
0.00147062	61.3067
0.00147911	61.4566
0.00148765	61.6067
0.00149624	61.757
0.00150487	61.9076
0.00151356	62.0585
0.0015223	62.2096
0.00153109	62.3609
0.00153993	62.5126
0.00154882	62.6644
0.00155776	62.8166
0.00156675	62.969
0.0015758	63.1216
0.00158489	63.2745
0.00159404	63.4276
0.00160325	63.581
0.0016125	63.7346
0.00162181	63.8885
0.00163117	64.0426
0.00164059	64.197
0.00165006	64.3516
0.00165959	64.5064
0.00166917	64.6615
0.0016788	64.8168
0.0016885	64.9724
0.00169824	65.1282
0.00170805	65.2842
0.00171791	65.4405
0.00172783	65.597
0.0017378	65.7537
0.00174783	65.9107
0.00175792	66.0679
0.00176807	66.2253
0.00177828	66.383
0.00178855	66.5408
0.00179887	66.6989
0.00180926	66.8572
0.0018197	67.0158
0.00183021	67.1745
0.00184077	67.3335
0.0018514	67.4926
0.00186209	67.652
0.00187284	67.8116
0.00188365	67.9714
0.00189452	68.1315
0.00190546	68.2917
0.00191646	68.4521
0.00192752	68.6128
0.00193865	68.7736
0.00194984	68.9346
0.0019611	69.0959
0.00197242	69.2573
0.00198381	69.4189
0.00199526	69.5807
0.00200678	69.7427
0.00201837	69.9049
0.00203002	70.0673
0.00204174	70.2298
0.00205353	70.3926
0.00206538	70.5555
0.0020773	70.7186
0.0020893	70.8819
0.00210136	71.0453
0.00211349	71.2089
0.00212569	71.3727
0.00213796	71.5366
0.0021503	71.7007
0.00216272	71.865
0.0021752	72.0294
0.00218776	72.194
0.00220039	72.3588
0.00221309	72.5237
0.00222587	72.6887
0.00223872	72.8539
0.00225165	73.0192
0.00226464	73.1847
0.00227772	73.3503
0.00229087	73.516
0.00230409	73.6819
0.00231739	73.8479
0.00233077	74.014
0.00234423	74.1803
0.00235776	74.3467
0.00237137	74.5131
0.00238506	74.6798
0.00239883	74.8465
0.00241268	75.0133
0.00242661	75.1802
0.00244062	75.3473
0.00245471	75.5144
0.00246888	75.6817
0.00248313	75.849
0.00249747	76.0164
0.00251189	76.1839
0.00252639	76.3515
0.00254097	76.5192
0.00255564	76.687
0.0025704	76.8548
0.00258523	77.0227
0.00260016	77.1906
0.00261517	77.3587
0.00263027	77.5268
0.00264545	77.6949
