Stopping power dEdx from Ionisation for mu- Z = 0 in G4_Si, process name: muIoni
E [MeV]	dEdx [MeV/mm]
0.001	29.3193
0.00100577	29.5517
0.00101158	29.7817
0.00101742	30.0095
0.00102329	30.2349
0.0010292	30.4582
0.00103514	30.6793
0.00104112	30.8982
0.00104713	31.1149
0.00105317	31.3296
0.00105925	31.5423
0.00106537	31.7529
0.00107152	31.9616
0.00107771	32.1683
0.00108393	32.3818
0.00109018	32.5958
0.00109648	32.7826
0.00110281	32.9224
0.00110917	33.0613
0.00111558	33.1992
0.00112202	33.3362
0.0011285	33.4723
0.00113501	33.6075
0.00114156	33.7419
0.00114815	33.8754
0.00115478	34.0082
0.00116145	34.1404
0.00116815	34.2723
0.0011749	34.4035
0.00118168	34.5339
0.0011885	34.6636
0.00119536	34.7925
0.00120226	34.9208
0.00120921	35.0484
0.00121619	35.1784
0.00122321	35.3622
0.00123027	35.5443
0.00123737	35.7287
0.00124451	35.914
0.0012517	36.0978
0.00125893	36.2801
0.00126619	36.461
0.0012735	36.6404
0.00128086	36.8183
0.00128825	36.9949
0.00129569	37.1702
0.00130317	37.3441
0.00131069	37.5166
0.00131826	37.6879
0.00132587	37.8579
0.00133352	38.0267
0.00134122	38.1943
0.00134896	38.3607
0.00135675	38.5266
0.00136458	38.6919
0.00137246	38.8561
0.00138038	39.0191
0.00138835	39.1815
0.00139637	39.3453
0.00140443	39.5081
0.00141254	39.6698
0.00142069	39.8305
0.00142889	39.9902
0.00143714	40.1489
0.00144544	40.3067
0.00145378	40.4635
0.00146218	40.6247
0.00147062	40.7936
0.00147911	40.9615
0.00148765	41.1285
0.00149624	41.2945
0.00150487	41.4596
0.00151356	41.6238
0.0015223	41.7871
0.00153109	41.9496
0.00153993	42.1112
0.00154882	42.2288
0.00155776	42.3377
0.00156675	42.4464
0.0015758	42.555
0.00158489	42.6634
0.00159404	42.7716
0.00160325	42.8797
0.0016125	42.9876
0.00162181	43.0954
0.00163117	43.2031
0.00164059	43.3106
0.00165006	43.418
0.00165959	43.5253
0.00166917	43.6325
0.0016788	43.7396
0.0016885	43.8466
0.00169824	43.9536
0.00170805	44.0656
0.00171791	44.1811
0.00172783	44.2965
0.0017378	44.4117
0.00174783	44.5295
0.00175792	44.6473
0.00176807	44.765
0.00177828	44.8826
0.00178855	45.0001
0.00179887	45.1175
0.00180926	45.2348
0.0018197	45.352
0.00183021	45.4692
0.00184077	45.5863
0.0018514	45.7033
0.00186209	45.8203
0.00187284	45.9372
0.00188365	46.0541
0.00189452	46.1709
0.00190546	46.2877
0.00191646	46.4044
0.00192752	46.5207
0.00193865	46.6306
0.00194984	46.743
0.0019611	46.8583
0.00197242	46.9738
0.00198381	47.0892
0.00199526	47.2047
0.00200678	47.3203
0.00201837	47.4359
0.00203002	47.5516
0.00204174	47.6673
0.00205353	47.783
0.00206538	47.8989
0.0020773	48.0148
0.0020893	48.1307
0.00210136	48.2467
0.00211349	48.3628
0.00212569	48.4789
0.00213796	48.5951
0.0021503	48.7114
0.00216272	48.8278
0.0021752	48.9442
0.00218776	49.0607
0.00220039	49.1795
0.00221309	49.2984
0.00222587	49.4174
0.00223872	49.5365
0.00225165	49.6557
0.00226464	49.7749
0.00227772	49.8942
0.00229087	50.0135
0.00230409	50.1329
0.00231739	50.2644
0.00233077	50.415
0.00234423	50.5652
0.00235776	50.715
0.00237137	50.8645
0.00238506	51.0137
0.00239883	51.1625
0.00241268	51.3109
0.00242661	51.4687
0.00244062	51.6063
0.00245471	51.7319
0.00246888	51.8575
0.00248313	51.9831
0.00249747	52.1086
0.00251189	52.2342
0.00252639	52.3598
0.00254097	52.4855
0.00255564	52.6111
0.0025704	52.7367
0.00258523	52.8623
0.00260016	52.988
0.00261517	53.1136
0.00263027	53.2392
0.00264545	53.3649
0.00266073	53.4906
0.00267609	53.6162
0.00269153	53.7419
0.00270707	53.8588
0.0027227	53.97
0.00273842	54.0813
0.00275423	54.1927
0.00277013	54.3042
0.00278612	54.4158
0.00280221	54.5274
0.00281838	54.6392
0.00283465	54.751
0.00285102	54.8629
0.00286748	54.9749
0.00288403	55.087
0.00290068	55.1995
0.00291743	55.3132
0.00293427	55.4271
0.00295121	55.541
0.00296825	55.6552
0.00298538	55.7694
0.00300262	55.8837
0.00301995	55.9982
0.00303739	56.1129
0.00305492	56.2226
0.00307256	56.3316
0.0030903	56.417
0.00310814	56.4686
0.00312608	56.5214
0.00314413	56.5755
0.00316228	56.6306
0.00318053	56.6869
0.0031989	56.7444
0.00321736	56.8029
0.00323594	56.8625
0.00325462	56.9232
0.00327341	56.9849
0.0032923	57.0477
0.00331131	57.1115
0.00333043	57.1763
0.00334965	57.2422
0.00336899	57.3089
0.00338844	57.3815
0.003408	57.4611
0.00342768	57.5415
0.00344747	57.6228
0.00346737	57.7049
0.00348739	57.7731
0.00350752	57.8414
0.00352777	57.9105
0.00354813	57.9806
0.00356862	58.0515
0.00358922	58.1232
0.00360994	58.1958
0.00363078	58.2692
0.00365174	58.347
0.00367282	58.4396
0.00369403	58.5327
0.00371535	58.6264
0.0037368	58.7206
0.00375837	58.8152
0.00378007	58.9104
0.00380189	59.006
0.00382384	59.1022
0.00384592	59.1988
0.00386812	59.2959
0.00389045	59.3949
0.00391291	59.4942
0.0039355	59.5938
0.00395822	59.6938
0.00398107	59.794
0.00400405	59.8946
0.00402717	59.9954
0.00405042	60.0966
0.0040738	60.198
0.00409732	60.2996
0.00412098	60.4016
0.00414477	60.5038
