Stopping power dEdx from Ionisation for mu- Z = 0 in G4_TISSUE_SOFT_ICRP, process name: muIoni
E [MeV]	dEdx [MeV/mm]
0.001	18.365
0.00100577	18.5599
0.00101158	18.7531
0.00101742	18.9445
0.00102329	19.1343
0.0010292	19.3224
0.00103514	19.5089
0.00104112	19.6939
0.00104713	19.8772
0.00105317	20.0589
0.00105925	20.2391
0.00106537	20.4179
0.00107152	20.5951
0.00107771	20.7711
0.00108393	20.9459
0.00109018	21.1187
0.00109648	21.2694
0.00110281	21.4165
0.00110917	21.5651
0.00111558	21.7128
0.00112202	21.8595
0.0011285	22.0052
0.00113501	22.1498
0.00114156	22.2935
0.00114815	22.4291
0.00115478	22.5611
0.00116145	22.6924
0.00116815	22.823
0.0011749	22.9529
0.00118168	23.0822
0.0011885	23.2107
0.00119536	23.3457
0.00120226	23.484
0.00120921	23.6218
0.00121619	23.7715
0.00122321	23.9272
0.00123027	24.0824
0.00123737	24.2365
0.00124451	24.3898
0.0012517	24.5421
0.00125893	24.6935
0.00126619	24.8444
0.0012735	24.9944
0.00128086	25.1437
0.00128825	25.2921
0.00129569	25.4397
0.00130317	25.5865
0.00131069	25.7538
0.00131826	25.9397
0.00132587	26.1241
0.00133352	26.3071
0.00134122	26.4888
0.00134896	26.6689
0.00135675	26.8477
0.00136458	27.0251
0.00137246	27.2012
0.00138038	27.3761
0.00138835	27.5497
0.00139637	27.728
0.00140443	27.906
0.00141254	28.0828
0.00142069	28.2591
0.00142889	28.4356
0.00143714	28.6108
0.00144544	28.7848
0.00145378	28.9579
0.00146218	29.1338
0.00147062	29.3066
0.00147911	29.4356
0.00148765	29.564
0.00149624	29.6918
0.00150487	29.8191
0.00151356	29.946
0.0015223	30.0723
0.00153109	30.1981
0.00153993	30.3235
0.00154882	30.4484
0.00155776	30.5728
0.00156675	30.6968
0.0015758	30.8203
0.00158489	30.9421
0.00159404	31.0661
0.00160325	31.1911
0.0016125	31.3157
0.00162181	31.4399
0.00163117	31.5638
0.00164059	31.7126
0.00165006	31.8689
0.00165959	32.0243
0.00166917	32.1789
0.0016788	32.3327
0.0016885	32.4877
0.00169824	32.6426
0.00170805	32.7987
0.00171791	32.9542
0.00172783	33.1089
0.0017378	33.2628
0.00174783	33.416
0.00175792	33.5684
0.00176807	33.7201
0.00177828	33.8711
0.00178855	34.0217
0.00179887	34.1729
0.00180926	34.3234
0.0018197	34.4732
0.00183021	34.6224
0.00184077	34.7709
0.0018514	34.9188
0.00186209	35.066
0.00187284	35.2126
0.00188365	35.3586
0.00189452	35.505
0.00190546	35.6525
0.00191646	35.7994
0.00192752	35.9456
0.00193865	36.0914
0.00194984	36.238
0.0019611	36.385
0.00197242	36.5412
0.00198381	36.6968
0.00199526	36.826
0.00200678	36.9518
0.00201837	37.0773
0.00203002	37.2025
0.00204174	37.3274
0.00205353	37.4521
0.00206538	37.5766
0.0020773	37.7009
0.0020893	37.8249
0.00210136	37.9488
0.00211349	38.0724
0.00212569	38.1958
0.00213796	38.3191
0.0021503	38.4421
0.00216272	38.5649
0.0021752	38.6876
0.00218776	38.8105
0.00220039	38.9335
0.00221309	39.0563
0.00222587	39.1786
0.00223872	39.3008
0.00225165	39.4228
0.00226464	39.5447
0.00227772	39.6664
0.00229087	39.7899
0.00230409	39.918
0.00231739	40.0459
0.00233077	40.1737
0.00234423	40.3013
0.00235776	40.4302
0.00237137	40.5597
0.00238506	40.689
0.00239883	40.8181
0.00241268	40.9471
0.00242661	41.073
0.00244062	41.1914
0.00245471	41.309
0.00246888	41.4266
0.00248313	41.5436
0.00249747	41.6563
0.00251189	41.7691
0.00252639	41.8831
0.00254097	41.9988
0.00255564	42.1144
0.0025704	42.2301
0.00258523	42.3457
0.00260016	42.4613
0.00261517	42.5772
0.00263027	42.6965
0.00264545	42.8157
0.00266073	42.9349
0.00267609	43.054
0.00269153	43.1732
0.00270707	43.2926
0.0027227	43.412
0.00273842	43.5314
0.00275423	43.6507
0.00277013	43.77
0.00278612	43.8892
0.00280221	44.0084
0.00281838	44.1275
0.00283465	44.2466
0.00285102	44.3622
0.00286748	44.4776
0.00288403	44.593
0.00290068	44.7084
0.00291743	44.8238
0.00293427	44.9393
0.00295121	45.0559
0.00296825	45.1732
0.00298538	45.2978
0.00300262	45.4311
0.00301995	45.5641
0.00303739	45.6977
0.00305492	45.8301
0.00307256	45.9622
0.0030903	46.094
0.00310814	46.2257
0.00312608	46.3572
0.00314413	46.4886
0.00316228	46.6213
0.00318053	46.7547
0.0031989	46.8878
0.00321736	47.0207
0.00323594	47.1533
0.00325462	47.2858
0.00327341	47.4107
0.0032923	47.5212
0.00331131	47.6318
0.00333043	47.7425
0.00334965	47.8531
0.00336899	47.9638
0.00338844	48.0744
0.003408	48.1851
0.00342768	48.2958
0.00344747	48.4066
0.00346737	48.5174
0.00348739	48.6221
0.00350752	48.7239
0.00352777	48.8259
0.00354813	48.9279
0.00356862	49.0301
0.00358922	49.1322
0.00360994	49.2344
0.00363078	49.3366
0.00365174	49.4433
0.00367282	49.5515
0.00369403	49.6596
0.00371535	49.7678
0.0037368	49.8759
0.00375837	49.984
0.00378007	50.0921
0.00380189	50.2015
0.00382384	50.3109
0.00384592	50.4203
0.00386812	50.5297
0.00389045	50.639
0.00391291	50.7483
0.0039355	50.8575
0.00395822	50.9667
0.00398107	51.0628
0.00400405	51.1446
0.00402717	51.227
0.00405042	51.3115
0.0040738	51.3965
0.00409732	51.4793
0.00412098	51.5604
0.00414477	51.6421
0.00416869	51.7241
0.00419276	51.8067
0.00421697	51.8897
0.00424131	51.9727
0.0042658	52.053
0.00429042	52.1334
0.00431519	52.2141
0.0043401	52.2952
0.00436516	52.3767
0.00439036	52.4586
0.0044157	52.5411
0.0044412	52.6245
0.00446684	52.7081
0.00449262	52.7825
0.00451856	52.8573
0.00454465	52.9326
0.00457088	53.0082
0.00459727	53.0843
0.00462381	53.1607
0.0046505	53.2375
0.00467735	53.3147
0.00470435	53.3921
0.00473151	53.4702
0.00475883	53.5487
0.0047863	53.6275
0.00481393	53.7067
0.00484172	53.7862
0.00486968	53.8586
0.00489779	53.9293
0.00492606	54.0099
0.0049545	54.092
0.0049831	54.1729
0.00501187	54.2534
0.00504081	54.3343
0.00506991	54.4159
0.00509918	54.4977
0.00512861	54.5798
0.00515822	54.6621
0.005188	54.7445
0.00521795	54.8272
0.00524807	54.9102
0.00527837	54.9933
0.00530884	55.0766
0.00533949	55.16
0.00537032	55.2437
0.00540132	55.3288
0.0054325	55.4141
0.00546387	55.4979
0.00549541	55.5796
0.00552713	55.6611
0.00555904	55.7428
0.00559114	55.8246
0.00562341	55.9066
0.00565588	55.9887
0.00568853	56.0711
0.00572137	56.1527
0.0057544	56.2267
0.00578762	56.3008
0.00582103	56.3752
0.00585464	56.4497
0.00588844	56.5243
0.00592243	56.5991
0.00595662	56.6733
0.00599101	56.7264
0.0060256	56.7798
0.00606038	56.8324
0.00609537	56.8836
0.00613056	56.9349
0.00616595	56.9866
0.00620155	57.0386
0.00623735	57.091
0.00627336	57.1437
0.00630957	57.1966
0.006346	57.2484
0.00638263	57.3006
0.00641948	57.353
0.00645654	57.4058
0.00649382	57.4589
0.00653131	57.5123
0.00656901	57.5512
0.00660693	57.5892
0.00664508	57.6278
0.00668344	57.6669
0.00672202	57.7068
0.00676083	57.7483
0.00679986	57.7903
0.00683912	57.8327
0.0068786	57.8757
0.00691831	57.9191
0.00695825	57.9655
0.00699842	58.0193
0.00703882	58.0734
0.00707946	58.1278
0.00712033	58.1824
0.00716143	58.2372
0.00720278	58.2922
0.00724436	58.3474
0.00728618	58.3993
0.00732825	58.4467
0.00737055	58.4895
0.0074131	58.5276
0.0074559	58.5659
0.00749894	58.6047
0.00754223	58.6437
0.00758578	58.6832
0.00762957	58.723
0.00767361	58.7632
0.00771792	58.8036
0.00776247	58.8443
0.00780728	58.8853
0.00785236	58.9266
0.00789769	58.9679
0.00794328	59.0081
0.00798914	59.0319
0.00803526	59.0562
0.00808165	59.0815
0.00812831	59.1078
0.00817523	59.1338
0.00822243	59.1563
0.0082699	59.1791
0.00831764	59.2023
0.00836566	59.2259
0.00841395	59.2499
0.00846253	59.2742
0.00851138	59.3006
0.00856052	59.3285
0.00860994	59.3567
0.00865964	59.3852
0.00870964	59.4139
0.00875992	59.4429
0.00881049	59.4722
0.00886135	59.502
0.00891251	59.5321
0.00896396	59.5633
0.00901571	59.5953
0.00906776	59.6274
0.00912011	59.6596
0.00917276	59.692
0.00922571	59.7245
0.00927897	59.7571
0.00933254	59.7898
0.00938642	59.8226
0.00944061	59.856
0.00949511	59.8903
0.00954993	59.9248
0.00960506	59.9593
0.00966051	59.9939
0.00971628	60.0258
0.00977237	60.054
0.00982879	60.0732
0.00988553	60.0828
0.0099426	60.0894
0.01	60.0881
0.0100577	60.0872
0.0101158	60.0869
0.0101742	60.0869
0.0102329	60.0874
0.010292	60.0881
0.0103514	60.0893
0.0104112	60.0907
0.0104713	60.0924
0.0105317	60.0945
0.0105925	60.0969
0.0106537	60.0996
0.0107152	60.1027
0.0107771	60.1063
0.0108393	60.1103
0.0109018	60.1146
0.0109648	60.1192
0.0110281	60.1242
0.0110917	60.1283
0.0111558	60.1326
0.0112202	60.1371
0.011285	60.1419
0.0113501	60.1471
0.0114156	60.1527
0.0114815	60.1612
0.0115478	60.1709
0.0116145	60.1807
0.0116815	60.1907
0.011749	60.2007
0.0118168	60.2108
0.011885	60.221
0.0119536	60.2206
0.0120226	60.2134
0.0120921	60.2064
0.0121619	60.197
0.0122321	60.1861
0.0123027	60.1752
0.0123737	60.1646
0.0124451	60.1542
0.012517	60.1441
0.0125893	60.1344
0.0126619	60.124
0.012735	60.1135
0.0128086	60.1032
0.0128825	60.0931
0.0129569	60.0833
0.0130317	60.0735
0.0131069	60.0569
0.0131826	60.0332
0.0132587	60.0098
0.0133352	59.9867
0.0134122	59.9638
0.0134896	59.9404
0.0135675	59.9172
0.0136458	59.8942
0.0137246	59.8715
0.0138038	59.8492
0.0138835	59.8271
0.0139637	59.7939
0.0140443	59.7585
0.0141254	59.7236
0.0142069	59.6886
0.0142889	59.6532
0.0143714	59.6181
0.0144544	59.5833
0.0145378	59.5488
0.0146218	59.508
0.0147062	59.4668
0.0147911	59.4244
0.0148765	59.3824
0.0149624	59.3479
0.0150487	59.3153
0.0151356	59.2831
0.015223	59.2511
0.0153109	59.2194
0.0153993	59.1879
0.0154882	59.1566
0.0155776	59.1255
0.0156675	59.0945
