Stopping power dEdx from Ionisation for pi- Z = 0 in G4_Si, process name: hIoni
E [MeV]	dEdx [MeV/mm]
0.001	19.7796
0.00100577	19.9166
0.00101158	20.0527
0.00101742	20.1877
0.00102329	20.4226
0.0010292	20.6683
0.00103514	20.911
0.00104112	21.151
0.00104713	21.3882
0.00105317	21.6227
0.00105925	21.8545
0.00106537	22.0837
0.00107152	22.3103
0.00107771	22.5343
0.00108393	22.7559
0.00109018	22.9751
0.00109648	23.1918
0.00110281	23.4061
0.00110917	23.6182
0.00111558	23.8279
0.00112202	24.0354
0.0011285	24.2284
0.00113501	24.4131
0.00114156	24.596
0.00114815	24.7772
0.00115478	24.9566
0.00116145	25.1344
0.00116815	25.3105
0.0011749	25.4849
0.00118168	25.6578
0.0011885	25.8291
0.00119536	25.9989
0.00120226	26.1671
0.00120921	26.3339
0.00121619	26.4992
0.00122321	26.6668
0.00123027	26.8471
0.00123737	27.0259
0.00124451	27.2033
0.0012517	27.3792
0.00125893	27.5538
0.00126619	27.727
0.0012735	27.8989
0.00128086	28.0723
0.00128825	28.2788
0.00129569	28.5218
0.00130317	28.7624
0.00131069	29.0005
0.00131826	29.2361
0.00132587	29.4693
0.00133352	29.7002
0.00134122	29.9288
0.00134896	30.1551
0.00135675	30.3791
0.00136458	30.6009
0.00137246	30.8206
0.00138038	31.0381
0.00138835	31.2536
0.00139637	31.467
0.00140443	31.6783
0.00141254	31.8877
0.00142069	32.0951
0.00142889	32.3053
0.00143714	32.52
0.00144544	32.7326
0.00145378	32.8728
0.00146218	33.012
0.00147062	33.1503
0.00147911	33.2876
0.00148765	33.424
0.00149624	33.5596
0.00150487	33.6942
0.00151356	33.8281
0.0015223	33.9611
0.00153109	34.0933
0.00153993	34.2255
0.00154882	34.3569
0.00155776	34.4876
0.00156675	34.6175
0.0015758	34.7468
0.00158489	34.8753
0.00159404	35.0031
0.00160325	35.1303
0.0016125	35.297
0.00162181	35.4798
0.00163117	35.6624
0.00164059	35.8483
0.00165006	36.0326
0.00165959	36.2155
0.00166917	36.3969
0.0016788	36.5768
0.0016885	36.7553
0.00169824	36.9323
0.00170805	37.108
0.00171791	37.2824
0.00172783	37.4555
0.0017378	37.6272
0.00174783	37.7977
0.00175792	37.9669
0.00176807	38.1349
0.00177828	38.3017
0.00178855	38.4676
0.00179887	38.6333
0.00180926	38.7979
0.0018197	38.9613
0.00183021	39.1237
0.00184077	39.2872
0.0018514	39.4504
0.00186209	39.6125
0.00187284	39.7735
0.00188365	39.9336
0.00189452	40.0927
0.00190546	40.2507
0.00191646	40.4079
0.00192752	40.5644
0.00193865	40.7336
0.00194984	40.9019
0.0019611	41.0692
0.00197242	41.2356
0.00198381	41.401
0.00199526	41.5656
0.00200678	41.7292
0.00201837	41.8919
0.00203002	42.0538
0.00204174	42.19
0.00205353	42.299
0.00206538	42.4078
0.0020773	42.5164
0.0020893	42.6249
0.00210136	42.7332
0.00211349	42.8413
0.00212569	42.9493
0.00213796	43.0571
0.0021503	43.1648
0.00216272	43.2724
0.0021752	43.3798
0.00218776	43.4872
0.00220039	43.5944
0.00221309	43.7016
0.00222587	43.8086
0.00223872	43.9156
0.00225165	44.0246
0.00226464	44.1401
0.00227772	44.2555
0.00229087	44.3708
0.00230409	44.4876
0.00231739	44.6055
0.00233077	44.7232
0.00234423	44.8408
0.00235776	44.9583
0.00237137	45.0757
0.00238506	45.1931
0.00239883	45.3103
0.00241268	45.4275
0.00242661	45.5447
0.00244062	45.6617
0.00245471	45.7787
0.00246888	45.8956
0.00248313	46.0125
0.00249747	46.1294
0.00251189	46.2462
0.00252639	46.3629
0.00254097	46.4797
0.00255564	46.5913
0.0025704	46.702
0.00258523	46.8173
0.00260016	46.9327
0.00261517	47.0482
0.00263027	47.1637
0.00264545	47.2792
0.00266073	47.3948
0.00267609	47.5104
0.00269153	47.6261
0.00270707	47.7419
0.0027227	47.8577
0.00273842	47.9736
0.00275423	48.0895
0.00277013	48.2055
0.00278612	48.3215
0.00280221	48.4377
0.00281838	48.5538
0.00283465	48.6701
0.00285102	48.7864
0.00286748	48.9028
0.00288403	49.0193
0.00290068	49.1372
0.00291743	49.2561
0.00293427	49.3751
0.00295121	49.4942
0.00296825	49.6133
0.00298538	49.7325
0.00300262	49.8518
0.00301995	49.9711
0.00303739	50.0905
0.00305492	50.2109
0.00307256	50.3615
0.0030903	50.5119
0.00310814	50.6618
0.00312608	50.8114
0.00314413	50.9607
0.00316228	51.1096
0.00318053	51.2582
0.0031989	51.4123
0.00321736	51.5617
0.00323594	51.6873
0.00325462	51.8128
0.00327341	51.9384
0.0032923	52.064
0.00331131	52.1896
0.00333043	52.3152
0.00334965	52.4408
0.00336899	52.5664
0.00338844	52.692
0.003408	52.8177
0.00342768	52.9433
0.00344747	53.0689
0.00346737	53.1946
0.00348739	53.3202
0.00350752	53.4459
0.00352777	53.5716
0.00354813	53.6972
0.00356862	53.8193
0.00358922	53.9305
0.00360994	54.0417
0.00363078	54.1531
0.00365174	54.2646
0.00367282	54.3761
0.00369403	54.4877
0.00371535	54.5994
