Stopping power dEdx from Ionisation for pi- Z = 0 in G4_TISSUE_SOFT_ICRP, process name: hIoni
E [MeV]	dEdx [MeV/mm]
0.001	11.769
0.00100577	11.9029
0.00101158	12.0363
0.00101742	12.1692
0.00102329	12.3017
0.0010292	12.4337
0.00103514	12.5653
0.00104112	12.6967
0.00104713	12.8299
0.00105317	13.0129
0.00105925	13.2143
0.00106537	13.414
0.00107152	13.6119
0.00107771	13.8082
0.00108393	13.9847
0.00109018	14.1558
0.00109648	14.3257
0.00110281	14.4946
0.00110917	14.6622
0.00111558	14.8288
0.00112202	14.9925
0.0011285	15.1511
0.00113501	15.3082
0.00114156	15.4645
0.00114815	15.6197
0.00115478	15.7741
0.00116145	15.9276
0.00116815	16.0802
0.0011749	16.2321
0.00118168	16.3669
0.0011885	16.4545
0.00119536	16.5421
0.00120226	16.6297
0.00120921	16.7173
0.00121619	16.8049
0.00122321	16.8924
0.00123027	16.9799
0.00123737	17.0674
0.00124451	17.155
0.0012517	17.2421
0.00125893	17.3284
0.00126619	17.4147
0.0012735	17.5011
0.00128086	17.5902
0.00128825	17.6986
0.00129569	17.8136
0.00130317	17.9575
0.00131069	18.1006
0.00131826	18.2953
0.00132587	18.4908
0.00133352	18.6846
0.00134122	18.8767
0.00134896	19.0671
0.00135675	19.2558
0.00136458	19.4428
0.00137246	19.6283
0.00138038	19.8122
0.00138835	19.9945
0.00139637	20.1753
0.00140443	20.3545
0.00141254	20.5323
0.00142069	20.7087
0.00142889	20.8839
0.00143714	21.0577
0.00144544	21.2163
0.00145378	21.3643
0.00146218	21.5124
0.00147062	21.6604
0.00147911	21.8075
0.00148765	21.9535
0.00149624	22.0985
0.00150487	22.2426
0.00151356	22.3821
0.0015223	22.5143
0.00153109	22.6458
0.00153993	22.7767
0.00154882	22.9068
0.00155776	23.0363
0.00156675	23.1651
0.0015758	23.2964
0.00158489	23.435
0.00159404	23.5729
0.00160325	23.7167
0.0016125	23.8719
0.00162181	24.0273
0.00163117	24.1818
0.00164059	24.3354
0.00165006	24.4881
0.00165959	24.6398
