Stopping power dEdx from Ionisation for proton Z = 1 in G4_Si, process name: hIoni
E [MeV]	dEdx [MeV/mm]
0.001	24.465
0.00100577	24.5263
0.00101158	24.588
0.00101742	24.6501
0.00102329	24.7127
0.0010292	24.7757
0.00103514	24.8392
0.00104112	24.9031
0.00104713	24.9674
0.00105317	25.0322
0.00105925	25.0975
0.00106537	25.1632
0.00107152	25.2293
0.00107771	25.296
0.00108393	25.363
0.00109018	25.4306
0.00109648	25.4986
0.00110281	25.5671
0.00110917	25.636
0.00111558	25.7054
0.00112202	25.7753
0.0011285	25.8457
0.00113501	25.9165
0.00114156	25.9879
0.00114815	26.0597
0.00115478	26.132
0.00116145	26.2048
0.00116815	26.2781
0.0011749	26.3519
0.00118168	26.4261
0.0011885	26.5009
0.00119536	26.5762
0.00120226	26.6519
0.00120921	26.7282
0.00121619	26.805
0.00122321	26.8823
0.00123027	26.9601
0.00123737	27.0384
0.00124451	27.1173
0.0012517	27.1966
0.00125893	27.2765
0.00126619	27.3569
0.0012735	27.4378
0.00128086	27.5192
0.00128825	27.6012
0.00129569	27.6837
0.00130317	27.7667
0.00131069	27.8502
0.00131826	27.9343
0.00132587	28.0189
0.00133352	28.1041
0.00134122	28.1898
0.00134896	28.276
0.00135675	28.3628
0.00136458	28.4501
0.00137246	28.5379
0.00138038	28.6263
0.00138835	28.7153
0.00139637	28.8048
0.00140443	28.8948
0.00141254	28.9854
0.00142069	29.0765
0.00142889	29.1682
0.00143714	29.2605
0.00144544	29.3533
0.00145378	29.4466
0.00146218	29.5405
0.00147062	29.635
0.00147911	29.73
0.00148765	29.8255
0.00149624	29.9217
0.00150487	30.0099
0.00151356	30.0922
0.0015223	30.1749
0.00153109	30.2581
0.00153993	30.3418
0.00154882	30.4259
0.00155776	30.5105
0.00156675	30.5956
0.0015758	30.6811
0.00158489	30.7671
0.00159404	30.8536
0.00160325	30.9405
0.0016125	31.0279
0.00162181	31.1157
0.00163117	31.204
0.00164059	31.2928
0.00165006	31.382
0.00165959	31.4717
0.00166917	31.5618
0.0016788	31.6523
0.0016885	31.7433
0.00169824	31.8348
0.00170805	31.9267
0.00171791	32.019
0.00172783	32.1117
0.0017378	32.2049
0.00174783	32.2985
0.00175792	32.3925
0.00176807	32.487
0.00177828	32.5819
0.00178855	32.6771
0.00179887	32.7728
0.00180926	32.8689
0.0018197	32.9654
0.00183021	33.0622
0.00184077	33.1595
0.0018514	33.2571
0.00186209	33.3552
0.00187284	33.4535
0.00188365	33.5523
0.00189452	33.6514
0.00190546	33.7509
0.00191646	33.8507
0.00192752	33.9508
0.00193865	34.0513
0.00194984	34.1521
0.0019611	34.2532
0.00197242	34.3546
0.00198381	34.4564
0.00199526	34.5584
0.00200678	34.6592
0.00201837	34.7593
0.00203002	34.8596
0.00204174	34.9603
0.00205353	35.0611
0.00206538	35.1623
0.0020773	35.2637
0.0020893	35.3654
0.00210136	35.4673
0.00211349	35.5696
0.00212569	35.6721
0.00213796	35.7748
0.0021503	35.8779
0.00216272	35.9812
0.0021752	36.0848
0.00218776	36.1886
0.00220039	36.2928
0.00221309	36.3972
0.00222587	36.5019
0.00223872	36.6069
0.00225165	36.7122
0.00226464	36.8178
0.00227772	36.9237
0.00229087	37.0298
0.00230409	37.1363
0.00231739	37.243
0.00233077	37.35
0.00234423	37.4574
0.00235776	37.565
0.00237137	37.6729
0.00238506	37.7812
0.00239883	37.8897
0.00241268	37.9986
0.00242661	38.1078
0.00244062	38.2173
0.00245471	38.3271
0.00246888	38.4372
0.00248313	38.5477
0.00249747	38.6585
0.00251189	38.7694
0.00252639	38.8807
0.00254097	38.9922
0.00255564	39.1041
0.0025704	39.2164
0.00258523	39.329
0.00260016	39.4419
0.00261517	39.5552
0.00263027	39.6688
0.00264545	39.7827
0.00266073	39.897
0.00267609	40.0116
0.00269153	40.1265
0.00270707	40.2419
0.0027227	40.3575
0.00273842	40.4735
0.00275423	40.5899
0.00277013	40.7066
0.00278612	40.8236
0.00280221	40.941
0.00281838	41.0588
0.00283465	41.1769
0.00285102	41.2953
0.00286748	41.4142
0.00288403	41.5333
0.00290068	41.6529
0.00291743	41.7728
0.00293427	41.8931
0.00295121	42.0137
0.00296825	42.1347
0.00298538	42.2561
0.00300262	42.3779
0.00301995	42.5001
0.00303739	42.6226
0.00305492	42.7456
0.00307256	42.8689
0.0030903	42.9926
0.00310814	43.1166
0.00312608	43.2411
0.00314413	43.3659
0.00316228	43.4911
0.00318053	43.6167
0.0031989	43.7427
0.00321736	43.869
0.00323594	43.9957
0.00325462	44.1228
0.00327341	44.2503
0.0032923	44.3781
0.00331131	44.5064
0.00333043	44.635
0.00334965	44.764
0.00336899	44.8934
0.00338844	45.0231
0.003408	45.1533
0.00342768	45.2838
0.00344747	45.4147
0.00346737	45.546
0.00348739	45.6777
0.00350752	45.8097
0.00352777	45.9422
0.00354813	46.075
0.00356862	46.2082
0.00358922	46.3418
0.00360994	46.4758
0.00363078	46.6102
0.00365174	46.7449
0.00367282	46.8801
0.00369403	47.0156
0.00371535	47.1516
0.0037368	47.2879
0.00375837	47.4246
0.00378007	47.5617
0.00380189	47.6992
0.00382384	47.8372
0.00384592	47.9755
0.00386812	48.1142
0.00389045	48.2533
0.00391291	48.3928
0.0039355	48.5327
0.00395822	48.673
0.00398107	48.8137
0.00400405	48.9548
0.00402717	49.0961
0.00405042	49.2378
0.0040738	49.3799
0.00409732	49.5225
0.00412098	49.6654
0.00414477	49.8087
0.00416869	49.9525
0.00419276	50.0966
0.00421697	50.2412
0.00424131	50.3862
0.0042658	50.5316
0.00429042	50.6774
0.00431519	50.8236
0.0043401	50.9703
0.00436516	51.1173
0.00439036	51.2648
0.0044157	51.4127
0.0044412	51.561
0.00446684	51.7097
0.00449262	51.8588
0.00451856	52.0083
0.00454465	52.1583
0.00457088	52.3087
0.00459727	52.4595
0.00462381	52.6108
0.0046505	52.7624
0.00467735	52.9145
0.00470435	53.067
0.00473151	53.22
0.00475883	53.3733
0.0047863	53.5271
0.00481393	53.6814
0.00484172	53.836
0.00486968	53.9911
0.00489779	54.1467
0.00492606	54.3027
0.0049545	54.4591
0.0049831	54.616
0.00501187	54.7733
0.00504081	54.9312
0.00506991	55.0895
0.00509918	55.2482
0.00512861	55.4074
0.00515822	55.5671
0.005188	55.7272
0.00521795	55.8877
0.00524807	56.0488
0.00527837	56.2102
0.00530884	56.3722
0.00533949	56.5346
0.00537032	56.6974
0.00540132	56.8608
0.0054325	57.0246
0.00546387	57.1888
0.00549541	57.3536
