Stopping power dEdx from Ionisation for triton Z = 1 in G4_Si, process name: hIoni
E [MeV]	dEdx [MeV/mm]
0.001	14.1397
0.00100577	14.1804
0.00101158	14.2213
0.00101742	14.2623
0.00102329	14.3034
0.0010292	14.3446
0.00103514	14.386
0.00104112	14.4275
0.00104713	14.469
0.00105317	14.5107
0.00105925	14.5526
0.00106537	14.5945
0.00107152	14.6366
0.00107771	14.6788
0.00108393	14.7211
0.00109018	14.7635
0.00109648	14.8061
0.00110281	14.8487
0.00110917	14.8915
0.00111558	14.9345
0.00112202	14.9775
0.0011285	15.0207
0.00113501	15.064
0.00114156	15.1074
0.00114815	15.1509
0.00115478	15.1946
0.00116145	15.2384
0.00116815	15.2823
0.0011749	15.3264
0.00118168	15.3706
0.0011885	15.4149
0.00119536	15.4593
0.00120226	15.5039
0.00120921	15.5485
0.00121619	15.5934
0.00122321	15.6383
0.00123027	15.6834
0.00123737	15.7286
0.00124451	15.7739
0.0012517	15.8194
0.00125893	15.865
0.00126619	15.9107
0.0012735	15.9566
0.00128086	16.0026
0.00128825	16.0487
0.00129569	16.095
0.00130317	16.1413
0.00131069	16.1879
0.00131826	16.2345
0.00132587	16.2813
0.00133352	16.3283
0.00134122	16.3753
0.00134896	16.4225
0.00135675	16.4699
0.00136458	16.5173
0.00137246	16.5649
0.00138038	16.6127
0.00138835	16.6606
0.00139637	16.7086
0.00140443	16.7568
0.00141254	16.8051
0.00142069	16.8535
0.00142889	16.9021
0.00143714	16.9508
0.00144544	16.9996
0.00145378	17.0486
0.00146218	17.0978
0.00147062	17.1471
0.00147911	17.1965
0.00148765	17.2461
0.00149624	17.2958
0.00150487	17.3456
0.00151356	17.3956
0.0015223	17.4458
0.00153109	17.496
0.00153993	17.5465
0.00154882	17.597
0.00155776	17.6478
0.00156675	17.6986
0.0015758	17.7497
0.00158489	17.8008
0.00159404	17.8521
0.00160325	17.9036
0.0016125	17.9552
0.00162181	18.0069
0.00163117	18.0588
0.00164059	18.1109
0.00165006	18.1631
0.00165959	18.2154
0.00166917	18.268
0.0016788	18.3206
0.0016885	18.3734
0.00169824	18.4264
0.00170805	18.4795
0.00171791	18.5327
0.00172783	18.5862
0.0017378	18.6397
0.00174783	18.6935
0.00175792	18.7473
0.00176807	18.8014
0.00177828	18.8556
0.00178855	18.9099
0.00179887	18.9644
0.00180926	19.0191
0.0018197	19.0739
0.00183021	19.1289
0.00184077	19.184
0.0018514	19.2393
0.00186209	19.2948
0.00187284	19.3504
0.00188365	19.4062
0.00189452	19.4621
0.00190546	19.5182
0.00191646	19.5745
0.00192752	19.6309
0.00193865	19.6875
0.00194984	19.7442
0.0019611	19.8011
