Stopping power dEdx from Ionisation for triton Z = 1 in G4_TISSUE_SOFT_ICRP, process name: hIoni
E [MeV]	dEdx [MeV/mm]
0.001	9.98455
0.00100577	10.0133
0.00101158	10.0422
0.00101742	10.0711
0.00102329	10.1002
0.0010292	10.1293
0.00103514	10.1585
0.00104112	10.1878
0.00104713	10.2171
0.00105317	10.2466
0.00105925	10.2761
0.00106537	10.3057
0.00107152	10.3354
0.00107771	10.3652
0.00108393	10.3951
0.00109018	10.4251
0.00109648	10.4551
0.00110281	10.4852
0.00110917	10.5155
0.00111558	10.5458
0.00112202	10.5762
0.0011285	10.6067
0.00113501	10.6372
0.00114156	10.6679
0.00114815	10.6986
0.00115478	10.7295
0.00116145	10.7604
0.00116815	10.7914
0.0011749	10.8225
0.00118168	10.8537
0.0011885	10.885
0.00119536	10.9164
0.00120226	10.9478
0.00120921	10.9794
0.00121619	11.011
0.00122321	11.0428
0.00123027	11.0746
0.00123737	11.1065
0.00124451	11.1385
0.0012517	11.1707
0.00125893	11.2029
0.00126619	11.2351
0.0012735	11.2675
0.00128086	11.3
0.00128825	11.3326
0.00129569	11.3652
0.00130317	11.398
0.00131069	11.4309
0.00131826	11.4638
0.00132587	11.4968
0.00133352	11.53
0.00134122	11.5632
0.00134896	11.5965
0.00135675	11.63
0.00136458	11.6635
0.00137246	11.6971
0.00138038	11.7308
0.00138835	11.7646
0.00139637	11.7986
0.00140443	11.8326
0.00141254	11.8667
0.00142069	11.9009
0.00142889	11.9352
0.00143714	11.9696
0.00144544	12.0041
0.00145378	12.0387
0.00146218	12.0734
0.00147062	12.1082
0.00147911	12.1431
0.00148765	12.1781
0.00149624	12.2132
0.00150487	12.2484
0.00151356	12.2837
0.0015223	12.3191
0.00153109	12.3546
0.00153993	12.3902
0.00154882	12.4259
0.00155776	12.4617
0.00156675	12.4977
0.0015758	12.5337
0.00158489	12.5698
0.00159404	12.606
0.00160325	12.6424
0.0016125	12.6788
0.00162181	12.7154
0.00163117	12.752
0.00164059	12.7888
0.00165006	12.8256
0.00165959	12.8626
0.00166917	12.8997
0.0016788	12.9369
0.0016885	12.9741
0.00169824	13.0115
0.00170805	13.049
0.00171791	13.0867
0.00172783	13.1244
0.0017378	13.1622
0.00174783	13.2001
0.00175792	13.2382
0.00176807	13.2763
0.00177828	13.3146
0.00178855	13.353
0.00179887	13.3915
0.00180926	13.4301
0.0018197	13.4688
0.00183021	13.5076
0.00184077	13.5465
0.0018514	13.5856
0.00186209	13.6248
0.00187284	13.664
0.00188365	13.7034
0.00189452	13.7429
0.00190546	13.7825
0.00191646	13.8222
0.00192752	13.8621
0.00193865	13.902
0.00194984	13.9421
0.0019611	13.9823
0.00197242	14.0226
0.00198381	14.063
0.00199526	14.1036
0.00200678	14.1442
0.00201837	14.185
0.00203002	14.2259
0.00204174	14.2669
0.00205353	14.308
0.00206538	14.3492
0.0020773	14.3906
0.0020893	14.4321
0.00210136	14.4737
0.00211349	14.5154
0.00212569	14.5572
0.00213796	14.5992
0.0021503	14.6413
0.00216272	14.6835
0.0021752	14.7258
0.00218776	14.7682
0.00220039	14.8108
0.00221309	14.8535
0.00222587	14.8963
0.00223872	14.9392
0.00225165	14.9823
0.00226464	15.0255
0.00227772	15.0688
0.00229087	15.1122
0.00230409	15.1558
0.00231739	15.1995
0.00233077	15.2433
0.00234423	15.2872
0.00235776	15.3313
0.00237137	15.3755
0.00238506	15.4198
0.00239883	15.4642
0.00241268	15.5088
0.00242661	15.5535
0.00244062	15.5983
0.00245471	15.6433
0.00246888	15.6884
0.00248313	15.7336
0.00249747	15.779
0.00251189	15.8245
0.00252639	15.8701
0.00254097	15.9158
0.00255564	15.9617
0.0025704	16.0077
0.00258523	16.0538
0.00260016	16.1001
0.00261517	16.1465
0.00263027	16.1931
0.00264545	16.2397
0.00266073	16.2865
0.00267609	16.3335
0.00269153	16.3806
0.00270707	16.4278
0.0027227	16.4751
0.00273842	16.5226
0.00275423	16.5702
0.00277013	16.618
0.00278612	16.6659
0.00280221	16.7139
0.00281838	16.7621
0.00283465	16.8104
0.00285102	16.8589
0.00286748	16.9075
0.00288403	16.9562
0.00290068	17.0051
0.00291743	17.0541
0.00293427	17.1033
0.00295121	17.1525
0.00296825	17.202
0.00298538	17.2516
0.00300262	17.3013
0.00301995	17.3512
0.00303739	17.4012
0.00305492	17.4513
0.00307256	17.5016
0.0030903	17.5521
0.00310814	17.6027
0.00312608	17.6534
0.00314413	17.7043
0.00316228	17.7553
0.00318053	17.8065
0.0031989	17.8578
0.00321736	17.9093
0.00323594	17.9609
0.00325462	18.0127
0.00327341	18.0646
0.0032923	18.1167
0.00331131	18.1689
0.00333043	18.2213
0.00334965	18.2738
0.00336899	18.3265
0.00338844	18.3793
0.003408	18.4323
0.00342768	18.4854
0.00344747	18.5387
0.00346737	18.5921
0.00348739	18.6457
0.00350752	18.6994
0.00352777	18.7533
0.00354813	18.8074
0.00356862	18.8616
0.00358922	18.916
0.00360994	18.9705
0.00363078	19.0252
0.00365174	19.08
0.00367282	19.135
0.00369403	19.1902
0.00371535	19.2455
0.0037368	19.3009
0.00375837	19.3566
0.00378007	19.4124
0.00380189	19.4683
0.00382384	19.5244
0.00384592	19.5807
0.00386812	19.6372
0.00389045	19.6938
0.00391291	19.7505
0.0039355	19.8075
0.00395822	19.8645
0.00398107	19.9218
0.00400405	19.9792
0.00402717	20.0368
0.00405042	20.0946
0.0040738	20.1525
0.00409732	20.2106
0.00412098	20.2688
0.00414477	20.3273
0.00416869	20.3858
0.00419276	20.4446
0.00421697	20.5035
0.00424131	20.5626
0.0042658	20.6219
0.00429042	20.6813
0.00431519	20.741
0.0043401	20.8007
0.00436516	20.8607
0.00439036	20.9208
0.0044157	20.9811
0.0044412	21.0416
0.00446684	21.1022
0.00449262	21.1631
0.00451856	21.2241
0.00454465	21.2852
0.00457088	21.3466
0.00459727	21.4081
0.00462381	21.4698
0.0046505	21.5317
0.00467735	21.5938
0.00470435	21.656
0.00473151	21.7184
0.00475883	21.781
0.0047863	21.8438
0.00481393	21.9068
0.00484172	21.9699
0.00486968	22.0333
0.00489779	22.0968
0.00492606	22.1605
0.0049545	22.2243
0.0049831	22.2884
0.00501187	22.3526
0.00504081	22.4171
0.00506991	22.4817
0.00509918	22.5465
0.00512861	22.6115
0.00515822	22.6766
0.005188	22.742
0.00521795	22.8076
0.00524807	22.8733
0.00527837	22.9392
0.00530884	23.0053
0.00533949	23.0717
0.00537032	23.1382
0.00540132	23.2048
0.0054325	23.2717
0.00546387	23.3388
0.00549541	23.4061
0.00552713	23.4735
0.00555904	23.5412
0.00559114	23.6091
0.00562341	23.6771
0.00565588	23.7454
