Stopping power dEdx from Ionisation for triton Z = 1 in Water, process name: hIoni
E [MeV]	dEdx [MeV/mm]
0.001	9.93182
0.00100577	9.96044
0.00101158	9.98915
0.00101742	10.0179
0.00102329	10.0468
0.0010292	10.0758
0.00103514	10.1048
0.00104112	10.1339
0.00104713	10.1632
0.00105317	10.1925
0.00105925	10.2218
0.00106537	10.2513
0.00107152	10.2808
0.00107771	10.3105
0.00108393	10.3402
0.00109018	10.37
0.00109648	10.3999
0.00110281	10.4299
0.00110917	10.4599
0.00111558	10.4901
0.00112202	10.5203
0.0011285	10.5506
0.00113501	10.581
0.00114156	10.6115
0.00114815	10.6421
0.00115478	10.6728
0.00116145	10.7036
0.00116815	10.7344
0.0011749	10.7654
0.00118168	10.7964
0.0011885	10.8275
0.00119536	10.8587
0.00120226	10.89
0.00120921	10.9214
0.00121619	10.9529
0.00122321	10.9845
0.00123027	11.0161
0.00123737	11.0479
0.00124451	11.0797
0.0012517	11.1117
0.00125893	11.1437
0.00126619	11.1758
0.0012735	11.208
0.00128086	11.2403
0.00128825	11.2727
0.00129569	11.3052
0.00130317	11.3378
0.00131069	11.3705
0.00131826	11.4033
0.00132587	11.4361
0.00133352	11.4691
0.00134122	11.5021
0.00134896	11.5353
0.00135675	11.5685
0.00136458	11.6019
0.00137246	11.6353
0.00138038	11.6689
0.00138835	11.7025
0.00139637	11.7362
0.00140443	11.7701
0.00141254	11.804
0.00142069	11.838
0.00142889	11.8721
0.00143714	11.9064
0.00144544	11.9407
0.00145378	11.9751
0.00146218	12.0096
0.00147062	12.0442
0.00147911	12.0789
0.00148765	12.1138
0.00149624	12.1487
0.00150487	12.1837
0.00151356	12.2188
0.0015223	12.254
0.00153109	12.2893
0.00153993	12.3248
0.00154882	12.3603
0.00155776	12.3959
0.00156675	12.4316
0.0015758	12.4675
0.00158489	12.5034
0.00159404	12.5395
0.00160325	12.5756
0.0016125	12.6118
0.00162181	12.6482
0.00163117	12.6847
0.00164059	12.7212
0.00165006	12.7579
0.00165959	12.7947
0.00166917	12.8315
0.0016788	12.8685
0.0016885	12.9056
0.00169824	12.9428
0.00170805	12.9801
0.00171791	13.0175
0.00172783	13.0551
0.0017378	13.0927
0.00174783	13.1304
0.00175792	13.1683
0.00176807	13.2062
0.00177828	13.2443
0.00178855	13.2825
0.00179887	13.3208
0.00180926	13.3591
0.0018197	13.3977
0.00183021	13.4363
0.00184077	13.475
0.0018514	13.5138
0.00186209	13.5528
0.00187284	13.5919
0.00188365	13.631
0.00189452	13.6703
0.00190546	13.7097
0.00191646	13.7492
0.00192752	13.7889
0.00193865	13.8286
0.00194984	13.8685
0.0019611	13.9084
0.00197242	13.9485
0.00198381	13.9887
0.00199526	14.0291
0.00200678	14.0695
0.00201837	14.1101
0.00203002	14.1507
0.00204174	14.1915
0.00205353	14.2324
0.00206538	14.2734
0.0020773	14.3146
0.0020893	14.3558
0.00210136	14.3972
0.00211349	14.4387
0.00212569	14.4803
0.00213796	14.5221
0.0021503	14.5639
0.00216272	14.6059
0.0021752	14.648
0.00218776	14.6902
0.00220039	14.7326
0.00221309	14.775
0.00222587	14.8176
0.00223872	14.8603
0.00225165	14.9032
0.00226464	14.9461
0.00227772	14.9892
0.00229087	15.0324
0.00230409	15.0757
0.00231739	15.1192
0.00233077	15.1628
0.00234423	15.2065
0.00235776	15.2503
0.00237137	15.2943
0.00238506	15.3384
0.00239883	15.3826
0.00241268	15.4269
0.00242661	15.4714
0.00244062	15.516
0.00245471	15.5607
0.00246888	15.6055
0.00248313	15.6505
0.00249747	15.6956
0.00251189	15.7409
0.00252639	15.7862
0.00254097	15.8317
0.00255564	15.8774
0.0025704	15.9231
0.00258523	15.969
0.00260016	16.0151
0.00261517	16.0612
0.00263027	16.1075
0.00264545	16.1539
0.00266073	16.2005
0.00267609	16.2472
0.00269153	16.294
0.00270707	16.341
0.0027227	16.3881
0.00273842	16.4353
0.00275423	16.4827
0.00277013	16.5302
0.00278612	16.5779
0.00280221	16.6257
0.00281838	16.6736
0.00283465	16.7216
0.00285102	16.7698
0.00286748	16.8182
0.00288403	16.8666
0.00290068	16.9153
0.00291743	16.964
0.00293427	17.0129
0.00295121	17.062
0.00296825	17.1111
0.00298538	17.1605
0.00300262	17.2099
0.00301995	17.2595
0.00303739	17.3093
0.00305492	17.3592
0.00307256	17.4092
0.0030903	17.4594
0.00310814	17.5097
0.00312608	17.5602
0.00314413	17.6108
0.00316228	17.6615
0.00318053	17.7125
0.0031989	17.7635
0.00321736	17.8147
0.00323594	17.8661
0.00325462	17.9176
0.00327341	17.9692
0.0032923	18.021
0.00331131	18.0729
0.00333043	18.125
0.00334965	18.1773
0.00336899	18.2297
0.00338844	18.2822
0.003408	18.3349
0.00342768	18.3878
0.00344747	18.4408
0.00346737	18.4939
0.00348739	18.5472
0.00350752	18.6007
0.00352777	18.6543
0.00354813	18.7081
0.00356862	18.762
0.00358922	18.8161
0.00360994	18.8703
0.00363078	18.9247
0.00365174	18.9792
0.00367282	19.0339
0.00369403	19.0888
0.00371535	19.1438
0.0037368	19.199
0.00375837	19.2543
0.00378007	19.3098
0.00380189	19.3655
0.00382384	19.4213
0.00384592	19.4773
0.00386812	19.5334
0.00389045	19.5897
0.00391291	19.6462
0.0039355	19.7028
0.00395822	19.7596
0.00398107	19.8166
