Fluence to dose conversion factor calculated on a slab of Si with size 10x10x0.5 mm^3 for primary gamma
E [MeV]	c [microGy*cm^2]
0.00101757	2.33162e-06
0.00105333	2.41378e-06
0.00109035	2.49912e-06
0.00112866	2.58717e-06
0.00116833	2.67807e-06
0.00120939	2.7729e-06
0.00125189	2.87029e-06
0.00129588	2.97125e-06
0.00134142	3.07618e-06
0.00138856	3.18396e-06
0.00143736	3.29625e-06
0.00148787	3.41243e-06
0.00154016	3.53216e-06
0.00159428	3.65621e-06
0.00165031	3.78467e-06
0.0017083	3.91816e-06
0.00176834	4.05573e-06
0.00183048	4.1963e-06
0.00189481	4.34422e-06
0.00196139	4.49803e-06
0.00203032	4.65694e-06
0.00210167	4.82035e-06
0.00217553	4.9901e-06
0.00225198	5.16769e-06
0.00233112	5.34714e-06
0.00241304	5.53782e-06
0.00249784	5.7307e-06
0.00258562	5.93191e-06
0.00267648	6.14121e-06
0.00277054	6.35691e-06
0.0028679	6.57937e-06
0.00296869	6.81161e-06
0.00307302	7.05107e-06
0.00318101	7.29692e-06
0.0032928	7.55396e-06
0.00340851	7.81907e-06
0.00352829	8.09333e-06
0.00365229	8.37659e-06
0.00378064	8.66997e-06
0.00391349	8.97573e-06
0.00405102	9.28997e-06
0.00419339	9.61712e-06
0.00434075	9.95445e-06
0.00449329	1.03016e-05
0.0046512	1.06651e-05
0.00481465	1.1035e-05
0.00498385	1.14237e-05
0.00515899	1.18256e-05
0.00534029	1.22398e-05
0.00552796	1.26688e-05
0.00572222	1.31125e-05
0.00592331	1.35714e-05
0.00613147	1.40445e-05
0.00634695	1.45318e-05
0.00656999	1.50306e-05
0.00680087	1.5545e-05
0.00703987	1.60708e-05
0.00728727	1.66078e-05
0.00754336	1.71539e-05
0.00780845	1.76861e-05
0.00808285	1.8213e-05
0.0083669	1.87092e-05
0.00866093	1.9163e-05
0.0089653	1.96054e-05
0.00928036	1.99836e-05
0.00960649	2.02811e-05
0.00994408	2.04536e-05
0.0102935	2.06412e-05
0.0106553	2.06436e-05
0.0110297	2.06455e-05
0.0114173	2.05256e-05
0.0118186	2.03288e-05
0.0122339	2.00662e-05
0.0126638	1.96249e-05
0.0131089	1.92016e-05
0.0135695	1.86828e-05
0.0140464	1.81555e-05
0.01454	1.76119e-05
0.015051	1.68658e-05
0.0155799	1.62224e-05
0.0161274	1.5602e-05
0.0166942	1.49666e-05
0.0172808	1.42775e-05
0.0178881	1.35491e-05
0.0185167	1.28691e-05
0.0191675	1.21739e-05
0.0198411	1.15728e-05
0.0205383	1.0853e-05
0.0212601	1.02258e-05
0.0220072	9.66559e-06
0.0227806	9.15077e-06
0.0235811	8.46435e-06
0.0244098	8.06576e-06
0.0252676	7.56923e-06
0.0261556	7.04733e-06
0.0270748	6.58345e-06
0.0280262	6.14001e-06
0.0290111	5.82877e-06
0.0300307	5.37763e-06
0.031086	5.0562e-06
0.0321784	4.8043e-06
0.0333092	4.40678e-06
0.0344798	4.12193e-06
0.0356915	3.83326e-06
0.0369458	3.60357e-06
0.0382441	3.26373e-06
0.0395881	3.14708e-06
0.0409793	2.98541e-06
0.0424194	2.76788e-06
0.0439101	2.5012e-06
0.0454532	2.35606e-06
0.0470506	2.1485e-06
0.048704	1.99189e-06
