Fluence to dose conversion factor calculated on a slab of Tissue with size 10x10x0.5 mm^3 for primary gamma
E [MeV]	c [microGy*cm^2]
0.00101757	5.27747e-06
0.00105333	5.46341e-06
0.00109035	5.65414e-06
0.00112866	5.85321e-06
0.00116833	6.0581e-06
0.00120939	6.27091e-06
0.00125189	6.49111e-06
0.00129588	6.71933e-06
0.00134142	6.9554e-06
0.00138856	7.19928e-06
0.00143736	7.45132e-06
0.00148787	7.71351e-06
0.00154016	7.98459e-06
0.00159428	8.26345e-06
0.00165031	8.55579e-06
0.0017083	8.85532e-06
0.00176834	9.16639e-06
0.00183048	9.48824e-06
0.00189481	9.82286e-06
0.00196139	1.01657e-05
0.00203032	1.05224e-05
0.00210167	1.08937e-05
0.00217553	1.12735e-05
0.00225198	1.16698e-05
0.00233112	1.20818e-05
0.00241304	1.25012e-05
0.00249784	1.29373e-05
0.00258562	1.3392e-05
0.00267648	1.38562e-05
0.00277054	1.43257e-05
0.0028679	1.48076e-05
0.00296869	1.52992e-05
0.00307302	1.57896e-05
0.00318101	1.62671e-05
0.0032928	1.67128e-05
0.00340851	1.71459e-05
0.00352829	1.75533e-05
0.00365229	1.79357e-05
0.00378064	1.82586e-05
0.00391349	1.84645e-05
0.00405102	1.86304e-05
0.00419339	1.87617e-05
0.00434075	1.87045e-05
0.00449329	1.8622e-05
0.0046512	1.83987e-05
0.00481465	1.8155e-05
0.00498385	1.78548e-05
0.00515899	1.74885e-05
0.00534029	1.70214e-05
0.00552796	1.65161e-05
0.00572222	1.60119e-05
0.00592331	1.53677e-05
0.00613147	1.47955e-05
0.00634695	1.41996e-05
0.00656999	1.36121e-05
0.00680087	1.29522e-05
0.00703987	1.22627e-05
0.00728727	1.16862e-05
0.00754336	1.1033e-05
0.00780845	1.0438e-05
0.00808285	9.84587e-06
0.0083669	9.25799e-06
0.00866093	8.70351e-06
0.0089653	8.12537e-06
0.00928036	7.66117e-06
0.00960649	7.15488e-06
0.00994408	6.67014e-06
0.0102935	6.33155e-06
0.0106553	5.82873e-06
0.0110297	5.55575e-06
0.0114173	5.08579e-06
0.0118186	4.76079e-06
0.0122339	4.47805e-06
0.0126638	4.12191e-06
0.0131089	3.83105e-06
0.0135695	3.53294e-06
0.0140464	3.32585e-06
0.01454	3.08992e-06
0.015051	2.85819e-06
0.0155799	2.59842e-06
0.0161274	2.45624e-06
0.0166942	2.33276e-06
0.0172808	2.05681e-06
0.0178881	2.00185e-06
0.0185167	1.80177e-06
0.0191675	1.67169e-06
0.0198411	1.5721e-06
0.0205383	1.46092e-06
0.0212601	1.36567e-06
0.0220072	1.22026e-06
0.0227806	1.20434e-06
0.0235811	1.05758e-06
0.0244098	9.66184e-07
0.0252676	9.49226e-07
0.0261556	8.92564e-07
0.0270748	8.01544e-07
0.0280262	7.62732e-07
0.0290111	7.36867e-07
0.0300307	6.71146e-07
0.031086	6.35331e-07
0.0321784	5.55546e-07
0.0333092	5.41537e-07
0.0344798	5.45777e-07
0.0356915	4.51973e-07
0.0369458	4.44717e-07
0.0382441	4.50572e-07
0.0395881	3.9408e-07
0.0409793	3.75918e-07
0.0424194	4.00614e-07
0.0439101	3.45604e-07
0.0454532	3.48375e-07
0.0470506	2.8521e-07
0.048704	2.98495e-07
0.0504156	3.14626e-07
0.0521873	2.77967e-07
0.0540213	3.19194e-07
0.0559197	2.93068e-07
0.0578848	2.98023e-07
0.059919	2.94889e-07
0.0620247	2.96304e-07
0.0642044	2.67324e-07
0.0664607	2.98745e-07
0.0687962	2.89865e-07
0.0712139	2.8792e-07
0.0737165	3.19212e-07
0.0763071	3.20471e-07
0.0789887	3.27043e-07
0.0817645	3.15527e-07
0.0846379	3.30465e-07
0.0876122	3.24948e-07
0.0906911	3.61795e-07
0.0938782	3.82471e-07
0.0971773	3.86482e-07
0.100592	4.05267e-07
0.104127	3.90296e-07
0.107787	4.11926e-07
0.111574	4.30934e-07
0.115495	4.72482e-07
0.119554	5.5991e-07
0.123756	5.09214e-07
0.128105	4.79521e-07
0.132606	5.41622e-07
0.137267	5.78447e-07
0.14209	5.83015e-07
0.147084	6.05492e-07
0.152253	6.67833e-07
0.157603	6.47138e-07
0.163142	6.75607e-07
0.168875	7.58184e-07
0.174809	7.80105e-07
0.180953	7.91701e-07
0.187312	8.56083e-07
0.193894	8.33224e-07
0.200708	8.33064e-07
0.207761	8.70039e-07
0.215063	9.70348e-07
0.22262	8.95895e-07
0.230444	9.49303e-07
0.238542	1.03317e-06
0.246925	9.82228e-07
0.255602	1.03197e-06
0.264585	1.07982e-06
0.273883	1.1472e-06
0.283508	1.03615e-06
0.293471	1.14169e-06
0.303784	1.23294e-06
0.31446	1.21364e-06
0.32551	1.15286e-06
0.336949	1.13184e-06
0.348791	1.16579e-06
0.361048	1.15254e-06
0.373736	1.22455e-06
0.38687	1.15596e-06
0.400465	1.04992e-06
0.414538	1.09072e-06
0.429106	1.05007e-06
0.444186	1.10943e-06
0.459796	1.07151e-06
0.475954	1.12155e-06
0.49268	1.00296e-06
0.509994	1.04101e-06
0.527916	9.15242e-07
0.546468	9.10546e-07
0.565672	9.50767e-07
0.585551	9.55395e-07
0.606129	8.7308e-07
0.627429	9.1139e-07
0.649478	9.93044e-07
0.672303	8.72807e-07
0.695929	8.1771e-07
0.720385	8.02362e-07
0.745701	7.84534e-07
0.771907	7.74173e-07
0.799033	7.88449e-07
0.827113	7.43017e-07
0.856179	7.36646e-07
0.886267	6.60603e-07
0.917413	6.02492e-07
0.949653	7.44507e-07
0.983025	6.83963e-07
1.01757	6.65805e-07
1.05333	6.62352e-07
1.09035	5.37537e-07
1.12866	6.06059e-07
1.16833	5.58426e-07
1.20939	5.40984e-07
1.25189	4.3405e-07
1.29588	5.41473e-07
1.34142	5.29011e-07
1.38856	4.95428e-07
1.43736	4.09348e-07
1.48787	4.83986e-07
1.54016	5.00764e-07
1.59428	3.88238e-07
1.65031	3.6186e-07
1.7083	3.54796e-07
1.76834	3.66622e-07
1.83048	3.35391e-07
1.89481	4.46141e-07
1.96139	3.36402e-07
2.03032	3.82087e-07
2.10167	3.4831e-07
2.17553	3.02351e-07
2.25198	2.92727e-07
2.33112	2.97935e-07
2.41304	2.47249e-07
2.49784	3.4288e-07
2.58562	2.2499e-07
2.67648	2.94676e-07
2.77054	2.43831e-07
2.8679	2.23495e-07
2.96869	2.06939e-07
3.07302	2.14734e-07
3.18101	2.29699e-07
3.2928	2.68455e-07
3.40851	2.57635e-07
3.52829	2.01866e-07
3.65229	2.33622e-07
3.78064	2.30827e-07
3.91349	1.80159e-07
4.05102	1.97537e-07
4.19339	2.18813e-07
4.34075	1.82476e-07
4.49329	1.81651e-07
4.6512	1.9884e-07
4.81465	1.49932e-07
4.98385	1.72643e-07
5.15899	1.70289e-07
5.34029	1.73881e-07
5.52796	1.38014e-07
5.72222	1.36039e-07
5.92331	1.50874e-07
6.13147	1.21732e-07
6.34695	1.362e-07
6.56999	1.71147e-07
6.80087	1.65081e-07
7.03987	1.44924e-07
7.28727	1.82394e-07
7.54336	1.29759e-07
7.80845	1.50501e-07
8.08285	1.4757e-07
8.3669	1.41687e-07
8.66093	1.32003e-07
8.9653	1.31693e-07
9.28036	1.42881e-07
9.60649	1.67716e-07
9.94408	1.28684e-07
10.2935	1.29879e-07
10.6553	1.44241e-07
11.0297	1.05768e-07
11.4173	8.31418e-08
11.8186	1.43832e-07
12.2339	7.99164e-08
12.6638	1.06788e-07
13.1089	1.00214e-07
13.5695	7.49099e-08
14.0464	1.23416e-07
14.54	1.03831e-07
15.051	1.39729e-07
15.5799	3.09023e-07
16.1274	1.01612e-07
16.6942	7.95039e-08
17.2808	1.28625e-07
17.8881	1.02578e-07
18.5167	4.06573e-07
19.1675	1.11215e-07
19.8411	6.59691e-07
20.5383	4.07673e-07
21.2601	2.28265e-07
22.0072	8.12454e-07
22.7806	2.02491e-07
23.5811	1.22151e-06
24.4098	1.56107e-06
25.2676	1.11718e-06
26.1556	2.16916e-06
27.0748	7.30914e-07
28.0262	2.48842e-07
29.0111	6.0122e-07
30.0307	1.41873e-07
31.086	2.90761e-07
32.1784	2.67501e-07
33.3092	1.16299e-07
34.4798	3.41527e-07
35.6915	1.10053e-07
36.9458	1.04575e-07
38.2441	1.12864e-07
39.5881	1.28487e-07
40.9793	1.14882e-07
42.4194	3.19698e-07
43.9101	1.20356e-07
45.4532	1.98524e-07
47.0506	1.74281e-07
48.704	1.31731e-07
50.4156	1.22602e-07
52.1873	1.2166e-07
54.0213	1.29954e-07
55.9197	6.60325e-07
57.8848	2.29348e-07
59.919	9.79316e-08
62.0247	1.16922e-07
64.2044	1.35794e-07
66.4607	1.23407e-07
68.7962	1.35434e-07
71.2139	1.19669e-07
73.7165	1.24496e-07
76.3071	1.40913e-07
78.9887	1.01766e-07
81.7645	1.42559e-07
84.6379	1.27953e-07
87.6122	1.52685e-07
90.6911	1.08324e-07
93.8782	1.11062e-07
97.1773	1.17357e-07
100.592	1.43362e-07
104.127	1.78802e-07
107.787	1.1913e-07
111.574	1.20007e-07
115.495	1.46781e-07
119.554	1.5148e-07
123.756	1.24023e-07
128.105	1.46189e-07
132.606	1.60688e-07
137.267	1.50642e-07
142.09	1.43924e-07
147.084	1.64119e-07
152.253	5.74119e-07
157.603	1.56763e-07
163.142	1.52999e-07
168.875	1.38775e-07
174.809	1.68054e-07
180.953	1.25976e-07
187.312	1.71995e-07
193.894	1.20017e-07
200.708	5.01123e-07
207.761	1.13263e-07
215.063	1.56829e-07
222.62	2.34437e-07
230.444	8.53868e-07
238.542	1.23369e-07
246.925	1.15808e-07
255.602	1.62741e-07
264.585	2.8554e-07
273.883	1.33257e-07
283.508	5.51758e-07
293.471	4.13224e-07
303.784	6.69507e-07
314.46	4.50197e-07
325.51	1.89066e-07
336.949	3.8736e-07
348.791	1.23869e-07
361.048	1.59424e-07
373.736	1.2989e-07
386.87	3.53296e-07
400.465	1.99952e-07
414.538	1.3218e-07
429.106	1.40781e-07
444.186	1.56681e-07
459.796	1.7799e-07
475.954	2.62218e-07
492.68	5.11302e-07
509.994	1.35692e-07
527.916	2.50958e-07
546.468	1.23204e-07
565.672	1.39761e-07
585.551	1.54705e-07
606.129	2.16406e-07
627.429	1.61838e-07
649.478	1.72944e-07
672.303	1.8947e-07
695.929	1.62017e-07
720.385	2.03531e-07
745.701	1.62678e-07
771.907	5.59878e-07
799.033	1.54471e-07
827.113	1.56321e-07
856.179	1.85295e-07
886.267	7.18104e-07
917.413	1.53487e-07
949.653	1.66634e-07
983.025	1.78082e-07
1017.57	3.24749e-07
1053.33	1.50461e-07
1090.35	1.55576e-07
