Fluence to dose conversion factor calculated on a slab of Water with size 10x10x0.5 mm^3 for primary gamma
E [MeV]	c [microGy*cm^2]
0.00101757	5.43704e-06
0.00105333	5.62885e-06
0.00109035	5.82466e-06
0.00112866	6.03057e-06
0.00116833	6.24113e-06
0.00120939	6.46179e-06
0.00125189	6.68682e-06
0.00129588	6.92172e-06
0.00134142	7.16594e-06
0.00138856	7.41648e-06
0.00143736	7.67651e-06
0.00148787	7.94708e-06
0.00154016	8.22556e-06
0.00159428	8.51246e-06
0.00165031	8.81363e-06
0.0017083	9.12167e-06
0.00176834	9.44144e-06
0.00183048	9.77312e-06
0.00189481	1.0117e-05
0.00196139	1.04716e-05
0.00203032	1.08387e-05
0.00210167	1.12209e-05
0.00217553	1.16143e-05
0.00225198	1.20202e-05
0.00233112	1.24433e-05
0.00241304	1.2877e-05
0.00249784	1.33309e-05
0.00258562	1.38007e-05
0.00267648	1.42783e-05
0.00277054	1.47776e-05
0.0028679	1.5286e-05
0.00296869	1.57975e-05
0.00307302	1.63316e-05
0.00318101	1.68474e-05
0.0032928	1.73417e-05
0.00340851	1.78318e-05
0.00352829	1.8309e-05
0.00365229	1.87149e-05
0.00378064	1.90866e-05
0.00391349	1.93802e-05
0.00405102	1.96537e-05
0.00419339	1.97784e-05
0.00434075	1.98327e-05
0.00449329	1.98105e-05
0.0046512	1.96484e-05
0.00481465	1.94267e-05
0.00498385	1.91964e-05
0.00515899	1.88313e-05
0.00534029	1.8346e-05
0.00552796	1.78792e-05
0.00572222	1.73434e-05
0.00592331	1.67304e-05
0.00613147	1.61441e-05
0.00634695	1.54677e-05
0.00656999	1.47993e-05
0.00680087	1.41484e-05
0.00703987	1.34308e-05
0.00728727	1.27801e-05
0.00754336	1.20624e-05
0.00780845	1.14204e-05
0.00808285	1.07978e-05
0.0083669	1.02665e-05
0.00866093	9.50175e-06
0.0089653	8.98171e-06
0.00928036	8.39029e-06
0.00960649	7.99256e-06
0.00994408	7.39831e-06
0.0102935	6.87547e-06
0.0106553	6.47584e-06
0.0110297	6.0272e-06
0.0114173	5.56683e-06
0.0118186	5.15178e-06
0.0122339	4.76705e-06
0.0126638	4.47112e-06
0.0131089	4.22002e-06
0.0135695	3.83341e-06
0.0140464	3.65593e-06
0.01454	3.32728e-06
0.015051	3.14593e-06
0.0155799	2.92984e-06
0.0161274	2.70115e-06
0.0166942	2.52838e-06
0.0172808	2.29155e-06
0.0178881	2.17107e-06
0.0185167	2.01551e-06
0.0191675	1.86279e-06
0.0198411	1.7104e-06
0.0205383	1.57048e-06
0.0212601	1.38958e-06
0.0220072	1.34225e-06
0.0227806	1.21031e-06
0.0235811	1.16256e-06
0.0244098	1.08562e-06
0.0252676	1.03998e-06
0.0261556	8.87941e-07
0.0270748	8.68023e-07
0.0280262	8.01856e-07
0.0290111	7.71989e-07
0.0300307	6.97431e-07
0.031086	6.81689e-07
0.0321784	6.08617e-07
0.0333092	5.88003e-07
0.0344798	5.11543e-07
0.0356915	4.64082e-07
0.0369458	5.14959e-07
0.0382441	4.78954e-07
0.0395881	4.04265e-07
0.0409793	4.46509e-07
0.0424194	3.91668e-07
0.0439101	3.61007e-07
0.0454532	3.6309e-07
0.0470506	3.57929e-07
0.048704	3.78762e-07
0.0504156	3.3017e-07
0.0521873	3.04945e-07
0.0540213	3.05497e-07
0.0559197	3.33616e-07
0.0578848	2.90864e-07
0.059919	2.91005e-07
0.0620247	2.8197e-07
0.0642044	3.08213e-07
0.0664607	3.20708e-07
0.0687962	3.06776e-07
0.0712139	3.13675e-07
0.0737165	2.87154e-07
0.0763071	3.38323e-07
0.0789887	3.10823e-07
0.0817645	3.44823e-07
0.0846379	3.58443e-07
0.0876122	3.40571e-07
0.0906911	3.6121e-07
0.0938782	3.5286e-07
0.0971773	4.17675e-07
0.100592	3.87567e-07
0.104127	4.47428e-07
0.107787	4.20616e-07
0.111574	4.26033e-07
0.115495	4.42028e-07
0.119554	4.74184e-07
0.123756	4.6624e-07
0.128105	5.05311e-07
0.132606	5.48978e-07
0.137267	5.728e-07
0.14209	6.08246e-07
0.147084	6.4122e-07
0.152253	5.92951e-07
0.157603	6.88243e-07
0.163142	7.14041e-07
0.168875	7.22306e-07
0.174809	7.14838e-07
0.180953	7.15718e-07
0.187312	8.03967e-07
0.193894	8.32564e-07
0.200708	8.21791e-07
0.207761	1.00832e-06
0.215063	9.12251e-07
0.22262	9.60204e-07
0.230444	9.31108e-07
0.238542	9.42053e-07
0.246925	1.0557e-06
0.255602	1.08926e-06
0.264585	1.09242e-06
0.273883	1.06542e-06
0.283508	1.17552e-06
0.293471	1.1395e-06
0.303784	1.09947e-06
0.31446	1.11053e-06
0.32551	1.20432e-06
0.336949	1.13696e-06
0.348791	1.08162e-06
0.361048	1.17157e-06
0.373736	1.20521e-06
0.38687	1.22406e-06
0.400465	1.1267e-06
0.414538	1.12767e-06
0.429106	1.16118e-06
0.444186	1.21317e-06
0.459796	1.12217e-06
0.475954	1.07789e-06
0.49268	9.82434e-07
0.509994	1.11661e-06
0.527916	1.16551e-06
0.546468	9.01979e-07
0.565672	9.65648e-07
0.585551	9.00271e-07
0.606129	9.86595e-07
0.627429	9.35954e-07
0.649478	9.35578e-07
0.672303	9.83704e-07
0.695929	7.55632e-07
0.720385	8.58048e-07
0.745701	8.12776e-07
0.771907	7.39875e-07
0.799033	7.8864e-07
0.827113	6.12304e-07
0.856179	7.63473e-07
0.886267	7.95952e-07
0.917413	6.43746e-07
0.949653	6.22452e-07
0.983025	6.45842e-07
1.01757	5.59718e-07
1.05333	5.47105e-07
1.09035	5.45699e-07
1.12866	5.15258e-07
1.16833	5.94221e-07
1.20939	5.73597e-07
1.25189	4.87822e-07
1.29588	4.63074e-07
1.34142	4.40504e-07
1.38856	4.14302e-07
1.43736	4.0128e-07
1.48787	4.35109e-07
1.54016	4.19489e-07
1.59428	4.22018e-07
1.65031	4.00574e-07
1.7083	3.83995e-07
1.76834	3.68875e-07
1.83048	3.16874e-07
1.89481	3.21533e-07
1.96139	3.37847e-07
2.03032	3.21242e-07
2.10167	3.49246e-07
2.17553	2.98334e-07
2.25198	2.7422e-07
2.33112	3.10246e-07
2.41304	2.70529e-07
2.49784	2.90265e-07
2.58562	2.57444e-07
2.67648	2.44768e-07
2.77054	2.76226e-07
2.8679	2.27401e-07
2.96869	3.40803e-07
3.07302	2.04309e-07
3.18101	2.45401e-07
3.2928	2.53763e-07
3.40851	2.3659e-07
3.52829	2.25368e-07
3.65229	2.12461e-07
3.78064	2.28326e-07
3.91349	1.93559e-07
4.05102	1.55336e-07
4.19339	1.67726e-07
4.34075	1.75781e-07
4.49329	1.92735e-07
4.6512	2.14652e-07
4.81465	1.94725e-07
4.98385	1.83271e-07
5.15899	1.50392e-07
5.34029	1.7577e-07
5.52796	1.56867e-07
5.72222	2.06406e-07
5.92331	1.59713e-07
6.13147	1.57035e-07
6.34695	1.19087e-07
6.56999	1.51107e-07
6.80087	1.4975e-07
7.03987	1.6558e-07
7.28727	1.41879e-07
7.54336	1.45364e-07
7.80845	1.42759e-07
8.08285	1.01331e-07
8.3669	1.43153e-07
8.66093	1.45628e-07
8.9653	1.44947e-07
9.28036	1.44114e-07
9.60649	1.22537e-07
9.94408	1.36081e-07
10.2935	1.20389e-07
10.6553	1.20485e-07
11.0297	1.3712e-07
11.4173	1.09042e-07
11.8186	1.18531e-07
12.2339	1.00887e-07
12.6638	1.11742e-07
