Fluence to dose conversion factor calculated on a slab of Si with size 10x10x0.5 mm^3 for primary neutron
E [MeV]	c [microGy*cm^2]
0.00101757	4.98698e-10
0.00105333	4.93061e-10
0.00109035	5.06587e-10
0.00112866	5.66921e-10
0.00116833	4.90885e-10
0.00120939	6.08381e-10
0.00125189	5.74506e-10
0.00129588	6.18303e-10
0.00134142	5.65574e-10
0.00138856	5.77575e-10
0.00143736	7.75326e-10
0.00148787	7.09819e-10
0.00154016	7.37426e-10
0.00159428	7.39911e-10
0.00165031	8.21176e-10
0.0017083	7.90562e-10
0.00176834	7.9268e-10
0.00183048	9.30297e-10
0.00189481	8.40805e-10
0.00196139	9.3512e-10
0.00203032	9.4348e-10
0.00210167	9.57832e-10
0.00217553	1.04499e-09
0.00225198	9.73165e-09
0.00233112	1.13585e-09
0.00241304	1.19231e-09
0.00249784	1.08564e-09
0.00258562	1.07399e-09
0.00267648	1.24503e-09
0.00277054	1.28336e-09
0.0028679	1.37889e-09
0.00296869	1.38158e-09
0.00307302	1.44787e-09
0.00318101	1.39442e-09
0.0032928	1.45343e-09
0.00340851	1.49517e-09
0.00352829	1.61438e-09
0.00365229	1.80443e-09
0.00378064	1.79787e-09
0.00391349	1.85233e-09
0.00405102	1.81205e-09
0.00419339	1.98045e-09
0.00434075	1.93501e-09
0.00449329	1.91787e-09
0.0046512	2.17328e-09
0.00481465	2.43214e-09
0.00498385	2.8478e-09
0.00515899	2.36246e-09
0.00534029	2.43689e-09
0.00552796	2.45994e-09
0.00572222	2.3672e-09
0.00592331	2.75298e-09
0.00613147	2.73282e-09
0.00634695	2.83716e-09
0.00656999	2.97398e-09
0.00680087	3.29778e-09
0.00703987	3.07828e-09
0.00728727	3.31712e-09
0.00754336	3.41811e-09
0.00780845	3.31449e-09
0.00808285	3.74061e-09
0.0083669	3.74927e-09
0.00866093	3.76234e-09
0.0089653	4.09297e-09
0.00928036	4.2495e-09
0.00960649	4.11532e-09
0.00994408	4.40631e-09
0.0102935	4.35587e-09
0.0106553	5.22763e-09
0.0110297	4.66419e-09
0.0114173	5.69773e-09
0.0118186	4.96933e-09
0.0122339	5.67103e-09
0.0126638	5.38992e-09
0.0131089	5.76416e-09
0.0135695	5.93844e-09
0.0140464	5.54982e-09
0.01454	5.97719e-09
0.015051	7.64706e-09
0.0155799	7.12479e-09
0.0161274	6.65766e-09
0.0166942	8.02657e-09
0.0172808	7.36866e-09
0.0178881	7.22779e-09
0.0185167	7.90498e-09
0.0191675	8.31516e-09
0.0198411	8.80872e-09
0.0205383	8.81279e-09
0.0212601	8.78452e-09
0.0220072	9.69897e-09
0.0227806	9.73642e-09
0.0235811	1.03762e-08
0.0244098	9.53473e-09
0.0252676	9.08634e-09
0.0261556	1.10436e-08
0.0270748	1.08021e-08
0.0280262	1.10192e-08
0.0290111	1.13369e-08
0.0300307	1.15475e-08
0.031086	1.14587e-08
0.0321784	1.1432e-08
0.0333092	1.12972e-08
0.0344798	1.29385e-08
0.0356915	1.33097e-08
0.0369458	1.26882e-08
0.0382441	1.6148e-08
0.0395881	1.31808e-08
0.0409793	1.42946e-08
0.0424194	1.23911e-08
0.0439101	1.30181e-08
0.0454532	1.21961e-08
0.0470506	1.15887e-08
0.048704	1.2133e-08
0.0504156	9.50447e-09
0.0521873	5.93893e-09
0.0540213	6.4162e-09
0.0559197	2.68871e-07
0.0578848	6.85024e-08
0.059919	4.33467e-08
0.0620247	4.05864e-08
0.0642044	3.41306e-08
0.0664607	2.9798e-08
0.0687962	3.71493e-08
0.0712139	2.99425e-08
0.0737165	2.75237e-08
0.0763071	2.6756e-08
0.0789887	2.56006e-08
0.0817645	3.0033e-08
0.0846379	2.39884e-08
0.0876122	2.95886e-08
0.0906911	2.80572e-08
0.0938782	2.30788e-08
0.0971773	2.58285e-08
0.100592	2.13915e-08
0.104127	2.0934e-08
0.107787	1.82567e-08
0.111574	1.95305e-08
0.115495	1.67218e-08
0.119554	1.84251e-08
0.123756	1.34854e-08
0.128105	9.5109e-09
0.132606	9.89354e-09
0.137267	9.93885e-09
0.14209	6.87774e-09
0.147084	4.46533e-09
0.152253	1.23023e-08
0.157603	3.73807e-08
0.163142	7.689e-08
0.168875	1.86605e-07
0.174809	3.30962e-07
0.180953	5.28097e-07
0.187312	6.24807e-07
0.193894	6.13005e-07
0.200708	5.43765e-07
0.207761	4.72484e-07
0.215063	4.44401e-07
0.22262	4.04932e-07
0.230444	3.72069e-07
0.238542	3.36507e-07
0.246925	3.22847e-07
0.255602	3.22496e-07
0.264585	3.18981e-07
0.273883	3.23213e-07
0.283508	3.00299e-07
0.293471	2.87846e-07
0.303784	3.08497e-07
0.31446	2.74939e-07
0.32551	2.63844e-07
0.336949	2.95879e-07
0.348791	2.83851e-07
0.361048	2.77801e-07
0.373736	2.89336e-07
0.38687	2.91805e-07
0.400465	2.96327e-07
0.414538	3.16186e-07
0.429106	3.26919e-07
0.444186	3.18173e-07
0.459796	3.39421e-07
0.475954	3.0625e-07
0.49268	3.4976e-07
0.509994	3.38841e-07
0.527916	4.15366e-07
0.546468	4.84749e-07
0.565672	7.7836e-07
0.585551	3.3323e-07
0.606129	3.14358e-07
0.627429	2.97989e-07
0.649478	3.45827e-07
0.672303	3.55783e-07
0.695929	3.65859e-07
0.720385	4.00799e-07
0.745701	4.31635e-07
0.771907	4.64515e-07
0.799033	8.91918e-07
0.827113	7.84604e-07
0.856179	4.84225e-07
0.886267	5.27268e-07
0.917413	6.97879e-07
0.949653	7.98572e-07
0.983025	6.87203e-07
1.01757	5.85641e-07
1.05333	5.14056e-07
1.09035	4.26065e-07
1.12866	4.12284e-07
1.16833	4.18288e-07
1.20939	5.72222e-07
1.25189	5.99733e-07
1.29588	6.49774e-07
1.34142	6.46422e-07
1.38856	6.71776e-07
1.43736	7.39344e-07
1.48787	7.99541e-07
1.54016	8.44134e-07
1.59428	1.01721e-06
1.65031	1.59641e-06
1.7083	6.43691e-07
1.76834	6.70391e-07
1.83048	1.06494e-06
1.89481	8.92164e-07
1.96139	1.06403e-06
2.03032	6.51866e-07
2.10167	9.91469e-07
2.17553	7.9467e-07
2.25198	9.08857e-07
2.33112	8.08402e-07
2.41304	8.4844e-07
2.49784	1.23065e-06
2.58562	1.00701e-06
2.67648	9.37731e-07
2.77054	1.00164e-06
2.8679	1.08406e-06
2.96869	9.34668e-07
3.07302	9.93745e-07
3.18101	1.05524e-06
3.2928	1.15738e-06
3.40851	1.1933e-06
3.52829	1.00617e-06
3.65229	7.54457e-07
3.78064	1.19818e-06
3.91349	1.42006e-06
4.05102	1.38334e-06
4.19339	1.32032e-06
4.34075	1.3628e-06
4.49329	1.6028e-06
4.6512	1.49086e-06
4.81465	1.92932e-06
4.98385	1.66549e-06
5.15899	2.11317e-06
5.34029	1.87091e-06
5.52796	1.59783e-06
5.72222	2.71959e-06
5.92331	2.20891e-06
6.13147	2.85945e-06
6.34695	3.27162e-06
6.56999	3.60153e-06
6.80087	3.96344e-06
7.03987	4.42399e-06
7.28727	6.37937e-06
7.54336	7.1455e-06
7.80845	7.75476e-06
8.08285	7.95073e-06
8.3669	6.70031e-06
8.66093	8.75775e-06
8.9653	7.67547e-06
9.28036	8.07279e-06
9.60649	7.9626e-06
9.94408	9.05641e-06
10.2935	8.44428e-06
10.6553	1.01162e-05
11.0297	9.7052e-06
11.4173	1.05824e-05
11.8186	9.64983e-06
12.2339	1.12145e-05
12.6638	1.21525e-05
13.1089	1.20211e-05
13.5695	1.11536e-05
14.0464	1.15944e-05
14.54	1.0066e-05
15.051	1.26151e-05
15.5799	1.29103e-05
16.1274	1.28149e-05
16.6942	1.10012e-05
17.2808	1.38933e-05
17.8881	1.37244e-05
18.5167	1.32442e-05
19.1675	1.3895e-05
19.8411	1.26784e-05
20.5383	8.81798e-06
21.2601	1.17391e-05
22.0072	1.18448e-05
22.7806	1.40809e-05
23.5811	1.21964e-05
24.4098	1.39177e-05
25.2676	1.38974e-05
26.1556	1.36033e-05
27.0748	1.45265e-05
28.0262	1.54821e-05
29.0111	1.41838e-05
30.0307	1.51237e-05
31.086	1.78101e-05
32.1784	1.17909e-05
33.3092	1.57454e-05
34.4798	1.72037e-05
35.6915	1.39696e-05
36.9458	1.60816e-05
38.2441	1.68377e-05
39.5881	1.51887e-05
40.9793	1.5163e-05
42.4194	1.70429e-05
43.9101	1.5704e-05
45.4532	1.52052e-05
47.0506	1.0694e-05
48.704	1.27082e-05
50.4156	1.06839e-05
52.1873	1.16375e-05
54.0213	1.08415e-05
55.9197	1.11076e-05
57.8848	1.16133e-05
59.919	1.14926e-05
62.0247	9.58689e-06
64.2044	1.23314e-05
66.4607	1.0763e-05
68.7962	1.16306e-05
71.2139	1.06936e-05
73.7165	1.37816e-05
76.3071	1.58899e-05
78.9887	1.31408e-05
81.7645	1.38251e-05
84.6379	1.18878e-05
87.6122	1.22362e-05
90.6911	1.36624e-05
93.8782	1.29352e-05
97.1773	1.26961e-05
100.592	9.26727e-06
104.127	1.04866e-05
107.787	1.2231e-05
111.574	1.18189e-05
115.495	1.44747e-05
119.554	1.47451e-05
123.756	1.34623e-05
128.105	1.35247e-05
132.606	1.23996e-05
137.267	1.05244e-05
142.09	1.1447e-05
147.084	1.23335e-05
152.253	1.27703e-05
157.603	1.59012e-05
163.142	1.50873e-05
168.875	1.33017e-05
174.809	1.68224e-05
180.953	1.18817e-05
187.312	1.75157e-05
193.894	1.22037e-05
200.708	1.20988e-05
207.761	1.01663e-05
215.063	1.39488e-05
222.62	1.78356e-05
230.444	1.49908e-05
238.542	1.26963e-05
246.925	1.61136e-05
255.602	1.32847e-05
264.585	1.83871e-05
273.883	1.23965e-05
283.508	1.75489e-05
293.471	1.89082e-05
303.784	1.15367e-05
314.46	1.32817e-05
325.51	1.58031e-05
336.949	1.29834e-05
348.791	1.43462e-05
361.048	1.93618e-05
373.736	1.68961e-05
386.87	1.48969e-05
400.465	1.86151e-05
414.538	1.62982e-05
429.106	1.68816e-05
444.186	1.67902e-05
459.796	1.52026e-05
475.954	1.83904e-05
492.68	1.63981e-05
509.994	1.99571e-05
