Fluence to dose conversion factor calculated on a slab of Tissue with size 10x10x0.5 mm^3 for primary neutron
E [MeV]	c [microGy*cm^2]
0.00101047	1.07471e-07
0.00103163	1.07831e-07
0.00105323	1.13502e-07
0.00107528	1.13417e-07
0.0010978	1.16065e-07
0.00112079	1.19429e-07
0.00114426	1.25e-07
0.00116822	1.2139e-07
0.00119268	1.24802e-07
0.00121765	1.29758e-07
0.00124315	1.32102e-07
0.00126918	1.58729e-07
0.00129576	1.36221e-07
0.00132289	1.409e-07
0.00135059	1.42936e-07
0.00137887	1.40099e-07
0.00140774	1.46629e-07
0.00143722	1.51733e-07
0.00146731	1.53908e-07
0.00149804	1.5904e-07
0.00152941	1.59161e-07
0.00156143	1.66558e-07
0.00159413	1.71023e-07
0.00162751	1.65843e-07
0.00166159	1.80216e-07
0.00169638	1.77487e-07
0.0017319	1.77469e-07
0.00176817	1.86505e-07
0.00180519	1.92181e-07
0.00184299	1.8541e-07
0.00188158	2.00374e-07
0.00192098	2.03299e-07
0.00196121	2.03304e-07
0.00200227	2.12179e-07
0.0020442	2.19283e-07
0.002087	2.18874e-07
0.0021307	2.26553e-07
0.00217532	2.25758e-07
0.00222087	2.26753e-07
0.00226737	2.43029e-07
0.00231485	2.49532e-07
0.00236332	2.48409e-07
0.00241281	2.48172e-07
0.00246333	2.62577e-07
0.00251492	2.65757e-07
0.00256758	2.7201e-07
0.00262134	2.68574e-07
0.00267623	2.76115e-07
0.00273227	2.90897e-07
0.00278948	2.86581e-07
0.00284789	3.29043e-07
0.00290752	3.08846e-07
0.00296841	3.04026e-07
0.00303056	3.1882e-07
0.00309402	3.28093e-07
0.00315881	3.32788e-07
0.00322495	3.3475e-07
0.00329248	3.48278e-07
0.00336142	3.47897e-07
0.00343181	3.526e-07
0.00350367	3.69768e-07
0.00357704	3.74345e-07
0.00365194	3.85545e-07
0.00372841	3.94489e-07
0.00380648	3.98117e-07
0.00388618	4.01346e-07
0.00396756	4.01997e-07
0.00405064	4.2798e-07
0.00413546	4.34675e-07
0.00422205	4.3927e-07
0.00431046	4.43883e-07
0.00440072	4.51657e-07
0.00449286	4.81294e-07
0.00458694	4.78032e-07
0.00468299	4.93026e-07
0.00478105	4.88089e-07
0.00488116	5.01253e-07
0.00498337	5.25913e-07
0.00508772	5.26427e-07
0.00519426	5.36463e-07
0.00530302	5.42041e-07
0.00541406	5.58728e-07
0.00552743	5.60294e-07
