Fluence to dose conversion factor calculated on a slab of Tissue with size 10x10x0.5 mm^3 for primary neutron
E [MeV]	c [microGy*cm^2]
0.00101757	1.09806e-07
0.00105333	1.08681e-07
0.00109035	1.12331e-07
0.00112866	1.18158e-07
0.00116833	1.24393e-07
0.00120939	1.31175e-07
0.00125189	1.3017e-07
0.00129588	1.38543e-07
0.00134142	1.45308e-07
0.00138856	1.48369e-07
0.00143736	1.47907e-07
0.00148787	1.57212e-07
0.00154016	1.62724e-07
0.00159428	1.71494e-07
0.00165031	1.73459e-07
0.0017083	1.71228e-07
0.00176834	1.89833e-07
0.00183048	1.91263e-07
0.00189481	1.98459e-07
0.00196139	2.021e-07
0.00203032	2.20443e-07
0.00210167	2.17889e-07
0.00217553	2.26108e-07
0.00225198	2.29072e-07
0.00233112	2.42664e-07
0.00241304	2.4634e-07
0.00249784	2.62559e-07
0.00258562	2.62867e-07
0.00267648	2.7968e-07
0.00277054	2.86006e-07
0.0028679	2.982e-07
0.00296869	3.09323e-07
0.00307302	3.26323e-07
0.00318101	3.30035e-07
0.0032928	3.39534e-07
0.00340851	3.51481e-07
0.00352829	3.72454e-07
0.00365229	3.78807e-07
0.00378064	3.95388e-07
0.00391349	4.24482e-07
0.00405102	4.28102e-07
0.00419339	4.24639e-07
0.00434075	4.44426e-07
0.00449329	4.59939e-07
0.0046512	5.01878e-07
0.00481465	5.03736e-07
0.00498385	5.21004e-07
0.00515899	5.35808e-07
0.00534029	5.46862e-07
0.00552796	5.88693e-07
0.00572222	6.06059e-07
0.00592331	6.04656e-07
0.00613147	6.10639e-07
0.00634695	6.45445e-07
0.00656999	6.82405e-07
0.00680087	6.64605e-07
0.00703987	7.16637e-07
0.00728727	7.46709e-07
0.00754336	7.47963e-07
0.00780845	8.14388e-07
0.00808285	8.2187e-07
0.0083669	8.54983e-07
0.00866093	8.95642e-07
0.0089653	9.11962e-07
0.00928036	9.23633e-07
0.00960649	9.84275e-07
0.00994408	1.02263e-06
0.0102935	1.03016e-06
0.0106553	1.07333e-06
0.0110297	1.10616e-06
0.0114173	1.14354e-06
0.0118186	1.1763e-06
0.0122339	1.21669e-06
0.0126638	1.25824e-06
0.0131089	1.29634e-06
0.0135695	1.35714e-06
0.0140464	1.38581e-06
0.01454	1.41017e-06
0.015051	1.46816e-06
0.0155799	1.55559e-06
0.0161274	1.56717e-06
0.0166942	1.60688e-06
0.0172808	1.71163e-06
0.0178881	1.73204e-06
0.0185167	1.7838e-06
0.0191675	1.83787e-06
0.0198411	1.96323e-06
0.0205383	1.95309e-06
0.0212601	2.0694e-06
0.0220072	2.10338e-06
0.0227806	2.13372e-06
0.0235811	2.12448e-06
0.0244098	2.26976e-06
0.0252676	2.32621e-06
0.0261556	2.46473e-06
0.0270748	2.43432e-06
0.0280262	2.60527e-06
0.0290111	2.66805e-06
0.0300307	2.81663e-06
0.031086	2.7981e-06
0.0321784	2.93051e-06
0.0333092	2.86227e-06
0.0344798	3.00578e-06
0.0356915	3.19221e-06
0.0369458	3.20696e-06
0.0382441	3.44943e-06
0.0395881	3.44206e-06
0.0409793	3.48786e-06
0.0424194	3.59166e-06
0.0439101	3.68446e-06
0.0454532	3.78019e-06
0.0470506	3.81651e-06
0.048704	4.0611e-06
0.0504156	4.14484e-06
0.0521873	4.07472e-06
0.0540213	4.30072e-06
0.0559197	4.49929e-06
0.0578848	4.54776e-06
0.059919	4.84459e-06
0.0620247	4.84801e-06
0.0642044	4.92045e-06
0.0664607	5.15076e-06
0.0687962	5.27742e-06
0.0712139	5.49688e-06
0.0737165	5.57576e-06
0.0763071	5.87702e-06
0.0789887	6.01825e-06
0.0817645	5.84454e-06
0.0846379	6.24236e-06
0.0876122	6.19066e-06
0.0906911	6.29322e-06
0.0938782	6.7435e-06
0.0971773	6.90055e-06
0.100592	7.0429e-06
0.104127	6.96964e-06
0.107787	6.98279e-06
0.111574	7.39378e-06
0.115495	7.22884e-06
0.119554	7.51579e-06
0.123756	7.72992e-06
0.128105	8.00618e-06
0.132606	8.15836e-06
0.137267	8.31925e-06
0.14209	8.40329e-06
0.147084	8.61124e-06
0.152253	8.83083e-06
0.157603	9.10591e-06
0.163142	9.27572e-06
0.168875	9.32048e-06
0.174809	9.93409e-06
0.180953	9.82697e-06
0.187312	9.7113e-06
0.193894	1.01665e-05
0.200708	1.02482e-05
0.207761	1.09497e-05
0.215063	1.07011e-05
0.22262	1.06488e-05
0.230444	1.16187e-05
0.238542	1.15642e-05
0.246925	1.15512e-05
0.255602	1.22709e-05
0.264585	1.20265e-05
0.273883	1.21559e-05
0.283508	1.27342e-05
0.293471	1.23076e-05
0.303784	1.27989e-05
0.31446	1.31784e-05
0.32551	1.24088e-05
0.336949	1.44612e-05
0.348791	1.38989e-05
0.361048	1.455e-05
0.373736	1.54389e-05
0.38687	1.48584e-05
0.400465	1.59399e-05
0.414538	1.74609e-05
0.429106	1.66391e-05
0.444186	1.73234e-05
0.459796	1.69162e-05
0.475954	1.64516e-05
0.49268	1.66834e-05
0.509994	1.70065e-05
0.527916	1.66872e-05
0.546468	1.68127e-05
0.565672	1.79771e-05
0.585551	1.74099e-05
0.606129	1.91643e-05
0.627429	1.86299e-05
0.649478	1.88468e-05
0.672303	1.87299e-05
0.695929	2.04318e-05
0.720385	1.99401e-05
0.745701	1.8917e-05
0.771907	2.06893e-05
0.799033	2.07249e-05
0.827113	2.0832e-05
0.856179	2.15743e-05
0.886267	2.2032e-05
0.917413	2.251e-05
0.949653	2.35405e-05
0.983025	2.56032e-05
1.01757	2.35506e-05
1.05333	2.55444e-05
1.09035	2.47067e-05
1.12866	2.45332e-05
1.16833	2.46505e-05
1.20939	2.55307e-05
1.25189	2.46503e-05
1.29588	2.7192e-05
1.34142	2.67719e-05
1.38856	2.57697e-05
